ກປ.ອອນໄລ - ທ່ານພົນໂທເລືອງເກື່ອງ, ເລຂາທິການສູນກາງພັກ, ຄະນະປະຈຳຄະນະພັກການທະຫານສູນກາງ, ຫົວໜ້າກົມໃຫຍ່ການເມືອງກອງທັບປະຊາຊົນຫວຽດນາມ ນຳໜ້າຄະນະຜູ້ແທນກະຊວງປ້ອງກັນປະເທດຫວຽດນາມມາອວຍພອນສະຖານທູດ ສປປ ລາວ ປະຈໍາ ຫວຽດນາມ...	Trung tướng Lương Cường, Bí thư Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam (ĐCSVN)
ຕອນເຊົ້າວັນທີ 17 ກໍລະກົດ, ເນື່ອງໃນໂອກາດສະເຫຼີມສະຫຼອງວັນເຊັນສົນທິສັນຍາມິດຕະພາບ ແລະການຮ່ວມມືຄົບຮອບ 40 ປີ (18-7-1977 / 18-7-2017), 55 ປີແຫ່ງວັນສ້າງຕັ້ງການພົວພັນທາງການທູດ ຫວຽດນາມ-ລາວ (5-9-1962 / 5-9-2017) ແລະປີສາມັກຄີມິດຕະພາບ, ທ່ານພົນໂທເລືອງເກື່ອງ, ເລຂາທິການສູນກາງພັກ, ຄະນະປະຈຳຄະນະພັກການທະຫານສູນກາງ, ຫົວໜ້າກົມໃຫຍ່ການເມືອງກອງທັບປະຊາຊົນຫວຽດນາມ ນຳໜ້າຄະນະຜູ້ແທນກະຊວງປ້ອງກັນປະເທດຫວຽດນາມມາອວຍພອນສະຖານທູດ ສປປ ລາວ ປະຈໍາ ຫວຽດນາມ.	Sáng 17/7, nhân kỷ niệm 40 năm ngày ký Hiệp ước Hữu nghị và Hợp tác (1871977/1872017), 55 năm thiết lập quan hệ Việt Nam - Lào (591962/592017) và đoàn kết, hữu nghị, ông Tướng Lương Cường, Bí thư Đảng ủy Quân sự Trung ương, Tổng cục trưởng Tổng cục ĐBVN dẫn đầu đoàn Bộ Quốc phòng Việt Nam chúc phúc Đại sứ quán CHDCND Lào tại Việt Nam
ຕາງໜ້າການນໍາກະຊວງປ້ອງກັນປະເທດ ຫວຽດນາມ, ກົມໃຫຍ່ການເມືອງກອງທັບປະຊາຊົນ ຫວຽດນາມ, ທ່ານພົນໂທ ເລືອງເກື່ອງ ໄດ້ອວຍພອນ ທ່ານເອກອັກຄະລັດຖະທູດ, ທູດທະຫານ ແລະບັນດາພະນັກງານ, ລັດຖະກອນສະຖານທູດ ສປປ ລາວ ປະຈໍາ ຫວຽດນາມ ເນື່ອງໃນໂອກາດວັນບຸນໃຫຍ່ສອງຊາດ.	Thay mặt Bộ Quốc phòng Việt Nam, Tổng cục Chính trị QĐND Việt Nam, Trung tướng Lương Cường chúc mừng Đại sứ nước CHDCND Lào và các cán bộ quân đội nhân dịp Quốc khánh.
ເມື່ອຫວນຄືນໄລຍະທາງປະຫວັດສາດ 55 ປີທີ່ສອງປະເທດໄດ້ສ້າງຕັ້ງການພົວພັນທາງການທູດ, ທ່ານພົນໂທ ເລືອງເກື່ອງ ຖືວ່າ, ສອງປະເທດສາມາດເອກອ້າງທະນົງໃຈກ່ຽວກັບການພົວພັນມິດຕະພາບທີ່ເປັນມູນເຊື້ອ, ຄວາມສາມັກຄີແບບພິເສດ ແລະການຮ່ວມມືຮອບດ້ານທີ່ນັບມື້ນັບພັດທະນາຢ່າງເລິກເຊິ່ງ ແລະກວ້າງຂວາງໃນທຸກຂົງເຂດ.	Nhìn lại lịch sử 55 năm quan hệ ngoại giao của hai nước, Trung tướng Lương Cường cho rằng, hai nước có thể tự hào về mối quan hệ hữu nghị kế thừa, đoàn kết đặc biệt và hợp tác toàn diện ngày càng sâu sắc và mở rộng trên tất cả các lĩnh vực.
ໃນນັ້ນ, ການຮ່ວມມືດ້ານການເມືອງແມ່ນນັບມື້ນັບຮັດແໜ້ນ, ການຮ່ວມມືດ້ານປ້ອງກັນຊາດ ແລະປ້ອງກັນຄວາມສະຫງົບໄດ້ຮັບການຮັກສາໄວ້ຢ່າງໝັ້ນຄົງ, ການຮ່ວມມືດ້ານເສດຖະກິດໄດ້ຮັບການຍູ້ແຮງຢ່າງບໍ່ຢຸດຢັ້ງ, ການຮ່ວມມືດ້ານການສຶກສາ-ກໍ່ສ້າງ, ວັດທະນະທໍາ-ສັງຄົມນັບມື້ນັບເປັນຫຼາຍຮູບຫຼາຍແບບ, ນໍາມາປະສິດທິຜົນໃຫ້ແກ່ປະຊາຊົນສອງປະເທດຢ່າງແທດຈິງ.	Trên phương diện này, hợp tác chính trị ngày càng khăng khít, hợp tác quốc phòng - an ninh được giữ vững, hợp tác kinh tế không ngừng được tăng cường, hợp tác giáo dục - xây dựng, văn hóa - xã hội ngày càng đa dạng, mang lại nhiều lợi ích cho nhân dân.
ບັນດາຜົນງານນີ້ແມ່ນຊັບສົມບັດອັນລໍ້າຄ່າໂດຍບັນດາການນໍາລຸ້ນຕ່າງໆ ແລະປະຊາຊົນສອງປະເທດທຸ້ມເທເຫື່ອແຮງເພີ່ມພູນຄູນສ້າງ.	Những công trình này là tài sản vô giá của các thế hệ lãnh đạo và nhân dân hai nước tâm huyết làm giàu.
ທ່ານພົນໂທ ເລືອງເກື່ອງ, ຫົວໜ້າກົມໃຫຍ່ການເມືອງກອງທັບປະຊາຊົນຫວຽດນາມ ມອບດອກໄມ້ອວຍພອນໃຫ້ແກ່ພະນັກງານ, ລັດຖະກອນສະຖານທູດ ສປປ ລາວ ປະຈໍາ ຫວຽດນາມ.	Trung tướng Lương Cường, Tổng cục trưởng Tổng cục Chính trị QĐND Việt Nam tặng hoa tập thể cán bộ, nhân viên Đại sứ quán nước CHDCND Lào tại Việt Nam.
(ພາບ: ງອກທື)	(Ảnh: Ngọc Thu)
ທ່ານພົນໂທ ເລືອງເກື່ອງ, ຫົວໜ້າກົມໃຫຍ່ການເມືອງກອງທັບປະຊາຊົນຫວຽດນາມ ແລະທ່ານທອງສະຫວັນ ພົມວິຫານ, ເອກອັກຄະລັດຖະທູດ ແຫ່ງ ສປປ ລາວ ປະຈໍາ ຫວຽດນາມ.	Trung tướng Lương Cường, Tổng cục trưởng Tổng cục Chính trị QĐND Việt Nam và Ngài Thongsavanh Phomvihan, Đại sứ nước CHDCND Lào tại Việt Nam.
(ພາບ: ງອກທື)	(Ảnh: Ngọc Thu)
ທ່ານພົນໂທ ເລືອງເກື່ອງ ຢືນຢັນວ່າ, ທັດສະນະຂອງພັກ ແລະລັດ ຫວຽດນາມ ແມ່ນສະເໝີຕົ້ນສະເໝີປາຍສືບຕໍ່ຮັກສາ, ເພີ່ມທະວີ ແລະປັບປຸງການພົວພັນມິດຕະພາບທີ່ເປັນມູນເຊື້ອ, ຄວາມສາມັກຄີແບບພິເສດ ແລະການຮ່ວມມືຮອບດ້ານ ຫວຽດນາມ-ລາວ;	Trung tướng Lương Cường khẳng định, Đảng, Nhà nước Việt Nam cam kết duy trì, củng cố và nâng cao quan hệ hữu nghị truyền thống, đoàn kết đặc biệt và hợp tác toàn diện Việt Nam - Lào;
