ກປ.ອອນໄລ - ນາຍົກລັດຖະມົນຕີຫາກໍ່ອະນຸມັດຜ່ານໂຄງການເປົ້າໝາຍການພັດທະນາດ້ານວັດທະນະທໍາໄລຍະ 2016-2020.	Thủ tướng Chính phủ vừa phê duyệt Chương trình mục tiêu phát triển văn hóa giai đoạn 2016-2020.
ໂຄງການລວມມີ 3 ລາຍການ: ອະນຸລັກຮັກສາ ແລະເສີມຂະຫຍາຍຄຸນຄ່າມໍລະດົກວັດທະນະທໍາ;	Dự án gồm ba chương trình: bảo tồn và nâng cao giá trị các di sản văn hóa;
ເພີ່ມທະວີການລົງທຶນກໍ່ສ້າງ, ພັດທະນາລະບົບບັນຍັດດ້ານວັດທະນະທໍາ;	Tăng cường đầu tư xây dựng và phát triển hệ thống pháp lệnh văn hóa;
ພັດທະນາບັນດາຮູບການສິລະປະໃນການສະແດງ.	Phát triển nghệ thuật biểu diễn.
ເປົ້າໝາຍຂອງໂຄງການແມ່ນອະນຸລັກຮັກສາ ແລະເສີມຂະຫຍາຍບັນດາມໍລະດົກວັດທະນະທໍາທີ່ມີສີສັນສະເພາະຂອງປະເທດຊາດ;	Mục tiêu của dự án là bảo tồn và tôn tạo các di sản văn hóa đặc sắc của quốc gia;
ພັດທະນາບັນດາກິດຈະກໍາວັດທະນະທໍາທີ່ທັນສະໄໝ, ມີຄວາມໝາຍເປັນສັນຍາລັກແຫ່ງຊາດ, ຄວາມໝາຍດ້ານການເມືອງ, ປະຫວັດສາດ, ມູນເຊື້ອທີ່ມີສີສັນສະເພາະ ເພື່ອມຸ່ງໄປເຖິງເປົ້າໝາຍຍຸດທະສາດສ້າງພື້ນຖານວັດທະນະທໍາ ຫວຽດນາມ ໃຫ້ມີຄວາມກ້າວໜ້າ, ເຂັ້ມຂຸ້ນໄປດ້ວຍສີສັນຊາດ.	Phát triển các hoạt động văn hóa hiện đại với biểu tượng dân tộc, khát vọng chính trị, lịch sử, di sản muôn màu muôn vẻ nhằm thực hiện mục tiêu chiến lược xây dựng nền văn hóa Việt Nam tiến bộ, giàu bản sắc.
ພາບປະກອບຈາກ tuoitre.vn	Minh họa bởi tuoitre.vn
ໂຄງການສູ້ຊົນຮອດປີ 2020 ຈະໜູນຊ່ວຍບູລະນະປະຕິສັງຂອນສັງລວມໃຫ້ໄດ້ 20 ມໍລະດົກວັດທະນະທໍາໂລກ, ປູຊະນີຍະສະຖານແຫ່ງຊາດພິເສດ ແລະປູຊະນີຍະສະຖານແຫ່ງຊາດທີ່ມີຄຸນຄ່າພົ້ນເດັ່ນຈໍານວນໜຶ່ງ;	Đến năm 2020, chương trình sẽ giúp khôi phục 20 di sản văn hóa thế giới, một số di tích quốc gia đặc biệt và một số di tích quốc gia nổi bật;
ໜູນຊ່ວຍຍົກລະດັບ, ສ້ອມແປງ, ບູລະນະປະຕິສັງຂອນປູຊະນີຍະສະຖານລະດັບຊາດໃຫ້ໄດ້ປະມານ 400 ແຫ່ງ;	Hỗ trợ nâng cấp, sửa chữa, phục hồi khoảng 400 di tích quốc gia;
ປະຕິບັດການກວດກາ, ເກັບຮັກສາ, ອະນຸລັກຮັກສາ ແລະເສີມຂະຫຍາຍຄຸນຄ່າມໍລະດົກວັດທະນະທຳບໍ່ເປັນວັດຖຸ, ບັນດາງານບຸນປະເພນີທີ່ພົ້ນເດັ່ນຂອງປະເທດຊາດ, ໃຫ້ບຸລິມະສິດໃນການອະນຸລັກຮັກສາ, ພັດທະນາດ້ານວັດທະນະທໍາທີ່ເປັນມູນເຊື້ອຂອງ 16 ຊົນເຜົ່າສ່ວນໜ້ອຍທີ່ມີພົນລະເມືອງຕໍ່າກວ່າ 10.000 ຄົນ...	Kiểm tra, bảo tồn, gìn giữ và nâng cao giá trị di sản văn hóa phi vật thể, lễ hội truyền thống dân tộc nổi bật, ưu tiên bảo tồn và phát triển di sản văn hóa của 16 dân tộc có dân số dưới 10.000 dân ...
ແປໂດຍ: ຫງວຽນກຸກ.	Dịch bởi: Nguyen Kuk.
