ກປ.ອອນໄລ -ກ່າວຄໍາເຫັນທີ່ການເຮັດວຽກ, ທ່ານ ຫງວຽນທ້ຽນເຍີນ ໄດ້ອວຍພອນບັນດາຜົນສໍາເລັດເຊິ່ງໜັງສືພິມແຮງງານບັນລຸໄດ້ໃນໄລຍະ 88 ປີຜ່ານມາ...	Nguyễn Thiện Nhân chúc mừng những thành tựu mà công nhân đã đạt được trong 88 năm qua ...
ຕອນເຊົ້າວັນທີ 18 ເມສາ, ທ່ານ ຫງວຽນທ້ຽນເຍີນ ກໍາມະການກົມການເມືອງ, ປະທານຄະນະກໍາມະການແນວໂຮມປະເທດຊາດ ຫວຽດນາມ ໄປຢ້ຽມຢາມ ແລະເຮັດວຽກກັບໜັງສືພິມແຮງງານ.	Sáng 18/4, ông Nguyễn Thiện Nhân, Ủy viên Ban Chính trị, Chủ tịch UBTƯ MTTQ Việt Nam đã đến thăm và làm việc với báo Lao động.
ພ້ອມເຂົ້າຮ່ວມການເຮັດວຽກມີທ່ານ ບຸ່ຍວັນເກື່ອງ, ກໍາມະການສູນກາງພັກ, ປະທານສະຫະພັນໃຫຍ່ແຮງງານ ຫວຽດນາມ.	Đồng chí Bùi Văn Cường, Ủy viên Trung ương Đảng, Chủ tịch Tổng Liên đoàn Lao động Việt Nam cũng đến dự.
ກ່າວຄໍາເຫັນທີ່ການເຮັດວຽກ, ທ່ານ ຫງວຽນທ້ຽນເຍີນ ໄດ້ອວຍພອນບັນດາຜົນສໍາເລັດເຊິ່ງໜັງສືພິມແຮງງານບັນລຸໄດ້ໃນໄລຍະ 88 ປີຜ່ານມາ.	Nhận xét về tác phẩm của mình, ông Nguyễn Thiện Nhân biểu dương những thành tích mà báo chí lao động đã đạt được trong 88 năm qua.
ໃນ 3 ປີຜ່ານມາ, ໜັງສືພິມແຮງງານລະດົມໄດ້ກວ່າ 332 ຕື້ດົ່ງ, ປະຕິບັດຫຼາຍໂຄງການທີ່ມີຄວາມໝາຍສຳຄັນ.	Trong ba năm qua đã huy động được hơn 332 tỷ đồng, nhiều dự án quan trọng được triển khai.
ທ່ານ ຫງວຽນທ້ຽນເຍີນ ກ່າວຄໍາເຫັນທີ່ການເຮັດວຽກ	Đồng chí Nguyễn Thiện Nhân phát biểu tại nơi làm việc
ທ່ານ ຫງວຽນທ້ຽນເຍີນ ໄດ້ເອົາໃຈໃສ່ວ່າ: ປະເທດຊາດທີ່ກໍາລັງກ້າວເຂົ້າສູ່ສະໄໝເຊື່ອມໂຍງເຂົ້າກັບສາກົນ, ການຕໍ່ສູ້ຕ້ານການສໍ້ລາດບັງຫຼວງ, ຄຸນສົມບັດຖົດຖອຍປະຈຸບັນກໍາລັງແມ່ນບັນຫາຈໍາເຮັ່ງຮ້ອນ, ຕ້ອງການສະໜັບສະໜູນຂອງປະຊາຊົນຈໍານວນຫຼວງຫຼາຍ, ການເຊື່ອມຕົວຢ່າງດຸເດືອດຂອງອົງການສື່ມວນຊົນ.	Nguyễn Thiện Nhân lưu ý, đất nước đang trên đà hội nhập quốc tế, công tác phòng chống tham nhũng, suy thoái đang là vấn đề nóng, cần đông đảo nhân dân, cần hội nhập các phương tiện truyền thông.
ໜັງສືພິມແຮງງານພ້ອມດ້ວຍຄະນະບັນດາອົງການສື່ມວນຊົນອື່ນຄວນຍູ້ແຮງຕໍ່ສູ້ການສະກັດກັ້ນ, ຍູ້ຖອຍຄວາມຖົດຖອຍກ່ຽວກັບແນວຄິດການເມືອງ, ຄຸນສົມບັດ, ວິຖີຊີວິດ, ບັນດາປະກົດການ “ການຫັນປ່ຽນໂດຍຕົນເອງ, ການປ່ຽນແປງໂດຍຕົນເອງ ;	Báo chí Lao động cùng với các tổ chức truyền thông khác cần tăng cường đấu tranh trấn áp, đẩy lùi sự suy thoái về tư tưởng chính trị, tính chất, lối sống, hiện tượng “tự diễn biến, tự chuyển hóa”;
ລະດົມກໍາລັງແຮງຈາກປະຊາຊົນ, ຂອງສື່ມວນຊົນ, ປະກອບສ່ວນຍູ້ຖອຍບັນດາອັນທີ່ບໍ່ດີ, ສິ່ງຫຍໍ້ທໍ້.	Vận động nhân dân, các phương tiện truyền thông, góp phần đẩy lùi những điều chưa tốt, những điều khuất tất.
ທ່ານໄດ້ສະເໜີ, ໜັງສືພິມແຮງງານສືບຕໍ່ເສີມຂະຫຍາຍມູນເຊື້ອສະຫງ່າງາມ, ຕັ້ງໜ້າໂຄສະນາ, ປະກອບສ່ວນລະດົມກໍາລັງໃຈຂະບວນການແຂ່ງຂັນຮັກຊາດ;	Ông đề nghị chôn vùi báo chí lao động, tiếp tục tôn tạo di sản vẻ vang, lập quảng cáo, góp phần thúc đẩy quá trình thi đua ái quốc;
ມີຫຼາຍບົດວັນນະກໍາທີ່ດີ, ສ່ອງແສງຕົວຈິງ, ພາວະວິໄສ, ມີລັກສະນະກໍ່ສ້າງ, ເປັນຕົ້ນແມ່ນບັນດາບັນຫາທີ່ພົ້ນເດັ່ນໃນປະຈຸບັນ...	Có nhiều bài báo hay, ánh sáng thực, tầm nhìn, tính chất xây dựng, ... là một số vấn đề nổi cộm hiện nay ...
ແປໂດຍ: ເກື່ອງດັ້ງ.	Dịch bởi: Cuong Dang.
