ກປ.ອອນໄລ - ທ່ານເອກອັກຄະລັດຖະທູດ ຫງວຽນຈູງແທ່ງຢັ້ງຢຶນວ່າ ຫວຽດນາມ ມີຄວາມຮັບຮູ້ກ່ຽວກັບຄວາມສໍາຄັນຂອງການສຶກສາ, ພິເສດແມ່ນການສຶກສາກ່ຽວກັບສິດທິມະນຸດ...	Đại sứ Nguyễn Tấn Đảng Nguyễn Tanngoman Nguyễn Tanngoman Nguyễn Hướng dẫn
ວັນທີ 14 ກັນຍາ 2016, ໃນຂອບເຂດຂອງກອງປະຊຸມສະພາສິດທິມະນຸດສະຫະປະຊາຊາດ ຊຸດທີ 33 ຢູ່ ເຊີແນວ, ປະເທດ ສະວິດ, ທ່ານເອກອັກຄະລັດຖະທູດວິສາມັນຜູ້ມີອຳນາດເຕັມ ຫງວຽນຈູງແທ່ງ, ຫົວໜ້າຄະນະປະຕິບັດງານຫວຽດນາມ ປະຈໍາສະຫະປະຊາຊາດ, ອົງການການຄ້າໂລກ ແລະບັນດາອົງການຈັດຕັ້ງສາກົນອື່ນປະຈຳ ເຊີແນວ ໄດ້ກ່າວຄໍາເຫັນທີ່ວາລະປຶກສາຫາລືຂັ້ນສູງ ເນື່ອງໃນໂອກາດສະເຫຼີມສະຫຼອງ 5 ປີ ແຫ່ງການຮັບຮອງເອົາຖະແຫຼງການສະຫະປະຊາຊາດກ່ຽວກັບການສຶກສາ ແລະບຳລຸງສ້າງກ່ຽວກັບສິດທິມະນຸດ.	Hội đồng nhân quyền đầy đủ của con người, Thụy Điển, PDR Lào, Nâng cao
ທ່ານເອກອັກຄະລັດຖະທູດ ຫງວຽນຈູງແທ໋ງ ເນັ້ນໜັກກ່ຽວກັບລັກສະນະແທດຈິງຂອງຖະແຫຼງການນີ້ໃນການຊຸກຍູ້ ແລະປົກປັກຮັກສາສິດທິມະນຸດໃນທົ່ວໂລກ.	Đại sứ Nguyside Nguyễn Tấn Mệt mỏi vì những đặc điểm thực tế của tuyên bố này trong việc thúc đẩy và bảo tồn quyền con người trên toàn thế giới.
ທ່ານເອກອັກຄະລັດຖະທູດກໍ່ຢັ້ງຢຶນວ່າ ຫວຽດນາມ ມີຄວາມຮັບຮູ້ກ່ຽວກັບຄວາມສໍາຄັນຂອງການສຶກສາ, ພິເສດແມ່ນການສຶກສາກ່ຽວກັບສິດທິມະນຸດ ແລະໄດ້ເຊື່ອມໂຍງການສຶກສາກ່ຽວກັບສິດທິມະນຸດເຂົ້າໃນຫຼັກສູດຮຽນກໍ່ຄືບັນດາຊ່ອງສື່ສານ ແລະການເຄື່ອນໄຫວປະຊາຄົມ.	Đại sứ cho Đại sứ tại Việt Nam nhận thức được tầm quan trọng của giáo dục, chuyên ngành nhân quyền và hội chúng và cộng đồng.
ພ້ອມກັນນັ້ນ, ທ່ານເອກອັກຄະລັດຖະທູດ ຫງວຽນຈູງແທ່ງ ກໍ່ແນະນໍາຂໍ້ລິເລີ່ມຂອງ ຫວຽດນາມ ກ່ຽວກັບການຈັດຕັ້ງການໂອ້ລົມສົນທະນາສາກົນຢູ່ນອກກອງປະຊຸມ ຊຸດທີ 33 ກ່ຽວກັບການສຶກສາແມ່ຍິງ ແລະເດັກນ້ອຍຍິງເພື່ອແນໃສ່ສະກັດກັ້ນ ແລະຕ້ານການຄ້າມະນຸດໃນວັນທີ 27 ກັນຍາ.	Đồng thời, Đại sứ Nguyễn Tấn, hướng dẫn Hội nghị Quốc tế về cuộc họp 33, và Hội nghị chống buôn người vào ngày 27 tháng 9.
ຂໍ້ລິເລີ່ມນີ້ກໍ່ໄດ້ຮັບການອຸປະຖໍາຮ່ວມຂອງຫຼາຍປະເທດ ແລະອົງການຈັດຕັ້ງສາກົນຕ່າງໆ, ໃນນັ້ນມີ ຟີລິບປິນ, ອົດສະຕາລີ ແລະອົງການສາກົນເພື່ອການເຄື່ອນຍ້າຍ (IOM).	Sáng kiến này cũng đã bị nhiễm nhiều quốc gia và các tổ chức quốc tế, trong đó có Philippines, Úc và các tổ chức quốc tế.
ທ່ານເອກອັກຄະລັດຖະທູດ ຫງວຽນຈູງແທ່ງ, ຫົວໜ້າຄະນະປະຕິບັດງານ ຫວຽດນາມ ປະຈໍາສະຫະປະຊາຊາດ.	Đại sứ Nguyễn Tấn, hạ thấp quan chức Hội đồng quản trị của Liên Hợp Quốc.
ພາບ: TTXVN	Ảnh: TTXVN.
ກອງປະຊຸມສະພາສິດທິມະນຸດສະຫະປະຊາຊາດ ຊຸດທີ 33 ໄດ້ຈັດຂຶ້ນໃນລະຫວ່າງວັນທີ 13-30 ກັນຍາ ຢູ່ ເຊີແນວ, ປະເທດ ສະວິດ.	Hội đồng Nhân quyền Liên Hợp Quốc được tổ chức trong suốt 13-30 tháng 9 trong giới tính, Thụy Sĩ.
ກອງປະຊຸມດັ່ງກ່າວແມ່ນຂີດໝາຍຊຸດສຸດທ້າຍທີ່ ຫວຽດນາມ ແມ່ນສະມາຊິກສະພາສິດທິມະນຸດ ອາຍຸການ 2014-2016.	Hội nghị là Mark cuối cùng tại Việt Nam là Hội đồng Nhân quyền 2014-2016.
ໃນເວລາທີ່ແມ່ນສະມາຊິກຂອງສະພາສິດທິມະນຸດ, ຫວຽດນາມ ໄດ້ເຂົ້າຮ່ວມຢ່າງຕັ້ງໜ້າ, ເປັນເຈົ້າການ, ມີຄວາມຮັບຜິດຊອບຕໍ່ບັນດາຂໍ້ລິເລີ່ມຢ່າງລະອຽດ, ປະກອບສ່ວນຊຸກຍູ້ ແລະປົກປັກຮັກສາສິດທິມະນຸດໃນທົ່ວໂລກ, ໃນນັ້ນ ຫວຽດນາມ ແມ່ນນັກປະພັນມະຕິກ່ຽວກັບ “ການປ່ຽນແປງຂອງດິນຟ້າອາກາດ ແລະສິດຂອງເດັກນ້ອຍ ເຊິ່ງໄດ້ຮອງຮັບເອົາໃນເດືອນມີຖຸນາ 2016.	Khi các thành viên là thành viên của Hội đồng Nhân quyền, theo thế giới, nhiều thông tin, nhiều thông tin và bảo vệ trẻ em, trong đó biến đổi khí hậu, trong "thay đổi tháng 7
ທ່ານເອກອັກຄະລັດຖະທູດ ຫງວຽນຈູງແທ່ງ ໄດ້ຮັບຄວາມໄວ້ວາງໃຈຈາກຄະນະກໍາມະການ ອາຊຽນ ຢູ່ ເຊີແນວ ເພື່ອເປັນຜູ້ປະສານງານ ອາຊຽນ ຢູ່ສະພາສິດທິມະນຸດ ອາຍຸການ 2014-2016.	Đại sứ Nguyễn Tấn Thành được tin tưởng từ Ủy ban ASEAN trong Điều phối viên ASEAN tại các quyền nhân quyền trong độ tuổi 2014-2016.
