ກປ.ອອນໄລ - ວັນທີ 24 ຕຸລາ, ຢູ່ ຮ່າໂນ້ຍ, ຄະນະກໍາມະການຮ່ວມມືຄຸ້ມຄອງດ່ານຊາຍແດນເຂດດິນຕໍ່ແຜ່ນ ຫວຽດນາມ-ຈີນ ໄດ້ຈັດຕັ້ງກອງປະຊຸມຄັ້ງທີ 4.	Ngày 24/10, tại Hà Nội, Ủy ban Quản lý chung biên giới Việt Nam - Trung Quốc đã họp phiên thứ tư.
ທ່ານພົນຕີ ຮວ່າງຊວນຈຽນ ກໍາມະການສູນກາງພັກ, ຜູ້ບັນຊາການທະຫານປ້ອງກັນຊາຍແດນ, ປະທານຄະນະກໍາມະການຮ່ວມມືຄຸ້ມຄອງດ່ານຊາຍແດນຝ່າຍ ຫວຽດນາມ ແລະທ່ານ Shengqiang Huang ຫົວໜ້າຫ້ອງການດ່ານຊາຍແດນແຫ່ງຊາດ, ປະທານຄະນະກໍາມະການຮ່ວມມືຄຸ້ມຄອງດ່ານຊາຍແດນຝ່າຍ ຈີນ ເປັນປະທານຮ່ວມກອງປະຊຸມ.	Thiếu tướng Hoàng Xuân Kiến, Ủy viên Trung ương Đảng Cộng sản Việt Nam, Tư lệnh Bộ đội Biên phòng, Chủ nhiệm Ủy ban Hợp tác qua biên giới Việt Nam và Shengqiang Huang, Trưởng Văn phòng Quốc gia về biên giới chủ trì cuộc họp.
ກອງປະຊຸມຄັ້ງທີ 4 ຄະນະກໍາມະການຮ່ວມມືຄຸ້ມຄອງດ່ານຊາຍແດນເຂດດິນຕໍ່ແຜ່ນ ຫວຽດນາມ-ຈີນ.	Kỳ họp lần thứ 4 Ủy ban quản lý biên giới chung Việt - Trung.
ພາບ: Bienphong.com.vn	Ảnh: Bienphong.com.vn
ກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມ, ທ່ານພົນຕີ ຮວ່າງຊວນຈຽນ ແລະທ່ານ Shengqiang Huang ໄດ້ຕີລາຄາສູງບັນດາໝາກຜົນທີ່ບັນລຸໄດ້ໃນການຮ່ວມມືສອງຝ່າຍລະຫວ່າງ ຫວຽດນາມ-ຈີນ ປີ 2016;	Phát biểu tại buổi tiếp, Thượng tướng Hoàng Xuân Kiến và Shengqiang Huang biểu dương những thành tựu hợp tác song phương Việt - Trung trong năm 2016;
ຢືນຢັນການເປີດກວ້າງກົນໄກຮ່ວມມືຂອງຄະນະກໍາມະການຮ່ວມມືຄຸ້ມຄອງດ່ານຊາຍແດນເຂດດິນຕໍ່ແຜ່ນ ຫວຽດນາມ-ຈີນ ໄດ້ ແລະກໍາລັງນໍາມາໃຫ້ບັນດາປະສິດທິຜົນທີ່ແທດຈິງໃນວຽກງານຄຸ້ມຄອງການເຂົ້າ-ອອກເມືອງ, ການສົ່ງອອກ-ນໍາເຂົ້າຂອງແຕ່ລະປະເທດ, ປະກອບສ່ວນຮັບປະກັນຄວາມສະຫງົບປອດໄພ, ຄວາມເປັນລະບຽບຮຽບຮ້ອຍທາງສັງຄົມ, ຊຸກຍູ້ເສດຖະກິດ, ສັງຄົມຂອງບັນດາທ້ອງຖິ່ນຢູ່ຕິດຊາຍແດນ.	Xác nhận việc mở Ủy ban hợp tác quản lý biên giới chung Việt Nam - Trung Quốc (CECC) và mang lại lợi ích thiết thực trong công tác quản lý xuất nhập cảnh của mỗi nước, góp phần đảm bảo an ninh, trật tự và ổn định xã hội.
ທີ່ກອງປະຊຸມ, ສອງຝ່າຍໄດ້ດໍາເນີນການຕີລາຄາໝາກຜົນຂອງການປະຕິບັດບົດບັນທຶກຊ່ວຍຈໍາກອງປະຊຸມຄັ້ງທີ 3 ຄະນະກໍາມະການຮ່ວມມືຄຸ້ມຄອງດ່ານຊາຍແດນເຂດດິນຕໍ່ແຜ່ນ ຫວຽດນາມ-ຈີນ.	Tại buổi làm việc, hai bên đã trao đổi về tình hình thực hiện Biên bản ghi nhớ về Kỳ họp lần thứ 3 Ủy ban Quản lý chung biên giới Việt Nam - Trung Quốc.
ສອງຝ່າຍພ້ອມກັນລົງເລິກປຶກສາຫາລື, ເຫັນດີເປັນເອກະພາບຕໍ່ການເປີດດ່ານຊາຍແດນ, ຍົກລະດັບດ່ານຊາຍແດນຈໍານວນໜຶ່ງ;	Hai bên nhất trí sẽ đi sâu thảo luận và nhất trí mở các trạm kiểm soát biên giới, nâng cấp một số trạm kiểm soát biên giới;
ຕີລາຄາການຊີ້ນໍາບັນດາອະນຸກໍາມະການວຽກ ງານປະຕິຮູບການບໍລິຫານ;	Giải thích ý kiến chỉ đạo của các tiểu ban về công tác cải cách hành chính;
ເປີດເຜີຍລະດັບການເກັບຄ່າໃຊ້ຈ່າຍ, ຄ່າທຳນຽມຢູ່ບັນດາດ່ານຊາຍແດນ;	Công khai mức thu phí, lệ phí cửa khẩu;
ພ້ອມທັງຄົ້ນຄວ້າ, ກ້າວໄປເຖິງການຜັນຂະຫຍາຍຮູບແບບຜ່ານດ່ານໃໝ່ “ປະຕູດຽວ, ຢຸດເທື່ອດຽວ ຢູ່ດ່ານຊາຍແດນສາກົນ ຫືວງິ (ຫວຽດນາມ) ແລະYouyiguan (ຈີນ);	Và nghiên cứu chuyển sang trạm kiểm soát một cửa, một lần dừng tại trạm kiểm soát cửa khẩu quốc tế Hữu Nghị (Việt Nam) và Youyiguan (Trung Quốc);
