ກປ.ອອນໄລ - ໂດຍຮັບຄໍາເຊີນຂອງທ່ານ ທອງລຸນ ສີສຸລິດ ນາຍົກລັດຖະມົນຕີ ແຫ່ງ ສປປ ລາວ;	KR Online - Nhận lời mời của Thủ tướng Chính phủ nước CHDCND Lào Thongloun Sisoulit;
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີ ຫວຽດນາມ ແລະພັນລະຍາ ໄປຢ້ຽມຢຽມ ສປປ ລາວ ຢ່າງເປັນທາງການ ແຕ່ວັນທີ 26-27 ເມສາ.	Thủ tướng Chính phủ Việt Nam Nguyễn Xuân Phúc và Phu nhân thăm chính thức CHDCND Lào từ ngày 26-27 / 4.
ຫວຽດນາມ ແລະລາວ ໄດ້ສ້າງຕັ້ງການພົວພັນທາງການທູດໃນວັນທີ 5 ກັນຍາ 1962.	Việt Nam và Lào thiết lập quan hệ ngoại giao ngày 5/9/1962.
ມາຮອດປະຈຸບັນ, ການພົວພັນມິດຕະພາບທີ່ເປັນມູນເຊື້ອ, ສາມັກຄີແບບພິເສດ, ຮ່ວມມືຮອບດ້ານລະຫວ່າງ ຫວຽດນາມ-ລາວ ສືບຕໍ່ພັດທະນາຢ່າງດີງາມ.	Đến nay, quan hệ hữu nghị truyền thống, đoàn kết đặc biệt và hợp tác toàn diện Việt Nam - Lào tiếp tục phát triển tốt đẹp.
ສອງຝ່າຍໄດ້ຮັກສາບັນດາກົນໄກການຮ່ວມມືສອງຝ່າຍຄືກົນໄກຈັດຕັ້ງກອງປະຊຸມປະຈໍາປີຂອງຄະນະກຳມະການລະຫວ່າງລັດຖະບານກ່ຽວກັບການຮ່ວມມືສອງຝ່າຍເປັນຢ່າງດີ.	Hai bên đã duy trì các cơ chế hợp tác song phương, như cơ chế tổ chức cuộc họp thường niên của Ủy ban liên Chính phủ về hợp tác song phương.
ສອງຝ່າຍໄດ້ແລກປ່ຽນຄະນະຜູ້ແທນຂັ້ນສູງຫຼາຍຄະນະ ແລະບັນດາຂັ້ນຢ່າງເປັນປະຈໍາ;	Hai bên thường xuyên trao đổi đoàn cấp cao và các cấp;
ສືບຕໍ່ເພີ່ມທະວີການຮ່ວມມືກ່ຽວກັບການພົວພັນຕ່າງປະເທດ, ສ້າງກົນໄກເຈລະຈາໃໝ່ຂັ້ນລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດ ຢ່າງເປັນປະຈໍາ ນັບແຕ່ເດືອນທັນວາ 2014, ທາບທາມຄຳເຫັນດ້ານການເມືອງຂັ້ນຮອງລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດ (ເດືອນ ກໍລະກົດ 2015).	Tiếp tục tăng cường hợp tác đối ngoại, thiết lập cơ chế đối thoại thường kỳ cấp Bộ trưởng Bộ Ngoại giao từ tháng 12/2014, xin ý kiến chính trị cấp Thứ trưởng Bộ Ngoại giao (tháng 7/2015).
ທ່ານນາຍົກລັດຖະມົນຕີ ຫວຽດນາມ ຫງວຽນຊວນຟຸກ (ຂວາ) ແລະທ່ານ ທອງລຸນ ສີສຸລິດ ນາຍົກລັດຖະມົນຕີ ລາວ ເປັນປະທານຮ່ວມກອງປະຊຸມ ຄັ້ງທີ 39 ຂອງຄະນະກຳມະການລະຫວ່າງລັດຖະບານ ຫວຽດນາມ-ລາວ ທີ່ຮ່າໂນ້ຍ ເດືອນ ກຸມພາ 2017.	Thủ tướng Chính phủ Việt Nam Nguyễn Xuân Phúc (phải) và Thủ tướng Lào Thongloun Sisoulit đồng chủ trì Kỳ họp lần thứ 39 Ủy ban liên Chính phủ Việt Nam-Lào tại Hà Nội vào tháng 2/2017.
ພາບ: TTXVN	Ảnh: TTXVN
ໄລ່ມາຮອດເດືອນກຸມພາ 2017, ຫວຽດນາມ ລົງທຶນເຂົ້າ ລາວ 408 ໂຄງການ, ລວມຍອດທຶນປະມານ 3,7 ຕື້ໂດລາສະຫະລັດ.	Tính đến tháng 2/2017, Việt Nam đã đầu tư vào Lào 408 dự án, với tổng vốn đầu tư là 3,7 tỷ USD.
ຫຼາຍໂຄງການລົງທຶນໄດ້ເສີມຂະຫຍາຍຢ່າງມີປະສິດທິຜົນ, ການຜະລິດ, ການດໍາເນີນທຸລະກິດມີກໍາໄລ, ປະກອບສ່ວນຕັ້ງໜ້າເຂົ້າໃນພາລະກິດການພັດທະນາຂອງສອງປະເທດ, ສ້າງວຽກເຮັດງານທໍາ, ສະຫວັດດີສັງຄົມ...	Nhiều dự án đầu tư đã tăng cường hiệu quả, năng suất, kinh doanh có lãi, đóng góp vào sứ mệnh phát triển của hai nước, giải quyết việc làm, phúc lợi xã hội ...
