ກປ.ອອນໄລ - ທ້າຍອາທິດ, ກຸ່ມເພື່ອນສະໜິດພວກຂ້າພະເຈົ້າໄດ້ຊວນກັນໄປໂຮງງານເຂື່ອນໄຟຟ້ານ້ຳຕົກ ຮ່ວາບີ່ງ.	KR Online - Cuối tuần qua, một nhóm bạn thân rủ chúng tôi đến Nhà máy Thủy điện Hòa Bình.
ມີເພື່ອນຜູ້ໜຶ່ງເວົ້າວ່າ: “ເນື່ອງໃນໂອກາດນີ້ພວກເຮົາພາກັນໄປ ທຸງນາຍ ເນາະ.	Một người bạn nói: “Nhân dịp này chúng tôi đi cờ.
“ຕົກລົງ , ທຸກຄົນຕອບພ້ອມກັນ.	“Được rồi, mọi người cùng nhau đáp ứng.
ມາຮອດ ທຸງນາຍ ກໍ່ສວຍເກີນໄປແລ້ວ, ອ້າຍ ບຸ່ຍວັນຮົ່ງ ໄດ້ເຊີນພວກຂ້າພະເຈົ້າລົງເຮືອດ້ວຍຮອຍຍີ້ມທີ່ສະໜິດສະໜົມ.	Đến nơi cờ đẹp quá, Bùi Văn Hồng tươi cười mời chúng tôi lên thuyền.
ເຮືອທ່ອງທ່ຽວສາມາດ ຜູ້ໂດຍສານໄດ້ 20-25 ຄົນດ້ວຍສີມືຂັບເຮືອຢ່າງຄ່ອງແຄ້ວ.	Tàu du lịch có thể chở 20-25 hành khách với kỹ năng chèo thuyền thành thạo.
ອ້າຍຮົ່ງ ມີເຄົ້າກຳເນີດຢູ່ຕາແສງທຸງນາຍ, ເມືອງ ກາວຟອງ.	Ái Hồng sinh ra tại xã Tùng Nại, huyện Cao Phong.
ເມື່ອລົມກັບອ້າຍຮົ່ງ ຈຶ່ງຮູ້ສາຍເຫດ ເປັນຫຍັງຈຶ່ງມີຊື່ເອີ້ນວ່າ ທຸງນາຍ.	Khi nói chuyện với Ái Hồng, anh mới biết nguyên nhân vì sao lại có tên là Thông Nại.
ເພາະວ່າໃນເມື່ອກ່ອນ ສະຖານທີ່ແຫ່ງນີ້ແມ່ນຮ່ອມພູມີກວາງມາດຳລົງຊີວິດຢູ່ສະຖານທີ່ແຫ່ງນີ້ເປັນຈຳນວນຫຼວງຫຼາຍ.	Vì trước đây nơi đây là một thung lũng có hươu nai đến sinh sống tại nơi đây với số lượng lớn.
ຮູບພາບຂອງບັນດາກວາງຄຳທອດເງົາລົງ ແມ່ນໍ້າດ່າແມ່ນແຫຼ່ງອາລົມເພື່ອໃຫ້ຄົນໃນເມື່ອກ່ອນຕັ້ງຊື່ ທຸງນາຍ ໃຫ້ເຂດດິນແດນແຫ່ງນີ້.	Hình ảnh Bandak treo bóng trên sông Đà là nguồn cảm xúc cho người dân xưa đặt tên cho vùng đất cắm cờ.
ນັບແຕ່ເມື່ອ ທຸງນາຍ ນອນໃນໝອງເກັບນ້ຳເຂືອນໄຟຟ້າ ຮ່ວາບີ່ງ, ປະຊາຊົນຢູ່ແຫ່ງນີ້ດຳລົງຊີວິດດ້ວຍອາຊີບຕົ້ນຕໍແມ່ນລ້ຽງປາກະຊັງ ແລະລ້ຽງສັດ.	Từ khi ngọn cờ được treo lên lòng hồ Thủy điện Hòa Bình, người dân nơi đây sinh sống chủ yếu là nuôi cá và chăn nuôi.
ເກາະກັງຫັນລົມແມ່ນສະຖານທີ່ນິຍົມຊົມຊອບຂອງແຂກທ່ອງທ່ຽວເມື່ອມາຢ້ຽມຢາມ ທຸງນາຍ.	Đảo Cối Xay Gió là điểm đến quen thuộc của du khách khi đến thăm Tùng Nại.
ພາບ: ຮື໊ວເຈື໋ອງ	Ảnh: Hữu Trường
ກິດຈະກຳເຂືອນໄຟຟ້າ ຮ່ວາບີ່ງ ໄດ້ເຮັດໃຫ້ ທຸງນາຍ ປຽບເໝືອນຮູບແຕ້ມໃນນໍ້າ.	Công trình thủy điện Hòa Bình làm tràn cờ.
ນໍ້າ ແມ່ນໍ້າດ່າ ຂຶ້ນສູງຮອດພູ, ສ້າງເປັນເກາະດອນໃຫຍ່ນ້ອຍຫຼາຍເກາະທີ່ສວຍງາມ ແລະກາຍເປັນສະຖານທີ່ດຶງດູດແຂກທ່ອງທ່ຽວ.	Sông Đà dâng lên núi, tạo thành nhiều hòn đảo lớn nhỏ xinh đẹp và trở thành địa điểm thu hút khách du lịch.
