ກປ.ອອນໄລ - ຕອນເຊົ້າວັນທີ 18 ກັນຍາ, ກໍາປັ່ນທະຫານເຮືອ ສ.	KPR Online - Sáng 18/9, Hải quân Hoàng gia Thái Lan
ເກົາຫຼີ 2 ລໍາຄື;	Hàn Quốc 2 tàu là;
ກໍາປັ່ນ Roks Kang Gam Chan (DDH-979) ແລະRoks Hwacheon (AOE-59) ພ້ອມດ້ວຍນາຍທະຫານ ແລະລູກເຮືອ 633 ຄົນ ໂດຍທ່ານພົນເຮືອຈັດຕະວາ Yang Yong-Mo, ຫົວໜ້າບັນຊາກຸ່ມຝຶກຊ້ອມລາດຕະເວນບົນທະເລເປັນຫົວໜ້າຄະນະເຂົ້າທຽບທ່າ ຕຽນຊາ, ຢ້ຽມຢາມນະຄອນ ດ່າໜັ໋ງ ຢ່າງເປັນທາງການ.	Tàu Roks Kang Gam Chan (DDH-979) và Roks Hwacheon (AOE-59) với 633 sĩ quan và thủy thủ đoàn, do Đô đốc Yang Yong-Mo, Chỉ huy trưởng Nhóm Huấn luyện Tuần tra Biển dẫn đầu, đã đến chào xã giao cảng Tiên Sa.
ໃນໄລຍະເວລາ 4 ມື້, ນອກຈາກບັນດາເນື້້ອໃນຕົ້ນຕໍຄືພົບປະກັບການນໍານະຄອນ ດ່າໜັ໋ງ, ຢ້ຽມຢາມກອງບັນຊາການທະຫານເຮືອເຂດ 3 (ເຫຼົ່າທັບເຮືອ) ແລ້ວ, ນາຍທະຫານ ແລະລູກເຮືອຍັງຢ້ຽມຢາມ, ພົບປະແລກປ່ຽນ, ມອບອຸປະກອນສຳລັບການຮຽນໃຫ້ແກ່ເດັກນ້ອຍຢູ່ບັນດາສູນສົງເຄາະ.	Trong 4 ngày diễn ra sự kiện, ngoài việc gặp gỡ lãnh đạo thành phố Đà Nẵng và thăm Bộ Tư lệnh Vùng 3 Hải quân, các cán bộ, thủy thủ đoàn còn đến thăm, giao lưu và tặng đồ dùng học tập cho trẻ em tại các mái ấm.
ກໍາປັ່ນ AOE-59 ກະກຽມເຂົ້າທຽບທ່າ ຕຽນຊາ (ນະຄອນ ດ່າໜັ໋ງ).	AOE-59 chuẩn bị cập bến Tiên Sa (Đà Nẵng).
ພາບ: ຫງວຽນແອງເຊີນ.	Ảnh: Nguyễn Anh Sơn
ລູກເຮືອເທິງກໍາປັ່ນ DDH-979.	Phi hành đoàn trên DDH-979.
ພາບ: ຫງວຽນແອງເຊີນ.	Ảnh: Nguyễn Anh Sơn
ຄຽງຂ້າງນັ້ນ, ວົງດົນຕີທະຫານເຮືອ ສ.	Ngoài ra, Bộ Tư lệnh Hải quân.
ເກົາຫຼີ ຈະມີການສະແດງດົນຕີ ທີ່ສວນສາທາລະນະທະເລຕາເວັນອອກ (ນະຄອນ ດ່າໜັ໋ງ).	Hàn Quốc sẽ có buổi biểu diễn ca nhạc tại Công viên Biển Đông (Đà Nẵng).
ກໍາປັ່ນ 2 ລໍາກໍ່ນໍາເອົາປື້ມສອນພາສາ ສ.	Hai con tàu cũng mang theo sách giáo khoa.
ເກົາຫຼີ ຈໍານວນ 11.000 ຫົວຂອງນະຄອນ Changwon ມອບໃຫ້ຫໍສະໝຸດສັງລວມ, ມະຫາວິທະຍາໄລພາສາຕ່າງປະເທດ ແລະບາງອົງການຂອງນະຄອນ ດ່າໜັ໋ງ.	11.000 bản Changwon đã được tặng cho Thư viện Tổng hợp, Trường Đại học Ngoại ngữ và một số tổ chức thành phố Đà Nẵng.
ແປໂດຍ: ຮວ່າງເຈື່ອງ.	Người dịch: Hoàng Trường.
