ທີ່ການພົບປະເຈລະຈາ, ສອງຝ່າຍໄດ້ແລກປ່ຽນບາງບັນຫາທີ່ຕ່າງຝ່າຍຕ່າງມີຄວາມສົນໃຈ;	Tại cuộc hội đàm, hai bên đã trao đổi về các vấn đề cùng quan tâm;
ເຫັນດີເປັນເອກະພາບຕີລາຄາການພົວພັນຮ່ວມມືດ້ານປ້ອງກັນຊາດລະຫວ່າງສອງປະເທດມີບັນດາບາດກ້າວພັດທະນາຢ່າງຕັ້ງໜ້າ.	Nhất trí đánh giá quan hệ hợp tác quốc phòng giữa hai nước đã có những bước phát triển vững chắc.
ບົນພື້ນຖານຂໍ້ຕົກລົງຮ່ວມມືດ້ານປ້ອງກັນຊາດລະຫວ່າງສອງກະຊວງປ້ອງກັນປະເທດລົງນາມໃນເດືອນຕຸລາ 2010, ສອງຝ່າຍໄດ້ຜັນຂະຫຍາຍບັນດາເນື້ອໃນຮ່ວມມືບັນລຸໄດ້ປະສິດທິຜົນຢ່າງແທດຈິງຄືການແລກປ່ຽນຄະນະຜູ້ແທນ, ກົນໄກເຈລະຈາ, ການບຳລຸງສ້າງ, ການຮ່ວມມືລະຫວ່າງບັນດາກຳລັງປະຕິບັດກົດໝາຍບົນທະເລ...	Trên cơ sở Thỏa thuận hợp tác quốc phòng giữa hai Bộ Quốc phòng ký tháng 10/2010, hai bên đã triển khai thành công các nội dung hợp tác như trao đổi đoàn, cơ chế đàm phán, đào tạo, hợp tác giữa các lực lượng thực thi pháp luật trên biển. ..
ທ່ານພົນເອກ ໂງຊວນລິກ ລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ແລະທ່ານ Delfin Lorenzana ລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດ ຟິລິບປິນ.	Đại tướng Ngô Xuân Lik, Bộ trưởng Bộ Quốc phòng Việt Nam và Delfin Lorenzana, Bộ trưởng Bộ Quốc phòng Philippines.
ພາບ: ທູຈາງ	Ảnh: Thu Zhang
ໃນໄລຍະຈະມາເຖິງ, ເພື່ອໃຫ້ສອງຝ່າຍສືບຕໍ່ຜັນຂະຫຍາຍຢ່າງມີປະສິດທິຜົນບັນດາຂົງເຂດຮ່ວມມືຕາມບັນດາຂໍ້ຕົກລົງໄດ້ເຊັນໄປແລ້ວນັ້ນ, ລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດສອງທ່ານໄດ້ເຫັນດີເປັນເອກະພາບນຳກັນວ່າຈະປະຕິບັດບັນດາບັນຫາດັ່ງລຸ່ມນີ້ເປັນຢ່າງດີ: ສືບຕໍ່ຮັກສາ ແລະເພີ່ມທະວີການແລກປ່ຽນຄະນະຜູ້ແທນທຸກຂັ້ນ;	Trong giai đoạn tới, để hai bên tiếp tục triển khai có hiệu quả các lĩnh vực hợp tác theo các thỏa thuận đã ký kết, hai Bộ trưởng Quốc phòng nhất trí thực hiện tốt các vấn đề sau: tiếp tục duy trì và tăng cường trao đổi đoàn. các cấp độ;
ເປີດກົນໄກພົບປະແລກປ່ຽນນາຍທະຫານໜຸ່ມລະຫວ່າງກອງທັບສອງປະເທດ, ສືບຕໍ່ເສີມຂະຫຍາຍກົນໄກເຈລະຈານະໂຍບາຍດ້ານປ້ອງກັນຊາດຂັ້ນຮອງລັດຖະມົນຕີ.	Mở cơ chế trao đổi sĩ quan giữa hai quân đội, tăng cường hơn nữa cơ chế đàm phán chính sách quốc phòng cấp Thứ trưởng.
ເພີ່ມທະວີການຮ່ວມມືໃນຂົງເຂດບຳລຸງສ້າງ ແລະແລກປ່ຽນບົດຮຽນໃນບັນດາຂົງເຂດທ່າແຮງຂອງແຕ່ລະປະເທດກວ່າອີກ.	Tăng cường hợp tác trong lĩnh vực giáo dục và trao đổi bài học trong các lĩnh vực tiềm năng của mỗi nước.
ສອງຝ່າຍເຫັນດີເປັນເອກະພາບຕັ້ງໜ້າສືບຕໍ່ດຳເນີນການທາບທາມຄຳເຫັນ, ສົມທົບກັນ ແລະສະໜັບສະໜູນເຊິ່ງກັນ ແລະກັນໃນບັນດາເວທີປາໄສຫຼາຍຝ່າຍ.	Hai bên nhất trí tiếp tục tham vấn, phối hợp và trao đổi thông tin với nhau tại các diễn đàn đa phương.
ນອກຈາກນັ້ນ, ສອງຝ່າຍກໍ່ເຫັນດີເປັນເອກະພາບຍູ້ແຮງການຮ່ວມມືຄົ້ນຄ້ວາ, ຜະລິດບັນດາຜະລິດຕະພັນໃນຂົງເຂດອຸດສາຫະກຳປ້ອງກັນຊາດ.	Ngoài ra, hai bên nhất trí đẩy mạnh hợp tác nghiên cứu và sản xuất các sản phẩm trong lĩnh vực công nghiệp quốc phòng.
ແປໂດຍ: ຮຸຍດົງ.	Dịch bởi: Huy Đông.
