ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 31 ຕຸລາ, ທີ່ສໍານັກງານນາຍົກລັດຖະມົນຕີ, ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ໄດ້ໃຫ້ການຕ້ອນຮັບທ່ານນາງ ເອກອັກຄະລັດຖະທູດ Samina Naz ເນື່ອງໃນໂອກາດມາຮັບໜ້າທີ່ຢູ່ ຫວຽດນາມ.	Thủ tướng Nguyễn Xuân Phúc tiếp Đại sứ Samina Naz chiều 31/10 tại Phủ Thủ tướng.
ທີ່ການຕ້ອນຮັບ, ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ຊີ້ແຈ້ງວ່າ, ໃນພາລະກິດແຫ່ງການຕໍ່ສູ້ປົດປ່ອຍປະເທດຊາດໃນເມື່ອກ່ອນກໍ່ຄືໃນພາລະກິດສ້າງສາ ແລະພັດທະນາຢູ່ແຕ່ລະປະເທດໃນປະຈຸບັນ, ສອງຝ່າຍຍາມໃດກໍ່ສະຫງວນໃຫ້ກັນບັນດາອາລົມຈິດທີ່ດີງາມ ແລະການສະໜັບສະໜູນອັນລໍ້າຄ່າ.	Tại buổi tiếp, Thủ tướng Nguyễn Xuân Phúc nêu rõ, trong sứ mệnh đấu tranh giải phóng dân tộc trước đây cũng như trong sứ mệnh xây dựng và phát triển ở mỗi nước hiện nay, hai bên luôn trân trọng những tình cảm tốt đẹp và trao nhau những kỷ niệm quý báu. .
ທ່ານ ຫງວຽນຊວກຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ຕ້ອນຮັບທ່ານນາງ Samina Naz ເອກອັກຄະລັດຖະທູດ ບັງກະລາເທດ.	Thủ tướng Nguyễn Xuân Phúc tiếp Đại sứ Bangladesh tại Việt Nam Samina Naz
ພາບ.	Ảnh.
TTXVN	TTXVN
ການພົວພັນມິດຕະພາບ ແລະການຮ່ວມມືຫຼາຍດ້ານລະຫວ່າງ ຫວຽດນາມ ແລະບັງກະລາເທດ ພັດທະນາຢ່າງບໍ່ຢຸດຢັ້ງພາຍຫຼັງ 44 ປີສ້າງຕັ້ງການພົວພັນທາງການທູດ (1973), ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ຊົມເຊີຍບັນດາຜົນງານເຊິ່ງລັດຖະບານ ແລະປະຊາຊົນບັງກະລາເທດ ບັນລຸໄດ້ໃນຊຸມປີຜ່ານມາ, ຮັກສາສະຖຽນລະພາບ, ພັດທະນາດ້ານເສດຖະກິດ, ສັງຄົມ, ລົບລ້າງຄວາມອຶດຫິວຫຼຸດຜ່ອນຄວາມທຸກຍາກ ແລະປັບປຸງຊີວິດການເປັນຢູ່ຂອງປະຊາຊົນ.	(VOVworld) - Thủ tướng Chính phủ Nguyễn Xuân Phúc đã biểu dương những thành tích mà Chính phủ và nhân dân Bangladesh đã đạt được trong thời gian qua, giữ vững ổn định, xóa đói, giảm nghèo, xóa đói giảm nghèo.
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ສະເໜີ ບັງກະລາເທດ ພິຈາລະນາເປີດກວ້າງການນໍາເຂົ້າບັນດາຜະລິດຕະພັນກະເສດ, ສິນໃນນໍ້າ, ເຄື່ອງບໍລິໂພກ, ວັດຖຸດິບເຊິ່ງ ຫວຽດນາມ ມີທ່າແຮງ.	Thủ tướng Chính phủ Băng-la-đét Nguyễn Xuân Phúc coi việc mở cửa tiềm năng về nông sản, thủy sản, hàng tiêu dùng và nguyên phụ liệu của Việt Nam.
ນອກນັ້ນ, ສອງຝ່າຍກໍ່ອາດສາມາດຮ່ວມມືໃນບັນດາຂົງເຂດພື້ນຖານໂຄງລ່າງ, ໄຟຟ້າ, ໂທລະຄົມມະນາຄົມ, ລ້ຽງປູກສິນໃນນໍ້າ.	Ngoài ra, hai bên có thể hợp tác trong các lĩnh vực cơ sở hạ tầng, điện, viễn thông, nuôi trồng thủy sản.
ຫວຽດນາມ ພວມມານະພະຍາຍາມປັບປຸງສະພາບແວດລ້ອມແຫ່ງການລົງທຶນ ເພື່ອແນໃສ່ສ້າງເງື່ອນໄຂສະດວກໃຫ້ແກ່ບັນດາວິສາຫະກິດ, ນັກລົງທຶນໃນໂລກກວ່າອີກ, ໃນນັ້ນ, ມີ ບັງກະລາເທດ ມາລົງທຶນຢູ່ ຫວຽດນາມ.	Việt Nam đang nỗ lực cải thiện môi trường đầu tư nhằm tạo điều kiện thuận lợi hơn nữa cho các doanh nghiệp, nhà đầu tư trên thế giới, trong đó có Bangladesh, đầu tư vào Việt Nam.
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ຫວັງວ່າ, ທ່ານນາງ Samina Naz ເອກອັກຄະລັດຖະທູດ ບັງກະລາເທດ ຈະເປັນເຈົ້າການສະເໜີຂໍ້ລິເລີ່ມຫຼາຍຢ່າງເພື່ອຊຸກຍູ້ການພົວພັນທຸກດ້ານລະຫວ່າງສອງປະເທດກວ່າອີກ, ເປັນຕົ້ນແມ່ນໃນບັນດາຂົງເຂດທີ່ມີຄວາມສາມາດບົ່ມຊ້ອນ.	Thủ tướng Nguyễn Xuân Phúc mong Đại sứ Bangladesh Samina Naz chủ động thúc đẩy hơn nữa quan hệ song phương trên tất cả các lĩnh vực, nhất là các lĩnh vực còn nhiều tiềm năng.
ທ່ານນາງ Samina Naz ເອກອັກຄະລັດຖະທູດ ໄດ້ຂອບອົກຂອບໃຈທ່ານ ຫງວຽນຊວກຟຸກ ນາຍົກລັດຖະມົນຕີ ໄດ້ສະຫງວນເວລາຕ້ອນຮັບ, ສະແດງຄວາມເປັນກຽດທີ່ໄດ້ຮັບໜ້າທີ່ເປັນເອກອັກຄະລັດຖະທູດ ບັງກະລາເທດ ປະຈໍາ ຫວຽດນາມ.	Đại sứ Samina Naz cảm ơn Thủ tướng Nguyễn Xuân Phúc đã dành thời gian tiếp Đại sứ Bangladesh tại Việt Nam.
ທ່ານນາງ Samina Naz ເອກອັກຄະລັດຖະທູດໄດ້ຢືນຢັນວ່າ: ປະຊາຊົນ ບັງກະລາເທດ ຍາມໃດກໍ່ຖືເປັນສໍາຄັນ ແລະເຄົາລົບນັບຖືຜົນງານແຫ່ງການຕໍ່ສູ້, ປົດປ່ອຍປະເທດຊາດຂອງປະຊາຊົນຫວຽດນາມ ພາຍໃຕ້ການຊີ້ນໍາ, ນໍາພາຂອງປະທານ ໂຮ່ຈິມິນ.	Đại sứ Samina Naz khẳng định, nhân dân Bangladesh luôn coi trọng và tôn trọng những thành tựu mà nhân dân Việt Nam đạt được trong cuộc đấu tranh giải phóng dân tộc dưới sự lãnh đạo của Chủ tịch Hồ Chí Minh.
ລັດຖະບານ ແລະປະຊາຊົນ ບັງກະລາເທດ ຍາມໃດກໍ່ສະໜັບສະໜູນລັດຖະບານ ແລະປະຊາຊົນຫວຽດນາມ ໃນພາລະກິດປົກປັກຮັກສາ, ກໍ່ຄືສ້າງສາ ແລະພັດທະນາປະເທດຊາດ.	Chính phủ và nhân dân Bangladesh luôn ủng hộ Chính phủ và nhân dân Việt Nam trong sứ mệnh bảo vệ, xây dựng và phát triển đất nước.
ທ່ານນາງ Samina Naz ເອກອັກຄະລັດຖະທູດຍັງເນັ້ນໜັກວ່າ, ຫວຽດນາມ ແລະບັງກະລາເທດ ມີຄວາມສາມາດບົ່ມຊ້ອນຫຼາຍຢ່າງທີ່ສຸດເພື່ອຊຸກຍູ້ການຮ່ວມມື, ພິເສດແມ່ນໃນດ້ານການຄ້າ, ການລົງທຶນ.	Đại sứ Samina Naz cũng nhấn mạnh Việt Nam và Bangladesh có nhiều tiềm năng để thúc đẩy hợp tác, nhất là trong lĩnh vực thương mại và đầu tư.
ຫວຽດນາມ ບັນລຸໄດ້ຜົນງານຫຼາຍຢ່າງໃນໄລຍະຜ່ານມາ.	Việt Nam đã đạt được rất nhiều trong quá khứ.
ບັງກະລາເທດ ຍາມໃດກໍ່ຖື ຫວຽດນາມ ແມ່ນແບບຢ່າງເພື່ອຮໍ່າຮຽນໃນວິວັດທະນາການແຫ່ງການກໍ່ສ້າງ, ພັດທະນາເສດຖະກິດ - ສັງຄົມ.	Bangladesh luôn coi Việt Nam là hình mẫu để học tập và xây dựng về phát triển kinh tế - xã hội.
ປະຈຸບັນ ບັງກະລາເທດ ກໍາລັງນໍາເຂົ້າເຂົ້າສານ, ວັດສະດຸກໍ່ສ້າງຈາກ ຫວຽດນາມ, ບັງກະລາເທດ ຍາມໃດກໍ່ປາດຖະໜາວ່າບັນດາວິສາຫະກິດ ຫວຽດນາມ ຈະລົງທຶນເຂົ້າ ບັງກະລາເທດ ໃນບັນດາຂົງເຂດມູນເຊື້ອ, ທັງຂົງເຂດໂທລະຄົມມະນາຄົມອີກດ້ວຍ.	Hiện Bangladesh đang nhập khẩu gạo, vật liệu xây dựng từ Việt Nam, và Bangladesh luôn mong muốn các doanh nghiệp Việt Nam đầu tư vào Bangladesh trong các lĩnh vực di sản, trong đó có viễn thông.
ທ່ານນາງ Samina Naz ເອກອັກຄະລັດຖະທູດ ບັງກະລາເທດ ກໍ່ສະແດງຄວາມປາຖະໜາຢາກສືບຕໍ່ໄດ້ຮັບການເອົາໃຈໃສ່, ສະໜັບສະໜູນຈາກທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີ, ລັດຖະບານ ແລະບັນດາອົງການທີ່ກ່ຽວຂ້ອງຂອງ ຫວຽດນາມ ໃນໄລຍະຈະມາເຖິງ.	Đại sứ Bangladesh Samina Naz bày tỏ mong muốn nhận được sự quan tâm, chỉ đạo của Thủ tướng Chính phủ Nguyễn Xuân Phúc, Chính phủ Việt Nam và các cơ quan hữu quan trong thời gian tới.
ແປໂດຍ: ເກື່ອງດັ້ງ.	Dịch bởi: Cuong Dang.
