ກປ.	KP
ອອນໄລ - ໃນຂອບເຂດການຢ້ຽມຢາມ ສ.ເກົາຫຼີ ຕາມຄໍາເຊີນຂອງລັດຖະບານ ສ.ເກົາຫຼີ, ວັນທີ 21 ພະຈິກ, ທ່ານ ເຈືອງຮວ່າບິ່ງ, ກໍາມະການກົມການເມືອງ, ຮອງນາຍົກລັດຖະມົນຕີຜູ້ປະຈໍາການລັດຖະບານຫວຽດນາມ ໄດ້ມີການພົບປະເຈລະຈາກັບທ່ານ Lee Nak-yon ນາຍົກລັດຖະມົນຕີ ສ.ເກົາຫຼີ.	Bên lề chuyến thăm Hàn Quốc theo lời mời của Chính phủ Hàn Quốc, ngày 21/11, Trương Hòa Bình, Ủy viên Ban Chính trị, Phó Thủ tướng Chính phủ, Thường trực Chính phủ Việt Nam đã gặp Lee Nak-yon, Thủ tướng Hàn Quốc.
ທ່ານ ເຈືອງຮວ່າບິ່ງ ຮອງນາຍົກລັດຖະມົນຕີຜູ້ປະຈໍາການລັດຖະບານຫວຽດນາມ ພົບປະເຈລະຈາ ກັບທ່ານ Lee Nak-yon ນາຍົກລັດຖະມົນຕີ ສ.ເກົາຫຼີ.	Phó Thủ tướng Trương Hòa Bình hội đàm với Thủ tướng Hàn Quốc Lee Nak-yon.
ພາບ: TTXVN	Ảnh: TTXVN
ທີ່ການພົບປະເຈລະຈາ, ທ່ານຮອງນາຍົກລັດຖະມົນຕີຜູ້ປະຈໍາການ ເຈືອງຮວ່າບິ່ງ ແລະທ່ານນາຍົກລັດຖະມົນຕີ Lee Nak-yon ໄດ້ມີການແລກປ່ຽນ ແລະເຫັນດີເປັນເອກະພາບບັັນດາມາດຕະການລະອຽດແນໃສ່ເພີ່ມທະວີຄວາມໄວ້ເນື້ອເຊື່ອໃຈທາງດ້ານການເມືອງ ແລະຊຸກຍູ້ການພົວພັນຮ່ວມມືລະຫວ່າງສອງປະເທດໃຫ້ພັດທະນາຢ່າງແຮງ, ຮອບດ້ານໃນໄລຍະຈະມາເຖິງກວ່າອີກ;	Tại buổi tiếp, Phó Thủ tướng Trương Hòa Bình và Thủ tướng Lee Nak-yon đã trao đổi, thống nhất các biện pháp chi tiết nhằm tăng cường tin cậy chính trị và thúc đẩy hợp tác giữa hai nước.
ຜັນຂະຫຍາຍບັນດາກົນໄກຮ່ວມມື, ເຈລະຈາທີ່ມີຢູ່ແລ້ວໃນປະຈຸບັນຄືການເຈລະຈາຍຸດທະສາດການທູດ - ການປ້ອງກັນຊາດ - ປ້ອງກັນຄວາມສະຫງົບ ແລະບັນດາກົນໄກເຈລະຈາອື່ນຢ່າງມີປະສິດທິຜົນ;	Triển khai có hiệu quả các cơ chế hợp tác, đàm phán như ngoại giao chiến lược, quốc phòng, an ninh và các cơ chế đàm phán khác;
ຜັນຂະຫຍາຍສັນຍາການຄ້າເສລີ ຫວຽດນາມ - ສ.ເກົາຫຼີ ຢ່າງມີປະສິດທິຜົນ, ສູ້ຊົນຍົກວົງເງິນການຄ້າສອງປະເທດໃຫ້ບັນລຸໄດ້ 100 ຕື້ໂດລາສະຫະລັດໃນປີ 2020.	Thực hiện có hiệu quả Hiệp định Thương mại tự do Việt Nam - Hàn Quốc, nhằm nâng kim ngạch thương mại hai nước đạt 100 tỷ đô la Mỹ vào năm 2020.
ທີ່ການພົບປະເຈລະຈາ, ທ່ານ ເຈືອງຮວ່າບິ່ງ ສະເໜີ ສ.ເກົາຫຼີ ມີນະໂຍບາຍ, ມາດຕະການທີ່ມີປະສິດທິຜົນສ້າງເງື່ອນໄຂສະດວກໃຫ້ສິນຄ້າສົ່ງອອກທີ່ມີທ່າແຮງຂອງຫວຽດນາມເຂົ້າຕະຫຼາດ ສ.ເກົາຫຼີ;	Tại buổi tiếp, ông Trương Hòa Bình cho biết, Hàn Quốc có các chính sách và biện pháp hữu hiệu nhằm tạo điều kiện thuận lợi cho các mặt hàng xuất khẩu tiềm năng của Việt Nam sang Hàn Quốc;
ໜູນຊ່ວຍຫວຽດນາມ ເຂົ້າຮ່ວມບັນດາລະບົບຜະລິດສະໜອງທົ່ວໂລກຂອງ ສ.ເກົາຫຼີ;	Hỗ trợ Việt Nam tham gia hệ thống sản xuất bia toàn cầu của Hàn Quốc;
ສືບຕໍ່ສະຫງວນໃຫ້ຫວຽດນາມບັນດາບ້ວງທຶນຊ່ວຍເຫຼືອລ້າ;	Tiếp tục bảo lưu các khoản tài trợ cho bóng rổ Việt Nam;
ສະເໜີ ສ.ເກົາຫຼີ ເຊັນສັນຍາໜູນຊ່ວຍພົນລະເຮືອນ ແລະການຄ້າຫວຽດນາມ - ສ.ເກົາຫຼີ ໂດຍໄວ;	Hàn Quốc ký hiệp định thương mại và dịch vụ dân dụng Việt Nam-Hàn Quốc trong thời gian sớm nhất;
ເຫັນດີເປັນເອກະພາບເພີ່ມທະວີການສົມທົບກັນໃນບັນດາບັນຫາພາກພື້ນ ແລະສາກົນ ເຊິ່ງຕ່າງຝ່າຍຕ່າງມີຄວາມສົນໃຈ, ພິເສດແມ່ນການປະກອບສ່ວນຮັກສາສັນຕິພາບ, ສະຖຽນລະພາບຢູ່ພາກພື້ນ ອາຊີ-ປາຊີຟິກ.	Nhất trí tăng cường phối hợp trong các vấn đề khu vực và quốc tế cùng quan tâm, đặc biệt là đóng góp vào hòa bình và ổn định ở khu vực châu Á - Thái Bình Dương.
ສ່ວນທ່ານນາຍົກລັດຖະມົນຕີ Lee Nak-yon ເນັ້ນໜັກວ່າ, ທ່ານເອງ ແລະລັດຖະບານ ສ.ເກົາຫຼີ ຖືເປັນສໍາຄັນທີ່ສຸດການພັດທະນາສາຍພົວພັນຄູ່ຮ່ວມມືຍຸດທະສາດກັບຫວຽດນາມ, ຢືນຢັນວ່າຈະຊີ້ນໍາບັນດາກະຊວງ, ຂະແໜງການທີ່ກ່ຽວຂ້ອງຜັນຂະຫຍາຍບັນດາຂໍ້ຕົກລົງທີ່ບັນລຸໄດ້ລະຫວ່າງສອງປະເທດເປັນຢ່າງດີ, ນໍາການຮ່ວມມືໃນບັນດາຂົງເຂດເຂົ້າສູ່ລວງເລິກ.	Thủ tướng Lee Nak-yon nhấn mạnh, ông và Chính phủ Hàn Quốc coi trọng phát triển quan hệ Đối tác chiến lược với Việt Nam, đồng thời cam kết hướng dẫn các bộ, ban ngành liên quan triển khai các thỏa thuận đã đạt được giữa hai nước và làm sâu sắc hơn nữa quan hệ hợp tác.
ໃນວັນດຽວກັນ, ທ່ານຮອງນາຍົກລັດຖະມົນຕີຜູ້ປະຈໍາການ ເຈືອງຮວ່າບິ່ງ ໄດ້ໃຫ້ການຕ້ອນຮັບທ່ານ Choi Young Joo ປະທານສະມາຄົມມິດຕະພາບ ສ.ເກົາຫຼີ - ຫວຽດນາມ;	Cùng ngày, Phó Thủ tướng Trương Hòa Bình đã tiếp bà Choi Young Joo, Chủ tịch Hội Hữu nghị Hàn Quốc - Việt Nam;
ຜູ້ຕາງໜ້າກຸ່ມບໍລິສັດ SK, ກຸ່ມບໍລິສັດການເງິນ KB ແລະຜູ້ຕາງໜ້າສຳນັກສື່ສານ Maeil Business ຂອງ ສ.ເກົາຫຼີ.	Đại diện Tập đoàn SK, Tập đoàn tài chính KB và Phóng viên kinh doanh Maeil của Hàn Quốc.
ແປໂດຍ: ເຈິ່ນຮວ່ຽນ.	Người dịch: Trần Huyền
