ກປ.ອອນໄລ - ໂດຍໄດ້ຮັບຄໍາເຊີນຂອງສະພາແຫ່ງຊາດ ສິງກະໂປ;	KPR Online - Nhận lời mời của Quốc hội Singapore;
ສະພາແຫ່ງ ຊາດ ແລະລັດຖະບານ ອົດສະຕາລີ, ຕອນເຊົ້າວັນທີ 26 ພະຈິກ, ທ່ານນາງ ຫງວຽນທິກິມເງິນ, ກໍາມະການກົມການເມືອງ, ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ນໍາໜ້າຄະນະຜູ້ແທນຂັ້ນສູງສະພາແຫ່ງຊາດຫວຽດນາມ, ອອກຈາກຮ່າໂນ້ຍ, ເລີ່ມຕົ້ນການຢ້ຽມຢາມສິງກະໂປ, ອົດສະຕາລີ ຢ່າງເປັນທາງການ.	Sáng 26/11, bà Nguyễn Thị Kim Ngưng, Đại biểu Quốc hội, Chủ tịch Quốc hội dẫn đầu Đoàn đại biểu cấp cao Quốc hội Việt Nam rời Singapore thăm chính thức Singapore.
ເຂົ້າຮ່ວມຄະນະຜູ້ແທນຂັ້ນສູງສະພາແຫ່ງຊາດຫວຽດນາມຢ້ຽມຢາມ ສິງກະໂປ ຢ່າງເປັນທາງການມີ: ທ່ານ ຫງວຽນວັນເຢົ່າ, ກໍາມະການສູນກາງພັກ, ປະທານກໍາມາທິການການຕ່າງປະເທດຂອງສະພາແຫ່ງຊາດ;	Tham gia Đoàn đại biểu cấp cao Quốc hội Việt Nam thăm chính thức Singapore có các đồng chí: Nguyễn Văn Jao, Ủy viên Trung ương Đảng, Chủ nhiệm Ủy ban Đối ngoại của Quốc hội;
ທ່ານ ຫງວຽນແຮ້ງຟຸກ, ກໍາມະການສູນກາງພັກ, ເລຂາທິການໃຫຍ່ສະພາແຫ່ງຊາດ, ຫົວໜ້າຫ້ອງວ່າການສະພາແຫ່ງຊາດ;	Đồng chí Nguyễn Hoành Phúc, Ủy viên Trung ương Đảng, Tổng Thư ký Quốc hội, Chủ nhiệm Văn phòng Quốc hội;
ທ່ານ ຫງວຽນຄັກດິ້ງ, ກໍາມະການສູນກາງພັກ, ປະທານກໍາມາທິການກົດໝາຍຂອງສະພາແຫ່ງຊາດ;	Đồng chí Nguyễn Khắc Định, Ủy viên Trung ương Đảng, Chủ nhiệm Ủy ban Pháp luật của Quốc hội;
ທ່ານ ຫວູຮົ່ງແທງ, ກໍາມະການສູນກາງພັກ, ປະທານກໍາມາທິການເສດຖະກິດຂອງສະພາແຫ່ງຊາດ;	Đồng chí Vũ Hồng Thanh, Ủy viên Trung ương Đảng, Chủ nhiệm Ủy ban Kinh tế của Quốc hội;
ທ່ານ ຈູຫງອກແອງ, ກໍາມະການສູນກາງພັກ, ລັດຖະມົນຕີກະຊວງວິທະຍາສາດ ແລະເຕັກໂນໂລຢີ;	Đồng chí Chu Ngọc Anh, Ủy viên Trung ương Đảng, Bộ trưởng Bộ Khoa học và Công nghệ;
ທ່ານພົນໂທ ເລກຸ໋ຍເວືອງ, ກໍາມະການສູນກາງພັກ, ຮອງລັດຖະມົນຕີກະຊວງຕຳຫຼວດ;	Trung tướng Quý Vương, Ủy viên Trung ương Đảng, Thứ trưởng Bộ Công an;
ທ່ານ ເລມິງຮວານ, ກໍາມະການສູນກາງພັກ, ເລຂາພັກແຂວງ, ຫົວໜ້າຄະນະຜູ້ແທນສະພາແຫ່ງຊາດແຂວງ ດົ່ງທ໋າບ;	Đồng chí Lê Minh Hoan, Ủy viên Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam, Bí thư Tỉnh ủy, Trưởng đoàn Đại biểu Quốc hội tỉnh Đồng Tháp;
ທ່ານ ເລວ໋ຽດຈື໊, ກໍາມະການສູນກາງພັກ, ເລຂາພັກແຂວງ, ຫົວໜ້າຄະນະຜູ້ແທນສະພາແຫ່ງຊາດແຂວງ ກວາງຫງ໊າຍ;	Ông Levid Chu, Ủy viên Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam, Bí thư Tỉnh ủy, Trưởng đoàn Đại biểu Quốc hội tỉnh Quảng Ngãi;
ທ່ານນາງ ຫງວຽນທິແທງ, ກໍາມະການສູນກາງພັກ, ເລຂາພັກແຂວງ, ຫົວໜ້າຄະນະຜູ້ແທນສະພາແຫ່ງຊາດ ແຂວງ ນິງບິ່ງ;	Bà Nguyễn Thị Thanh, Ủy viên Trung ương Đảng, Bí thư Tỉnh ủy, Trưởng đoàn đại biểu Quốc hội tỉnh Ninh Bình;
ທ່ານ ເຈົ້າວັນເລິມ, ກໍາມະການສູນກາງພັກ, ເລຂາພັກແຂວງ, ຫົວໜ້າຄະນະຜູ້ແທນສະພາແຫ່ງຊາດແຂວງ ຕວຽນກວາງ;	Đồng chí Chảo Văn Lâm, Ủy viên Trung ương Đảng, Bí thư Tỉnh ủy, Trưởng đoàn Đại biểu Quốc hội tỉnh Tuyên Quang;
ທ່ານ ຫງວຽນແມ້ງຫຽນ, ກໍາມະການສູນກາງພັກ, ເລຂາພັກແຂວງ, ປະທານສະພາປະຊາຊົນແຂວງ ຫາຍເຢືອງ.	Đồng chí Nguyễn Mạnh Hiển, Ủy viên Trung ương Đảng, Bí thư Tỉnh ủy, Chủ tịch Hội đồng nhân dân tỉnh Hải Dương.
ທ່ານນາງປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ຫງວຽນທິກິມເງິນ.	Diễn giả Quốc hội Nguyễn Thị Kim Ngên.
ພາບ: TTXVN	Ảnh: TTXVN
ການຢ້ຽມຢາມ ສິງກະໂປ ຢ່າງເປັນທາງການຂອງທ່ານນາງປະທານສະພາແຫ່ງຊາດ ຫງວຽນທິກິມເງິນ ແລະຄະນະຜູ້ແທນຂັ້ນສູງສະພາແຫ່ງຊາດຫວຽດນາມ ເພື່ອແນໃສ່ເຮັດໃຫ້ການພົວພັນຄູ່ຮ່ວມມືຍຸດທະສາດລະຫວ່າງຫວຽດນາມ ແລະ ສິງກະໂປ ເລິກເຊິ່ງກວ່າອີກ;	Chuyến thăm chính thức Singapore của Chủ tịch Quốc hội Nguyễn Thị Kim Ngen và Đoàn đại biểu cấp cao Quốc hội Việt Nam nhằm làm sâu sắc hơn nữa quan hệ Đối tác chiến lược Việt Nam - Singapore;
ມຸ່ງໄປເຖິງສະເຫຼີມສະຫຼອງ 45 ປີແຫ່ງວັນສ້າງຕັ້ງການພົວພັນທາງການທູດໃນປີ 2018;	Hướng tới kỷ niệm 45 năm thiết lập quan hệ ngoại giao vào năm 2018;
ຊຸກຍູ້ການຮ່ວມມືສອງຝ່າຍ ລະຫວ່າງຫວຽດນາມ ແລະສິງກະໂປ ໃນບັນດາຂົງເຂດທີ່ມີຄວາມສາມາດບົ່ມຊ້ອນ, ເປັນຕົ້ນແມ່ນເສດຖະກິດ-ການຄ້າ, ການຮ່ວມມືພັດທະນາ, ກະສິກໍາ, ການສຶກສາ, ການທ່ອງທ່ຽວ, ວັດທະນະທໍາ ແລະການພົບປະແລກປ່ຽນປະຊາຊົນ.	Khuyến khích hợp tác song phương giữa Việt Nam và Singapore trong các lĩnh vực có tiềm năng như hợp tác kinh tế thương mại, hợp tác phát triển, nông nghiệp, giáo dục, du lịch, văn hóa và giao lưu nhân dân.
ແປໂດຍ: ເຈິ່ນຮວ່ຽນ.	Người dịch: Trần Huyền
