ກປ.ອອນໄລ - ວັນທີ 30 ພະຈິກ, ທ່ານພົນເອກ ໂງຊວນລິກ, ກໍາມະການກົມການເມືອງ, ຮອງເລຂາຄະນະພັກການທະຫານສູນກາງ, ລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ໄດ້ເຮັດວຽກຢູ່ກອງບັນຊາການທະຫານເຂດ 1.	Trung tướng Phan Văn Giang biểu dương kết quả hội đàm;
ພ້ອມກັນເຂົ້າຮ່ວມມີທ່ານພົນໂທ ຟານວັນຢາງ, ກໍາມະການສູນກາງພັກ, ຄະນະປະຈໍາຄະນະພັກການທະຫານສູນກາງ, ຫົວໜ້າກົມໃຫຍ່ເສນາທິການ, ຮອງລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ;	Ông nhấn mạnh, quan hệ Việt Nam-Hàn Quốc trong thời gian qua đã phát triển nhanh chóng và mạnh mẽ trên nhiều lĩnh vực, trong đó có quan hệ quốc phòng.
ທ່ານພົນຈັດຕະວາ ເລຮ່ຽນເວີນ, ຮອງຫົວໜ້າກົມໃຫຍ່ການເມືອງ ແລະຜູ້ຕາງໜ້າບາງອົງການທີ່ກ່ຽວຂ້ອງກະຊວງປ້ອງກັນປະເທດ.	Sáng 30/11, Trung tướng Phan Văn Giang, Ủy viên Trung ương Đảng Cộng sản Việt Nam, Phó Tổng Tham mưu trưởng Quân đội nhân dân Việt Nam, Phó Tổng Tham mưu trưởng Nguyễn Tấn Dũng đã tiếp đoàn. từ Quân đội Hàn Quốc.
ທ່ານພົນເອກ ໂງຊວນລິກ ເຮັດວຽກຢູ່ກອງບັນຊາການທະຫານເຂດ 1.	Trung tướng Phan Văn Giang, Tổng Tham mưu trưởng QĐND Việt Nam tiếp Thượng tướng Kim Yong Woo, Tổng Tham mưu trưởng Đại Hàn Dân Quốc.
ພາບ: ຈ້ອງຫາຍ	Ảnh: Nguyễn Hòa
ທີ່ການເຮັດວຽກ, ທ່ານພົນຈັດຕະວາ ໂງມິງຕ໋ຽນ, ຜູ້ບັນຊາການທະຫານເຂດ 1 ໄດ້ລາຍງານໃຫ້ທ່ານລັດຖະມົນຕີ ແລະຄະນະປະຕິບັດງານຮັບຊາບກ່ຽວກັບບັນດາໝາກຜົນພົ້ນເດັ່ນໃນການປະຕິບັດໜ້າທີ່ການທະຫານ, ປ້ອງກັນຊາດຂອງກໍາລັງປະກອບອາວຸດທະຫານເຂດແຕ່ຕົ້ນປີມາຮອດປະຈຸບັນ.	Đại tướng Kim Yong Woo thông báo với Trung tướng Phan Văn Giang về kết quả hội đàm với Trung tướng Nguyễn Phương Nam, Phó Tổng Tham mưu trưởng QĐND Việt Nam.
ພາຍໃຕ້ການຊີ້ນໍາ, ນໍາພາຂອງຄະນະພັກການທະຫານສູນກາງ, ກະຊວງປ້ອງກັນປະເທດ, ໃນປີ 2017.	Bầu không khí tại các cuộc đàm phán.
ອົງຄະນະພັກ, ກອງບັນຊາການທະຫານເຂດ 1 ໄດ້ຊີ້ນໍາ, ນໍາພາບັນດາອົງການ, ກົມກອງ, ກໍາລັງປະກອບອາວຸດຊາບຊຶມ, ປະຕິບັດໜ້າທີ່ການທະຫານ, ປ້ອງກັນຊາດເປັນຢ່າງດີ ແລະມີຫຼາຍໜ້າທີ່ໄດ້ສໍາເລັດຢ່າງດີເລີດ.	Ảnh: Nguyễn Hòa
ທົ່ວທະຫານເຂດໄດ້ຮັກສາລະບອບກຽມພ້ອມສູ້ຮົບ, ຄາດຄະເນຖືກຕ້ອງກັບສະພາບການ, ບໍ່ປະໃຫ້ຕົກຢູ່ໃນທ່າຮັບ, ບັງເອີນ, ຮັກສາຄວາມໝັ້ນຄົງດ້ານການເມືອງ, ຄວາມເປັນລະບຽບຮຽບຮ້ອຍ, ຄວາມປອດໄພທາງສັງຄົມ, ອະທິປະໄຕເຂດຊາຍແດນ, ປ້ອງກັນຄວາມປອດໄພໃນບັນດາວັນບຸນ, ປີໃໝ່, ງານສະເຫຼີມສະຫຼອງທີ່ສໍາຄັນຂອງປະເທດຊາດຢ່າງເຂັ້ມງວດເປັນປະຈໍາ.	Trung tướng Phan Văn Giang biểu dương kết quả hội đàm;
ກຳລັງບົ່ມຊ້ອນດ້ານປ້ອງກັນຊາດສືບຕໍ່ໄດ້ເພີ່ມທະວີ, ຄຸນນະພາບສັງລວມ, ລະດັບການຝຶກແອບຝຶກຊ້ອມ, ກຽມພ້ອມສູ້ຮົບຂອງກໍາລັງປະກອບອາວຸດທະຫານເຂດໄດ້ຮັບການຍົກສູງຂຶ້ນ...	Nhấn mạnh quan hệ Việt Nam-Hàn Quốc trong thời gian qua đã phát triển nhanh chóng và mạnh mẽ trên nhiều lĩnh vực, trong đó có quan hệ quốc phòng;
ທ່ານພົນເອກ ໂງຊວນລິກ ເປັນປະທານທີ່ການເຮັດວຽກ.	Trung tướng Phan Văn Giang tin tưởng kết quả chuyến thăm sẽ góp phần xây dựng nguyện vọng tăng cường quan hệ hữu nghị, hiểu biết và tin cậy lẫn nhau giữa quân đội hai nước.
ພາບ: ຈ້ອງຫາຍ	Lãnh đạo Bộ Tổng Tham mưu Quân đội nhân dân Việt Nam cùng Bộ Tư lệnh Lục quân Hàn Quốc.
ຕາງໜ້າໃຫ້ຄະນະພັກການທະຫານສູນກາງ, ກະຊວງປ້ອງກັນປະເທດທ່ານພົນເອກ ໂງຊວນລິກ ຕີລາຄາສູງຄວາມບຸກບືນ, ມານະພະຍາຍາມຂອງອົງຄະນະພັກ, ກອງບັນຊາການທະຫານເຂດ 1 ໃນການຊີ້ນໍາ, ນໍາພາປະຕິບັດໜ້າທີ່ປີ 2017.	Ảnh: Nguyễn Hòa
ທ່ານພົນເອກ ໂງຊວນລິກ ຮັບຮູ້ວ່າ;	Trong thời gian tới, hai bên cần tiếp tục tăng cường quan hệ trên các lĩnh vực: trao đổi đoàn các cấp;
ເຖິງວ່າຍັງປະສົບກັບຄວາມຫຍຸ້ງຍາກຫຼາຍຢ່າງກໍ່ຕາມ, ແຕ່ອົງຄະນະພັກ, ກອງບັນຊາການທະຫານເຂດ 1 ໄດ້ສາມັກຄີ, ສະເໝີຕົ້ນສະເໜີປາຍ, ເປັນເຈົ້າການຈັດຕັ້ງປະຕິບັດທຸກໜ້າທີ່ທີີ່ໄດ້ມອບໝາຍໃຫ້ເປັນຢ່າງດີ.	Gặp gỡ, trao đổi với các sĩ quan trẻ;
ທ່ານພົນເອກ ໂງຊວນລິກ ແລກປ່ຽນກັບບັນດາຜູ້ຕາງໜ້າ ແລະພະນັກງານຫຼັກແຫຼ່ງຂອງທະຫານເຂດ 1.	Giáo dục - đào tạo;
ພາບ: ຈ້ອງຫາຍ	Mở rộng quan hệ hợp tác giữa Quân đội, Hải quân và Cảnh sát biển;
ທ່ານພົນເອກ ໂງຊວນລິກ ໄດ້ຮຽກຮ້ອງອົງຄະນະພັກ, ກອງບັນຊາການທະຫານເຂດ 1 ສືບຕໍ່ຊາບຊືມ, ຜັນຂະຫຍາຍມະຕິສູນກາງ 8 (ຊຸດທີ XI) “ກ່ຽວກັບຍຸດທະສາດປົກປັກຮັກສາປະເທດຊາດໃນສະພາບການໃໝ່ ແລະບັນດາການຄາດຄະເນຂອງຄະນະພັກການທະຫານສູນກາງກ່ຽວກັບສະພາບການ, ໜ້າທີ່ກອງທັບ ແລະທະຫານເຂດໃນຊຸມປີຈະມາເຖິງຢ່າງເຂັ້ມງວດ.	Công nghệ thông tin;
ທ່ານພົນເອກ ໂງຊວນລິກ ປູກຕົ້ນໄມ້ເປັນທີ່ລະນຶກ.	Chia sẻ bài học kinh nghiệm từ hoạt động gìn giữ hòa bình của Liên hợp quốc;
ພາບ: ຈ້ອງຫາຍ	Ngành công nghiệp quốc phòng;
ທ່ານພົນເອກ ໂງຊວນລິກ ກໍ່ຮຽກຮ້ອງທະຫານເຂດ 1 ສຸມໃສ່ກໍ່ສ້າງ, ຍົກສູງຄຸນນະພາບສັງລວມ, ກໍາລັງສູ້ຮົບ ແລະລະດັບກຽມພ້ອມສູ້ຮົບຂອງກໍາລັງປະກອບອາວຸດທະຫານເຂດ;	Giải quyết hậu quả của chiến tranh.
