ກປ.ອອນໄລ - ດອກຕາເວັນປ່າ ແມ່ນປະເພດດອກໄມ້ທີ່ເປັນເອກະລັກສະເພາະຂອງເຂດດິນແດນໄຕງວຽນ.	KR Online - Hoa hướng dương là một loại hoa độc đáo của tỉnh Tây Nguyên.
ແຕ່ວ່າຢູ່ນະຄອນຫຼວງ ຮ່າໂນ້ຍ ກໍ່ມີດິນແດນດ້ວຍບັນດາໂນນພູ, ຮ່ອມພູດອກໄມ້ທີ່ເຕັມໄປດ້ວຍສີເຫຼືອງຂອງເຂດດິນແດນ ໄຕງວຽນ ຢ່າງກວ້າງໃຫຍ່ໄພສານ.	Chẳng thế mà ở Hà Nội lại có những triền núi, thung lũng đầy hoa vàng của lãnh thổ Tây Nguyên rộng lớn.
ນັ້ນແມ່ນຢູ່ເຂດພູ ບາວີ່, ເມືອງບາວີ່, ນະຄອນ ຮ່າໂນ້ຍ.	Nó nằm ở khu vực Phủ Ba Vì, huyện Ba Vì, Hà Nội.
ຢູ່ກາງພູ ດ້ວຍລະດັບຄວາມສູງທຽບໃສ່ໜ້ານໍ້າທະເລແມ່ນ 400 ກວ່າແມັດ, ດອກຕາເວັນປ່າຢູ່ທີ່ນີ້ມີສີເຫຼືອງຮຸ່ງ ແລະສົດໃສ.	Ở lưng chừng núi với độ cao hơn 400m so với mực nước biển, hoa hướng dương dại ở đây rực rỡ sắc vàng.
ໃນແຕ່ລະໂອກາດທ້າຍອາທິດ, ບັນດາໄວໜຸ່ມພັດໄປທ່ຽວດ້ວຍຄວາມກະຕືລືລົ້ນຢູ່ຕາມບັນດາຖະໜົນຫົນທາງລະອິດລະອ້ຽວທີ່ເຕັມໄປດ້ວຍດອກຕາເວັນປ່າພວມເບັ່ງບານອວດອ້າງສີສັນ ແລະຖ່າຍຮູບກັບດອກຕາເວັນປ່າງາມທີ່ສຸດ.	Cứ đến cuối tuần, các bạn trẻ lại nô nức đi qua những con đường gồ ghề đầy hoa hướng dương dại, khoe sắc rực rỡ và chụp ảnh với những bông hoa dã quỳ đẹp nhất.
ບັນດາຖະໜົນຫົນທາງທີ່ເຕັມໄປດ້ວຍສີເຫຼືອງຂອງດອກຕາເວັນປ່າ.	Những con đường trải đầy hoa hướng dương vàng.
ພາບ: ມິງແອງ	Ảnh: Minh Anh
ພ້ອມກັນບັນທຶກບັນດາຮູບພາບທີ່ສວຍງາມ.	Đồng thời ghi lại những bức ảnh đẹp.
ພາບ: ມິງແອງ	Ảnh: Minh Anh
ນັກທ່ອງທ່ຽວຖ່າຍຮູບເປັນທີ່ລະນຶກກັບດອກຕາເວັນປ່າ.	Du khách chụp ảnh lưu niệm bên hoa hướng dương dại.
ພາບ: ມິງແອງ	Ảnh: Minh Anh
ແປໂດຍ: ທູຈາງ.	Dịch bởi: Tu Zhang.
