ກປ.ອອນໄລ - ຕາແສງ ຫຼູງຟິ່ນ, ເມືອງ ດົ່ງວັນ, ແຂວງ ຮ່າຢາງ ໃນຊຸມວັນລົມພັດຈາກທິດຕາເວັນອອກມາຍິ່ງເຮັດໃຫ້ອາກາດໜາວຈັດຕື່ມອີກ.	KR Online - Xã Lương Phìn, Huyện Đồng Văn, Tỉnh Hà Giang.
ພໍ່ແມ່ປະຊາຊົນຢູ່ທີ່ນີ້ບໍ່ພຽງແຕ່ຂາດເຄື່ອງກິນ, ເຄື່ອງນຸ່ງເທົ່ານັ້ນ, ຫາກຍັງຂາດໄຟຟ້າ, ຂາດນໍ້າອີກດ້ວຍ.	Người dân nơi đây không chỉ thiếu ăn, thiếu mặc mà cả điện, nước.
ມີໂຮງຮຽນສອງແຫ່ງຢູ່ບ້ານ ມາວຊາວຟິ່ນ ແມ່ນປະສົບກັບຄວາມຫຍຸ້ງຍາກທີ່ສຸດ.	Có hai trường học ở làng Mao Trạch Đông đang gặp nhiều khó khăn nhất.
ດ້ວຍພວກນ້ອງນ້ອຍເກືອບ 100 ຄົນໃນເກນອາຍຸຮຽນອະນຸບານ ແລະປະຖົມ, ໂຮງຮຽນທັງສອງນີ້ລ້ວນແຕ່ຂາດນໍ້າ, ຂາດໄຟຟ້າ, ບໍ່ມີຫ້ອງນໍ້າ...	Với gần 100 em học mẫu giáo và tiểu học, cả hai trường đều không có nước máy, không có điện, không có nhà vệ sinh ...
ເພື່ອແບ່ງເບົາກັບຄວາມຫຍຸ້ງຍາກດັ່ງກ່າວ, ຄະນະບໍລິຫານງານຊາວໜຸ່ມລະຫວ່າງບັນດາໜ່ວຍຊາວໜຸ່ມພະແນກຫວຽດນາມ ວິທະຍາສັງກັດມະຫາວິທະຍາໄລສ້າງຄູຮ່າໂນ້ຍ ໄດ້ພ້ອມກັນຮ່ວມແຮງຮ່ວມໃຈກໍ່ສ້າງຫ້ອງນໍ້າ...	Để giảm bớt những khó khăn đó, Ban Chấp hành Thanh niên Ban Thanh niên Bộ môn Việt Nam dưới sự bảo trợ của Trường Đại học Sư phạm Hà Nội đã chung tay xây dựng nhà vệ sinh ...
ລະດູໜາວຂອງພວກນ້ອງນ້ອຍຢູ່ທີ່ນີ້ໄດ້ມີຄວາມອົບອຸ່ນຕື່ມອີກຍ້ອນໄດ້ຮັບບັນດາສິ່ງທີ່ຈຳເປັນໃນຊີວິດປະຈຳວັນໂດຍບັນດານັກສຶກສາມອບໃຫ້.	Mùa đông đối với các em nhỏ nơi đây càng ấm áp hơn khi các em nhận được những nhu cầu thiết yếu trong cuộc sống hàng ngày do các em học sinh cung cấp.
ບໍ່ພຽງແຕ່ແມ່ນຂອງຂວັນເທົ່ານັ້ນ, ຫາກນີ້ຍັງແມ່ນຄວາມຮັກແພງ, ການແບ່ງປັນນຳກັນອີກດ້ວຍ.	Đây không chỉ là món quà mà nó còn là món quà của tình yêu thương và sự sẻ chia.
ພາບ: ມິງແອງ	Ảnh: Minh Anh
ຄວາມປິຕິຊົມຊື່ນຂອງພວກນ້ອງນ້ອຍຕາແສງ ຫຼູງຟິ່ນ, ເມືອງ ດົ່ງວັນ, ແຂວງ ຮ່າຢາງ ເມື່ອໄດ້ຮັບເສື້ອໂສ້ງກັນໜາວ.	Các em ở xã Lóng Phìn, huyện Đồng Văn, tỉnh Hà Giang được tặng áo thun.
ພາບ: ມິງແອງ	Ảnh: Minh Anh
ບັນດານັກອາສາສະໝັກນໍາໃຊ້ລົດຈັກ ແລະຍ່າງໄປ ເພື່ອຂົນສົ່ງຂອງຂວັນເຖິງໂຮງຮຽນ.	Các tình nguyện viên sử dụng xe máy, đi bộ để phát quà cho trường.
ພາບ: ມິງແອງ	Ảnh: Minh Anh
ແປໂດຍ: ຫງວຽນກຸກ.	Dịch bởi: Nguyen Kuk.
