ກປ.ອອນໄລ - ຕອນເຊົ້າວັນທີ 18 ທັນວາ, ທ່ານປະທານປະເທດ ໄດ້ໄປຢ້ຽມຢາມ ແລະເຮັດວຽກຢູ່ກອງບັນຊາການທະຫານເຂດ 1.	KRR Online - Sáng 18/12, Chủ tịch nước đã đến thăm và làm việc tại Bộ Tư lệnh Quân khu 1.
ພ້ອມກັບທ່ານພົນໂທ ຟານວັນຢາງ, ກຳມະການສູນກາງພັກ, ຄະນະປະຈຳຄະນະພັກການທະຫານສູນກາງ, ຫົວໜ້າກົມໃຫຍ່ເສນາທິການ, ຮອງລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ.	Trung tướng Phan Văn Giang, Ủy viên Trung ương Đảng Cộng sản Việt Nam, Chủ nhiệm Thường vụ Quân ủy Trung ương, Tổng Tham mưu trưởng, Thứ trưởng Bộ Quốc phòng Việt Nam
ທ່ານປະທານປະເທດຫວຽດນາມ ເຈີ່ນດ້າຍກວາງ ມອບຂອງຂວັນທີ່ລະນຶກໃຫ້ແກ່ກອງບັນຊາການທະຫານເຂດ 1.	Chủ tịch nước Trần Đại Quang tặng quà lưu niệm Bộ Chỉ huy Quân sự Khu vực 1.
ພາບ: TTXVN	Ảnh: TTXVN
ຕາງໜ້າຄະນະພັກ, ກອງບັນຊາການທະຫານເຂດ 1, ທ່ານພົນຈັດຕະວາ ໂງມິງຕ໋ຽນ, ຜູ້ບັນຊາການທະຫານເຂດ 1 ລາຍງານໝາກຜົນການປະຕິບັດໜ້າທີ່ຂອງກຳລັງປະກອບອາວຸດທະຫານເຂດ 1 ໃນປີ 2017 ແລະບາງໜ້າທີ່ຈຸດສຸມໃນໄລຍະຈະມາເຖິງ.	Thay mặt Đảng ủy, Bộ Chỉ huy Quân sự Vùng 1, Chuẩn tướng Ngô Minh Tiến, Chỉ huy trưởng Quân sự Vùng 1 đã báo cáo kết quả hoạt động của LLVT Vùng 1 trong năm 2017 và một số lĩnh vực trọng tâm trong thời gian tới.
ຕາມນັ້ນແລ້ວ, ປີ 2017, ຄະນະພັກ, ກອງບັນຊາການທະຫານເຂດ 1 ໄດ້ຊີ້ນຳ, ນຳພາບັນດາອົງການ, ກົມກອງເຊື່ອມຊຶມ ແລະຜັນຂະຫຍາຍປະຕິບັດບັນດາມະຕິ, ຄຳສັ່ງຂອງພັກ, ລັດ, ອົງຄະນະພັກການທະຫານສູນກາງ ແລະກະຊວງປ້ອງກັນປະເທດຢ່າງເຂັ້ມງວດ;	Theo đó, năm 2017, Đảng ủy, Bộ Tư lệnh Quân khu 1 đã chỉ đạo, lãnh đạo các tổ chức, Cục tổng hợp, triển khai thực hiện nghiêm túc các nghị quyết, mệnh lệnh của Đảng, Nhà nước, Đảng ủy Quân sự Trung ương và Bộ Quốc phòng;
ສົມທົບກັບຄະນະພັກ, ອຳນາດການປົກຄອງບັນດາທ້ອງຖິ່ນໃນບໍລິເວນຜັນຂະຫຍາຍວຽກງານປ້ອງກັນຊາດ, ການທະຫານທ້ອງຖິ່ນຢ່າງຮອບດ້ານ, ມີປະສິດທິຜົນ, ປະກອບສ່ວນຍົກສູງຄຸນນະພາບສັງລວມ, ຄວາມສາມາດໃນການກຽມພ້ອມສູ້ຮົບຂອງກຳລັງປະກອບອາວຸດທະຫານເຂດ 1 ໃນສະພາບການໃໝ່....	Phối hợp với cấp ủy, chính quyền địa phương trên địa bàn triển khai công tác quốc phòng, quân sự địa phương toàn diện, hiệu quả, góp phần nâng cao chất lượng tổng hợp, khả năng sẵn sàng chiến đấu của LLVT Quân khu 1 trong tình hình hiện nay .. ..
ຕາງໜ້າການນຳພັກ, ລັດ, ທ່ານປະທານປະເທດ ເຈີ່ນດ້າຍກວາງ ຊົມເຊີຍບັນດາວິລະກຳ, ຜົນງານດີເດັ່ນເຊິ່ງກຳລັງປະກອບອາວຸດທະຫານເຂດ 1 ບັນລຸໄດ້ໃນໄລຍະຜ່ານມາ.	Thay mặt Đảng, Nhà nước, Chủ tịch nước Trần Đại Quang biểu dương những thành tích của LLVT 1 đã đạt được trong thời gian qua.
ທ່ານປະທານປະເທດ ຊີ້ແຈ້ງວ່າ, ໃນຊຸມປີຈະມາເຖິງ, ສະພາບການໂລກ, ພາກພື້ນສືບຕໍ່ມີການຜັນແປຢ່າງສັບສົນທີ່ຍາກຈະຄາດຄະເນລ່ວງໜ້າໄດ້.	Ông chỉ ra rằng trong những năm tới, tình hình toàn cầu trong khu vực sẽ tiếp tục thay đổi theo chiều hướng khó đoán định.
ໃນສະພາບການນັ້ນ, ວາງອອກບັນດາບັນຫາໃໝ່, ຄວາມຮຽກຮ້ອງຕ້ອງການນັບມື້ນັບສູງ.	Trong bối cảnh đó, những vấn đề nảy sinh, yêu cầu ngày càng cao.
ທ່ານປະທານປະເທດຮຽກຮ້ອງກຳລັງປະກອບອາວຸດທະຫານເຂດ 1 ຕ້ອງເພີ່ມທະວີວຽກງານກຳແໜ້ນ, ຄົ້ນຄ້ວາ, ຕີລາຄາ ແລະຄາດຄະເນບັນດາກໍລະນີສັບສົນເກີດຂຶ້ນ...	Chủ tịch nước kêu gọi Lực lượng vũ trang Quân khu 1 tăng cường theo dõi, nghiên cứu, đánh giá, dự báo các vụ việc phức tạp ...
