ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 27 ທັນວາ, ກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ຈັດຕັ້ງກອງປະຊຸມສະຫຼຸບວຽກງານເຕັກນິກໃນທົ່ວກອງທັບປີ 2017.	Chiều 27/12, Bộ Quốc phòng Việt Nam tổ chức Hội nghị tổng kết công tác kỹ thuật toàn quân năm 2017.
ທ່ານພົນໂທ ເບ໋ຊວນເຈື່ອງ, ກໍາມະການສູນກາງພັກ, ຮອງລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດເປັນປະທານກອງປະຊຸມ.	Trung tướng Bế Xuân Trường, Ủy viên Trung ương Đảng, Thứ trưởng Bộ Quốc phòng chủ trì buổi làm việc.
ປີ 2017, ຂະແໜງເຕັກນິກໃນທົ່ວກອງທັບເຂົ້າຮ່ວມຮັບປະກັນດ້ານເຕັກນິກຄົບຈໍານວນ, ມີຄຸນນະພາບດີ, ປະກອບອາວຸດຍຸດໂທປະກອນເຕັກນິກຢ່າງຄົບຊຸດໃຫ້ບັນດາກົມກອງປະຕິບັດໜ້າທີ່ກຽມພ້ອມສູ້ຮົບ, ຝຶກແອບ, ຝຶກຊ້ອມ;	Năm 2017, các lực lượng kỹ thuật trong toàn quân đã tham gia bảo đảm đầy đủ vũ khí trang bị kỹ thuật cao, chất lượng cao cho các phân đội sẵn sàng chiến đấu, huấn luyện, đào tạo;
ປ້ອງກັນກອງປະຊຸມຂັ້ນສູງ APEC;	Bảo vệ hội nghị cấp cao APEC;
ສະກັດກັ້ນ ແລະຕ້ານພາຍຸ, ນໍ້າຖ້ວມ, ການຊອກຫາກູ້ໄພ-ກູ້ຊີບ ແລະບັນດາໜ້າທີ່ອື່ນໆ.	Phòng, chống bão, lụt, tìm kiếm cứu nạn và các đợt lũ lụt khác.
ບັນຍາກາດທີ່ກອງປະຊຸມ.	Không khí cuộc họp.
ພາບ: ດິ່ງຊວນ	Ảnh: Đình Xuân
ກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມ, ທ່ານພົນໂທ ເບ໋ຊວນເຈື່ອງ ຕີລາຄາສູງໝາກຜົນທີ່ບັນລຸໄດ້ໃນປີ 2017;	Phát biểu chỉ đạo Đại hội, Trung tướng Bế Xuân Trường biểu dương những kết quả đạt được trong năm 2017;
ຍ້ອງຍໍຄວາມມານະພະຍາຍາມຂອງຂະແໜງເຕັກນິກໃນທົ່ວກອງທັບ.	Tuyên dương sự nỗ lực của lực lượng kỹ thuật trong toàn quân.
ທ່ານພົນໂທ ເບ໋ຊວນເຈື່ອງ ຍັງຮຽກຮ້ອງໃນປີ 2018, ທົ່ວກອງທັບ ຊາບຊຶມ, ຜັນຂະຫຍາຍຄໍາສັ່ງວຽກງານເຕັກນິກຂອງກະຊວງປ້ອງກັນປະເທດຢ່າງເຂັ້ມງວດ;	Trung tướng Bế Xuân Trường cũng kêu gọi năm 2018, toàn quân thâm nhập, thực hiện nghiêm túc điều lệnh công tác kỹ thuật của Bộ Quốc phòng;
ມານະພະຍາຍາມຍົກສູງຄຸນນະພາບວຽກງານເຕັກນິກໃຫ້ບັນດາໜ້າທີ່;	Mana sẽ cố gắng nâng cao chất lượng công tác kỹ thuật cho các cơ quan chức năng;
ສຸມໃສ່ຝຶກແອບ, ຍົກສູງລະດັບນຳໃຊ້ອາວຸດຍຸດໂທປະກອນເຕັກນິກ, ເປັນຕົ້ນແມ່ນລຸ້ນໃໝ່ ແລະທັນສະໄໝ.	Chú trọng huấn luyện, nâng cao trình độ sử dụng vũ khí kỹ thuật, nhất là mới, hiện đại.
ແປໂດຍ:ຈາງຫງວຽນ.	Dịch bởi: Zhang Nguyen.
