ກປ.ອອນໄລ - ການເຕີບໂຕ GDP ບັນລຸໄດ້ 6,81% - ລະດັບເຕີບໂຕສູງສຸດໃນຊຸມປີຜ່ານມາ.	KPR Online - Tăng trưởng GDP đạt 6,81% - mức tăng trưởng cao nhất trong nhiều năm trở lại đây.
ຄຸນນະພາບການເຕີບໂຕໄດ້ຮັບການຍົກສູງຂຶ້ນຍ້ອນມີການເຕີບໂຕສະມັດຕະພາບການອອກແຮງງານ ແລະປັບປຸງດັດຊະນີສະພາບແວດລ້ອມ...	Chất lượng tăng trưởng ngày càng được cải thiện do năng suất lao động tăng, chỉ số môi trường được cải thiện ...
ທ່ານເລຂາທິການໃຫຍ່ ຫງວຽນຟຸຈ້ອງ ກ່າວຄໍາເຫັນຊີ້ນໍາກອງປະຊຸມ.	Tổng Bí thư Nguyễn Phú Trọng phát biểu chỉ đạo Đại hội.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ	Ảnh: Thông tấn xã Việt Nam
ວັນທີ 28 ທັນວາ, ພາຍໃຕ້ການເປັນປະທານຂອງທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ, ລັດຖະບານໄດ້ດໍາເນີນກອງປະຊຸມຜັນຂະຫຍາຍແຜນການພັດທະນາເສດຖະກິດ-ສັງຄົມ ແລະແຜນງົບປະມານແຫ່ງລັດ ປີ 2018.	Ngày 28/12, dưới sự chủ trì của Thủ tướng Chính phủ Nguyễn Xuân Phúc, Chính phủ đã họp triển khai Kế hoạch phát triển kinh tế - xã hội và ngân sách nhà nước năm 2018.
ທ່ານເລຂາທິການໃຫຍ່ ຫງວຽນຟຸຈ້ອງ ເຂົ້າຮ່ວມ ແລະກ່າວຄໍາເຫັນຊີ້ນໍາກອງປະຊຸມ.	Tổng Bí thư Nguyễn Phú Trọng phát biểu chỉ đạo Đại hội.
ພ້ອມກັນເຂົ້າຮ່ວມມີການນໍາພັກ, ລັດ, ບັນດາຄະນະ, ກະຊວງ, ຂະແໜງການ, ອົງການຂັ້ນສູນກາງ.	Đồng thời có sự tham gia của các cơ quan đảng, nhà nước, các ban, bộ, ban, ngành, đoàn thể Trung ương.
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມ.	Thủ tướng Nguyễn Xuân Phúc phát biểu chỉ đạo buổi gặp mặt.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ	Ảnh: Thông tấn xã Việt Nam
ກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມ, ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ໃຫ້ຮູ້ວ່າ, ເມື່ອຫວນຄືນປີ 2017, ການປະຕິບັດໜ້າທີ່ພັດທະນາເສດຖະກິດ, ສັງຄົມດ້ວຍຄວາມຫຍຸ້ງຍາກ, ສິ່ງທ້າທາຍຫຼາຍຢ່າງ, ສາກົນ ແລະພາກພື້ນຂາດຄວາມໝັ້ນຄົງ, ຫຼາຍປະເທດໃຫຍ່ມີການປັບປຸງຍຸດທະສາດ, ບັນດານະໂຍບາຍການຄ້າ, ການພົວພັນຕ່າງປະເທດສົ່ງຜົນກະທົບໂດຍກົງເຖິງປະເທດຫວຽດນາມ.	Phát biểu chỉ đạo tại buổi làm việc, Thủ tướng Nguyễn Xuân Phúc cho biết, năm 2017, nhiều nước, nhiều quốc gia và khu vực đã có nhiều cải thiện về chiến lược, chính sách thương mại và quan hệ đối ngoại.
ແຕ່ຕົ້ນປີ 2017, ມີຫຼາຍກໍາລັງໜູນໄດ້ເຕີບໂຕເປັນຕົ້ນແມ່ນ: ຂຸດຄົ້ນແຮ່ທາດ, ກະສິກໍາ, ອຸດສາຫະກໍາ....	Nhưng đầu năm 2017 có nhiều thế lực đã lớn mạnh như: khai khoáng, nông nghiệp, công nghiệp….
ເຖິງຢ່າງໃດກໍ່ຕາມ, ດ້ວຍຄວາມມະນະພະຍາຍາມຫຼາຍຢ່າງ, ມາຮອດປະຈຸບັນບັນດາຄາດໝາຍເສດຖະກິດລ້ວນແຕ່ບັນລຸໄດ້, ລື່ນກາຍແຜນການ.	Tuy nhiên, với nhiều cố gắng, đến nay các dự báo kinh tế đều đạt, vượt kế hoạch đề ra.
ການເຕີບໂຕ GDP ບັນລຸໄດ້ 6,81% - ລະດັບເຕີບໂຕສູງສຸດໃນຊຸມປີຜ່ານມາ.	Tăng trưởng GDP đạt 6,81% - mức tăng trưởng cao nhất trong nhiều năm trở lại đây.
ຄຸນນະພາບການເຕີບໂຕໄດ້ຮັບການຍົກສູງຂຶ້ນຍ້ອນມີການເຕີບໂຕສະມັດຕະພາບການອອກແຮງງານ ແລະປັບປຸງດັດຊະນີສະພາບແວດລ້ອມ.	Chất lượng tăng trưởng được cải thiện do năng suất lao động tăng, chỉ số môi trường được cải thiện.
