ກປ.ອອນໄລ - ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ຕົກລົງເຫັນດີມອບສິດໃຫ້ລັດຖະມົນຕີ	Thủ tướng Chính phủ Nguyễn Xuân Phúc đồng ý giao quyền Thủ tướng Chính phủ
ກະຊວງແຮງງານ, ທະຫານເສຍອົງຄະ ແລະສັງຄົມ ຍື່ນສະເໜີຕໍ່ປະທານປະເທດ ເຈິ່ນດ້າຍກວາງ ພິຈາລະນາມອບຂອງຂວັນໃຫ້ຜູ້ທີ່ມີຄຸນງາມຄວາມດີຕໍ່ການປະຕິວັດ ເນື່ອງໃນໂອກາດຕ້ອນຮັບບຸນປີໃໝ່ປະຈໍາຊາດປີຈໍ 2018 ຄືຂໍ້ສະເໜີຂອງກະຊວງ.	Bộ LĐ-TB & XH đã có tờ trình Chủ tịch nước Trần Đại Quang tặng quà người có công với cách mạng nhân dịp Tết Nguyên đán 2018.
ທ່ານ ດ່າວງອັກຢູງ ມອບຂອງຂວັນໃຫ້ເປົ້າໝາຍນະຍບາຍຢູ່ຕາແສງ ຈືກຄາງ, ເມືອງ ຈືກນີງ, ແຂວງນາມດີ້ງ.	Ông Đào Akô Dũng trao quà cho nhóm đối tượng tại xã Chưk Khang, huyện Chúc Ninh, tỉnh Nam Định.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ	Ảnh: Thông tấn xã Việt Nam
ຕາມຂໍ້ສະເໜີຂອງກະຊວງແຮງງານ, ທະຫານເສຍອົງຄະ ແລະສັງຄົມ ແລ້ວ, ຂອງຂວັນໄດ້ແບ່ງເປັນສອງລະດັບແມ່ນ: 400.000 ດົ່ງ ແລະ200.000 ດົ່ງ.	Theo Bộ LĐ-TB & XH, quà tặng được chia thành hai mức: 400.000 đồng và 200.000 đồng.
ໂດຍລະອຽດ, ລະດັບ 400.000 ດົ່ງ/ພູດ ແມ່ນມອບໃຫ້ບັນດາເປົ້າໝາຍ: ຜູ້ທີ່ມີຄຸນງາມຄວາມດີຕໍ່ການປະຕິວັດ (ລວມມີຜູ້ເຄື່ອນໄຫວການປະຕິວັດກ່ອນວັນທີ 1 ມັງກອນ 1945 ພວມໄດ້ຮັບເງິນອຸດໜູນພິເສດແຕ່ລະເດືອນ;	Cụ thể, mức 400.000 đồng / tháng được áp dụng cho các đối tượng: Người có công cách mạng (kể cả người hoạt động cách mạng trước ngày 01/01/1945 đang hưởng trợ cấp đặc biệt hàng tháng);
ຜູ້ເຄື່ອນໄຫວການປະຕິວັດນັບແຕ່ວັນທີ 1 ມັງກອນ 1945 ຫາວັນທີ່ລຸກຮື້ຂຶ້ນເດືອນສິງຫາ 1945 ພວມໄດ້ຮັບເງິນອຸດໜູນພິເສດແຕ່ລະເດືອນ;	Người hoạt động cách mạng từ ngày 01 tháng 01 năm 1945 đến ngày khởi nghĩa tháng Tám năm 1945 đang hưởng trợ cấp đặc biệt hàng tháng;
ແມ່ຫວຽດນາມວິລະຊົນພວມໄດ້ຮັບເງິນອຸດໜູນພິເສດແຕ່ລະເດືອນ;	Bà mẹ Việt Nam anh hùng đang hưởng trợ cấp đặc biệt hàng tháng;
ວິລະຊົນກໍາລັງປະກອບອາວຸດປະຊາຊົນ...	Anh hùng là những người có vũ trang ...
ສ່ວນລະດັບ 200.000 ດົ່ງ/ພູດ ແມ່ນມອບໃຫ້ບັນດາເປົ້າໝາຍ: ຜູ້ທີ່ມີຄຸນງາມຄວາມດີຕໍ່ການປະຕິວັດ (ລວມມີທະຫານເສຍອົງຄະ, ຜູ້ຮັບນະໂຍບາຍຄືທະຫານເສຍອົງຄະ;	Mức 200.000 đồng / lượt nói đối với các đối tượng: Người có công với cách mạng (kể cả thương binh tàn tật, đối tượng chính sách là quân nhân tàn tật;
ຜູ້ຕາງໜ້າຍາດຕິພີ່ນ້ອງນັກຮົບເສຍສະຫຼະຊີວິດເພື່ອຊາດ, ຜູ້ໄຫວ້ບູຊານັກຮົບເສຍສະຫຼະຊີວິດເພື່ອຊາດ (ກໍລະນີນັກຮົບເສຍສະຫຼະຊີວິດເພື່ອຊາດບໍ່ມີຍາດຕິພີ່ນ້ອງ)...	Đại diện thân nhân chiến sĩ hy sinh vì dân tộc, thờ cúng chiến sĩ hy sinh vì dân tộc (trường hợp quân nhân hy sinh vì Tổ quốc không có thân nhân) ...
ຄາດຄະເນວ່າ, ຍອດມູນຄ່າມອບຂອງຂວັນໃຫ້ບັນດາເປົ້າໝາຍດັ່ງກ່າວແມ່ນກວ່າ 386 ຕື້ດົ່ງ.	Ước tính, tổng giá trị quà tặng cho các chỉ tiêu này là hơn 386 tỷ đồng.
ແປໂດຍ: ເຈິ່ນຮວ່ຽນ.	Người dịch: Trần Huyền
