ກປ.ອອນໄລ - ປີ 2017 ໄດ້ອັດລົງດ້ວຍການຜັນແປຫຼາຍຢ່າງ.	KPR Online - 2017 đã khép lại với nhiều biến thể.
ໃນປີໃໝ່ 2018, ການນໍາບັນດາປະເທດລ້ວນແຕ່ຫວັງວ່າ ໂລກ ຈະສາມັກຄີກວ່າເພື່ອຜ່ານຜ່າບັນດາສິ່ງທ້າທາຍອັນໃຫຍ່ຫຼວງ.	Năm mới 2018, lãnh đạo các nước đều mong thế giới đoàn kết hơn nữa để vượt qua những thách thức lớn.
ໃນສານອວຍພອນເນື່ອງໃນໂອກາດປີໃໝ່ 2018, ທ່ານ Antonio Guterres ເລຂາທິການໃຫຍ່ສະຫະປະຊາຊາດ ໄດ້ຍົກອອກຄໍາເຕືອນໄພແດງກ່ຽວກັບບັນດາສິ່ງທ້າທາຍເຊິ່ງທົ່ວໂລກກໍາລັງປະເຊີນໜ້າ.	Trong thông điệp chúc mừng nhân dịp Năm mới 2018, Tổng Thư ký Liên hợp quốc Antonio Guterres đã đưa ra báo động đỏ về những thách thức mà thế giới đang phải đối mặt.
ຕາມທ່ານ Antonio Guterres ແລ້ວ, ປີ 2017 ໂລກ ໄດ້ຜ່ານຜ່າບັນດາໄພນາບຂູ່, ໃນນັ້ນບັນດາການປະທະກັນນັບມື້ນັບຮ້າຍແຮງກໍຄືບັນດາຄວາມວິຕົກກັງວົນຂອງປະຊາຄົມສາກົນກ່ຽວກັບອາວຸດນິວເຄຼຍ ໄດ້ຂຶ້ນເຖິງລະດັບຮ້າຍແຮງທີ່ສຸດນັບແຕ່ສະໄໝສົງຄາມເຢັນ.	Theo ông Antonio Guterres, năm 2017, thế giới đã trải qua một loạt các mối đe dọa, với xung đột ngày càng gia tăng và cộng đồng quốc tế lo ngại về vũ khí hạt nhân đạt mức tồi tệ nhất kể từ khi Chiến tranh Lạnh kết thúc.
ໃນສະພາບການນັ້ນ, ທ່ານເລຂາທິການໃຫຍ່ສະຫະປະຊາຊາດ Antonio Guterres ຖືວ່າ, ພຽງແຕ່ຜ່ານຄວາມສາມັກຄີເທົ່ານັ້ນ, ປະຊາຄົມສາກົນ ຈຶ່ງສາມາດແກ້ໄຂບັນດາການປະທະກັນໄດ້, ຜ່ານຜ່າຄວາມຄຽດແຄ້ນ ແລະປົກປ້ອງບັນດາຄຸນຄ່າລວມ.	Trong bối cảnh đó, Tổng Thư ký Liên hợp quốc Antonio Guterres cho rằng chỉ thông qua đoàn kết, cộng đồng quốc tế mới có thể giải quyết xung đột, vượt qua bất bình và bảo vệ các giá trị chung.
“ຄວາມສາມັກຄີແມ່ນເສັ້ນທາງ , ອະນາຄົດຂອງພວກເຮົາແມ່ນຂຶ້ນກັບຄວາມສາມັກຄີ , Reuters ໄດ້ຄັດຄໍາເວົ້າຂອງທ່ານເລຂາທິການໃຫຍ່ສະຫະປະຊາຊາດ Antonio Guterres ຢັ້ງຢືນ.	"Thống nhất là con đường, tương lai của chúng ta phụ thuộc vào sự đoàn kết", Reuters dẫn lời Tổng thư ký Liên hợp quốc Antonio Guterres nói.
ທ່ານເລຂາທິການໃຫຍ່ສະຫະປະຊາຊາດ Antonio Guterres ຮຽກຮ້ອງໃຫ້ປະຊາຄົມສາກົນ ສາມັກຄີກັນໃນປີໃໝ່ 2018.	Tổng thư ký Liên hợp quốc Antonio Guterres kêu gọi đoàn kết trong cộng đồng quốc tế vào năm 2018
ພາບ: un.org.	Ảnh: un.org.
ໃນຂະນະນັ້ນ, ໃນສານອວຍພອນ, ສັນທະປະປາ Francis ຖືວ່າ, ປີ 2017 ໂລກຖືກທໍາລາຍມ້າງເພຍ້ອນ “ສົງຄາມ, ບັນດາຄໍາຕົວະຍົວະ ແລະຄວາມບໍ່ເປັນທໍາ , ພ້ອມທັງຮຽກຮ້ອງໃຫ້ທຸກຄົນຕ້ອງຮັບຜິດຊອບສໍາລັບບັນດາການກະທໍາຂອງຕົນ.	Đồng thời, Đức Thánh Cha Phanxicô nói rằng năm 2017, thế giới đã bị tàn phá bởi "chiến tranh, dối trá và bất công, và mọi người phải chịu trách nhiệm về hành động của mình."
ສໍາລັບທ່ານປະທານາທິບໍດີ ອາເມລິກາ Donald Trump, ເມື່ອຫວນຄືນປີ 2017, ປະເທດ ອາເມລິກາ ບັນລຸໄດ້ຜົນງານຫຼາຍຢ່າງພໍສົມຄວນຄື: ການປະຕິຮູບລະບົບພາສີອາກອນ ແລະໂຄງການເບິ່ງແຍງດູແລສຸຂະພາບ.	Đối với Tổng thống Hoa Kỳ Donald Trump, tính đến năm 2017, Hoa Kỳ đã đạt được những kết quả đáng kể: cải cách thuế và các chương trình chăm sóc sức khỏe.
ໃນສານອວຍພອນປີໃໝ່, ທ່ານປະທານາທິບໍດີ Donald Trump ຖືວ່າຕະຫຼາດຫຼັກຊັບຈະສືບຕໍ່ຈະເລີນເຕີບໂຕ ແລະບັນດາບໍລິສັດຈະສືບຕໍ່ລົງທຶນເຂົ້າ ອາເມລິກາ.	Trong thông điệp đầu năm mới của mình, Tổng thống Donald Trump cho biết thị trường chứng khoán sẽ tiếp tục phát triển và các công ty sẽ tiếp tục đầu tư vào Hoa Kỳ.
