ກປ.ອອນໄລ - ລວມຍອດຜະລິດຕະພັນພາຍໃນ ຂົງເຂດກະສິກຳ, ປ່າໄມ້ ແລະສິນໃນນ້ຳເພີ່ມຂຶ້ນ 2,9%.	KPR Online - Tổng sản phẩm trong nước ngành nông, lâm nghiệp và thủy sản tăng 2,9%.
ລວມຍອດ ວົງ ເງິນສົ່ງອອກບັນລຸໄດ້ກ່ວາ 36 ຕື້ໂດລາສະຫະລັດ...	Tổng kim ngạch xuất khẩu đạt hơn 36 tỷ đô la Mỹ ...
ຕອນເຊົ້າວັນທີ 4 ມັງກອນ, ຢູ່ຮ່າໂນ້ຍ, ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ເຂົ້າຮ່ວມກອງປະຊຸມຜ່ານທາງອິນເຕີເນັດສະຫຼຸບປີ 2017 ແລະຜັນຂະຫຍາຍແຜນການປີ 2018 ຂະແໜງກະສິກຳ ແລະພັດທະນາຊົນນະບົດ.	Sáng 4/1, tại Hà Nội, Thủ tướng Chính phủ Nguyễn Xuân Phúc dự Hội nghị trực tuyến tổng kết kế hoạch năm 2017 và triển khai kế hoạch năm 2018 ngành nông nghiệp và phát triển nông thôn.
ເຂົ້າຮ່ວມມີການນຳບັນດາກະຊວງ, ຂະແໜງການ, ບັນດາທ້ອງຖິ່ນຜ່ານທາງອິນເຕີເນັດ.	Tham gia lãnh đạo các bộ, ban, ngành, địa phương qua mạng Internet.
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມ.	Thủ tướng Chính phủ Nguyễn Xuân Phúc phát biểu chỉ đạo buổi gặp mặt.
ພາບ: VGP/ກວາງຮ່ຽວ	Ảnh: VGP / Quang Hiếu
ລາຍງານທີ່ກອງປະຊຸມ, ທ່ານລັດຖະມົນຕີກະຊວງກະສິກຳ ແລະພັດທະນາຊົນນະບົດ ຫງວຽນຊວນເກື່ອງ ໃຫ້ຮູ້ວ່າ, ລວມຍອດຜະລິດຕະພັນພາຍໃນຂົງເຂດກະສິກໍາ, ປ່າໄມ້ ແລະສິນໃນນ້ຳເພີ່ມຂຶ້ນ 2,9%.	Theo Bộ trưởng Bộ Nông nghiệp và Phát triển nông thôn Nguyễn Xuân Cường, tổng sản phẩm trong nước khu vực nông, lâm, thủy sản tăng 2,9%.
ໝາກຜົນດັ່ງກ່າວມີຄວາມມານະພະຍາຍາມຂອງຂະແໜງໃນສະພາບການປ່ຽນແປງຂອງດິນຟ້າອາກາດ, ໄພທຳມະຊາດ, ພາຍຸນ້ຳຖ້ວມເກີດຂຶ້ນຢ່າງຕໍ່ເນື່ອງ.	Do đó, có một nỗ lực phối hợp trong bối cảnh biến đổi khí hậu, thiên tai và lũ lụt.
ບັນດາຕົວເລກຄາດໝາຍໄດ້ປະຕິບັດສຳເລັດເປັນຢ່າງດີຄື: ວົງເງິນສົ່ງອອກ, ກໍ່ສ້າງຊົນນະບົດໃໝ່, ກໍ່ສ້າງລະບອບ ແລະດຶງດູດວິສາຫະກິດລົງທຶນເຂົ້າຂະແໜງ.	Các con số kỳ vọng đã đạt được: kim ngạch xuất khẩu, phát triển nông thôn, xây dựng chế độ và thu hút doanh nghiệp đầu tư vào ngành.
ຄຸນນະພາບການເຕີບໂຕຂອງຂະແໜງກໍ່ໄດ້ຮັບການປັບປຸງໃຫ້ດີຂຶ້ນ.	Chất lượng tăng trưởng của ngành cũng được nâng cao.
ປະກອບສ່ວນເຂົ້າໃນໝາກຜົນດັ່ງກ່າວມີປັດໄຈຫັນປ່ຽນໂຄງປະກອບຜະລິດຕະພັນຢ່າງແຮງຕາມທິດເພີ່ມອັດຕາສ່ວນຂອງບັນດາຂະແໜງສິນຄ້າ, ຜະລິດຕະພັນທີ່ມີທ່າແຮງ ແລະຕະຫຼາດຢ່າງສະດວກ.	Đóng góp vào kết quả này là yếu tố chuyển đổi mạnh mẽ cơ cấu sản phẩm theo hướng tăng tỷ trọng ngành hàng, sản phẩm tiềm năng, thị trường thuận tiện.
ຕະຫຼາດບໍລິໂພກຜະລິດຕະພັນກະເສດນັບມື້ນັບໄດ້ຮັບການເປີດກວ້າງ, ໃນນັ້ນລວມຍອດວົງເງິນສົ່ງອອກບັນລຸໄດ້ກວ່າ 36 ຕື້ໂດລາສະຫະລັດ, ສູງທີ່ສຸດນັບແຕ່ກ່ອນມາຮອດປະຈຸບັນ ແລະເພີ່ມຂຶ້ນເຖິງ 13% ເມື່ອທຽບໃສ່ປີ 2016.	Thị trường tiêu thụ nông sản ngày càng rộng mở, với tổng kim ngạch xuất khẩu đạt hơn 36 tỷ đô la Mỹ, cao nhất từ trước đến nay và tăng 13% so với năm 2016.
ປີຜ່ານມາກະຊວງກໍ່ໄດ້ຜັນຂະຫຍາຍແຜນນະໂຍບາຍຂອງລັດຖະບານກ່ຽວກັບການຊຸກຍູ້ກະສິກໍາເຕັກໂນໂລຢີສູງ, ກະສິກໍາສະອາດ.	Năm ngoái, Bộ đã thực hiện chính sách của Chính phủ về thúc đẩy nông nghiệp sạch, công nghệ cao.
ບາງທ້ອງຖິ່ນກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມໂດຍໃຫ້ຮູ້ວ່າ, ພວມສຸມໃສ່ເຂົ້າໃນການພັດທະນາກະສິກໍາເຕັກໂນໂລຢີສູງ, ສ້າງຜະລິດຕະພັນທີ່ມີມູນຄ່າເພີ່ມສູງ.	Một số người dân địa phương nêu ý kiến tại buổi làm việc cho rằng đang tập trung phát triển nông nghiệp công nghệ cao, tạo ra sản phẩm có giá trị gia tăng cao.
ກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມ, ທ່ານ ເລມີງຮວານ, ເລຂາພັກແຂວງ ດົງທາບ, ເຊິ່ງແມ່ນທ້ອງຖິ່ນມີກົນໄກກະສິກໍາປະສົບຜົນສໍາເລັດທີ່ສຸດ, ໃນນັ້ນມີຮູບແບບ “ສຳນັກສະມາຄົມຊາວກະສິກອນ ຖືວ່າ, ພ້ອມກັບການຍູ້ແຮງການສົ່ງອອກນັ້ນຕ້ອງເອົາໃຈໃສ່ເປັນພິເສດເຖິງຕະຫຼາດພາຍໃນປະເທດ.	Phát biểu tại buổi làm việc, ông Lê Minh Hoan, Bí thư Tỉnh ủy Đồng Tháp, tỉnh có cơ chế nông nghiệp rất thành công cho biết: “Các cấp hội nông dân cần đặc biệt quan tâm đến việc đẩy mạnh xuất khẩu vào thị trường nội địa.
ຍ້ອນວ່າໃນສະພາບຕົວຈິງສິນຄ້າຜະລິດຕະພັນກະເສດໄດ້ນໍາເຂົ້າເຂົ້າຕະຫຼາດຫວຽດນາມ ນັບມື້ນັບຫຼາຍຂຶ້ນ.	Bởi trên thực tế, ngày càng nhiều nông sản được nhập khẩu vào thị trường Việt Nam.
ສະນັ້ນຕ້ອງສ້າງຄວາມໄວ້ເນື້ອ ເຊື່ອໃຈຂອງຜູ້ບໍລິໂພກພາຍໃນປະເທດຕໍ່ຜະລິດຕະພັນກະເສດທີ່ຜະລິດຢູ່ພາຍໃນປະເທດ.	Vì vậy, cần tạo dựng niềm tin của người tiêu dùng trong nước đối với nông sản sản xuất trong nước.
ແປໂດຍ: ຫງວຽນກຸກ.	Dịch bởi: Nguyen Kuk.
