ກປ.ອອນໄລ - ຕອນເຊົ້າວັນທີ 5 ມັງກອນ, ຢູ່ນະຄອນ ໂຮ່ຈິມິນ, ທ່ານນາຍົກລັດຖະມົນຕີ	Sáng 5/1, tại TP.
ຫງວຽນຊວນຟຸກ ເຂົ້າຮ່ວມ ແລະກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມຄະນະກໍາມະການສູນກາງແນວໂຮມປະເທດຊາດຫວຽດນາມ ຄັ້ງທີ 8.	Nguyễn Xuân Phúc phát biểu tại Hội nghị Ủy ban Trung ương Mặt trận Quốc gia Việt Nam lần thứ 8.
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ເຂົ້າຮ່ວມ ແລະກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມຄະນະກໍາມະການສູນກາງແນວໂຮມປະເທດຊາດຫວຽດນາມ ຄັ້ງທີ 8.	Thủ tướng Chính phủ Nguyễn Xuân Phúc phát biểu tại Hội nghị Ủy ban Trung ương Mặt trận Dân tộc Việt Nam lần thứ 8.
ພາບ: vov.vn	Ảnh: vov.vn
ພ້ອມກັນເຂົ້າຮ່ວມຍັງມີການນໍາ, ອະດີດການນໍາພັກ, ລັດ ແລະຜູ້ຕາງໜ້າຜູ້ຊົງຄຸນວຸດທິ, ປັນຍາຊົນ, ປະຊາຊົນທຸກຊັ້ນວັນນະ.	Tham dự còn có các đồng chí lãnh đạo, nguyên lãnh đạo Đảng, Nhà nước và các đồng chí có trình độ, trí thức, các tầng lớp nhân dân.
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມ.	Thủ tướng Chính phủ Nguyễn Xuân Phúc phát biểu chỉ đạo buổi gặp mặt.
ພາບ: vov.vn	Ảnh: vov.vn
ກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມ, ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ເນັ້ນໜັກເຖິງການປະຕິບັດລັດຖະບານແຫ່ງການກະທໍາ, ຊື່ສັດບໍລິສຸດ, ສ້າງສັນພັດທະນາ, ຮັບໃຊ້ປະຊາຊົນ, ສ້າງຄວາມໄວ້ເນື້ອເຊື່ອໃຈເພື່ອໃຫ້ປະຊາຊົນປະກອບສ່ວນພັດທະນາເສດຖະກິດ-ສັງຄົມ.	Phát biểu chỉ đạo tại buổi làm việc, Thủ tướng Nguyễn Xuân Phúc nhấn mạnh Chính phủ cần phải hành động liêm chính, sáng tạo, phát triển, phục vụ nhân dân, xây dựng niềm tin để nhân dân đóng góp vào phát triển kinh tế - xã hội.
ລັດຖະບານກໍ່ຕີລາຄາສູງແນວໂຮມປະເທດຊາດຫວຽດນາມ ໃນການໜູນຊ່ວຍຜູ້ດ້ອຍໂອກາດ, ຄົນທຸກຍາກຖືກສູນເສຍຈາກໄພພິບັດທຳມະຊາດນໍ້າຖ້ວມ, ສະແດງລັກສະນະວັດທະນະທຳມະນຸດຢ່າງເລິກເຊິ່ງ.	Chính phủ đánh giá cao Mặt trận Dân tộc Việt Nam giúp đỡ người nghèo, người nghèo và những người bị ảnh hưởng bởi lũ lụt, đồng thời ghi nhận sâu sắc nét văn hóa nhân văn.
ທ່ານນາຍົກລັດຖະມົນຕີກໍ່ເຫັນດີເຫັນພ້ອມກັບຄໍາເຫັນຂອງຜູ້ແທນ ເຢືອງຈູງກວກ ກ່ຽວກັບການຍົກມະໂນພາບສິນຄ້າຫວຽດນາມກັບຕະຫຼາດຫວຽດນາມ ແທນທີ່ໃຫ້ພຽງແຕ່ແມ່ນບັ້ນຂົນຂວາຍຊາວຫວຽດນາມ ບຸລິມະສິດຊົມໃຊ້ສິນຄ້າຫວຽດນາມ.	Thủ tướng Nguyễn Tấn Dũng đồng ý với phát biểu của ông Dương Trung Quốc về việc nâng tầm hàng Việt Nam vào thị trường Việt Nam, thay vì chỉ khuyến khích người Việt Nam ưu tiên tiêu dùng hàng Việt Nam.
ໃນໄລຍະຈະມາເຖິງ, ທ່ານນາຍົກລັດຖະມົນຕີ ສະເໜີແນວໂຮມປະເທດຊາດຫວຽດນາມ ເຂົ້າຮ່ວມການຕິດຕາມກວດກາຕື່ມບັນດາບັນຫາໃຫຍ່ ເຊິ່ງປະຊາຊົນມີຄວາມເອົາໃຈໃສ່ຄື: ປະຕິຮູບລະບຽບການດ້ານບໍລິຫານ, ປັບປຸງສະພາບແວດ ລ້ອມແຫ່ງການດໍາເນີນທຸລະກິດ,....	Sắp tới, Thủ tướng Nguyễn Tấn Dũng sẽ tham gia thị sát thêm nhiều vấn đề lớn mà người dân quan tâm: cải cách hành chính, cải thiện môi trường kinh doanh, v.v.
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ໂອ້ລົມກັບບັນດາຜູ້ແທນເຂົ້າຮ່ວມກອງປະຊຸມ.	Thủ tướng Nguyễn Xuân Phúc phát biểu trước các đại biểu.
ພາບ: vov.vn	Ảnh: vov.vn
ໃຫ້ຮູ້ວ່າປີ 2018 ແມ່ນປີບານພັບເພື່ອປະຕິບັດໜ້າທີ່ເສດຖະກິດ-ສັງຄົມ ໄລຍະ 2016-2020, ທ່ານນາຍົກລັດຖະມົນຕີ ປາດຖະໜາວ່າ ແນວໂຮມປະເທດຊາດຫວຽດນາມ ຈະສົມທົບກັບລັດຖະບານ, ເສີມຂະຫຍາຍບົດບາດສໍາຄັນໃນການແຜ່ຂະຫຍາຍ, ເພີ່ມທະວີຄວາມຕັດສິນໃຈ, ຄວາມສາມັກຄີເຫັນດີເປັນເອກະພາບທົ່ວປະເທດປະຕິບັດໜ້າທີ່ນີ້ກວ່າອີກ;	Nhận định năm 2018 là năm bản lề phát triển kinh tế - xã hội giai đoạn 2016 - 2020, Thủ tướng Chính phủ mong muốn Mặt trận Dân tộc thống nhất chính quyền, tăng cường vai trò quan trọng trong việc tạo sức lan tỏa, tăng thêm ý chí quyết tâm, đoàn kết cả nước.
ປັບປຸງຄວາມໄວ້ເນື້ອເຊື່ອໃຈຂອງປະຊາຊົນທີີ່ມີຕໍ່ພັກ, ລັດ.	Nâng cao lòng tin của nhân dân đối với đảng và nhà nước.
ໃນວຽກງານກໍ່ສ້າງພັກ, ຕ້ານການເຊື່ອມທາດຂາດຄຸນ, ການຜັນແປດ້ວຍຕົນເອງ, ການຫັນປ່ຽນດ້ວຍຕົນເອງໃນໝູ່ພະນັກງານສະມາຊິກພັກ, ວຽກງານສະກັດກັ້ນ ແລະຕ້ານການສໍ້ລາດບັງຫຼວງ, ທ່ານນາຍົກລັດຖະມົນຕີ ສະເໜີແນວໂຮມປະເທດຊາດຫວຽດນາມ ຕ້ອງເປັນສະຖານທີ່ເພື່ອໃຫ້ປະຊາຊົນທຸກຄົນສາມາດສ່ອງແສງ ແລະກ່າວໂທດພະນັກງານມີປະກົດການເຊື່ອມທາດຂາດຄຸນ, ບັນດາເຫດການລົບກວນປະຊາຊົນ.	Trong công tác xây dựng đảng, phòng, chống tham nhũng, tự diễn biến, tự chuyển hóa trong đội ngũ cán bộ của Đảng, phòng, chống tham nhũng, Thủ tướng Chính phủ Việt Nam phải là nơi để mọi người dân soi sáng. sự áp bức, áp bức của nhân dân.
ວຽກງານຕິດຕາມກວດກາ ແລະໄຈ້ແຍກຕີລາຄາສັງຄົມ, ເຂົ້າຮ່ວມການກໍ່ສ້າງພັກ, ກໍ່ສ້າງອໍານາດການປົກຄອງໄດ້ຮັບການຜັນຂະຫຍາຍຢ່າງແໜ້ນແຟ້ນ, ມີປະສິດທິຜົນກວ່າ.	Công tác giám sát, đánh giá xã hội, tham gia xây dựng đảng, xây dựng chính quyền được thực hiện mạnh mẽ và hiệu quả hơn.
ໃນນັ້ນໄດ້ປະກາດໃຊ້ “ປຶ້ມຄູ່ມືວຽກງານຕິດຕາມກວດກາ ແລະໄຈ້ແຍກຕີລາຄາສັງຄົມຂອງແນວໂຮມປະເທດຊາດຫວຽດນາມ.	Nó công bố việc sử dụng “Sổ tay Giám sát và Đánh giá Xã hội của Mặt trận Quốc gia Việt Nam”.
ແປໂດຍ: ຫງວຽນກຸກ.	Dịch bởi: Nguyen Kuk.
