ກປ.ອອນໄລ - “ທຶ້ງ...ທຶ້ງ...	KP Online - “Thung ... Thung ...
ທຶ້ງ...	Thung ...
ສຽງກ້ອງດັງກ້ອງກັງວານ ໄດ້ດຶງດູດນັກທ່ອງທ່ຽວຫຼາຍຄົນມາຊົມງານມະໂຫລານຟ້ອນສິງໂຕ-ມັງກອນ ນະຄອນ ໂຮ່ຈິມິນ ເປີດກ້ວາງຄັ້ງທີ 2 ເຊິ່ງຫາກໍ່ໄດ້ດໍາເນີນຢູ່ສວນສາທາລະນະວັດທະນະທໍາ ເດີ່ມແຊນ, ເມືອງ 11 (ນະຄອນ ໂຮ່ຈິມິນ).	Liên hoan Múa Lân sư rồng TP.HCM mở rộng lần thứ 2 vừa được tổ chức tại Công viên Văn hóa Đa Khoa, Q.11 (TP.HCM).
ຢູ່ເທິງບັນດາເສົາດ້ວຍເຫຼັກ ແລະແຜ່ນໄມ້ແປ້ນນ້ອຍໆ, ແຕ່ດ້ວຍເຕັກນິກທີ່ຄ່ອງແຄ້ວ, ຊັດເຈນ, ບັນດານັກກິລາໄດ້ເຄື່ອນຍ້າຍເຂົ້າແກັບກັນໃນສຽງກອງຢ່າງມີຊີວິດຊີວາ.	Trên những chiếc cọc bằng thép và ván gỗ nhỏ nhưng với kỹ thuật chuẩn xác, các vận động viên đã hòa vào nhau trong âm thanh sôi động.
ບັນດາກິລິຍາທ່າທາງລະມຸນລະມ່ອມ, ໂຍນຮັບທີ່ເຕັມໄປດ້ວຍຄວາມສ່ຽງໄພນັ້ນ, ບໍ່ພຽງແຕ່ສ້າງຄວາມນິຍົມໃຫ້ແກ່ນັກທ່ອງທ່ຽວເທົ່ານັ້ນ, ຫາກຍັງເຮັດໃຫ້ເຂົາເຈົ້າຕົກໃຈອີກດ້ວຍ.	Những cử chỉ nhẹ nhàng, đầy mạo hiểm không chỉ khiến du khách thích thú mà còn gây sốc.
ພ້ອມກັນນັ້ນແມ່ນການສະແດງຕີມວຍຢ່າງເຂັ້ມແຂງ, ແຍບຍົນ, ສ້າງຄວາມດູດດື່ມເປັນເອກະລັກສະເພາະ ແລະດູດດຶ່ມໃຫ້ແກ່ສິລະປະຟ້ອນສິງໂຕ-ມັງກອນ.	Đồng thời có màn biểu diễn đấm bốc, đánh máy bay mạnh mẽ, tạo nên sức hút riêng, hấp dẫn cho nghệ thuật múa lân-sư-rồng.
ລາຍການສະແດງຟ້ອນສິງໂຕ - ມັງກອນ ທີ່ງານມະໂຫລານ.	Chương trình Múa Lân-Sư-Rồng tại Lễ hội.
ພາບ: ຢຸຍຫງວຽນ	Ảnh: Duy Nguyễn
ອ້າຍ ຕຽ໋ນໂລກ, ສະມາຊິກໃນກອງຟ້ອນສິງໂຕ-ມັງກອນ ຊວນຮວາເດື່ອງ ນະຄອນ ໂຮ່ຈິມິນ ໃຫ້ຮູ້ວ່າ: ຢາກຟ້ອນສິງໂຕ-ມັງກອນໃຫ້ໄດ້ນັ້ນ, ບັນດານັກກິລາຕ້ອງຜ່ານການຝຶກຝົນຫຼໍ່ຫຼອມຢ່າງລໍາບາກ, ຈຶ່ງມີຄວາມຄ່ອງແຄ່ວ, ທົນທານ, ຊັດເຈນ ແລະມີຈິດໃຈກ້າຫານ.	Tiến Lộc, thành viên Đoàn Múa Lân Sư Rồng Hoa Đường, TP.HCM cho biết, để múa được Lân Sư Rồng, các vận động viên phải được rèn luyện tính nhanh nhẹn, kiên cường, sáng suốt và dũng cảm.
ບັນດານັກກິລາຕ້ອງມີສຸຂະພາບແຂງແຮງ, ຝຶກແອບທັກສະຢືນເທິງຕີນ, ກົກຂາ, ບ່າໄຫຼ່...	Vận động viên phải có sức khỏe, rèn luyện các kỹ năng đứng trên bàn chân, chân, vai ...
ຂອງເພື່ອນຮ່ວມສະແດງເພື່ອປະຕິບັດການລົ້ມຂວ້ຳລົ້ມຫງານ.	Của các nhà triển lãm đồng nghiệp để thực hiện các ngã hoặc ngã.
ສິລະປະຟ້ອນສິງໂຕ-ມັງກອນ ໄດ້ກາຍເປັນຮູບການດໍາເນີນຊີວິດດ້ານວັດທະນະທໍາພື້ນເມືອງທີ່ເປັນເອກະລັກສະເພາະ, ປະກອບສ່ວນສ້າງຄວາມຮັ່ງມີໃຫ້ສາງວັດທະນະທໍາຂອງຊາດ, ຕອບສະໜອງຄວາມຕ້ອງການຊົມໃຊ້ວັດທະນະທໍາເປັນຫຼາຍຮູບຫຼາຍແບບຂອງນັກທ່ອງທ່ຽວ.	Múa lân-sư-rồng đã trở thành một hình thức sinh hoạt văn hóa truyền thống đặc sắc, góp phần làm phong phú thêm di sản văn hóa dân tộc, đáp ứng nhu cầu văn hóa đa dạng của du khách.
ຟ້ອນສິງໂຕ-ມັງກອນ ເຄີຍຈັດຕັ້ງໃນໂອກາດງານບຸນ, ບຸນເຕັດ, ເປີດສະຫຼອງ...ທີ່ງານມະໂຫລານຟ້ອນສິງໂຕ-ມັງກອນນະຄອນ ໂຮ່ຈິມິນ ເປີດກ້ວາງ ຄັ້ງນີ້, ບັນດາທີມເຂົ້າຮ່ວມລ້ວນແຕ່ມີຫົວຄິດປະດິດສ້າງໃນການແນະນຳວັດທະນະທໍາຫວຽດນາມ ຜ່ານແຕ່ລະລາຍການເຖິງນັກທ່ອງທ່ຽວ.	Liên hoan Múa Lân-Sư-Rồng được tổ chức trong khuôn khổ Liên hoan Múa Lân-Sư-Rồng Thành phố Hồ Chí Minh, các đội tham gia đều sáng tạo trong việc giới thiệu văn hóa Việt Nam vào từng chương trình.
ທ່ານ ມາຍບ໋າຮຸ່ງ, ຮອງຜູ້ອໍານວຍການພະແນກວັດທະນະທໍາ, ກິລາ ແລະທ່ອງທ່ຽວ ນະຄອນໂຮ່ຈິມິນ ໃຫ້ຮູ້ວ່າ: ເມື່ອທຽບໃສ່ຊຸມປີກ່ອນແລ້ວ, ປີນີ້, ຈໍານວນທີມ, ນັກກິລາເຂົ້າຮ່ວມງານມະໂຫລານ ໄດ້ເພີ່ມຂຶ້ນນັບທັງດ້ານປະລິມານ ແລະຄຸນນະພາບ.	Ông Mai Bá Hùng, Phó Giám đốc Sở Văn hóa, Thể thao và Du lịch Thành phố Hồ Chí Minh cho biết: “So với những năm trước, số lượng đoàn, vận động viên tham gia ngày hội tăng cả về số lượng và chất lượng.
ສິ່ງດັ່ງກ່າວສະແດງໃຫ້ເຫັນການພັດທະນາ, ຄວາມດູດດຶ່ມຂອງຟ້ອນສິງໂຕ-ມັງກອນ ສໍາລັບມະຫາຊົນ.	Điều này cho thấy sự phát triển, sức hút của múa lân-sư-rồng đối với quần chúng nhân dân.
