ກປ.ອອນໄລ - ວັນທີ 15 ມັງກອນ, ກະຊວງຕໍາຫຼວດຫວຽດນາມ ໄດ້ໄຂກອງປະຊຸມຕໍາຫຼວດ ທົ່ວປະເທດຄັ້ງທີ 73.	KPR Online - Ngày 15/1, Bộ Công an Việt Nam tổ chức Hội nghị Công an toàn quốc lần thứ 73.
ທ່ານເລຂາທິການໃຫຍ່ ຫງວຽນຟູ໋ຈ້ອງ ເຂົ້າຮ່ວມ ແລະກ່າວຄໍາເຫັນຊີ້ນໍາ.	Tổng Bí thư Nguyễn Phú Trọng phát biểu chỉ đạo.
ທ່ານພົນໂທ ໂຕເລິມ, ກໍາມະການກົມການເມືອງ, ເລຂາຄະນະພັກຕໍາຫຼວດສູນກາງ, ລັດຖະມົນຕີກະຊວງຕໍາຫຼວດ ເປັນປະທານກອງປະຊຸມ.	Trung tướng Tô Lâm, Ủy viên Tổng cục Chính trị, Bí thư Đảng ủy Công an Trung ương, Bộ trưởng Bộ Công an chủ trì buổi làm việc.
ເຂົ້າຮ່ວມຍັງມີຜູ້ຕາງໜ້າບັນດາການນໍາອົງການ, ຂະແໜງການທີ່ກ່ຽວຂ້ອງເຂົ້າຮ່ວມຢ່າງພ້ອມພຽງ.	Tham dự còn có đại diện lãnh đạo tổ chức và các bộ phận liên quan.
ປີ 2017, ກໍາລັງຕໍາຫຼວດປະຊາຊົນ ໄດ້ປະຕິບັດພາລະບົດບາດເປັນເສນາທິການຕໍ່ພັກ, ລັດ ກ່ຽວກັບບັນດາບັນຫາໂດຍພື້ນຖານ, ຍຸດທະສາດໃນບັນດາຂົງເຂດການເມືອງ, ເສດຖະກິດ, ການພົວພັນຕ່າງປະເທດ, ຮັບປະກັນຜົນປະໂຫຍດ, ຄວາມໝັ້ນຄົງແຫ່ງຊາດ, ຄວາມເປັນລະບຽບຮຽບຮ້ອຍທາງສັງຄົມເປັນຢ່າງດີ.	Năm 2017, lực lượng Công an nhân dân đã làm đầu mối quan hệ với Đảng, Nhà nước về những vấn đề cơ bản, chiến lược trên các lĩnh vực chính trị, kinh tế, đối ngoại, bảo đảm lợi ích, an ninh quốc gia, trật tự xã hội.
ບັນດາກົມກອງໄດ້ສ້າງວິທີການ, ແຜນການ, ຈັດຕັ້ງຜັນຂະຫຍາຍບັນດາມາດຕະການວຽກງານປ້ອງກັນຄວາມໝັ້ນຄົງ, ຄວາມປອດໄພບັນດາເປົ້າໝາຍ, ເຫດການການເມືອງ, ປ້ອງກັນຄວາມໝັ້ນຄົງ, ຄວາມປອດໄພສັບປະດາຂັ້ນສູງ APEC ຢ່າງເດັດຂາດ, ຍົກສູງຖານະບົດບາດ, ອິດທິພົນຊື່ສຽງຂອງ ຫວຽດນາມ ໃນເວທີສາກົນ.	Các Sở đã xây dựng phương pháp, kế hoạch và triển khai các biện pháp an ninh, mục tiêu an ninh, các sự kiện chính trị, an ninh, Tuần lễ Cấp cao APEC, nâng cao vị thế và ảnh hưởng của Việt Nam trên trường quốc tế.
ວຽກງານຕ້ານ ແລະສະກັດກັ້ນອາດຊະຍາກໍາ ບັນລຸໄດ້ 10,41% ເມື່ອທຽບໃສ່ຕົວເລກຄາດໝາຍທີ່ສະພາແຫ່ງຊາດວາງອອກ;	Phòng, chống tội phạm đạt 10,41% so với dự toán Quốc hội giao;
ສືບສວນ-ສອບສວນ, ຄົ້ນຫາບັນດາຄະດີທີ່ຮ້າຍແຮງໂດຍໄວ, ລະງັບການເພີ່ມຂຶ້ນຂອງອາດຊະຍາກໍາ, ຄວາມເປັນລະບຽບຮຽບຮ້ອຍ, ຄວາມປອດໄພທາງສັງຄົມມີການຫັນປ່ຽນຢ່າງຕັ້ງໜ້າ...	Điều tra, khám phá nhanh các vụ án nghiêm trọng, ngăn chặn sự gia tăng của tội phạm, trật tự, an toàn xã hội có bước chuyển biến căn bản ...
ທ່ານເລຂາທິການໃຫຍ່ ຫງວຽນຟູຈ້ອງ ແລະບັນດາຜູ້ແທນເຂົ້າຮ່ວມກອງປະຊຸມ.	Tổng Bí thư Nguyễn Phú Trọng và các đại biểu dự đại hội.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ຕໍາຫຼວດປະຊາຊົນ ໄດ້ປະສານສົມທົບຢ່າງແໜ້ນແຟ້ນກັບກອງທັບປະຊາຊົນ, ບັນດາກະຊວງ, ຂະແໜງການ, ທ້ອງຖິ່ນຮັກສາຄວາມໝັ້ນຄົງແຫ່ງຊາດ, ຮັບປະກັນຄວາມເປັນລະບຽບຮຽບຮ້ອຍຄວາມປອດໄພໃນທຸກກໍລະນີ, ບໍ່ໃຫ້ຕົກຢູ່ໃນທ່າຮັບ, ບັງເອີນ;	Công an nhân dân đã phối hợp chặt chẽ với Quân đội nhân dân, các Bộ, Ban, ngành, địa phương giữ vững an ninh quốc gia, bảo đảm an ninh trật tự trong mọi trường hợp, không để xảy ra tai nạn.
ປະກອບສ່ວນຮັກສາຄວາມໝັ້ນຄົງດ້ານການເມືອງ, ສ້າງສະພາບແວດລ້ອມແຫ່ງຄວາມໝັ້ນຄົງ, ຄວາມປອດໄພ, ປອດໃສຮັບໃຊ້ໜ້າທີ່ພັດທະນາເສດຖະກິດ, ສັງຄົມ.	Góp phần giữ vững ổn định chính trị, tạo môi trường ổn định, an ninh, an toàn để phát triển kinh tế, xã hội.
ທ່ານເລຂາທິການໃຫຍ່ ຫງວຽນຟູຈ້ອງ ກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມ.	Tổng Bí thư Nguyễn Phú Trọng phát biểu chỉ đạo Đại hội.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ປີ 2018, ຂະແໜງຕໍາຫຼວດສືບຕໍ່ປະຕິບັດບັນດາແຜນນະໂຍບາຍຂອງພັກ, ລັດ ກ່ຽວກັບວຽກງານຮັບປະກັນຄວາມໝັ້ນຄົງ, ຄວາມເປັນລະບຽບຮຽບຮ້ອຍຢ່າງເຂັ້ມງວດ ແລະມີປະສິດທິຜົນ;	Năm 2018, ngành Công an tiếp tục thực hiện các chủ trương chính sách của Đảng, Nhà nước về công tác bảo đảm an ninh, trật tự, nghiêm minh, hiệu quả;
ຄົ້ນຄວ້າ, ໄຈ້ແຍກ, ຕີລາຄາ, ຄາດຄະເນສະພາບການຢ່າງໃກ້ຊິດ ເພື່ອເປັນເຈົ້າການ, ເປັນເສນາທິການຕໍ່ພັກ, ລັດ ປະກາດໃຊ້ບັນດາແຜນນະໂຍບາຍ, ມາດຕະການເພື່ອແນໃສ່ປະຕິບັດໜ້າທີ່ປ້ອງກັນຄວາມເປັນລະບຽບຮຽບຮ້ອຍ, ຄວາມປອດໄພຢ່າງມີໄຊ, ຮັບໃຊ້ການພັດທະນາເສດຖະກິດ, ສັງຄົມ ແລະການພົວພັນຕ່າງປະເທດຂອງປະເທດຊາດ.	Nghiên cứu, phân tích, đánh giá, dự báo chặt chẽ tình hình để chủ trì, đầu mối với Đảng, Nhà nước ban hành các chính sách, biện pháp bảo vệ trật tự, an ninh, phục vụ kinh tế, xã hội và đối ngoại của đất nước.
ສຸມໃສ່ຄົ້ນພົບ, ສະກັດກັ້ນ, ບໍ່ໃຫ້ເກີດການກໍ່ການຮ້າຍ, ທໍາລາຍ, ຈະລາຈົນ, ກໍ່ກວນຄວາມເປັນລະບຽບຮຽບຮ້ອຍ.	Tập trung phát hiện, phòng ngừa, ngăn chặn khủng bố, phá hoại, bạo loạn, gây rối trật tự.
ທ່ານພົນໂທ ໂຕເລິມ, ກໍາມະການກົມການເມືອງ, ເລຂາຄະນະພັກຕໍາຫຼວດສູນກາງ, ລັດຖະມົນຕີກະຊວງຕໍາຫຼວດ ກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມ.	Trung tướng Tô Lâm, Ủy viên Tổng cục Chính trị, Bí thư Đảng ủy Công an Trung ương, Bộ trưởng Bộ Công an phát biểu chỉ đạo Đại hội.
ພາບ: ຕ໋ວນນາມ.	Ảnh: Tuấn Nam
