ກປ.ອອນໄລ - ຕອນເຊົ້າວັນທີ 1 ກຸມພາ, ຢູ່ຮ່າໂນ້ຍ, ສະຫະສະມາຄົມວິຈິດສິນຫວຽດນາມ ຈັດຕັ້ງງານວາງສະແດງວິຈິດສິນອວຍພອນພັກ-ອວຍພອນລະດູບານໃໝ່ປີຈໍ 2018.	Sáng 1/2, tại Hà Nội, Hội Văn nghệ Việt Nam tổ chức triển lãm ảnh nghệ thuật chúc Tết 2018.
ດ້ວຍບັນດາວັດຖຸທາດທີ່ອຸດົມສົມບູນຄື: ສີນ້ຳມັນ, acrylic, ສີຂັດມັນ, ແພໄໝ, ເຈ້ຍສາ, ພາບຄວັດ...	Với chất liệu phong phú như: sơn dầu, acrylic, sơn bóng, vải, giấy, tranh ...
ງານວາງສະແດງລະດູບານໃໝ່ປີຈໍ 2018 ໄດ້ແນະນໍາເຖິງຜູ້ຊົມ 184 ຜະລິດຕະພັນວິຈິດສິນຂອງ 184 ຈິດຕະກອນທີ່ເຕັມໄປດ້ວຍສີສັນ, ເນື້ອໃນສະເພາະຂອງຈິດຕະກອນແຕ່ລະຄົນ.	Hội chợ Xuân 2018 giới thiệu đến khán giả 184 tác phẩm nghệ thuật của 184 nghệ sĩ, đủ sắc màu, nội dung đặc trưng của từng nghệ sĩ.
ຈິດຕະກອນ ເຈີ່ນແຄ໋ງເຈືອງ, ປະທານສະມາຄົມວິຈິດສິນຫວຽດນາມ ກ່າວຄໍາເຫັນທີ່ງານວາງສະແດງ.	Nghệ sĩ Trần Khang Trường, Chủ tịch Hội Văn nghệ Việt Nam phát biểu tại triển lãm.
ພາບ: ກາວງວຽນ	Ảnh: Cao Nguyên
ກ່າວຄໍາເຫັນທີ່ງານວາງສະແດງ, ຈິດຕະກອນ ເຈີ່ນແຄ໋ງເຈືອງ, ປະທານສະມາຄົມວິຈິດສິນຫວຽດນາມ ໃຫ້ຮູ້ວ່າ, ປີ 2017 ຜ່ານມາ, ສະມາຄົມໄດ້ຈັດງານວາງສະແດງພາຍໃນ ແລະຕ່າງປະເທດກວ່າ 300 ຄັ້ງ, ດ້ວຍການເຄື່ອນໄຫວອຸດົມສົມບູນຫຼາຍຢ່າງ.	Phát biểu tại triển lãm, họa sĩ Trần Khang Trường, Chủ tịch Hội Văn nghệ Việt Nam cho biết, năm 2017, Hội đã tổ chức hơn 300 cuộc triển lãm trong nước và quốc tế, với nhiều hoạt động.
ຈິດຕະກອນ ເລືອງຊວນດວານ, ຮອງປະທານປະຈໍາການສະມາຄົມວິຈິດສິນຫວຽດນາມ ໃຫ້ຮູ້ວ່າ, ນີ້ແມ່ນໜຶ່ງໃນບັນດາການເຄື່ອນໄຫວປະຈໍາປີຂອງສະມາຄົມກ່ອນທີ່ຕ້ອນຮັບປີໃໝ່, ຍ້ອນເຫດນັ້ນຫົວເລື່ອງ, ເລື່ອງລາວ, ວັດຖຸທາດລ້ວນແຕ່ໂດຍບັນດານັກສິລະປິນປະດິດສ້າງເພື່ອນໍາມາເຊິ່ງບັນດາສິ່ງໃໝ່ທີ່ສຸດເພື່ອແນະນໍາເຖິງຜູ້ຊົມ.	Nghệ sĩ Lương Xuân Duẩn, Phó Chủ tịch Hội Văn nghệ Việt Nam cho biết:
ບາງຜະລິດຕະພັນວິຈິດສິນທີ່ແນະນຳຢູ່ງານວາງສະແດງ.	Một số sản phẩm nghệ thuật đặc sắc tại triển lãm.
ພາບ: ກາວງວຽນ	Ảnh: Cao Nguyên
ງານວາງສະແດງວິຈິດສິນອວຍພອນພັກ-ອວຍພອນລະດູບານໃໝ່ ແມ່ນໂອກາດເພື່ອໃຫ້ບັນດາສະມາຊິກທີ່ພວມດໍາລົງຊີວິດ ແລະເຮັດວຽກຢູ່ຮ່າໂນ້ຍ ມີເງື່ອນໄຂພົບປະ, ແລກປ່ຽນພາຍຫຼັງໜຶ່ງປີແຫ່ງການເຮັດວຽກ, ປະດິດສ້າງ.	Triển lãm Lời chúc mừng năm mới là dịp để các thành viên đang sinh sống và làm việc tại Hà Nội gặp gỡ, giao lưu sau một năm làm việc hăng say và đổi mới.
ງານວາງສະແດງໄດ້ດໍາເນີນຮອດວັນທີ 10 ກຸມພາ, ຢູ່ຫໍວາງສະແດງວິຈິດສິນເລກທີ 16 ຖະໜົນໂງກວຽນ, ນະຄອນ ຮ່າໂນ້ຍ.	Triển lãm kéo dài đến hết ngày 10/2, tại Phòng trưng bày nghệ thuật số 16, phố Ngọc Viên, Hà Nội.
ແປໂດຍ: ຫງວຽນກຸກ.	Dịch bởi: Nguyen Kuk.
