ກປ.ອອນໄລ - ເມື່ອລະດູບານໃໝ່ວຽນມາ, ທົ່ວປະເທດຊາດມຸ່ງໄປເຖິງຫ້າງຫາກະກຽມບຸນເຕັດໃຫ້ທະຫານ ແລະປະຊາຊົນຢູ່ໝູ່ເກາະ ເຈື່ອງຊາ.	Tết đến xuân về, cả nước lại hướng về đảo Trường Sa để chuẩn bị đón Tết cho quân và dân.
ຫວ່າງແລ້ວນີ້, ຄະນະປະຕິບັດງານກອງພົນນ້ອຍ 146, ທະຫານເຮືອເຂດ 4, ສະໂມສອນໄວໜຸ່ມເພື່ອທະເລໝູ່ເກາະແຫ່ງບ້ານເກີດເມືອງນອນໄດ້ນໍາເອົາບັນດາຂອງຂວັນຈາກບັນດາອົງການ, ກົມກອງ, ບຸກຄົນຝາກໃຫ້ທະຫານ ແລະປະຊາຊົນຢູ່ໝູ່ເກາະ ເຈື່ອງຊາ.	Cùng lúc đó, Hải đội 146, Vùng 4 Hải quân, Câu lạc bộ Tuổi trẻ Vì biển đảo Tổ quốc đã mang những phần quà của các tổ chức, đơn vị, cá nhân đến với quân và dân trên đảo Trường Sa.
ຢູ່ເກາະເຈື່ອງຊາດົງ ແລະເກາະເຈື່ອງຊາ, ທະຫານ ແລະປະຊາຊົນຢູ່ເກາະໄດ້ຈັດຕັ້ງພິທີຕ້ອນຮັບບຸນປີໃໝ່ພ້ອມກັບຄະນະປະຕິບັດງານກ່ອນເວລາ, ດ້ວຍການເຄື່ອນໄຫວທີ່ຄຶກຄື້ນຫຼາຍຢ່າງຄື, ການແຂ່ງຂັນກັນຂຽນກະດານຂ່າວ, ງານມະໂຫລານສະແດງສິລະປະ, ແຂ່ງຂັນກັນຫໍ່ເຂົ້າຕົ້ມ, ບັນດາການລະຫຼີ້ນພື້ນເມືອງ.	Tại Trường Sa Đông và Trường Sa, quân và dân trên đảo đã tổ chức đón Tết với bộ đội làm nhiệm vụ trước với nhiều hoạt động như thi bảng thông báo, liên hoan văn nghệ, thi gói cơm, trò chơi truyền thống.
ພ້ອມກັນນັ້ນແມ່ນຈັດຕັ້ງພິທີເຄົາລົບທຸງຊາດ, ຖະຫວາຍທູບທຽນຢູ່ວິຫານບູຊາ ລຸງໂຮ່, ອາໄລຫາບັນດາວິລະຊົນເສຍສະຫຼະຊີວິດເພື່ອຊາດ, ງານບຸນວັດ, ຈັດຕັ້ງບຸນເຕັດປູກຕົ້ນໄມ້...	Đồng thời, tổ chức lễ chào cờ, lễ thắp hương tại lăng Bác, tưởng nhớ công ơn các anh hùng đã hy sinh vì dân tộc, lễ hội đền, Tết trồng cây ...
ນັກຂ່າວໜັງສືພິມກອງທັບປະຊາຊົນຫວຽດນາມ ຂໍແນະນໍາບາງຮູບພາບຂອງທະຫານ ແລະປະຊາຊົນຢູ່ເກາະທີ່ໄດ້ຈັດຕັ້ງພິທີຕ້ອນຮັບບຸນປີໃໝ່ປີຈໍ 2018.	Phóng viên Báo Quân đội nhân dân Việt Nam giới thiệu một số hình ảnh về quân và dân trên đảo trong những ngày Tết Mậu Tuất 2018.
ປະດັບປະດາແທ່ນບູຊາປະເທດຊາດຢູ່ເກາະ ເຈື່ອງຊາດົງ.	Trang nghiêm bàn thờ Tổ quốc trên đảo Trường Sa Đông.
ພາບ: ຫງວຽນວັນແຮ້ງ	Ảnh: Nguyễn Văn Haeng
ນັກຮົບເກາະ ເຈື່ອງຊາດົງ ປະດັບປະດາຕົ້ນດອກເໝີຍ.	Chiến sĩ Trường Sa Đông trang trí cúc họa mi.
ພາບ: ຫງວຽນວັນແຮ້ງ	Ảnh: Nguyễn Văn Haeng
ທະຫານ ແລະປະຊາຊົນຫໍ່ເຂົ້າຕົ້ມ.	Bộ đội và người dân bọc cơm lam.
ພາບ: ຫງວຽນວັນແຮ້ງ	Ảnh: Nguyễn Văn Haeng
ສະແດງສິລະປະຢ່າງເບີກບານມ່ວນຊື່ນ.	Thưởng thức nghệ thuật biểu diễn.
ພາບ: ຫງວຽນວັນແຮ້ງ	Ảnh: Nguyễn Văn Haeng
ແປໂດຍ: ເກື່ອງດັ້ງ.	Dịch bởi: Cuong Dang.
