ກປ.ອອນໄລ - ຕອນເຊົ້າວັນທີ 9 ກຸມພາ, ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ໄດ້ມາຢ້ຽມຢາມຖາມຂ່າວ, ມອບຂອງຂວັນ 200 ພູດ ໃຫ້ແກ່ພໍ່ແມ່ປະຊາຊົນບັນດາຊາວເຜົ່າປະສົບກັບຄວາມຫຍຸ້ງຍາກ, ຄອບຄົວນະໂຍບາຍ ຢູ່ເມືອງດັກຊອງ, ແຂວງດັກນົງ.	Sáng 9/2, Thủ tướng Chính phủ Nguyễn Xuân Phúc đã đến thăm huyện Đắk Song, tỉnh Đắk Nông.
ຢູ່ທີ່ນີ້, ສູນກາງສະພາກາແດງຫວຽດນາມ ມອບຂອງຂວັນ 100 ພູດໃນລາຍການ “ບູນເຕັດເພື່ອຄົນທຸກຍາກ ແລະຜູ້ປະສົບກັບເຄາະຮ້າຍຈາກທາດພິດສີສົ້ມ ໃຫ້ບັນດາເປົ້າໝາຍ, ຄອບຄົວໃນບໍລິເວນເມືອງ.	Tại đây, Hội Chữ thập đỏ Việt Nam trao tặng 100 suất quà cho người nghèo và nạn nhân chất độc da cam / dioxin tại các đô thị.
ທ່ານ ຫງວຽນຊວນຟຸກ ຊີ້ແຈ້ງວ່າ, ແຜນນະໂຍບາຍຂອງພັກ, ລັດ ແມ່ນເບິ່ງແຍງດູແລພິເສດເຖິງພໍ່ແມ່ປະຊາຊົນຊາວເຜົ່າສ່ວນນ້ອຍ, ເປັນຕົ້ນແມ່ນບັນດາຄອບຄົວນະໂຍບາຍປະສົບກັບຄວາມຫຍຸ້ງຍາກໄດ້ຕ້ອນຮັບປີໃໝ່ ດ້ວຍຄວາມເບີກບານມ່ວນຊື່ນ ແລະປອດໄພ.	Theo ông Nguyễn Xuân Phúc, chủ trương của Đảng và Nhà nước là đặc biệt quan tâm đến cha mẹ đồng bào dân tộc thiểu số, nhất là những người khó khăn, đón năm mới vui tươi, an khang.
ທ່ານນາຍົກລັດຖະມົນຕີ ສະເໜີແຂວງດັກນົງ ແລະເມືອງດັກຊອງ ສຸມໃສ່ປະຕິບັດວຽກງານເບິ່ງແຍງດູແລເປັນຢ່າງດີ, ຮັບປະກັນບຸນເຕັດໃຫ້ພໍ່ແມ່ປະຊາຊົນ.	Thủ tướng Chính phủ tỉnh Đắk Nông và huyện Đắk Song tập trung chăm lo tốt cho người dân, đảm bảo cho lễ hội.
ຄຽງຂ້າງບັນດາໜ້າທີ່ເສດຖະກິດ-ສັງຄົມ, ແຂວງ ແລະເມືອງຄວນສຸມໃສ່ເຂົ້າໜ້າທີ່ຫຼຸດຜ່ອນຄວາມທຸກຍາກ.	Cùng với kinh tế xã hội nước, tỉnh và huyện cần tập trung vào cây lúa để xóa đói giảm nghèo.
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ໄປຢ້ຽມຢາມຖາມຂ່າວ, ອວຍພອນປີໃໝ່, ມອບຂອງຂວັນໃຫ້ບັນດາຄອບຄົວປະສົບກັບຄວາມຫຍຸ້ງຍາກ ຢູ່ເມືອງດັກຊອງ.	Thủ tướng Nguyễn Xuân Phúc đến thăm hỏi và tặng quà các gia đình có hoàn cảnh khó khăn.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ	Ảnh: Thông tấn xã Việt Nam
ທ່ານນາຍົກລັດຖະມົນຕີ ປາດຖະໜາວ່າ, ອົງຄະນະພັກ, ອໍານາດການປົກຄອງເມືອງດັກຊອງ ເສີມຂະຫຍາຍທ່າໄດ້ປຽບກ່ຽວກັບທີ່ຕັ້ງພູມສາດເພື່ອເພີ່ມແຫຼ່ງລາຍຮັບໃຫ້ທ້ອງຖິ່ນ, ປະກອບສ່ວນເຂົ້າໝາກຜົນລວມຂອງແຂວງ ແລະປະເທດຊາດ.	Thủ tướng Nguyễn Tấn Dũng mong muốn Đảng bộ, chính quyền huyện Đắk Song phát huy lợi thế về địa lý để tăng nguồn thu cho địa phương, đóng góp cho tỉnh, cho quốc gia.
ພ້ອມກັນນັ້ນ, ເມືອງຄວນເພີ່ມທະວີສະຕິລະວັງຕົວ, ເປັນເຈົ້າການກໍາແໜ້ນສະພາບການຄວາມໝັ້ນຄົງດ້ານການເມືອງໃນບໍລິເວນ, ເດັດດ່ຽວຕໍ່ສູ້ ແລະສະກັດກັ້ນການກະທໍາແກ່ດຶງ, ປຸກປັ່ນຂອງພວກຄົນບໍ່ດີ ແລະບັນດາອິດທິກໍາລັງທີ່ເປັນປໍລະປັກ ທີ່ຫວັງແບ່ງແຍກກຸ່ມກ້ອນມະຫາສາມັກຄີທ່ົວປວງຊົນທັງຊາດ.	Đồng thời, thành phố cần nâng cao cảnh giác, nắm chắc tình hình ổn định chính trị trên địa bàn, kiên quyết đấu tranh, ngăn chặn các hành vi quá khích, vận động của kẻ xấu và các thế lực chống đối hòng chia rẽ đông đảo quần chúng nhân dân.
ກ່ອນໜ້ານັ້ນ, ທ່ານນາຍົກລັດຖະມົນຕີ ໄດ້ມາຢື້ຢາມຖາມຂ່າວ, ມອບຂອງຂວັນ, ອວຍພອນປີໃໝ່ແມ່ຫວຽດນາມວິລະຊົນ ເຈົາທິເຫງ, ອາຍຸ 94 ປີ, ຢູ່ເທດສະບານເມືອງ ດຶກອານ, ເມືອງດັກຊອງ, ແຂວງດັກນົງ.	Trước đó, cùng ngày, Thủ tướng Nguyễn Tấn Dũng đã đến thăm huyện Đức An, huyện Đức Song, tỉnh Đắk Nông, hỏi thăm và tặng quà Tết 94 tuổi cho Nữ Anh hùng Việt Nam Châu Thị Heng.
ແປໂດຍ: ກວຽດເຕີມ.	Dịch bởi: Việt Tâm.
