ກປ.ອອນໄລ - ປີ APEC 2017 ໄດ້ດໍາເນີນໄປດ້ວຍຜົນສໍາເລັດຢ່າງຈົບງາມ.	APEC 2017 - Năm 2017 đã thành công vang dội.
ໃນຊຸມວັນທ້າຍປີ APEC 2017 ນັ້ນ, ມີຜູ້ໜຶ່ງຕ້ອງເຮັດວຽກຕາມຕາຕະລາງເໜືອຄົນທຳມະດາ ເພື່ອປິດປີ APEC ຢ່າງສົມບູນ.	Năm APEC 2017 kết thúc, một số người phải làm việc theo lịch bình thường để khép lại một năm APEC trọn vẹn.
ນັ້ນແມ່ນທ່ານປະທານປະເທດຫວຽດນາມ ເຈີ່ນດ້າຍກວາງ, ຜູ້ເປັນປະທານຂອງສັບປະດາຂັ້ນສູງ APEC 2017...	Đó là Chủ tịch nước Trần Đại Quang, Chủ tịch Chủ tịch Tuần lễ Cấp cao APEC 2017 ...
ສອງວັນມີສອງຖ້ຽວບິນ	Hai ngày có hai chuyến bay
ເລື່ອງລາວກ່ຽວກັບສັບປະດາຂັ້ນສູງ APEC ເຮັດໃຫ້ທ່ານປະທານປະເທດ ເຈີ່ນດ້າຍກວາງ ຫຍຸ້ງວຽກທີ່ສຸດເລີ່ມແຕ່ຕອນບ່າຍວັນທີ 7 ພະຈິກ 2017, ເມື່ອທ່ານຂີ່ຍົນໄປນະຄອນ ດ່ານັ້ງ ເພື່ອເຂົ້າຮ່ວມພິທີກວດກາລາຍການສະແດງສະລະປະຮັບໃຊ້ Gala Dinner ໃນຕອນຄ່ຳມື້ນັ້ນຢູ່ໂຮງແຮມ Sheraton ເຊິ່ງຈະໄດ້ດໍາເນີນໃນສອງ ສາມວັນຂ້າງໜ້າ.	Câu chuyện về Hội nghị cấp cao APEC đã khiến Chủ tịch nước Trần Đại Quang bận rộn kể từ chiều ngày 7/11/2017, khi ông bay ra Đà Nẵng để dự buổi chiếu Gala Dinner tại khách sạn Sheraton, sẽ diễn ra trong vài ngày tới. .
ຕອນເຊົ້າວັນທີ 8 ພະຈິກ, ທ່ານປະທານປະເທດ ເຈີ່ນດ້າຍກວາງ ໄດ້ອອກຈາກໂຮງແຮມ ເພື່ອໄປຍັງສູນກອງປະຊຸມ Ariyana, ເຊິ່ງແມ່ນສະຖານທີ່ດໍາເນີນກອງປະຊຸມສຸດຍອດວິສາຫະກິດ APEC ໃນຕະຫຼອດຊຸມວັນສັບປະດາຂັ້ນສູງ.	Sáng 8/11, Chủ tịch nước Trần Đại Quang rời khách sạn đến Trung tâm Hội nghị Ariyana, nơi tổ chức Hội nghị Thượng đỉnh Doanh nghiệp APEC.
ທ່ານປະທານປະເທດ ເຈີ່ນດ້າຍກວາງ ປະກາດສັບປະດາຂັ້ນສູງ APEC 2017 ໄດ້ປະສົບຜົນສໍາເລັດຢ່າງຈົບງາມ.	Chủ tịch nước Trần Đại Quang tuyên bố Tuần lễ Cấp cao APEC 2017 thành công vang dội
ພາບ: ອຽນບາ	Ảnh: Yên Ba
ທີ່ສູນກອງປະຊຸມ Ariyana, ເວລາ 10 ໂມງເຊົ້າ, ທ່ານປະທານປະເທດ ເຈີ່ນດ້າຍກວາງ ໄດ້ເປີດສາກບັນດາການເຄື່ອນໄຫວຂອງຕົນຢ່າງເປັນທາງການຢູ່ສັບປະດາຂັ້ນສູງ APEC ດ້ວຍການຕ້ອນຮັບຜູ້ຕາງໜ້າບັນດາວິສາຫະກິດໃຫຍ່ຂອງອາເມລິກາ ກວ່າ 60 ວິສາຫະກິດ...	Tại Trung tâm Hội nghị Ariyana, 10h, Chủ tịch nước Trần Đại Quang chính thức bắt đầu các hoạt động tại Hội nghị Cấp cao APEC, đón tiếp đại diện hơn 60 doanh nghiệp lớn của Hoa Kỳ ...
“Marathon ບັນດາການພົບປະສອງຝ່າຍ	“Marathon, các cuộc gặp song phương
ທ່ານປະທານປະເທດ ເຈີ່ນດ້າຍກວາງ ຢູ່ສູນສື່ມວນຊົນສາກົນ ດ່ານັ້ງ.	Chủ tịch nước Trần Đại Quang tại Trung tâm Truyền thông Quốc tế Đà Nẵng.
