ກປ.ອອນໄລ - ບຸນເຕັດປີມະເມຍ 1930, ກ່ອນນີ້ 88 ປີ, ພັກກອມມູນິດຫວຽດນາມ ໄດ້ຮັບການສ້າງຕັ້ງ.	Đảng Cộng sản Việt Nam được thành lập cách đây 88 năm vào năm 1930.
ຜູ້ສ້າງຕັ້ງພັກແມ່ນນັກຮັກຊາດ ແລະນັກປະຕິວັດທີ່ຍິ່ງໃຫຍ່ ຫງວຽນອ໋າຍກວກ-ໂຮ່ຈິມິນ, ແມ່ນລຸງໂຮ່ຂອງປະຊາຊົນຫວຽດນາມ.	Đảng do nhà yêu nước và nhà cách mạng vĩ đại Nguyễn Ái Quốc - Hồ Chí Minh, Bác Hồ của dân tộc Việt Nam sáng lập.
ພັກກອມມູນິດຫວຽດນາມ ໄດ້ຮັບການສ້າງຕັ້ງໃນລະດູບານໃໝ່-ລະດູບານໃໝ່ຂອງປະເທດ ແລະປະເທດຊາດ.	Đảng Cộng sản Việt Nam được hình thành từ mùa xuân - mùa xuân của đất nước, dân tộc.
ແຕ່ນັ້ນມາ ຮອດປະຈຸບັນ, ເປັນຕົ້ນແມ່ນນັບແຕ່ເມື່ອປະເທດຊາດມີເອກະລາດ, ເປັນເອກະພາບ, ແຕ່ລະເທື່ອບຸນເຕັດວຽນມາ, ປະຊາຊົນເຮົາໄດ້ອວຍພອນປີໃໝ່, ອວຍພອນພັກ, ອວຍພອນປະເທດ, ອວຍພອນຊາດ.	Nhưng cho đến nay, nhất là từ khi đất nước độc lập, thống nhất, mỗi khi Tết đến xuân về, nhân dân ta lại chúc tết vui tươi, đảng ấm, đất nước hạnh phúc, dân tộc vui vẻ.
ລຸງໂຮ່, ການນໍາທີ່ແສນເຄົາລົບຂອງພັກ ແລະຂອງປະເທດຊາດ, ແມ່ນຕົວແທນອັນແຈ້ງໃສຂອງການປະຕິວັດ ແລະການຕໍ່ສູ້, ຂອງເອກະລາດແຫ່ງຊາດ ແລະສັງຄົມນິຍົມ.	Bác Hồ, vị lãnh tụ đáng kính của Đảng và dân tộc, là người tiêu biểu sáng suốt cho cuộc cách mạng và cuộc đấu tranh vì độc lập dân tộc và chủ nghĩa xã hội.
ພາບສາລະຄະດີ	Ảnh tư liệu
ປີຈໍ 2018 ແມ່ນປີທີສາມທີ່ປະຕິບັດມະຕິກອງປະຊຸມໃຫຍ່ ຄັ້ງທີ XII ຂອງພັກ, ກໍ່ແມ່ນປີທີສາມຂອງໄລຍະສູ້ຊົນສະປີດສຸດ ທ້າຍ, ເພື່ອແນໃສ່ນໍາປະເທດຫວຽດນາມ ກາຍເປັນປະເທດອຸດສາຫະກໍາຕາມທິດທັນສະໄໝໂດຍໄວ.	Năm 2018 đánh dấu năm thứ ba thực hiện các nghị quyết của Đại hội XII của Đảng, cũng là năm thứ ba của giai đoạn Spike vừa qua, nhằm đưa Việt Nam sớm trở thành nước công nghiệp.
ສ່ວນປີຈໍ 1948 ກໍ່ແມ່ນປີທີ່ສາມຂອງການຕໍ່ສູ້ຕ້ານລ່າເມືອງຂຶ້ນຝະລັ່ງ, ນັບແຕ່ເມື່ອທົ່ວປະເທດຕໍ່ຕ້ານໄດ້ລະເບີດຂຶ້ນ;	Năm 1948 là năm thứ ba của cuộc đấu tranh chống Pháp chiếm đóng, kể từ khi cuộc khởi nghĩa toàn quốc bùng nổ;
ແມ່ນປີເປີດສາກໃຫ້ໄລຍະສູ້ຢັນເພື່ອກ້າວຂຶ້ນສູ່ການກະກຽມບຸກໂຈມຕີຄັ້ງໃຫຍ່ໃນໄລຍະຕໍ່ໄປ.	Đây là năm phát động lực lượng tấn công mới để chuẩn bị cho cuộc tấn công lớn tiếp theo.
ວັນທີ 7 ກຸມພາ 1948 (ກົງກັບວັນທີ 28 ທັນວາ ປີກຸນຕາມຈັນທະປະຕິທິນ), ລຸງໂຮ່ ໄດ້ເຊີນຕາງໜ້າຄະນະປະຈໍາສະພາແຫ່ງຊາດ, ສາພາລັດຖະບານ...	Ngày 7 tháng 2 năm 1948 (ứng với ngày 28 tháng Chạp theo âm lịch), Bác được mời đại diện Quốc hội, Nhà Chính phủ ...
ເຂົ້າຮ່ວມງານລ້ຽງສົ່ງທ້າຍປີເກົ່າແລະຕ້ອນຮັບປີໃໝ່.	Dự tiệc giao thừa và chào đón năm mới.
