ກປ.ອອນໄລ - 70 ປີກ່ອນນີ້, ໃນຈຸດເວລາທີ່ລໍາບາກ, ດຸເດືອດທີ່ສຸດຂອງການຕໍ່ສູ້ຕ້ານລ່າເມືອງຂຶ້ນຝະລັ່ງ ຮຸກຮານ, ວັນທີ 11 ມິຖຸນາ ປີ 1948, ປະທານໂຮ່ຈິມິນ ໄດ້ອອກ “ຄໍາຮຽກຮ້ອງແຂ່ງຂັນຮັກຊາດ.	Ngày 11/6/1948, Chủ tịch Hồ Chí Minh ra lời kêu gọi thi đua ái quốc.
7 ທົດສະວັດໄດ້ຜ່ານໄປ, ເມື່ອອ່ານ ແລະຄິດຫງໍາກ່ຽວກັບ “ຄໍາຮຽກຮ້ອງແຂ່ງຂັນຮັກຊາດ ຂອງລຸງໂຮ່, ພວກເຮົາຍິ່ງເຫັນຢ່າງຈະແຈ້ງກວ່າກ່ຽວກັບແນວຄິດ, ແບບແຜນການດໍາລົງຊີວິດຂອງປະທານໂຮ່ຈິມິນ.	Bảy thập kỷ đã trôi qua, khi đọc và suy nghĩ về những yêu sách yêu nước của Bác, chúng ta càng thấy rõ hơn tư tưởng và lối sống của Chủ tịch Hồ Chí Minh.
ສໍາລັບລຸງໂຮ່, ແຂ່ງຂັນແມ່ນຮັກຊາດ.	Đối với Bác, thi là yêu nước.
ນໍ້າໃຈຮັກຊາດບໍ່ແມ່ນແບບລວມໆ, ນາມມະທໍາ, ຫາກໄດ້ສະແດງອອກດ້ວຍການກະທໍາຢ່າງລະອຽດ, ແທດຈິງ, ມີຜົນປະໂຫຍດໃຫ້ປະເທດຊາດ ແລະປະຊາຊົນ, ຜ່ານຂະບວນການແຂ່ງຂັນ “ແຜ່ຂະຫຍາຍຢ່າງເລິກເຊິ່ງ, ກວ້າງຂວາງໃນທຸກກ້ານ ແລະປະຊາຊົນທຸກຊັ້ນວັນນະ.	Lòng yêu nước không phải là của một tập thể, hư danh, mà được thể hiện qua những việc làm tỉ mỉ, thiết thực, có lợi cho quốc gia, dân tộc, thông qua một quá trình đấu tranh “sâu rộng, lan tỏa khắp mọi tầng lớp, mọi tầng lớp nhân dân.
ລຸງໂຮ່ ຢືນຢັນວ່າ, ແຂ່ງຂັນແມ່ນກໍາລັງແຮງ, ແມ່ນປັດໄຈສໍາຄັນສ້າງເປັນຜົນສໍາເລັດຂອງການປະຕິວັດຫວຽດນາມ.	Bác Hồ khẳng định, cạnh tranh là động lực, là nhân tố quan trọng làm nên thành công của cách mạng Việt Nam.
ຈິດໃຈແຂ່ງຂັນຮັກຊາດຂອງຜູ້ນໍາ ໂຮ່ຈິມິນ ໄດ້ສ້າງອາລົມອັນໃຫຍ່ຫຼວງໃຫ້ປະຊາຊົນ, ນັກຮົບ.	Tinh thần yêu nước của Hồ Chí Minh đã tạo nên nhiều xúc động cho đồng bào và chiến sĩ.
ປະເທດຊາດໄດ້ຜ່ານການຕໍ່ສູ້ຕ້ານຜູ້ຮຸກຮານທີ່ຍຶດເຍື້ອຍາວນານສອງຄັ້ງ, ຍາດເອົາເອກະລາດ, ເສລີພາບ, ສັນຕິພາບ, ທ້ອນໂຮມປະເທດຊາດເປັນເອກະພາບ.	Dân tộc đã hai lần đánh giặc, giành độc lập, tự do, hòa bình, thống nhất Tổ quốc.
ປະຊາຊົນຫວຽດນາມໄດ້ຜ່ານຜ່າຄວາມລໍາບາກ, ການທົດສອບ, ການເສຍສະຫຼະຊີວິດບໍ່ຈັກວ່າເທົ່າໃດເພື່ອມີປະເທດອັນສວຍສົດງົດງາມ, ສະຫງົບສຸກ, ກ້າວຂຶ້ນບົນເສັ້ນທາງແຫ່ງການປ່ຽນແປງໃໝ່ ແລະເຊື່ອມໂຍງຢ່າງໝັ້ນຄົງຄືປັດຈຸບັນ.	Nhân dân Việt Nam đã trải qua bao gian khổ, thử thách, hy sinh để xây dựng đất nước giàu đẹp, hòa bình.
70 ປີຜ່ານມາ, ບັນດາວິລະກໍາ, ຜົນງານອັນມະຫັດສະຈັນທີ່ບັນລຸໄດ້ແມ່ນໝາກຜົນຈາກຂະບວນການນີ້.	Hơn 70 năm qua, những thành tựu và kỳ tích của quá trình này đều là kết quả của quá trình này.
ບັນດາແບບຢ່າງວຽກດີຄົນເດັ່ນ, ວິລະຊົນ, ນັກຮົບອົງອາດ...ໄດ້ປະກົດຂຶ້ນ, ນັ້ນແມ່ນບັນດາດອກໄມ້ທີ່ສວຍງາມໃນສວນດອກໄມ້ຍາມລະດູບານໃໝ່ຂອງປະເທດຊາດ, ເຮັດແຈ້ງລັດທິວິລະຊົນແຫ່ງການປະຕິວັດຫວຽດນາມ.	Những tấm gương tiêu biểu về những tác phẩm, những anh hùng, những chiến binh ... hiện lên, là những bông hoa tươi thắm trong vườn hoa đất nước vào mùa xuân, báo hiệu chủ nghĩa anh hùng của cách mạng Việt Nam.
ບັນດາສະຫາຍການນໍາພັກ, ລັດ ຖ່າຍຮູບພ້ອມດ້ວຍບັນດາຜູ້ແທນໃນພິທີຍ້ອງຍໍຊົມເຊີຍແບບຢ່າງດີເດັ່ນກ້າວໜ້າທົ່ວປະເທດ ປີ 2017.	Các đồng chí lãnh đạo Đảng, Nhà nước chụp ảnh lưu niệm với các đại biểu tại Lễ Tuyên dương Thành tích xuất sắc toàn quốc năm 2017.
