ກປ.ອອນໄລ - ບັ້ນຮົບມະຫາໄຊ ຫງອກໂຮ່ຍ-ດົ໋ງດາ ໄດ້ຢັ້ງຢືນສິລະປະຍຸດການທະຫານຂອງກອງທະຫານ ໄຕເຊີນ.	KR Online - Trận đại chiến Ngọc Hồi - Đống Đa khẳng định võ công của Đạo quân Thái Sơn.
ຕອນເຊົ້າວັນທີ 20 ກຸມພາ (ວັນທີ 5 ເດືອນ ຈຽງ), ງານບຸນສະເຫຼີມສະຫຼອງ 229 ປີ ແຫ່ງວັນໄຊຊະນະ ຫງອກໂຮ່ຍ-ດົ໋ງດາ ອາໄລຫາຄຸນງາມຄວາມດີຂອງນັກວິລະຊົນຊາວນາ ກວາງຈູງ-ຫງວຽນເຫວ້ ພ້ອມດ້ວຍນາຍ ແລະພົນທະຫານ ໄຕເຊີນ ທີ່ໄດ້ຕໍ່ສູ້ຢ່າງພິລະອາດຫານເພື່ອປົກປັກຮັກສາເອກະລາດແຫ່ງຊາດໄວ້ໃຫ້ໝັ້ນຄົງ, ເຊິ່ງດໍາເນີນຢ່າງສົມກຽດຢູ່ສວນສາທາລະນະວັດທະນະທໍາ ດົ໋ງດາ (ນະຄອນ ຮ່າໂນ້ຍ).	Sáng 20-2, kỷ niệm 229 năm Ngày Chiến thắng Ngọc Hồi - Đống Đa, tưởng nhớ công đức của các anh hùng nông dân Quảng Trung Nguyễn Huệ và tướng quân Tài Sơn đã anh dũng chiến đấu để bảo toàn độc lập cho ngôi đền.
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ;	Thủ tướng Chính phủ Nguyễn Xuân Phúc;
ທ່ານ ເຈິ່ນກ໋ວກເວື້ອງ ສະມາຊິກຜູ້ປະຈໍາການຄະນະເລຂາທິການ, ຫົວໜ້າຄະນະກໍາມະການກວດກາສູນກາງ;	Đồng chí Trần Quốc Vượng, Ủy viên Ban Bí thư, Trưởng Ban Kiểm tra Trung ương;
ທ່ານ ຮວ່າງຈູງຫາຍ ເລຂາພັກນະຄອນ ຮ່າໂນ້ຍ, ທ່ານ ອວງຈູລຶວ ຮອງປະທານສະພາແຫ່ງຊາດ, ທ່ານ ຫງວຽນດຶກຈູງ ປະທານຄະນະກໍາມະການປະຊາຊົນນະຄອນ ຮ່າໂນ້ຍ ໄດ້ເຂົ້າຮ່ວມງານບຸນ ແລະຖະຫວາຍທູບທຽນ.	Hoàng Trung Hải, Bí thư Thành ủy Hà Nội, Ông Chử Lưu, Phó Chủ tịch Quốc hội, Nguyễn Đức Trọng, Chủ tịch Ủy ban nhân dân thành phố Hà Nội đã đến dự lễ hội và dâng hương.
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ແລະບັນດາຜູູ້ແທນເຂົ້າຮ່ວມງານບຸນສະເຫຼີມສະຫຼອງໄຊຊະນະ ຫງອກໂຮ່ຍ-ດົ໋ງດາ.	Thủ tướng Nguyễn Xuân Phúc và các đại biểu dự Lễ kỷ niệm Chiến thắng Ngọc Hồi-Đống Đa.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ຕັ້ງແຕ່ຮຸ່ງເຊົ້າ, ຫຼາຍຄະນະໄດ້ທຳພິທີຖະຫວາຍທູບທຽນ, ແຫ່ວໍ, ຟ້ອນສິງໂຕດຶງດູດປະຊາຊົນໃນເຂດ ແລະແຂກມາຈາກທົ່ວທຸກສາລະທິດເຂົ້າຮ່ວມຢ່າງຫຼວງຫຼາຍ.	Từ mờ sáng, nhiều đoàn đã tổ chức lễ thắp hương, diễu hành, múa lân thu hút người dân địa phương và khách thập phương.
ກ່ອນຈະໄຂງານບຸນ, ບັນດາຜູ້ແທນໄດ້ຖະຫວາຍດອກໄມ້ຢູ່ອະນຸສາວະລີເຈົ້າຊີວິດ ກວາງຈູງ, ຖະຫວາຍທູບທຽນ ອາໄລຫາໃນວິຫານບູຊາ.	Trước lễ khai mạc, các đại biểu đã dâng hoa tại Tượng đài Quảng Trung và dâng hương tại điện thờ.
ເປີດສາກພິທີແມ່ນການແຫ່ທຸງ ແລະວໍເຈົ້າຊີວິດ ກວາງຈູງ-ຫງວຽນເຫວ້ ເຂົ້າເດີນວັດ ດົ່ງກວາງ.	Mở đầu là lễ rước cờ và sinh mệnh của Quang Trung-Nguyễn Huệ đến chùa Đồng Quang.
ພາບ: ຖຸຍຫງອກ.	Ảnh: Thùy Ngọc
