ກປ.ອອນໄລ - ຕອນເຊົ້າວັນທີ 26 ກຸມພາ, ຢູ່ ຮ່າໂນ້ຍ, ທ່ານນາງ ປະທານສະພາແຫ່ງຊາດ ຫງວຽນທິກິມເງິນ ເຮັດວຽກກັບກະຊວງການເງິນ.	Sáng 26/2, tại Hà Nội, Chủ tịch Quốc hội Nguyễn Thị Kim Ngưng làm việc với Bộ Tài chính.
ນະທີ່ນີ້, ທ່ານນາງ ຕີລາຄາສູງກະຊວງການເງິນໃນການຮັກສາ “ຄຸ້ມຄອງບໍລິຫານ ງົບປະມານແຫ່ງຊາດ ໄວ້ຢ່າງໝັ້ນຄົງ.	Tại đây, bà ca ngợi Bộ Tài chính đã duy trì "sự quản lý ổn định của ngân sách quốc gia."
ບັນຍາກາດທີ່ການເຮັດວຽກ.	Bầu không khí tại nơi làm việc.
ພາບ: ຈ໋ຽນທັ໋ງ.	Ảnh: Chiến Thắng
ສະແດງຄວາມປິຕິຊົມຊື່ນເມື່ອ “ແຮກໝານ ກະຊວງການເງິນ ພາຍຫຼັງໂອກາດພັກບຸນປີໃໝ່, ທ່ານນາງ ຫງວຽນທິກິມເງິນ ໄດ້ຕີລາຄາສູງກະຊວງການເງິນໃນການຮັກສາ “ຄຸ້ມຄອງບໍລິຫານ ງົບປະມານແຫ່ງຊາດ ໄວ້ຢ່າງໝັ້ນຄົງ;	Nguyễn Thị Kim Ngưng biểu dương Bộ Tài chính đã duy trì được sự “điều hành mạnh mẽ ngân sách quốc gia”;
ເປັນເສນາທິການສະເໜີນະໂຍບາຍ, ກົດໝາຍໃນຂົງເຂດການເງິນ, ການຄຸ້ມຄອງລາຍຮັບລາຍຈ່າຍງົບປະມານ, ປະຕິບັດພາລະບົດບາດ, ໜ້າທີ່ຂອງຕົນເປັນຢ່າງດີ.	Là cán bộ đầu mối về chính sách, pháp luật trong lĩnh vực tài chính, quản lý thu, chi, thực hiện tốt vai trò, trách nhiệm của mình.
ທ່ານນາງ ຫງວຽນທິກິມເງິນ ຮຽກຮ້ອງຂະແໜງການເງິນ ຄວນຜັນຂະຫຍາຍບັນດາໜ້າທີ່ແຕ່ຕົ້ນປີ, ຍ້ອນວ່າປີ 2018 ແມ່ນປີກາງອາຍຸການ, ທີ່ມີຄວາມໝາຍສໍາຄັນທີ່ສຸດສໍາລັບການປະຕິບັດສຳເລັດບັນດາເປົ້າໝາຍ, ແຜນການ 5 ປີ.	Bà Nguyễn Thị Kim Ngưng kêu gọi ngành tài chính thực hiện các mục tiêu từ đầu năm, vì năm 2018 là năm giữa, rất quan trọng đối với việc thực hiện kế hoạch 5 năm.
ທ່ານນາງ ປະທານສະພາແຫ່ງຊາດ ຫງວຽນທິກິມເງິນ ກ່າວຄໍາເຫັນທີ່ການເຮັດວຽກ.	Chủ tịch Quốc hội Nguyễn Thị Kim Ngưng phát biểu làm việc.
ພາບ: ຈ໋ຽນ ທັ໋ງ.	Ảnh: Chiến Thắng
ທີ່ການເຮັດວຽກ, ທ່ານນາງ ຫງວຽນທິກິມເງິນ ໄດ້ຮັບຟັງການນໍາກະຊວງການເງິນ ລາຍງານກ່ຽວກັບ: ການຜັນຂະຫຍາຍການປະຕິບັດມະຕິເລກທີ 25/2016/QH14 ກ່ຽວກັບແຜນການການເງິນແຫ່ງຊາດ ໄລຍະ 5 ປີ 2016-2020;	Tại nơi làm việc, bà Nguyễn Thị Kim Ngưng đã nghe báo cáo của Bộ Tài chính về việc: Thực hiện Nghị quyết số 25/2016 / QH14 về Kế hoạch tài chính quốc gia 5 năm 2016-2020;
ເລື່ອງຜັນຂະຫຍາຍການປະຕິບັດບັນດາກົດໝາຍໃນຂົງເຂດການເງິນ, ງົບປະມານເຊິ່ງສະພາແຫ່ງຊາດຫາກໍ່ຮັບຮອງເອົາຄື: ກົດໝາຍຄຸ້ມຄອງ, ນຳໃຊ້ທຶນຂອງລັດທີ່ລົງທຶນເຂົ້າໃນການຜະລິດ, ດໍາເນີນທຸລະກິດຢູ່ວິສາຫະກິດ, ໃນນັ້ນມີການປະກາດໃຊ້ບັນດາເອກະສານແນະນໍາ ແລະກະກຽມຈັດຕັ້ງການປະຕິບັດບັນດາກົດໝາຍ, ການສ້າງຕັ້ງບັນດາຫົວໜ່ວຍທີ່ກ່ຽວຂ້ອງເຖິງການຄຸ້ມຄອງລັດກ່ຽວກັບໜີ້ສາທາລະນະ, ຄະນະກຳມະການຄຸ້ມຄອງທຶນຂອງລັດຢູ່ວິສາຫະກິດ;	Thực hiện các luật, quy định trong lĩnh vực tài chính - ngân sách vừa được Quốc hội thông qua như: Các luật, quy định về sử dụng vốn nhà nước đầu tư vào sản xuất, kinh doanh tại doanh nghiệp, trong đó có việc ban hành các văn bản điều hành của Chính phủ. , chuẩn bị luật
ຕີລາຄາສະພາບການປະຕິບັດນະໂຍບາຍ, ກົດໝາຍທີ່ກ່ຽວຂ້ອງເຖິງຂົງເຂດການເງິນ, ງົບປະມານ, ຄາດຄະເນແຜນການກໍ່ສ້າງ, ປັບປຸງນະໂຍບາຍກົດໝາຍທີ່ກ່ຽວຂ້ອງເຖິງຂົງເຂດການເງິນ, ງົບປະມານໄລຍະ 2018-2020.	Đánh giá tình hình thực hiện chính sách, pháp luật liên quan đến lĩnh vực tài chính, ngân sách, dự báo kế hoạch xây dựng, cập nhật chính sách, pháp luật liên quan đến lĩnh vực tài chính, ngân sách giai đoạn 2018-2020.
ແປໂດຍ: ເຈິ່ນຮວ່ຽນ.	Người dịch: Trần Huyền
