ກປ.ອອນໄລ - ຕອນເຊົ້າວັນທີ 1 ມີນາ, ຢູ່ຮ່ອມພູດອກໄມ້ ໜອງໄຕ (ຮ່າໂນ້ຍ) ໄດ້ໄຂງານບຸນດອກໄມ້ຍາມລະດູບານໃໝ່.	Sáng 1/3, Thung lũng hoa Phong Tài (Hà Nội) đăng cai tổ chức Hội hoa xuân.
ງານບຸນຈະດໍາເນີນຮອດວັນທີ 4 ມີນາ, ນີ້ແມ່ນໂອກາດທ່ອງທ່ຽວຍາມລະດູບານໃໝ່ຕົ້ນປີ, ພ້ອມທັງສ້າງຄວາມດຶງດູດຜູ້ນິຍົມດອກໄມ້, ຮັກແພງຄົນ ແລະວັດທະນະທໍາ ຮ່າໂນ້ຍ.	Lễ hội kéo dài đến hết ngày 4/3, thời điểm du xuân đầu năm, thu hút những người yêu hoa, yêu và tìm hiểu văn hóa Hà Nội.
ອ້າຍ ບຸ່ຍແມ້ງຮ໋ຽວ, ເຈົ້າຂອງຮ່ອມພູດອກໄມ້ ໜອງໄຕ ໃຫ້ຮູ້ວ່າ, ງານບຸນແມ່ນໂອກາດເພື່ອເຊີດຊູຜູ້ເປັນອາຊີບປູກດອກໄມ້, ພິເສດແມ່ນຜູ້ເຮັດອາຊີບປູກດອກຄາຍ ເຍີດເຕິນ.	Theo anh Bùi Mạnh Hiếu, chủ nhân của Thung lũng hoa Phong Tài, lễ hội là cơ hội để quảng bá cho những người trồng hoa, đặc biệt là những người trồng hoa.
ນອກຈາກແນະນໍາດອກໄມ້ນາໆປະເພດແລ້ວ, ທີ່ງານບຸນຍັງມີການເຄື່ອນໄຫວຈັບອົກຈັບໃຈຫຼາຍຢ່າງອີກ ຄື: ຈັດຕັ້ງການເສັງປັກດອກໄມ້ສິລະປະ, ສະແດງເສື້ອຍາວດ້ວຍຫົວຂໍ້ດອກໄມ້ຍາມລະດູບານໃໝ່, ລາຍການວັດທະນະທຳສິລະປະ...	Ngoài giới thiệu các loại hoa, lễ hội còn có nhiều hoạt động sôi nổi như: tổ chức hội thi thêu hoa, trưng bày áo dài với chủ đề sắc hoa ngày xuân, các tiết mục văn hóa văn nghệ ...
ພິເສດ, ຢູ່ງານບຸນຈະແນະນໍາເຖິງນັກທ່ອງທ່ຽວບັນດາເຍື່ອງອາຫານທີ່ເປັນເອກະລັກສະເພາະຂອງຮ່ອມພູດອກໄມ້ ໜອງໄຕ ຄື ກ້ອຍບົວ, ເຫຼົ້າບົວ, ເຂົ້າໜຽວບົວ...	Đặc biệt, tại lễ hội, du khách sẽ được giới thiệu những món ăn độc đáo của Thung lũng hoa Phong Tài như cá koi, rượu cần, cơm lam ...
ບັນຍາກາດລະດູບານໃໝ່ຄຶກຄື້ນໃນສີສັນສວຍງາມຂອງດອກຄາຍ ເຍີດເຕິນ...	Không khí mùa xuân ngập tràn sắc hoa ...
ພາບ: ຫງວຽນທ໊າວ.	Ảnh: Nguyên Thảo
ທີ່ງານບຸນ, ນັກທ່ອງທ່ຽວໄດ້ຊົມດອກໄມ້ນາໆຊະນິດທີ່ສວຍສົດງົດງາມຕາມໃຈມັກ.	Tại lễ hội, du khách có thể thưởng thức nhiều loại hoa đẹp.
ພາບ: ຫງວຽນທ໊າວ.	Ảnh: Nguyên Thảo
ນັກທ່ອງທ່ຽວຍັງມີໂອກາດໄດ້ຊົມບັນດາລາຍການສິລະປະເປັນເອກະລັກສະເພາະ...ພາບ: ຫງວຽນ ທ໊າວ.	Du khách còn có cơ hội ngắm nhìn những tác phẩm nghệ thuật độc đáo ... Ảnh: Nguyên Thảo
...ແລະສະແດງເສື້ອຍາວລາຍດອກ.	... và áo sơ mi dài tay in hoa.
ພາບ: ຫງວຽນທ໊າວ.	Ảnh: Nguyên Thảo
