ກປ.ອອນໄລ - ທ່ານພົນຈັດຕະວາ A.	KP Online - Tướng Chattava A.
A Buduskin ຕີລາຄາສູງເລື່ອງສອງຝ່າຍພວມມານະພະຍາຍາມຊຸກຍູ້ການຮ່ວມມືໃນຂົງເຂດຮັກສາສັນຕິພາບສະຫະປະຊາຊາດ ແລະຖືນີ້ແມ່ນຂົງເຂດຮ່ວມມືທີ່ມີຄວາມສາມາດບົ່ມຊ້ອນລະຫວ່າງສອງປະເທດ...	A Buduskin ca ngợi nỗ lực của hai nước trong việc thúc đẩy hợp tác trong lĩnh vực gìn giữ hòa bình của Liên hợp quốc, đồng thời coi đây là một lĩnh vực hợp tác tiềm năng giữa hai nước ...
ແຕ່ວັນທີ 18-24 ມີນາ, ຄະນະຜູ້ແທນຂັ້ນສູງກອງທັບປະຊາຊົນຫວຽດນາມ ໂດຍທ່ານພົນໂທ ຟ້າມຫງອກມີງ, ຮອງຫົວໜ້າກົມໃຫຍ່ເສນາທິການ, ຮອງຫົວໜ້າຄະນະຊີ້ນໍາກະຊວງປ້ອງກັນປະເທດກ່ຽວກັບການເຂົ້າຮ່ວມການເຄື່ອນໄຫວຮັກສາສັນຕິພາບສະຫະປະຊາຊາດ ນໍາໜ້າ, ໄດ້ໄປຢ້ຽມຢາມ ແລະເຮັດວຽກຢູ່ສະຫະພັນລັດເຊຍ ຕາມຄໍາເຊື້ອເຊີນຂອງທ່ານລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດລັດເຊຍ.	Ngày 18-24 / 3, Đoàn đại biểu cấp cao Quân đội nhân dân Việt Nam do Trung tướng Phạm Ngọc Minh, Phó Tổng Tham mưu trưởng, Phó Tham mưu trưởng Bộ Quốc phòng làm Trưởng đoàn tham gia hoạt động gìn giữ hòa bình của Liên hợp quốc đã đến chào xã giao. về Bộ Quốc phòng Nga.
ການພົບປະເຈລະຈາລະຫວ່າງຄະນະຜູ້ແທນຂັ້ນສູງກອງທັບປະຊາຊົນຫວຽດນາມ ແລະບັນດາກໍາລັງປະກອບອາວຸດສະຫະພັນລັດເຊຍ.	Cuộc gặp giữa Đoàn đại biểu cấp cao Quân đội nhân dân Việt Nam và Lực lượng vũ trang Liên bang Nga.
ພາບ: ແມ້ງຮືງ.	Ảnh: Mạnh Hùng.
ຄະນະໄດ້ມີການພົບປະເຈລະຈາກັບຄະນະຜູ້ແທນບັນດາກໍາລັງປະກອບອາວຸດສະຫະພັນລັດເຊຍ, ໂດຍທ່ານພົນຈັດຕະວາ A.	Đoàn đã gặp một phái đoàn của Lực lượng vũ trang Nga do Chuẩn tướng A. làm trưởng đoàn.
A Buduskin, ຮອງຜູ້ບັນຊາການທະຫານບົກສະຫະພັນລັດເຊຍ ເປັນຫົວໜ້າຄະນະ.	A Buduskin, Phó Tư lệnh Quân đội Liên bang Nga, dẫn đầu đoàn.
ທີ່ການພົບປະເຈລະຈາ, ທ່ານ ພົນຈັດຕະວາ A.	Tại cuộc họp, Chuẩn tướng A.
A Buduskin ໄດ້ເນັ້ນໜັກວ່າຜົນງານພົ້ນເດັ່ນໃນການຮ່ວມມືດ້ານປ້ອງກັນຊາດລະຫວ່າງຫວຽດນາມ ແລະສະຫະພັນລັດເຊຍ ໃນໄລຍະຜ່ານມາໄດ້ປະກອບສ່ວນເຮັດໃຫ້ສາຍພົວພັນຮ່ວມມືທີ່ເປັນມູນເຊື້ອອັນດີງາມລະຫວ່າງສອງປະເທດເວົ້າລວມ ແລະລະຫວ່າງກອງທັບສອງປະເທດເວົ້າສະເພາະເລິກເຊິ່ງກວ່າອີກ.	A Buduskin nhấn mạnh, những thành tựu nổi bật trong hợp tác quốc phòng giữa Việt Nam và Liên bang Nga trong thời gian qua đã góp phần làm sâu sắc hơn nữa mối quan hệ tốt đẹp giữa hai nước nói chung và giữa hai quân đội nói riêng.
ທ່ານພົນຈັດຕະວາ A.	Tướng Chattava A.
A Buduskin ຕີລາຄາສູງເລື່ອງສອງຝ່າຍພວມມານະພະຍາຍາມຊຸກຍູ້ການຮ່ວມມືໃນຂົງເຂດຮັກສາສັນຕິພາບສະຫະປະຊາຊາດ ແລະຖືນີ້ແມ່ນຂົງເຂດຮ່ວມມືທີ່ມີຄວາມສາມາດບົ່ມຊ້ອນລະຫວ່າງສອງປະເທດ.	A Buduskin ca ngợi nỗ lực của hai nước trong việc thúc đẩy hợp tác trong lĩnh vực gìn giữ hòa bình của Liên hợp quốc, đồng thời coi đây là một lĩnh vực hợp tác tiềm năng giữa hai nước.
ທ່ານພົນໂທ ຟ້າມຫງອກມີງ ມອບຂອງຂວັນເປັນທີ່ລະນຶກໃຫ້ທ່ານພົນຈັດຕະວາ A.	Trung tướng Phạm Ngọc Minh tặng quà lưu niệm Trung tướng A.
A Buduskin.	Một Buduskin.
ພາບ: ແມ້ງຮືງ.	Ảnh: Mạnh Hùng
ທ່ານພົນໂທ ຟ້າມຫງອກມີງ ຕີລາຄາສູງບັນດາການປະກອບສ່ວນອັນໃຫຍ່ຫຼວງຂອງສະຫະພັນລັດເຊຍ ໃນການເຂົ້າຮ່ວມການເຄື່ອນໄຫວຮັກສາສັນຕິພາບສະຫະປະຊາຊາດ, ປະກອບສ່ວນເຂົ້າໃນການຮັບປະກັນສັນຕິພາບ ແລະຄວາມໝັ້ນຄົງຢູ່ທົ່ວໂລກ.	Trung tướng Phạm Ngọc Minh biểu dương sự đóng góp to lớn của Liên bang Nga trong việc tham gia hoạt động gìn giữ hòa bình của Liên hợp quốc, góp phần bảo đảm hòa bình và an ninh trên thế giới.
ທ່ານພົນໂທ ຟ້າມຫງອກມີງ ແບ່ງປັນບັນດາຜົນງານເບື້ອງຕົ້ນກໍ່ຄືວິວັດທະນາການຜັນຂະຫຍາຍບັນດາກົມກອງຂອງຫວຽດນາມ ໃນການເຂົ້າຮ່ວມການເຄື່ອນໄຫວຮັກສາສັນຕິພາບສະຫະປະຊາຊາດ.	Trung tướng Phạm Ngọc Minh chia sẻ những thành tựu bước đầu cũng như quá trình triển khai của Việt Nam tham gia hoạt động gìn giữ hòa bình của Liên hợp quốc.
ທ່ານພົນໂທ ຟ້າມຫງອກມີງ ແລະທ່ານພົນຈັດຕະວາ A.	Trung tướng Phạm Ngọc Minh và Trung tướng A.
A Buduskin ເຫັນດີເປັນເອກະພາບຈະສະເໜີກະຊວງປ້ອງກັນປະເທດສອງປະເທດຖືຂົງເຂດຮັກສາສັນຕິພາບແມ່ນໜຶ່ງໃນບັນດາເນື້ອໃນຮ່ວມມືບຸລິມະສິດ ແລະຕ້ອງນຳເຂົ້າເນື້ອໃນຂອງບັນດາການເຈລະຈາດ້ານປ້ອງກັນຊາດສອງຝ່າຍລະຫວ່າງສອງປະເທດໃນໄລຍະຈະມາເຖິງ.	A Buduskin nhất trí Bộ Quốc phòng hai nước coi gìn giữ hòa bình là một trong những lĩnh vực hợp tác ưu tiên và phải đưa vào nội dung các cuộc hội đàm quốc phòng song phương giữa hai nước trong thời gian tới.
ແປໂດຍ: ຫງວຽນກຸກ.	Dịch bởi: Nguyen Kuk.
