ກປ.ອອນໄລ - ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ຫາກໍ່ມີການຕອບສໍາພາດຕໍ່ໜັງສືພິມການເງິນ (Financail Times) ແລະໜັງສືພິມເສດຖະກິດ Nikkei.	Thủ tướng Nguyễn Xuân Phúc vừa trả lời phỏng vấn của Financial Times và Nikkei.
ຕໍ່ໄປແມ່ນເນື້ອໃນການຕອບສໍາພາດຂອງທ່ານນາຍົກລັດຖະມົນຕີ.	Sau đây là trích đoạn bài phỏng vấn Thủ tướng.
ນັກຂ່າວ: ຂໍຮຽນທ່ານນາຍົກລັດຖະມົນຕີ, ຄືດັ່ງພວກຂ້າພະເຈົ້າ ໄດ້ຮູ້ແລ້ວວ່າ ໃນທ້າຍອາທິດນີ້, ກອງປະຊຸມສຸດຍອດການຮ່ວມມືອະນຸພາກພື້ນແມ່ນໍ້າຂອງເປີດກວ້າງ ຈະໄດ້ຈັດຕັ້ງຢູ່ຫວຽດນາມ.	PV: Thưa Thủ tướng, như chúng ta đã biết, cuối tuần này, Hội nghị Cấp cao Hợp tác Tiểu vùng Mekong mở rộng sẽ được tổ chức tại Việt Nam.
ຂໍທ່ານໃຫ້ຮູ້ ຫວຽດນາມ ມີຄວາມປາດຖະໜາຫຍັງແດ່ຈາກກອງປະຊຸມຄັ້ງນີ້?	Xin ông cho biết Việt Nam mong muốn điều gì từ cuộc gặp này?
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ: ທ້າຍອາທິດນີ້, ກອງປະຊຸມສຸດຍອດການຮ່ວມມືອະນຸພາກພື້ນແມ່ນໍ້າຂອງເປີດກວ້າງ ຄັ້ງທີ 6 (GMS 6) ຈະດໍາເນີນດ້ວຍການເຂົ້າຮ່ວມຂອງການນໍາທີ່ມາຈາກ 5 ປະເທດ ແມ່ນ: ຫວຽດນາມ, ກໍາປູເຈຍ, ມຽນມາ, ໄທ ແລະທ່ານ ຫວັງອີ້ ລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດ ຈີນ.	Thủ tướng Nguyễn Xuân Phúc: Cuối tuần này, Hội nghị Cấp cao Hợp tác Tiểu vùng Mekong mở rộng lần thứ 6 (GMS 6) sẽ có sự tham dự của lãnh đạo 5 nước Việt Nam, Campuchia, Myanmar, Thái Lan và Bộ trưởng Ngoại giao Trung Quốc Vương Nghị.
ຫວຽດນາມ ພວມຕັ້ງໜ້າພ້ອມກັບບັນດາປະເທດ GMS ກະກຽມເພື່ອໃຫ້ການນໍາບັນດາປະເທດສາມາດເຫັນດີເປັນເອກະພາບຕໍ່ບັນດາຂໍ້ຕົກລົງຍຸດທະສາດ ຄື ແຜນການດໍາເນີນງານ ຮ່າໂນ້ຍ 2018-2022, ແຜນຮ່າງລົງທຶນໃນພາກພື້ນຮອດປີ 2022 ດ້ວຍກວ່າ 200 ໂຄງການ, ລາຍການລົງທຶນທີ່ມີມູນຄ່າ 65 ຕື້ໂດລາສະຫະລັດ.	Việt Nam cùng với các nước GMS đang chuẩn bị để lãnh đạo các nước thống nhất các thỏa thuận chiến lược như Kế hoạch hành động Hà Nội 2018-2022, Kế hoạch đầu tư khu vực đến năm 2022 với hơn 200 dự án và công trình đầu tư trị giá 65 tỷ USD. .
ຄຽງຂ້າງນັ້ນ, ການຮ່ວມມື GMS ຈະເຊື່ອມຕໍ່ກັບບັນດາກົນໄກຮ່ວມມືໃນພາກພື້ນ ຄື: ອາຊຽນ, ການຮ່ວມມືແມ່ນໍ້າຂອງ-ລ້ານຊ້າງ, ການຮ່ວມມືໃນເຂດສາມຫຼ່ຽມພັດທະນາ ກໍາປູເຈຍ-ລາວ-ຫວຽດນາມ, ACMECS, CLMV...	Ngoài ra, hợp tác GMS sẽ gắn với các cơ chế hợp tác khu vực như: ASEAN, Hợp tác Mekong-Lane Xang, Tam giác phát triển Campuchia-Lào-Việt Nam, ACMECS, CLMV ...
ທີ່ກອງປະຊຸມຄັ້ງນີ້, ບັນຫາເຊື່ອມຈອດບັນດາພື້ນຖານເສດຖະກິດ ກໍ່ຄືເສີມຂະຫຍາຍທ່າແຮງຂອງພາກພື້ນ, ການລົບລ້າງຄວາມອຶດຫິວ, ຫຼຸດຜ່ອນຄວາມທຸກຍາກຈະໄດ້ເຕື້ອງເຖິງ.	Tại cuộc họp này, các vấn đề liên quan đến hội nhập kinh tế cũng như nâng cao tiềm năng của vùng, xóa đói, giảm nghèo sẽ được đề cập.
ພວກຂ້າພະເຈົ້າກໍ່ມີຄວາມຫວັງວ່າ ກອງປະຊຸມສຸດຍອດເຂດສາມຫຼ່ຽມພັດທະນາ ກໍາປູເຈຍ-ລາວ-ຫວຽດນາມ ຄັ້ງທີ 10 ຈະຮັບຮອງເອົາບັນດາແຜນການດໍາເນີນງານ, ກໍານົດທິດການຮ່ວມມືລະຫວ່າງສາມປະເທດ, ດ້ວຍການໜູນຊ່ວຍຂອງບັນດາຄູ່ຮ່ວມມືພັດທະນາ ຄື: ທະນາຄານພັດທະນາອາຊີ (ADB), WB, ຍີ່ປຸ່ນ, ສ.ເຫົາຫຼີ.	Chúng tôi cũng hy vọng Hội nghị cấp cao Tam giác phát triển Campuchia-Lào-Việt Nam lần thứ 10 sẽ thông qua các kế hoạch hành động, xác định phương hướng hợp tác giữa ba nước, với sự hỗ trợ của các đối tác phát triển như Ngân hàng Phát triển Châu Á (ADB), Nhật Bản, Hàn Quốc.
ທ່ານນາຍົກລັດຖະມົນຕີຫວຽດນາມ ຫງວຽນຊວນຟຸກ.	Thủ tướng Chính phủ Việt Nam Nguyễn Xuân Phúc.
ພາບ: baochinhphu.vn	Ảnh: baochinhphu.vn
