ກປ.ອອນໄລ - ຫວຽດນາມ ເຄີຍແມ່ນຫົວເມືອງຂຶ້ນຂອງຝະລັ່ງ ເປັນເວລາເກືອບ 100 ປີ.	Việt Nam đã là thủ đô của Pháp trong gần 100 năm.
ວັນທີ 12 ເມສາ 1973, ສອງປະເທດໄດ້ສ້າງຕັ້ງການພົວພັນທາງການທູດ.	Ngày 12 tháng 4 năm 1973, hai nước thiết lập quan hệ ngoại giao.
ປີ 2013, ສອງປະເທດຍົກລະດັບການພົວພັນຂຶ້ນເປັນຄູ່ຮ່ວມມືຍຸດທະສາດ.	Năm 2013, hai nước đã nâng cấp quan hệ lên quan hệ Đối tác chiến lược.
ເນື່ອງໃນໂອກາດສະເຫຼີມສະຫຼອງ 45 ປີແຫ່ງວັນສ້າງຕັ້ງການພົວພັນທາງການທູດ ຫວຽດນາມ-ຝະລັ່ງ, ທ່ານພົນໂທ ຫງວຽນຈີ໋ວິ້ງ ໄດ້ມີບົດຂຽນເຕື້ອງເຖິງບັນດາຂີດໝາຍໃນການພົວພັນດ້ານປ້ອງກັນຊາດຫວຽດນາມ-ຝະລັ່ງ.	Nhân kỷ niệm 45 năm thiết lập quan hệ ngoại giao Việt Nam - Pháp, Trung tướng Nguyễn Chí Vịnh đã có bài viết về ranh giới của quan hệ quốc phòng Việt Nam - Pháp.
ພາຍຫຼັງ 45 ປີ (1973-2018), ການພົວພັນລະຫວ່າງສອງປະເທດໄດ້ມີການພັດທະນາຮອບດ້ານໃນຫຼາຍຂົງເຂດ.	Sau 45 năm (1973-2018), quan hệ hai nước đã phát triển toàn diện trên nhiều lĩnh vực.
ໃນນ້ັນ, ການພົວພັນດ້ານປ້ອງກັນຊາດມີບັນດາຂີດໝາຍສະເພາະ, ແມ່ນໜຶ່ງໃນບັນດາເສົາຄ້ຳໃນການພົວພັນລະຫວ່າງສອງປະເທດ.	Về mặt này, quan hệ quốc phòng có ranh giới cụ thể, là một trong những trụ cột trong quan hệ hai nước.
ສິ່ງດັ່ງກ່າວບໍ່ແມ່ນເລື່ອງບັງເອີນ.	Đây không phải là một trùng hợp ngẫu nhiên.
ພາຍຫຼັງໄຊຊະນະ ດ້ຽນບຽນຝູ ດັງກ້ອງກັງວານ, ດ້ວຍມູນເຊື້ອວັດທະນະທຳມະນຸດ ແລະວິໄສທັດຍຸດທະສາດ, ຫວຽດນາມ ມີການປະພຶດມະນຸດສະທຳ, ມອບສະເລີຍເສິກ, ທະຫານເຈັບປ່ວຍນັບຫຼາຍພັນຄົນ, ພ້ອມກັບ ຝະລັ່ງ ເຊັນສັນຍາ ເຊີແນວ ສ້າງສັນຕິພາບຄືນໃໝ່, ປາດຖະໜາຢາກສ້າງການພົວພັນມິດຕະພາບອັນຍາວນານ.	Sau chiến thắng Điện Biên Phủ tỉnh Quảng Ninh, với di sản văn hóa và tầm nhìn chiến lược, Việt Nam đã viện trợ nhân đạo, trao trả hàng nghìn tù binh, bệnh binh, ký hòa ước với Pháp, mong muốn hữu nghị lâu dài. các mối quan hệ.
ມີຄົນຝະລັ່ງຫຼາຍຄົນນັບມື້ນັບເຂົ້າໃຈກວ່າກ່ຽວກັບປະຫວັດສາດ, ມູນເຊື້ອ, ວັດທະນະທຳຂອງຊົນຊາດຫວຽດນາມ ແລະມີບັນດາການກະທຳມຸ່ງໄປເຖິງອະນາຄົດ.	Nhiều người Pháp có thể hiểu rõ hơn về lịch sử, di sản và văn hóa của người Việt Nam và hành động vì tương lai.
ສາທາລະນະລັດ ຝະລັ່ງ ແມ່ນສະຖານທີ່ດຳເນີນການເຈລະຈາ marathon ທີ່ແກ່ຍາວເປັນເວລາເກືອບ 5 ປີ (ແຕ່ເດືອນ ພຶດສະພາ 1968 ຫາເດືອນ ມັງກອນ 1973) ເພື່ອລົງນາມສັນຍາປາຣີ ກ່ຽວກັບການສ້າງສັນຕິພາບຢູ່ຫວຽດນາມ ຄືນໃໝ່.	Cộng hòa Pháp là nơi diễn ra cuộc đàm phán kéo dài gần 5 năm (từ tháng 5-1968 đến tháng 1-1973) để ký lại Hiệp định Hòa bình Paris tại Việt Nam.
ໃນຊຸມປີທີ່ຫວຽດນາມ ຖືກປິດລ້ອມ, ຂວ້າບາດ, ຝະລັ່ງ ແມ່ນປະເທດຝ່າຍຕາເວັນຕົກໜຶ່ງດຽວຍັງຮັກສາການພົວພັນທາງດ້ານວັດທະນະທຳ, ວິທະຍາສາດ, ເຕັກນິກກັບຫວຽດນາມ.	Trong những năm Việt Nam bị bao vây, Pháp là nước phương Tây duy nhất duy trì quan hệ văn hóa, khoa học và công nghệ với Việt Nam.
