ກປ.ອອນໄລ - ນັບແຕ່ທ້າຍປີ 2015, ກອງພົນ 9 ປະຕິບັດການແຈກຢາຍບັດປະກັນສຸຂະພາບໃຫ້ແກ່ 100% ພົນທະຫານຂອງກົມກອງ.	KTĐT - Từ cuối năm 2015, Lữ đoàn 9 đã tổ chức phát thẻ BHYT cho 100% quân nhân của Cục.
ເພື່ອບັນລຸໄດ້ໝາກຜົນດັ່ງກ່າວ, ຄະນະພັກ, ຜູ້ບັນຊາການກົມກອງໄດ້ຊີ້ນຳບັນດາກົມກອງສັງກັດສົມທົບກັນຜັນຂະຫຍາຍຕາມຂໍ້ກໍານົດ, ການແນະນໍາຂອງຂັ້ນເທິງກ່ຽວກັບການປະຕິບັດປະກັນສຸຂະພາບສໍາລັບນາຍ ແລະພົນທະຫານຢ່າງຄົບຊຸດ...	Để đạt được kết quả này, Đảng ủy, Chỉ huy các Sư đoàn đã chỉ đạo các Phòng, Ban triển khai thực hiện các quy định, kiến nghị của cấp trên về thực hiện BHYT toàn diện cho cán bộ, chiến sĩ ...
ໂດຍແມ່ນໜຶ່ງໃນບັນດາກົມກອງປະຕິບັດການທົດລອງປະກັນສຸຂະພາບສໍາລັບນາຍ ແລະພົນທະຫານຢູ່ເຂດພາກໃຕ້, ກອງພົນ 9 (ກອງພົນໃຫຍ່ 4) ໄດ້ຜັນຂະຫຍາຍວຽກງານນີ້ຢ່າງເຂັ້ມງວດ, ແໜ້ນແຟ້ນ, ຕອບສະໜອງຄວາມຮຽກຮ້ອງຕ້ອງການສົ່ງເສີມສຸຂະພາບໃຫ້ແກ່ນາຍ ແລະພົນທະຫານໃນເງື່ອນໄຂໃໝ່.	Nằm trong Ban thí điểm nghiệp vụ BHYT cán bộ, chiến sĩ phía Nam, Lữ đoàn 9 (Lữ đoàn 4) đã thực hiện công tác này một cách nghiêm túc, trách nhiệm, đáp ứng yêu cầu nâng cao sức khỏe của cán bộ, chiến sĩ trong điều kiện mới.
ປະສິດທິຜົນ, ຄວາມສະດວກໃຫ້ແກ່ທະຫານ ແລະຮາກຖານເສນາຮັກ	Hiệu quả, thuận tiện cho quân đội và căn cứ quân sự
ນັບແຕ່ທ້າຍປີ 2015, ກອງພົນ 9 ປະຕິບັດການແຈກຢາຍບັດປະກັນສຸຂະພາບໃຫ້ແກ່ 100% ນາຍ ແລະພົນທະຫານຂອງກົມກອງ.	Từ cuối năm 2015, Lữ đoàn 9 đã phát thẻ BHYT cho 100% cán bộ, chiến sĩ của Cục.
ເພື່ອບັນລຸໄດ້ໝາກຜົນດັ່ງກ່າວ, ຄະນະພັກ, ຜູ້ບັນຊາການກົມກອງໄດ້ຊີ້ນຳບັນດາກົມກອງສັງກັດສົມທົບກັນຜັນຂະຫຍາຍຕາມຂໍ້ກໍານົດ, ການແນະນໍາຂອງຂັ້ນເທິງກ່ຽວກັບການປະຕິບັດປະກັນສຸຂະພາບສໍາລັບນາຍ ແລະພົນທະຫານຢ່າງຄົບຊຸດ.	Để đạt được kết quả này, Đảng ủy, Chỉ huy các Sư đoàn đã chỉ đạo các Phòng, Ban cùng triển khai các quy định, kiến nghị của cấp trên về thực hiện BHYT toàn diện cho cán bộ, chiến sĩ.
ທ່ານພັນໂທ ຫວູແຄ໋ງຕວ່ານ, ຫົວໜ້າຫ້ອງການແພດກອງພົນ 9 ໃຫ້ຮູ້ວ່າ: “ເມື່ອເຂົ້າປະກັນສຸຂະພາບ, ນາຍ ແລະພົນທະຫານສາມາດຈົດທະບຽນກວດ ແລະປິ່ນປົວພະຍາດເບື້ອງຕົ້ນຢູ່ບັນດາຮາກຖານເສນາຮັກ ຫຼື ຮາກຖານສຸຂະພິບານປະຊາຊົນທີ່ສະດວກກັບບ່ອນເຮັດວຽກ, ບ່ອນຢູ່ອາໄສ.	Trung tá Wu Khangtawan, Trưởng phòng Y tế Lữ đoàn 9 cho biết: “Khi tham gia BHYT, sĩ quan, quân nhân nhập ngũ có thể đăng ký khám, chữa bệnh tại Senahak hoặc các cơ sở y tế công lập thuận tiện về nơi công tác. và nơi cư trú.
ຍິ່ງກວ່ານັ້ນ, ການປິ່ນປົວພະຍາດມີການເຊື່ອມຕໍ່ລະຫວ່າງບັນດາຮາກຖານເສນາຮັກ ແລະຮາກຖານສຸຂະພິບານປະຊາຊົນ, ໄດ້ສ້າງຄວາມສະດວກໃຫ້ແກ່ພົນທະຫານກວ່າເກົ່າ.	Ngoài ra, có sự liên kết giữa khám chữa bệnh và các cơ sở y tế công lập, đã tạo điều kiện thuận lợi hơn cho quân đội.
ຈົດທະບຽນກວດ ແລະປິ່ນປົວພະຍາດເບື້ອງຕົ້ນຢູ່ໂຮງໝໍຫຼາຍຂະແໜງ ຊວຽນອ໋່າ (ເມືອງກູ໊ຈີ, ນະຄອນ ໂຮ່ຈິມິນ), ໄລຍະຜ່ານມາ, ທ່ານຮ້ອຍເອກພິເສດ ຈີ້ງຮວ່າຍເຕີມ, ຫ້ອງການເມືອງກອງພັນໃຫຍ່ 2 ໄປກວດພະຍາດ, ເອໂກໄຂ່ຫຼັງ, ວິເຄາະເລືອດຢູ່ໂຮງໝໍນຳໃຊ້ປະກັນສຸຂະພາບ ໄດ້ຮັບຄໍາປຶກສາ, ກວດ, ປິ່ນປົ່ວພະຍາດດ້ວຍຄ່າໃຊ້ຈ່າຍໜ້ອຍທີ່ສຸດ.	Đăng ký khám và điều trị lần đầu tại Bệnh viện Đa khoa Xuân Anh (Quận Guji, TP. Hồ Chí Minh).
ໃນເມື່ອກ່ອນ, ເມື່ອກວດ ແລະປິ່ນປົວພະຍາດແຕ່ລະເທື່ອ, ອ້າຍ ເຕີມ ເສຍເວລາຫຼາຍໃຫ້ແກ່ການເຮັດລະບຽບການ, ແຕ່ດ້ວຍບັດປະກັນສຸຂະພາບ, ບັນຫາເຮັດລະບຽບການກໍ່ໄວ ແລະງ່າຍດາຍກວ່າເກົ່າ.	Trước đây, mỗi lần khám và điều trị, anh mất nhiều thời gian làm thủ tục, nhưng với thẻ BHYT, thủ tục nhanh chóng, dễ dàng hơn.
ອ້າຍ ເຕີມ ແບ່ງປັນວ່າ: ຍ້ອນບໍ່ຖືກຈໍາກັດຮາກຖານກວດ ແລະປິ່ນປົວພະຍາດ, ສະນັ້ນ, ເມື່ອໄປປະຕິບັດງານ, ພັກປະຈໍາປີ...	Anh Tem chia sẻ rằng: Vì không có giới hạn trong việc chẩn đoán và điều trị bệnh nên khi đi làm, tiệc tất niên ...
