ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 3 ພຶດສະພາ, ຢູ່ສໍານັກງານນາຍົກລັດຖະມົນຕີ, ທ່ານນາຍົົກລັດຖະມົນຕີຫວຽດນາມ ຫງວຽນຊວນຟຸກ ໄດ້ໃຫ້ການຕ້ອນຮັບທ່ານ Jamie Dimon, ປະທານກຸ່ມບໍລິສັດ JP.Morgan (ອາເມລິກາ).	Tự hào - ngày 3 tháng 5, tại Thủ tướng Nguyễn Xuie Dimon, Chủ tịch JP.organ, Hoa Kỳ).
ກ່າວຄໍາເຫັນທີ່ການຕ້ອນຮັບ, ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ເນັ້ນໜັກວ່າ, ລັດຖະບານຫວຽດນາມ ຕີລາຄາສູງຕໍ່ບົດບາດຂອງກຸ່ມບໍລິສັດ JP.Morgan ໃນຕະຫຼາດການເງິນສາກົນ;	Nói bình luận, Thủ tướng Nguyễn Xuân Phúc giá cao của Tập đoàn JP.Morgan trên thị trường tài chính quốc tế;
ຊົມເຊີຍກຸ່ມບໍລິສັດໄດ້ຮ່ວມມືກັບຫວຽດນາມ ເປັນຢ່າງດີ ແລະຕັ້ງໜ້າເຂົ້າຮ່ວມວິວັດການຫັນບັນດາວິສາຫະກິດໃຫຍ່ຢູ່ຫວຽດນາມ ເປັນຫຸ້ນສ່ວນໃນໄລຍະຜ່ານມາ.	Các nhóm hợp tác với Việt Nam và chủ động hợp tác tại Việt Nam trong quá khứ.
ທ່ານ Jamie Dimon ສະແດງໃຫ້ເຫັນວ່າຫວຽດນາມ ເປັນພື້ນຖານເສດຖະກິດຫາກໍ່ພົ້ນເດັ່ນຢູ່ພາກພື້ນ, ມີລະດັບການເຕີບໂຕເສດຖະກິດໄວທີ່ສຸດ ແລະພວມຕັ້ງໜ້າປະຕິຮູບເສດຖະກິດຢ່າງເລິກເຊິ່ງກວ້າງຂວາງ.	Jamie Dimon cho thấy Việt Nam là cơ sở kinh tế, mức độ tăng trưởng kinh tế nhanh nhất là sâu sắc.
ກຸ່ມບໍລິສັດຍາມໃດກໍ່ປາດຖະໜາຢາກທໍາມາຫາກິນຍາວນານຢູ່ຫວຽດນາມ, ຜ່ານນັ້ນ, ສະໜອງບັນດາການບໍລິການດ້ານການເງິນດີທີ່ສຸດໃຫ້ແກ່ບັນດາຄູ່ຮ່ວມມື, ວິສາຫະກິດ, ອົງການສິນເຊື່ອຢູ່ຫວຽດນາມ.	Bất kỳ nhóm nào các công ty đều khao khát sống ở Việt Nam, cung cấp một thời gian dài để đảm bảo hợp tác, doanh nghiệp, cơ quan tín dụng.
ທ່ານນາຍົກລັດຖະມົນຕີຫວຽດນາມ ຫງວຽນຊວນຟຸກ ແລະທ່ານ Jamie Dimon ປະທານກຸ່ມບໍລິສັດ JP.Morgan (ອາເມລິກາ).	Thủ tướng Nguyễn Xuân Phúc và Chủ tịch Jamie Dimon của JP.Morgan (Hoa Kỳ).
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
ທ່ານນາຍົກລັດຖະມົນຕີ ຊີ້ໃຫ້ເຫັນຢ່າງຈະແຈ້ງວ່າ, ສະພາດໍາເນີນທຸລະກິດ ອາເມລິກາ-ອາຊຽນ (USABC) ແລະບັນດາວິສາຫະກິດອາເມລິກາ ລ້ວນແຕ່ຕີລາຄາສູງສະພາບແວດລ້ອມແຫ່ງການລົງທຶນດໍາເນີນທຸລະກິດຂອງຫວຽດນາມ.	Thủ tướng Chính phủ chỉ định, Hoa Kỳ, Hội đồng kinh doanh Mỹ-ASEAN, Hoa Kỳ được đầu tư cao vào đầu tư.
ລັດຖະບານຫວຽດນາມ ກໍາລັງຍູ້ແຮງວິວັດການຫັນບັນດາລັດວິສາຫະກິດເປັນຫຸ້ນສ່ວນ, ສ້າງໂຄງປະກອບລະບົບທະນາຄານ, ຂະແໜງການບິນຄືນໃໝ່...	Chính phủ Việt Nam đang thúc đẩy các doanh nghiệp nhà nước chuyển tiếp, tái cấu trúc hệ thống ngân hàng ...
ນີ້ແມ່ນກາລະໂອກາດໃຫຍ່ເພື່ອໃຫ້ບັນດານັກລົງທຶນສາກົນ ກາຍເປັນນັກລົງທຶນຍຸດທະສາດຂອງບັນດາວິສາຫະກິດເຫຼົ່ານີ້, ໃນນັ້ນມີກຸ່ມບໍລິສັດ JP.Morgan.	Đây là một cơ hội lớn cho các nhà đầu tư quốc tế trở thành nhà đầu tư chiến lược của các doanh nghiệp này, trong đó có JP.organ.
ແປໂດຍ: ທູຈາງ.	Dịch bởi: Samuel.
