ກປ.ອອນໄລ - ວັນທີ 10 ພຶດສະພາ, ກົມໃຫຍ່ການເມືອງພົບປະສັງສັນກັບສື່ມວນຊົນທີ່ໂຄສະນາກ່ຽວກັບກອງປະຊຸມໃຫຍ່ກໍາມະບານກອງທັບຄັ້ງທີ IX (2018-2023).	Tự hào về ngày 10 tháng 5, Sở chính trị gặp gỡ các phương tiện truyền thông trên IX (2018-2023).
ຕາມນັ້ນແລ້ວ, ກອງປະຊຸມໃຫຍ່ຈະໄດ້ດໍາເນີນແຕ່ວັນທີ 22 ຫາວັນທີ 24 ພຶດສະພາ 2018, ດ້ວຍການເຂົ້າຮ່ວມຂອງຜູ້ແທນ 605 ຄົນ, ໃນນັ້ນມີຜູ້ແທນທາງການ 370 ຄົນ ແລະແຂກຖືກເຊີນ 235 ຄົນ.	Theo đó, Quốc hội sẽ được tiến hành từ 22 đến 2018, với Phái đoàn 605, bao gồm 370 người và khách được mời 235.
ທ່ານພັນເອກພິເສດ ຫງວຽນວັນຕິນ ກ່າວຄໍາເຫັນທີ່ງານພົບປະສັງສັນກັບສື່ມວນຊົນ.	Ông Tướng Nguyễn Tấn Mười Mười Ten Tennies cho biết sứ mệnh nhận xét với các phương tiện truyền thông.
ພາບ: ຮວ່າງຮ່າ.	Ảnh: Hoàng Hà ấm.
ກອງປະຊຸມມີໜ້າທີ່ປຶກສາຫາລື, ປະກອບຄໍາເຫັນເຂົ້າໃນບົດລາຍງານຂອງກົມໃຫຍ່ການເມືອງກ່ຽວກັບການຕີລາຄາສະພາບຖັນແຖວຊາວໜຸ່ມ, ກຳມະກອນ, ລັດຖະກອນ, ຜູ້ອອກແຮງງານປ້ອງກັນຊາດ ແລະໝາກຜົນແຫ່ງການເຄື່ອນໄຫວກໍາມະບານໃນກອງທັບໄລຍະ 5 ປີ (2013-2018);	Các cuộc họp có một trang tư vấn, nhận xét về Sở CODOLE, công nhân, dân sự, dân sự, dân sự, dân sự, dân sự, dân sự
ກໍານົດທິດທາງ, ເປົ້າໝາຍ, ໜ້າທີ່, ວິທີການຈັດຕັ້ງຂະບວນການກໍາມະກອນ ແລະການເຄື່ອນໄຫວກໍາມະບານໃນກອງທັບໄລຍະ 5 ປີ (2018-2023);	Xác định hướng dẫn, mục tiêu, chức năng, cách tổ chức công nhân và quảng cáo trong quân đội năm năm (2018-2023);
ປຶກສາຫາລື, ປະກອບຄໍາເຫັນເຂົ້າໃນຮ່າງບົດລາຍງານຂອງຄະນະບໍລິຫານງານສະຫະພັນໃຫຍ່ແຮງງານຫວຽດນາມ ຍື່ນສະເໜີຕໍ່ກອງປະຊຸມໃຫຍ່ກໍາມະບານຫວຽດນາມ ຄັ້ງທີ XII ແລະເຂົ້າຮ່ວມການປະກອບຄໍາເຫັນປັບປຸງ, ເພີ່ມເຕີມກົດລະບຽບກໍາມະບານຫວຽດນາມ.	Thảo luận, nhận xét về các báo cáo liên kết lao động quốc gia, nâng cao công nhân Việt Nam, các cải tiến, các lệnh tiếng Việt.
ກອງປະຊຸມໃຫຍ່ຈະເລືອກຕັ້ງຄະນະຜູ້ແທນກໍາມະບານກອງທັບທີ່ເຂົ້າຮ່ວມກອງປະຊຸມໃຫຍ່ກໍາມະບານຫວຽດນາມ ຄັ້ງທີ XII, ອາຍຸການ 2018-2023.	Hội nghị chung sẽ bầu cử Quân đội của Quân đội XII, 2018-2023.
ບັນຍາກາດທີ່ງານພົບປະສັງສັນກັບສື່ມວນຊົນ.	Bầu không khí chính thức gặp gỡ các phương tiện truyền thông.
ພາບ: ຮວ່າງຮ່າ.	Ảnh: Hoàng Hà ấm.
ເນື່ອງໃນໂອກາດນີ້, ກົມໃຫຍ່ການເມືອງຈັດຕັ້ງການຍ້ອງຍໍປະທານກໍາມະບານຮາກຖານດີເດັ່ນໃນການກໍ່ສ້າງອົງການຈັດຕັ້ງ, ການເຄື່ອນໄຫວກໍາມະບານຮາກຖານໄລຍະ (2013-2018) ແລະການເຄື່ອນໄຫວທີ່ມີຄວາມໝາຍຫຼາຍຢ່າງ ເພື່ອຂໍ່ານັບຮັບຕ້ອນກອງປະຊຸມໃຫຍ່ກໍາມະບານກອງທັບຄັ້ງທີ IX.	Nhân dịp này, thành phố của thành phố tổ chức kiểm soát toàn diện của tổ chức, nền tảng của Quân đội IX mở ra.
ແປໂດຍ: ຫງວຽນກຸກ.	Dịch theo: Số số Nujuf.
