ກປ.ອອນໄລ - ຫວຽດນາມ ແມ່ນປະເທດທີ 10 ທີ່ໃຫ້ສັດຕະຍາບັນສົນທິສັນຍາ.	Việt Nam là nước thứ 10 phê chuẩn Công ước.
ມາຮອດປະຈຸບັນ, ສົນທິສັນຍາສະບັບນີ້ມີ 58 ປະເທດໄດ້ລົງນາມ, ມີ 10 ປະເທດໃຫ້ສັດຕະຍາບັນ ແລະຈະມີຜົນສັກສິດເມື່ອ 50 ປະເທດໄດ້ໃຫ້ສັດຕະຍາບັນ...	Đến nay, 58 điều ước quốc gia đã được ký kết, 10 điều ước đã phê chuẩn và sẽ có hiệu lực sau khi 50 quốc gia phê chuẩn ...
ວັນທີ 17 ພຶດສະພາ (ຕາມເວລາອາເມລິກາ), ທີ່ສໍານັກງານສະຫະປະຊາຊາດ ຢູ່ນະຄອນ ນິວຢອກ, ທ່ານນາງເອກອັກຄະລັດຖະທູດ ຫງວຽນເຟືອງງາ, ຫົວໜ້າຄະນະຜູ້ຕາງໜ້າຫວຽດນາມ ປະຈຳ ສະຫະປະຊາຊາດ ໄດ້ສົ່ງສຳເນົາເອກະສານໃຫ້ສັດຕະຍາບັນສົນທິສັນຍາເກືອດຫ້າມອາວຸດນິວເຄຼຍ ໃຫ້ທ່ານເລຂາທິການໃຫຍ່ ສະຫະປະຊາຊາດ.	Ngày 17/5/2013, tại Văn phòng Liên hợp quốc ở New York, Đại sứ Nguyễn Phương Nga, Trưởng Phái đoàn Việt Nam tại Liên hợp quốc đã gửi bản sao văn bản cho Tổng thư ký Hiệp ước không phổ biến vũ khí hạt nhân.
ຄືແນວນັ້ນ, ຫວຽດນາມ ແມ່ນປະເທດທີ 10 ທີ່ໃຫ້ສັດຕະຍາບັນສົນທິສັນຍາ.	Như vậy, Việt Nam là nước thứ 10 phê chuẩn Công ước.
ມາຮອດປະຈຸບັນ, ສົນທິສັນຍາສະບັບນີ້ມີ 58 ປະເທດໄດ້ລົງນາມ, ມີ 10 ປະເທດໃຫ້ສັດຕະຍາບັນ ແລະຈະມີຜົນສັກສິດເມື່ອ 50 ປະເທດໄດ້ໃຫ້ສັດຕະຍາບັນ.	Đến nay, hiệp ước đã được 58 quốc gia ký kết, 10 quốc gia phê chuẩn và sẽ có hiệu lực sau khi 50 quốc gia phê chuẩn.
ທ່ານນາງເອກອັກຄະລັດຖະທູດ ຫງວຽນເຟືອງງາ, ຫົວໜ້າຄະນະຜູ້ຕາງໜ້າຫວຽດນາມ ປະຈຳ ສະຫະປະຊາຊາດ.	Đại sứ Nguyễn Phương Nga, Trưởng Phái đoàn Việt Nam tại Liên hợp quốc
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ວັນທີ 22 ກັນຍາ 2017, ໃນຂອບເຂດວາລະປະຊຸມຂັ້ນສູງສະມັດຊາໃຫຍ່ສະຫະປະຊາຊາດ ຊຸດທີ 72, ທ່ານຮອງນາຍົກລັດຖະມົນຕີ, ລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດຫວຽດນາມ ຟ້າມບີງມີງ ໄດ້ລົງນາມໃນສົນທິສັນຍາສະບັບນີ້.	Ngày 22/9/2017, bên lề Đại hội đồng Liên hợp quốc lần thứ 72, Phó Thủ tướng Chính phủ, Bộ trưởng Bộ Ngoại giao Phạm Bình Minh đã ký Công ước.
ເລື່ອງ ລົງນາມ ແລະໃຫ້ສັດຕະຍາບັນສົນທິສັນຍາໄດ້ສະແດງໃຫ້ເຫັນຢ່າງຈະແຈ້ງກ່ຽວກັບນະໂຍບາຍສະເໝີຕົ້ນສະເໝີປາຍຂອງຫວຽດນາມ ເພື່ອສັນຕິພາບ, ສະໜັບສະໜູນການຫຼຸດຜ່ອນອາວຸດນິວເຄຼຍໃນທົ່ວໂລກ.	Việc ký và phê chuẩn Công ước là minh chứng rõ ràng cho chính sách lâu dài của Việt Nam trong việc thúc đẩy hòa bình và giải trừ hạt nhân trên toàn thế giới.
ສົນທິສັນຍາເກືອດຫ້າມອາວຸດນິວເຄຼຍ ມີຄວາມໝາຍປະຫວັດສາດສໍາຄັນເພາະວ່າເປັນເທື່ອທໍາອິດທີ່ມີສົນທິສັນຍາສາກົນທີ່ມີຂໍ້ກຳນົດເກືອດຫ້າມຢ່າງຮອບດ້ານໃນການພັດທະນາ, ການທົດລອງ, ການຜະລິດ, ການປະດິດ, ນໍາໃຊ້ ຫຼືນາບຂູ່ນໍາໃຊ້ອາວຸດນິວເຄຼຍ.	Hiệp ước không phổ biến vũ khí hạt nhân (NPT) là một cột mốc lịch sử vì đây là lần đầu tiên một công ước quốc tế có quy định cấm toàn diện đối với việc phát triển, thử nghiệm, sản xuất, phát minh, sử dụng hoặc đe dọa vũ khí hạt nhân.
ແປໂດຍ: ເຈິ່ນຮວ່ຽນ.	Người dịch: Trần Huyền
