ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 8 ມິຖຸນາ, ທີ່ສໍານັກງານປະທານປະເທດ, ທ່ານປະທານປະເທດຫວຽດນາມ ເຈີ່ນດ້າຍກວາງ ໄດ້ໃຫ້ການຕ້ອນຮັບທ່ານ Wesley W.	Chiều 8/6, tại Văn phòng Chủ tịch nước, Chủ tịch nước Trần Đại Quang đã tiếp bà Wesley W.
Simina ປະທານສະພາແຫ່ງຊາດສະຫະພັນ Micronesia ພວມມີການຢ້ຽມຢາມຫວຽດນາມ ຢ່າງເປັນທາງການ ຕາມຄຳເຊື້ອເຊີນຂອງທ່ານນາງ ຫງວຽນທິກິມເງິນ ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ.	Bà Simina, Chủ tịch Quốc hội Liên bang Micronesia thăm chính thức Việt Nam theo lời mời của Chủ tịch Quốc hội Nguyễn Thị Kim Ngen.
ກ່າວຄໍາເຫັນທີ່ການຕ້ອນຮັບ, ທ່ານປະທານປະເທດ ເຈີ່ນດ້າຍກວາງ ເຊື່ອໝັ້ນວ່າໝາກຜົນການຢ້ຽມຢາມຄັ້ງນີ້ຈະປະກອບສ່ວນປັບປຸງການພົວພັນ ຫວຽດນາມ-Micronesia ເວົ້າລວມ ແລະລະຫວ່າງສະພາແຫ່ງຊາດສອງປະເທດເວົ້າສະເພາະ.	Phát biểu tại buổi chiêu đãi, Chủ tịch nước Trương Tấn Sang bày tỏ tin tưởng kết quả chuyến thăm sẽ góp phần cải thiện quan hệ Việt Nam - Micronesia nói chung và giữa Quốc hội hai nước nói riêng.
ທ່ານປະທານປະເທດ ເຈີ່ນດ້າຍກວາງ ໄດ້ຊີ້ແຈ້ງວ່າ ຍາມໃດຫວຽດນາມກໍ່ຖືເປັນສຳຄັນເລື່ອງພັດທະນາການພົວພັນມິດຕະພາບ ແລະການຮ່ວມມືຫຼາຍດ້ານກັບສະຫະພັນ Micronesia;	Chủ tịch nước Trần Đại Quang nhấn mạnh, Việt Nam luôn coi trọng phát triển quan hệ hữu nghị và hợp tác nhiều mặt với Liên bang Micronesia;
ຢືນຢັນວ່າ ຫວຽດນາມຊົມເຊີຍບັນດາກະຊວງ, ຂະແໜງການ, ທ້ອງຖິ່ນສອງປະເທດເປັນເຈົ້າການໃນການຊອກຮູ້, ຊຸກຍູ້ບັນດາກາລະໂອກາດຮ່ວມມື.	Việt Nam biểu dương các bộ, ban, ngành, địa phương của hai nước đã đi đầu trong việc tìm hiểu và thúc đẩy các cơ hội hợp tác.
ທ່ານປະທານປະເທດຫວຽດນາມ ເຈີ່ນດ້າຍກວາງ ຕ້ອນຮັບທ່ານ Wesley W.	Chủ tịch nước Trần Đại Quang tiếp Wesley W.
Simina ປະທານສະພາແຫ່ງຊາດສະຫະພັນ Micronesia.	Simina, Chủ tịch Quốc hội Liên bang Micronesia.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ທ່ານປະທານປະເທດ ເຈີ່ນດ້າຍກວາງ ປາດຖະໜາຢາກໃຫ້ສອງປະເທດຊຸກຍູ້ການແລກປ່ຽນການຄ້າໃນບັນດາປະເພດສິນຄ້າຄື: ຜະລິດຕະພັນກະເສດ, ເຄື່ອງໃຊ້ສອຍ, ເຄື່ອງກົນຈັກກະສິກຳ;	Chủ tịch nước Trần Đại Quang mong muốn hai nước đẩy mạnh thương mại nông sản, hàng tiêu dùng, máy móc nông nghiệp.
ສົ່ງເສີມການລົງທຶນໃນບາງຂົງເຂດພື້ນຖານ ຄື: ສ້າງພື້ນຖານໂຄງລ່າງ, ການທ່ອງທ່ຽວ, ໂທລະຄົມມະນາຄົມ;	Đẩy mạnh đầu tư vào một số lĩnh vực cơ bản như: xây dựng cơ sở hạ tầng, du lịch, viễn thông;
ຍູ້ແຮງການຮ່ວມມືໃນບັນດາຂົງເຂດມີຄວາມສາມາດບົ່ມຊ້ອນ ຄື: ກະສິກໍາ, ພັດທະນາການທ່ອງທ່ຽວ, ສຳຫຼວດ ແລະຂຸດຄົ້ນນ້ຳມັນອາຍແກັສ, ການສຶກສາ-ບໍາລຸງສ້າງ...	Tăng cường hợp tác trong các lĩnh vực có tiềm năng: nông nghiệp, phát triển du lịch, thăm dò và khai thác dầu khí, giáo dục đào tạo ...
ຕີລາຄາສູງຕໍ່ການສະໜັບສະໜູນຂອງ Micronesia ສະຫງວນໃຫ້ຫວຽດນາມ ຢູ່ບັນດາເວທີປາໄສພາກພື້ນ ແລະສາກົນ, ທ່ານປະທານປະເທດ ເຈີ່ນດ້າຍກວາງ ສະເໜີ Micronesia ສືບຕໍ່ສະໜັບສະໜູນຫວຽດນາມ ອອກສະໝັກຮັບເລືອກຕັ້ງເປັນກຳມະການບໍ່ປະຈຳການສະພາຄວາມໝັ້ນຄົງສະຫະປະຊາຊາດ ອາຍຸການ 2020–2021.	Đánh giá cao việc Micronesia dành sự ủng hộ của Việt Nam tại các diễn đàn khu vực và quốc tế, Chủ tịch nước Micronesia Trần Đại Quang tiếp tục đề cử Việt Nam ứng cử làm nước không thành viên Đại hội đồng LHQ năm 2020.
ທ່ານປະທານປະເທດ ເຈີ່ນດ້າຍກວາງ ແລະທ່ານ Wesley W.	Chủ tịch nước Trần Đại Quang và Wesley W.
Simina ປະທານສະພາແຫ່ງຊາດສະຫະພັນ Micronesia.	Simina, Chủ tịch Quốc hội Liên bang Micronesia.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ທ່ານປະທານສະພາແຫ່ງຊາດ Wesley W.	Chủ tịch Quốc hội Wesley W.
Simina ໃຫ້ຮູ້ວ່າ: Micronesia ປາດຖະໜາຢາກຊຸກຍູ້ການຮ່ວມມືໃນບັນດາ ຂົງເຂດເຊິ່ງຫວຽດນາມ ມີທ່າແຮງຄື: ພັດທະນາກະສິກຳ, ເສດຖະກິດທະເລ ແລະການສຶກສາ-ບໍາລຸງສ້າງ.	Theo bà Simina, Micronesia mong muốn đẩy mạnh hợp tác trong các lĩnh vực mà Việt Nam có nhiều tiềm năng như phát triển nông nghiệp, kinh tế hàng hải và giáo dục đào tạo.
ທ່ານ Wesley W.	Tiến sĩ Wesley W.
Simina ຂອບໃຈຫວຽດນາມໄດ້ໜູນຊ່ວຍ Micronesia ໃນຂົງເຂດຮັບມືກັບການປ່ຽນແປງຂອງດິນຟ້າອາກາດ.	Simina cảm ơn Việt Nam đã giúp Micronesia ứng phó với biến đổi khí hậu.
ແປໂດຍ: ເຈິ່ນຮວ່ຽນ.	Người dịch: Trần Huyền
