ກປ.ອອນໄລ - ເນື່ອງໃນໂອກາດສະເຫຼີມສະຫຼອງ 70 ປີແຫ່ງວັນປະທານ ໂຮ່ຈິມິນ ອອກຄຳຮຽກຮ້ອງແຂ່ງຂັນຮັກຊາດ;	Nhân kỷ niệm 70 năm Ngày Chủ tịch Hồ Chí Minh ra Lời kêu gọi thi đua ái quốc;
93 ປີແຫ່ງວັນສື່ມວນຊົນປະຕິວັດຫວຽດນາມ (21-6-1925/21-6-2018) ແລະ10 ປີແຫ່ງວັນປຸກລະດົມການເສັງຂຽນ “ບັນດາແບບຢ່າງທີ່ລຽບງ່າຍແຕ່ສູງສົ່ງ.	Kỷ niệm 93 năm Ngày Truyền thông Cách mạng Việt Nam (21-6-1925 / 21-6-2018) và kỷ niệm 10 năm Cuộc thi viết “Những tấm gương giản dị mà cao cả”.
ຕອນຄໍ່າວັນທີ 8 ມີຖຸນາ, ຢູ່ໂຮງລະຄອນໃຫຍ່ ຮ່າໂນ້ຍ, ໜັງສືພິມກອງທັບປະຊາຊົນຫວຽດນາມໄດ້ສົມທົບກັບສະຖານີໂທລະພາບຫວຽດນາມ, ກຸ່ມບໍລິສັດນ້ຳມັນອາຍແກັສແຫ່ງຊາດຫວຽດນາມ, ຈັດຕັ້ງພິທີສະເຫຼີມສະຫຼອງ 10 ປີແຫ່ງວັນປຸກລະດົມການເສັງຂຽນ “ບັນດາແບບຢ່າງທີ່ລຽບງ່າຍແຕ່ສູງສົ່ງ ;	Tối 8/6, tại Nhà hát Lớn Hà Nội, Báo Quân đội nhân dân Việt Nam kết hợp với Đài Truyền hình Việt Nam, Tập đoàn Dầu khí Quốc gia Việt Nam tổ chức Lễ kỷ niệm 10 năm tác phẩm “Bài thi viết giản dị mà cao quý”. Cuộc thi;
ສະຫຼຸບມອບລາງວັນການເສັງຂຽນຄັ້ງທີ 9 (2017-2018) ແລະລາຍການພົບປະແລກປ່ຽນສິລະປະ “ຈົດຈຳຄຳສັ່ງສອນຂອງລຸງໂຮ່.	Tổng kết Giải Thi Viết Văn lần thứ 9 (2017-2018) và Chương trình Giao lưu nghệ thuật “Nhớ lời Bác Hồ dạy”.
ລາຍການສະແດງສິລະປະ.	Các cuộc triển lãm nghệ thuật.
ພາບ: ມີງເຈື່ອງ.	Ảnh: Minh Trường
ພິທີ, ເປັນກຽດໄດ້ຮັບກະເຊົ້າດອກໄມ້ອວຍພອນຂອງທ່ານເລຂາທິການໃຫຍ່ ຫງວຽນຟູ໋ຈ້ອງ, ເລຂາຄະນະພັກການທະຫານສູນກາງ ແລະທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ, ກໍາມະການກົມການເມືອງ, ປະທານສະພາແຂ່ງຂັນ - ຍ້ອງຍໍສູນກາງ.	Dự lễ có Tổng Bí thư Nguyễn Phú Trọng, Bí thư Quân ủy Trung ương và Thủ tướng Chính phủ Nguyễn Xuân Phúc, Chủ nhiệm UBKT Trung ương.
ເຂົ້າຮ່ວມລາຍການຍັງມີທ່ານນາງ ຕ່ອງທິຟ໋ອງ, ກໍາມະການກົມການເມືອງ, ຮອງປະທານຜູ້ປະຈໍາການສະພາແຫ່ງຊາດ, ທ່ານ ຫວໍວັນເຖືອງ, ກໍາມະການກົມການເມືອງ, ເລຂາທິການສູນກາງພັກ, ຫົວໜ້າຄະນະໂຄສະນາສຶກສາສູນກາງ;	Cùng có mặt trong danh sách còn có bà Tòng Thị Phóng, Ủy viên Ban Chính trị, Phó Chủ tịch Quốc hội, ông Võ Văn Thưởng, Ủy viên Ban Chính trị, Bí thư Trung ương Đảng, Trưởng Ban Tuyên giáo Trung ương. Ủy ban;
ທ່ານພົນຈັດຕະວາ ຟ້າມວັນຮ໋ວນ, ເລຂາຄະນະພັກ, ຫົວໜ້າບັນນາທິການໃຫຍ່ໜັງສືພິມກອງທັບປະຊາຊົນຫວຽດນາມ - ຫົວໜ້າຄະນະຈັດຕັ້ງ.	Trung tướng Phạm Văn Huấn, Bí thư Đảng ủy, Tổng Biên tập Báo Quân đội nhân dân Việt Nam - Trưởng Ban tổ chức
ແຂກຮັບເຊີນເຂົ້າຮ່ວມການພົບປະແລກປ່ຽນ.	Kính mời khách mời tham dự buổi giao lưu.
ພາບ: ຈ້ອງຫ໊າຍ.	Ảnh: Trọng Hải
