ກປ.ອອນໄລ - ວັນທີ 13 ມິຖຸນາ, ເວທີປາໄສອາຊຽນ-ຍີ່ປຸ່ນ ຄັ້ງທີ 33 ໄດ້ດໍາເນີນຢູ່ ໂຕກຽວ, ຍີ່ປຸ່ນ.	Ngày 13/6, Diễn đàn ASEAN-Nhật Bản lần thứ 33 đã được tổ chức tại Tokyo, Nhật Bản.
ນີ້ແມ່ນການເຈລະຈາປະຈໍາປີຂັ້ນຮອງລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດໃນຂອບເຂດການເຈລະຈາອາຊຽນ-ຍີ່ປຸ່ນ ເພື່ອສໍາຫຼວດກວດຄືນກໍ່ຄືປຶກສາຫາລືບັນດາມາດຕະການເພີ່ມທະວີການພັວພັນຄູ່ຮ່ວມມືຍຸດທະສາດ ແລະການຮ່ວມມືອາຊຽນ-ຍີ່ປຸ່ນ.	Đây là Hội nghị cấp Thứ trưởng Ngoại giao thường niên trong khuôn khổ Đối thoại ASEAN-Nhật Bản nhằm rà soát cũng như thảo luận các biện pháp nhằm nâng cao quan hệ Đối tác Chiến lược và Hợp tác ASEAN-Nhật Bản.
ທ່ານ ຫງວຽນກ໋ວກຢຸ໋ງ ຮອງລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດ ນໍາໜ້າຄະນະຜູ້ແທນຫວຽດນາມ ເຂົ້າຮ່ວມເວທີປາໄສ.	Thứ trưởng Ngoại giao Nguyễn Quốc Dũng dẫn đầu đoàn Việt Nam.
ຍີ່ປຸ່ນ ຢັ້ງຢືນວ່າ, ອາຊຽນ ເປັນຄູ່ຮ່ວມມືສໍາຄັນຂອງຍີ່ປຸ່ນ, ສະໜັບສະໜູນບົດບາດໃຈກາງຂອງອາຊຽນ ໃນໂຄງປະກອບພາກພື້ນ ແລະສືບຕໍ່ຮ່ວມມື, ໜູນຊ່ວຍ ອາຊຽນ ສ້າງປະຊາຄົມ, ເພີ່ມທະວີການເຊື່ອມຈອດ ແລະຮັດແຄບຊ່ອງຫວ່າງດ້ານການພັດທະນາ.	Nhật Bản khẳng định ASEAN là đối tác quan trọng của Nhật Bản, củng cố vai trò trung tâm của ASEAN trong cấu trúc khu vực và tiếp tục hợp tác, hỗ trợ ASEAN xây dựng cộng đồng, mở rộng kết nối và thu hẹp khoảng cách phát triển.
ເນື່ອງໃນໂອກາດສະເຫຼີມສະຫຼອງການພົວພັນອາຊຽນ-ຍີ່ປຸ່ນ ຄົບຮອບ 45 ປີ, ໃນປີ 2018, ສອງຝ່າຍຈະສົມທົບກັນຢ່າງແໜ້ນແຟ້ນເພື່ອຈັດຕັ້ງກອງປະຊຸມສຸດຍອດສະເຫຼີມສະຫຼອງ 45 ປີແຫ່ງວັນສ້າງຕັ້ງການພົວພັນເຈລະຈາອາຊຽນ-ຍີ່ປຸ່ນ ໃນເດືອນ ພະຈິກ 2018 ໃຫ້ສຳເລັດຜົນ, ສຸມແຫຼ່ງກໍາລັງເຂົ້າໃນການຜັນຂະຫຍາຍແຜນການປັບປຸງການປະຕິບັດຖະແຫຼງການວິໄສທັດກ່ຽວກັບການພົວພັນມິດຕະພາບ ແລະການຮ່ວມມືອາຊຽນ-ຍີ່ປຸ່ນ ຢ່າງມີປະສິດທິຜົນ...	Nhân dịp kỷ niệm 45 năm quan hệ ASEAN-Nhật Bản, trong năm 2018, hai bên sẽ phối hợp tổ chức thành công Lễ kỷ niệm 45 năm Hội nghị Cấp cao Đối thoại ASEAN-Nhật Bản vào tháng 11/2018.
, ສືບຕໍ່ຍູ້ແຮງການຮ່ວມມືພັດທະນາອະນຸພາກພື້ນຜ່ານບັນດາໂຄງການແທດຈິງໃນຂອບເຂດ “ຂໍ້ລິເລິ່ມເຊື່ອມຈອດຍີ່ປຸ່ນ-ແມ່ນໍ້າຂອງ.	, Tiếp tục thúc đẩy hợp tác phát triển tiểu vùng thông qua các dự án thiết thực trong khuôn khổ “Sáng kiến Liên kết Nhật Bản-Mekong.
ທ່ານ ຫງວຽນກ໋ວກຢຸ໋ງ ຮອງລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດ ນໍາໜ້າຄະນະຜູ້ແທນຫວຽດນາມ ເຂົ້າຮ່ວມເວທີປາໄສ.	Thứ trưởng Ngoại giao Nguyễn Quốc Dũng dẫn đầu đoàn Việt Nam.
ພາບ: ຫງວຽນຮົ່ງ.	Ảnh: Nguyên Hồng
ກ່ຽວກັບສະພາບການຢູ່ທະເລຕາເວັນອອກ, ທັງ ອາຊຽນ ແລະຍີ່ປຸ່ນ ລ້ວນແຕ່ເນັ້ນໜັກເຖິງຄວາມສໍາຄັນຂອງສັນຕິພາບ, ສະຖຽນລະພາບ, ຄວາມໝັ້ນຄົງ, ຄວາມປອດໄພ, ຄວາມເສລີໃນການເດີນທະເລ ແລະການບິນຢູ່ທະເລຕາເວັນອອກ.	Về tình hình Biển Đông, cả ASEAN và Nhật Bản đều nhấn mạnh tầm quan trọng của hòa bình, ổn định, an ninh, an ninh, tự do hàng hải và hàng không ở Biển Đông.
ຫວຽດນາມ ຈະເປັນປະເທດປະສານການພົວພັນເຈລະຈາອາຊຽນ-ຍີ່ປຸ່ນ ແຕ່ເດືອນ ສິງຫາ 2018 ຫາເດືອນ ສິງຫາ 2021.	Việt Nam sẽ là tâm điểm của đối thoại ASEAN-Nhật Bản từ tháng 8/2018 đến tháng 8/2021.
ບົນຈິດໃຈນັ້ນ, ທ່ານ ຫງວຽນກ໋ວກຢຸ໋ງ ຮອງລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດ ຢືນຢັນວ່າ, ຫວຽດນາມຈະມານະພະຍາຍາມສົມທົບກັນຢ່າງແໜ້ນແຟ້ນກັບຍີ່ປຸ່ນ ແລະບັນດາປະເທດອາຊຽນ ອື່ນໆເພື່ອນໍາການພົວພັນຄູ່ຮ່ວມມືຍຸດທະສາດ ອາຊຽນ-ຍີ່ປຸ່ນ ຂຶ້ນສູ່ລະດັບສູງໃໝ່.	Với suy nghĩ đó, Thứ trưởng Ngoại giao Nguyễn Quốc Dũng khẳng định Việt Nam sẽ phối hợp chặt chẽ với Nhật Bản và các nước ASEAN khác để đưa quan hệ Đối tác chiến lược ASEAN-Nhật Bản lên một tầm cao mới.
