ກປ.ອອນໄລ - ຕອນເຊົ້າວັນທີ 25 ມິຖຸນາ, ຢູ່ຮ່າໂນ້ຍ ໄດ້ດຳເນີນກອງປະຊຸມທົ່ວປະເທດກ່ຽວກັບວຽກງານສະກັດກັ້ນ ແລະຕ້ານການສໍ້ລາດບັງຫຼວງ.	Sáng 25/6, tại Hà Nội đã diễn ra hội nghị toàn quốc về phòng, chống tham nhũng.
ທ່ານເລຂາທິການໃຫຍ່ ຫງວຽນຟຸຈ້ອງ, ຫົວໜ້າຄະນະຊີ້ນໍາສູນກາງກ່ຽວກັບການສະກັດກັ້ນ ແລະຕ້ານການສໍ້ລາດບັງຫຼວງ, ເປັນປະທານກອງປະຊຸມ.	Tổng Bí thư Nguyễn Phú Trọng, Trưởng Ban Chỉ đạo Trung ương về phòng, chống tham nhũng chủ trì cuộc họp.
ບັນຍາກາດທີ່ກອງປະຊຸມ.	Không khí cuộc họp.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ລາຍງານໝາກຜົນວຽກງານສະກັດກັ້ນ ແລະຕ້ານການສໍ້ລາດບັງຫຼວງແຕ່ຕົ້ນອາຍຸການກອງປະຊຸມໃຫຍ່ຄັ້ງທີ XII ຂອງພັກ ມາຮອດປະຈຸບັນ, ທ່ານ ຟານດີ່ງຈາກ, ຫົວໜ້າຄະນະການເມືອງພາຍໃນສູນກາງ ໃຫ້ຮູ້ວ່າ, ພາຍຫຼັງກວ່າ 4 ປີທີ່ປະຕິບັດການສະຫຼຸບຂອງທ່ານເລຂາທິການໃຫຍ່ ແລະເຄິ່ງອາຍຸການປະຕິບັດມະຕິກອງປະຊຸມໃຫຍ່ຄັ້ງທີ XII ຂອງພັກ, ວຽກງານສະກັດກັ້ນ ແລະຕ້ານການສໍ້ລາດບັງຫຼວງໄດ້ມີບາດກ້າວບຸກທະລຸ, ບັນລຸໄດ້ຜົນງານຮອບດ້ານ, ຕັ້ງໜ້າ, ຈະແຈ້ງກວ່າ.	Báo cáo về công tác phòng, chống tham nhũng từ đầu nhiệm kỳ Đại hội XII đến nay, ông Fan Dingchak, Trưởng ban Tổ chức Trung ương Đảng Cộng sản Trung Quốc cho biết, sau hơn 4 năm thực hiện kết luận của Tổng Bí thư. và
ທ່ານເລຂາທິການໃຫຍ່ ຫງວຽນຟຸຈ້ອງ ກ່າວຄໍາເຫັນໄຂກອງປະຊຸມ.	Tổng Bí thư Nguyễn Phú Trọng phát biểu chỉ đạo Đại hội.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ກ່ຽວກັບທິດທາງ, ໜ້າທີ່, ວິທີການແກ້ໄຂໃນໄລຍະຈະມາເຖິງ, ທ່ານເລຂາທິການໃຫຍ່ ຫງວຽນຟຸຈ້ອງ ເນັ້ນໜັກວ່າ: “ວຽກງານສະກັດກັ້ນ ແລະຕ້ານການສໍ້ລາດບັງຫຼວງ ແມ່ນວຽກງານສຳຄັນຍິ່ງ, ຕ້ອງປະຕິບັດເປັນປະຈຳ, ເດັດດ່ຽວ, ຢຶດໝັ້ນ.	Tổng Bí thư Nguyễn Phú Trọng nhấn mạnh: “Nhiệm vụ phòng, chống tham nhũng rất quan trọng, phải thực hiện nghiêm túc, quyết liệt, kiên quyết.
ພະນັກງານສະມາຊິກພັກທຸກຄົນ, ກ່ອນອື່ນໝົດແມ່ນຜູ້ເປັນຫົວໜ້າ, ຕ້ອງເປັນແບບຢ່າງ, ມີຄວາມຕື່ນຕົວ, ເປັນເອກະພາບສູງທາງດ້ານເຈດຈຳນົງ ແລະການກະທຳໃນການຕໍ່ສູ້ສະກັດກັ້ນ ແລະຕ້ານການສໍ້ລາດບັງຫຼວງ.	Mọi cán bộ Đảng viên, trước hết là người đứng đầu phải gương mẫu, cảnh giác, thống nhất ý chí và hành động trong đấu tranh phòng, chống tham nhũng.
ຄຽງຂ້າງນັ້ນ, ຕ້ອງແກ້ໄຂບັນດາການກະທຳຜິດຢ່າງເຂັ້ມງວດ, ພວກເຮົາຕ້ອງມີກົນໄກປົກປ້ອງ ແລະສົ່ງເສີມບັນດາພະນັກງານສະມາຊິກພັກ, ຜູ້ເປັນຫົວໜ້າ ກ້າຄິດ, ກ້າເຮັດກ້າທຳ, ກ້າຮັບຜິດຊອບ, ນຳໜ້າໃນການປ່ຽນແປງໃໝ່ເພື່ອການພັດທະນາຂອງປະເທດຊາດ.	Đồng thời phải giải quyết nghiêm minh, có cơ chế bảo vệ, động viên những cán bộ Đảng viên, cán bộ lãnh đạo có dũng khí nghĩ, dũng cảm hành động, dũng cảm chịu trách nhiệm, đi đầu trong đổi mới. phát triển của dân tộc.
ທ່ານເລຂາທິການໃຫຍ່ ຫງວຽນຟຸຈ້ອງ ກໍ່ສະເໜີເດັດດ່ຽວຕໍ່ສູ້ກັບບັນດາທັດສະນະຜິດພາດ, ປະຕິເສດຖ້ອຍທໍານອງທີ່ເສກສັນປັ້ນແຕ່ງຂອງບັນດາອິດທິກໍາລັງປໍລະປັກແນໃສ່ແບ່ງແຍກພາຍໃນ, ໃສ່ຮ້າຍປ້າຍສີພັກ, ລັດ ແລະລະບອບ.	Tổng Bí thư Nguyễn Phú Trọng kiên quyết đấu tranh chống những nhận thức lệch lạc, phản bác những khẩu hiệu của các thế lực chống đối nhằm chia rẽ nội bộ, vu cáo đảng, nhà nước và chế độ.
ພ້ອມທັງສືບຕໍ່ໂຄສະນາ, ຍົກສູງຄວາມຮັບຮູ້, ສ້າງຄວາມເປັນເອກະພາບສູງທາງດ້ານເຈດຈຳນົງ ແລະການກະທຳໃນພະນັກງານສະມາຊິກພັກ ແລະປະຊາຊົນກ່ຽວກັບການສະກັດກັ້ນ ແລະຕ້ານການສໍ້ລາດບັງຫຼວງ.	Cũng như tiếp tục nâng cao nhận thức, tạo sự thống nhất cao về ý đồ và hành động trong cán bộ đảng viên và nhân dân về phòng, chống tham nhũng.
ແປໂດຍ: ເຈິ່ນຮວ່ຽນ.	Người dịch: Trần Huyền
