ກປ.ອອນໄລ - ທ່ານ Ousmane Dione ຜູ້ອໍານວຍການທະນາຄານໂລກ ປະຈໍາ ຫວຽດນາມ ໃຫ້ຄໍາສະເໜີແນະວ່າ, ຫວຽດນາມ ຄວນສຸມໃສ່ເຂົ້າໃນ 4 ບັນຫາໃຫຍ່ແມ່ນ: ຮູບຖານການຄ້າໃໝ່, ພື້ນຖານເສດຖະກິດພູມປັນຍາ, ການປ່ຽນແປງຂອງດິນຟ້າອາກາດ ແລະ ຜູ້ມີອາຍຸຫຼາຍກວມອັດຕາສ່ວນສູງ ເພື່ອພັດທະນາແບບຍືນຍົງ.	Ousmane Dione, Giám đốc Quốc gia Ngân hàng Thế giới tại Việt Nam
ໝູນໃຊ້ຮູບຖານການຄ້າໃໝ່	Áp dụng hình ảnh của một cơ sở thương mại mới
ທີ່ກອງປະຊຸມສໍາມະນາ “ຍົກສູງກໍາລັງຄວາມສາມາດແກ່ງແຍ້ງ, ຫັນເປົ້າໝາຍພັດທະນາແບບຍືນຍົງໃຫ້ປະກົດຜົນເປັນຈິງ ໄດ້ດໍາເນີນໃນວັນທີ 5 ກໍລະກົດ ຢູ່ຮ່າໂນ້ຍ, ທ່ານ Ousmane Dione ຖືວ່າ, ການຄ້າທົ່ວໂລກພວມເຕີບໂຕຊັກຊ້າ, ສ້າງເປັນການແກ່ງແຍ້ງໃຫຍ່ກວ່າໃຫ້ແກ່ບັນດາປະເທດ ຄື ຫວຽດນາມ.	(VOVworld) - Ông Ousmane Dione cho rằng thương mại toàn cầu đang chậm lại và tạo ra sự cạnh tranh lớn hơn cho các quốc gia như Việt Nam.
ເຖິງຢ່າງໃດກໍ່ຕາມ, ບັນດາປະເທດບ້ານໃກ້ເຮືອນຄຽງ ຄື ກໍາປູເຈຍ ແລະ ມຽນມາ ພວມແມ່ນຄູ່ແຂ່ງແກ່ງແຍ້ງຂອງຫວຽດນາມ ໃນການດຶງດູດວຽກເຮັດງານທໍາການຜະລິດທີ່ມີສີມືແຮງງານຕ່ຳ.	Tuy nhiên, các nước láng giềng như Campuchia và Myanmar là những đối thủ cạnh tranh chính của Việt Nam trong việc thu hút các công việc chế tạo có kỹ năng thấp.
ຍ້ອນເຫດນັ້ນ, ທ່ານ Ousmane Dione ໄດ້ເຈາະຈີ້ມໃຫ້ ຫວຽດນາມ ອາດຈະຂຸດຄົ້ນບັນດາຮູບຖານການຄ້າໃໝ່ເພື່ອສ້າງທ່າໄດ້ປຽບ.	Do đó, ông Ousmane Dione cho rằng Việt Nam có thể khai thác các hình thức thương mại mới để tạo lợi thế.
ຄວນໝູນໃຊ້ບັນດາຂໍ້ຕົກລົງການຄ້າໃໝ່ ຄື CP-TPP, ກໍ່ຄື ຄວາມຕ້ອງການກ່ຽວກັບສິນຄ້ານັບມື້ນັບເພີ່ມຂ້ຶນ ຢູ່ອາຊີ.	Các hiệp định thương mại mới như CP-TPP nên được áp dụng, cũng như nhu cầu hàng hóa ngày càng tăng ở châu Á.
ການຟື້ນຕົວຂອງພື້ນຖານເສດຖະກິດພູມປັນຍາ ແລະການຫັນເປັນອັດຕະໂນມັດ	Phục hồi cơ sở kinh tế dựa trên tri thức và tự động hóa
ທ່ານ Ousmane Dione ຜູ້ອໍານວຍການທະນາຄານໂລກ ປະຈໍາ ຫວຽດນາມ ກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມສໍາມະນາ.	Ousmane Dione, Giám đốc Quốc gia Ngân hàng Thế giới tại Việt Nam, phát biểu tại hội thảo.
ພາບ: nhandan.com.vn.	Ảnh: nhandan.com.vn.
ທ່ານ Ousmane Dione ຖືວ່າ, ຜູ້ອອກແຮງງານໃນສະຕະວັດທີ XXI ຮຽກຮ້ອງຕ້ອງການມີກຸ່ມທັກສະທີ່ສັບສົນກວ່າເມື່ອທຽບໃສ່ກ່ອນໜ້ານີ້ ຍ້ອນວ່າເຄື່ອງຈັກພວມເຮັດບັນດາວຽກງານຫັດຖະກໍາ ແລະເຮັດຊໍ້າ.	Theo Ousmane Dione, người lao động trong thế kỷ 21 cần một nhóm kỹ năng phức tạp hơn trước vì máy móc đang làm thủ công và lặp đi lặp lại.
ໃນຂະນະນັ້ນ ຫວຽດນາມ ມີພຽງແຕ່ 8% ຜູ້ອອກແຮງງານມີຄວາມຮູ້ລະດັບປະລິນຍາຕີ, ຍັງບໍ່ພຽງພໍເພື່ອສ້າງບາດກ້າວບຸກທະລຸເຂົ້າພື້ນຖານເສດຖະກິດພູມປັນຍາ.	Đồng thời, Việt Nam chỉ có 8% lao động có trình độ cử nhân, chưa đủ để tạo ra đột phá trong nền kinh tế trí thức.
ຍ້ອນເຫດນັ້ນ, ທ່ານໃຫ້ຄໍາສະເໜີແນະວ່າພື້ນຖານເສດຖະກິດ ຫວຽດນາມ ຄວນສຸມໃສ່ເຂົ້າເຕັກໂນໂລຢີເພື່ອເພີ່ມກາລະໂອກາດໃຫ້ແກ່ວຽກເຮັດງານທໍາມີຄຸນນະພາບດີກວ່າ, ສະນັ້ນຜູ້ອອກແຮງງານຄວນໄດ້ປະກອບທັກສະທີ່ເໝາະສົມຢ່າງຄົບຊຸດເພື່ອຜ່ານຜ່າກະແສຟອງນີ້.	Do đó, ông cho rằng nền tảng kinh tế của Việt Nam nên tập trung vào công nghệ để tăng cơ hội có việc làm chất lượng hơn, vì vậy người lao động cần có kỹ năng phù hợp để vượt qua bong bóng này.
ຄວາມສ່ຽງຈາກການປ່ຽນແປງຂອງດິນຟ້າອາກາດ ແລະຜູ້ມີອາຍຸຫຼາຍກວມອັດຕາສ່ວນສູງ	Nguy cơ biến đổi khí hậu và người già cao
ຕາມທ່ານ Ousmane Dione ແລ້ວ, ການປ່ຽນແປງຂອງດິນຟ້າອາກາດພວມສ້າງຄວາມສ່ຽງໃຫຍ່, ເຊິ່ງຮຽກຮ້ອງໃຫ້ຫວຽດນາມ ຕ້ອງສຸມໃສ່ຮັບມື.	Theo ông Ousmane Dione, biến đổi khí hậu tiềm ẩn rủi ro lớn, đòi hỏi Việt Nam phải tập trung giải quyết.
ລະດັບນໍ້າທະເລຂຶ້ນສູງອາດຈະເຮັດໃຫ້ 1/3 ພົນລະເມືອງຂອງຫວຽດນາມ ມີໄພຖືກນໍ້າຖ້ວມ.	Mực nước biển dâng cao có thể làm ngập 1/3 dân số Việt Nam.
ການປ່ຽນແປງຂອງລະດັບຄວາມເຄັມໄດ້ນາບຂູ່ເຖິງ 2/3 ປະລິມານປາໄດ້ລ້ຽງ ຢູ່ຫວຽດນາມ.	Sự thay đổi độ mặn đe dọa 2/3 số lượng cá nuôi ở Việt Nam.
ດິນຫຼຸບລົງສົມທົບກັບລະດັບຄວາມເຄັມເພີ່ມຂຶ້ນຢູ່ເຂດທົ່ງພຽງແມ່ນໍ້າຂອງໄດ້ກໍ່ໄພອັນຕະລາຍໃຫ້ແກ່ວິທີຫາເງິນລ້ຽງຊີບຂອງຊາວກະສິກອນປູກເຂົ້າ 13,6 ລ້ານຄົນ.	Đất bạc màu kết hợp với độ mặn gia tăng ở Đồng bằng sông Cửu Long đã gây nguy hiểm cho sinh kế của 13,6 triệu nông dân trồng lúa.
ທ່ານ Ousmane Dione ກ່າວເຕືອນຕື່ມອີກວ່າອັດຕາສ່ວນຂອງພົນລະເມືອງໃນເກນອາຍຸອອກແຮງງານໄດ້ເພີ່ມຂຶ້ນເຖິງຈຸດສຸດຍອດ ແລະພວມຫຼຸດລົງໃນປີນີ້.	Ousmane Dione cảnh báo rằng tỷ lệ dân số trong độ tuổi lao động đã đạt đỉnh và đang giảm trong năm nay.
ອັດຕາສ່ວນພົນລະເມືອງມີອາຍຸແຕ່ 65 ປີຂຶ້ນໄປແມ່ນ 6,5% ໃນປີ 2017, ຄາດຄະເນວ່າຈະບັນລຸ 21% ໃນປີ 2050.	Tỷ trọng dân số từ 65 tuổi trở lên là 6,5% vào năm 2017, dự kiến đạt 21% vào năm 2050.
ໝາຍຄວາມວ່າໃນ 5 ຄົນແມ່ນມີຜູ້ອາຍຸສູງ 1 ຄົນ.	Giải thích rằng trong số 5 người thì có 1 người là người cao tuổi.
ສິ່ງດັ່ງກ່າວໄດ້ສົ່ງຜົນກະທົບເຖິງແຫຼ່ງສະໜອງແຮງງານຂອງຫວຽດນາມ.	Điều này đã ảnh hưởng đến nguồn cung lao động của Việt Nam.
ຍ້ອນເຫດນັ້ນ, ທ່ານ Ousmane Dione ໃຫ້ຄໍາສະເໜີແນະວ່າ “ເວລາແມ່ນສໍາຄັນ ແລະພວກເຮົາຕ້ອງມີການກະທໍານັບແຕ່ປັດຈຸບັນ ເພື່ອຫຼຸດຜ່ອນຄວາມສ່ຽງ ຫຼື ກໍາແໜ້ນບັນດາກາລະໂອກາດ ເຊິ່ງບັນດາທ່າອ່ຽງໃຫຍ່ນໍາມາໃຫ້ໄດ້ຢ່າງຄົບຖ້ວນ.	Do đó, Ousmane Dione khuyên: “Thời gian là điều cốt yếu và chúng ta phải hành động ngay để giảm thiểu rủi ro hoặc nắm bắt cơ hội mà các xu hướng lớn mang lại”.
ແປໂດຍ: ທູຈາງ.	Dịch bởi: Tu Zhang.
