ຂປລ.	KPL
ລັດຖະບານຢີ່ປຸ່ນ ໄດ້ຢືນຢັນຄືນ ໃນການສະ ໜັບ ສະ ໜູນ ຕໍ່ຄະນະກຳມາທິການແມ່ນໍ້າຂອງສາກົນ (ຄມ ສ) ໃນການສືບຕໍ່ກິດຈະກຳ ພາຍ ໃຕ້ໂຄງການກ່ຽວກັບການປັບປຸງໂຄງລ່າງຊົນລະປະທານ ໃນບັນດາປະເທດອ່າງແມ່ນໍ້າຂອງຕອນລຸ່ມ, ເຊິ່ງ ລວມມີ ກຳປູເຈຍ, ສປປ ລາວ, ຣາຊະອານາຈັກໄທ ແລະ ສສ.ຫວຽດນາມ.	Chính phủ Nhật Bản đã tái khẳng định cam kết với Ủy hội Mekong Quốc tế (MRC) để nối lại các hoạt động trong khuôn khổ Dự án Cải tạo Thủy lợi ở Hạ lưu vực Mekong, bao gồm Campuchia, CHDCND Lào, Thái Lan và Hàn Quốc.
ໃນກອງປະຊຸມ ລະຫວ່າງ ຫົວໜ້າກອງເລຂາຄະນະກຳມາທິການ ແມ່ນໍ້າຂອງສາກົນ ແລະ ຜູ້ຕາງໜ້າກະຊວງກະສິກຳ, ປ່າໄມ້ ແລະ ການປະມົງ ຂອງປະເທດ ຢີ່ປຸ່ນ ໃນວັນທີ 5 ກໍລະກົດ 2018 ທີ່ນະຄອນຫລວງວຽງຈັນ, ປະເທດຢີ່ປຸ່ນ ໄດ້ສະເໜີການສະໜັບສະໜູນ ໃຫ້ກັບໂຄງການດັ່ງກ່າວ ແລະ ບັນດາກິດຈະກຳ ທີ່ກ່ຽວຂ້ອງທີ່ກຳລັງດຳເນີນຢູ່ ເຊິ່ງຕ້ອງການງົບປະມານຈຳນວນ 1,4 ລ້ານໂດລາສະ ຫະລັດ ໃນການຈັດຕັ້ງປະຕິບັດ.	Tại buổi làm việc giữa Trưởng Ban Thư ký Ủy hội Mekong Quốc tế và đại diện Bộ Nông nghiệp, Lâm nghiệp và Thủy sản Nhật Bản vào ngày 5 tháng 7 năm 2018 tại Viêng Chăn, Nhật Bản,
ໃນໄລຍະເວລາ 4 ປີ ຂອງ ໂຄງ ການແຕ່ປີ 2017- 2021, ລັດຖະບານຢີ່ປຸ່ນ ຈະສຸມໃສ່ການປັບປຸງໂຄງລ່າງຊົນລະປະທານ ທີ່ເປັນມິດກັບການເຄື່ອນຍ້າຍຂອງປາ ເຊິ່ງຈະມີກິດຈະກຳທີ່ກ່ຽວກັບການຕິດຕັ້ງ ໂຄງລ່າງຊົນລະປະທານ, ຕິດຕາມການປ່ຽນແປງ ການນຳໃຊ້ທີ່ດິນກະສິກຳ, ປັບປຸງຖານຂໍ້ມູນຊົນລະປະທານຂອງ ຄມສ ແລະ ສະໜັບ ສະ ໜູນການນຳໃຊ້ ນໍ້າໃຕ້ດິນທີ່ຍືນ ຍົງ ແລະ ການຄຸ້ມຄອງການຜະລິດພືດ ໃນທົ່ວອ່າງຕອນລຸ່ມ.	Trong thời gian 4 năm của dự án từ 2017 đến 2021, Chính phủ Nhật Bản sẽ tập trung vào việc cải thiện cơ sở hạ tầng thủy lợi thân thiện với sự di cư của cá, trong đó sẽ bao gồm các hoạt động liên quan đến việc lắp đặt cơ sở hạ tầng thủy lợi, theo dõi những thay đổi trong việc sử dụng đất nông nghiệp, và nâng cấp cơ sở dữ liệu thủy lợi và tưới tiêu.
ອ່າງແມ່ນໍ້າຂອງ.	Lưu vực sông Mekong.
ພາບ: nature.org.vn.	Ảnh: nature.org.vn.
ການສະ ໜັບ ສະ ໜູນດັ່ງກ່າວ, ແມ່ນສອດຄ່ອງກັບແຜນຍຸດທະສາດຂອງ ຄມສ ສົກປີ 2016–2020 ເຊິ່ງແນໃສ່ຕອ ບສະໜອງຄວາມຕ້ອງການ ໃນອະນາຄົດ ຂອງອ່າງແມ່ນໍ້າຂອງ ໃນການຂະຫຍາຍຊົນລະປະທານ ແລະ ຮັບມືກັບສິ່ງທ້າທາຍ ໃນການນໍາໃຊ້ນໍ້າໃນອ່າງແມ່ນໍ້າ ຂອງຕອນລຸ່ມໃຫ້ຍືນ ຍົງ.	Việc bổ sung này phù hợp với Kế hoạch Chiến lược 2016 - 2020 của Bộ Nông nghiệp, nhằm giải quyết các nhu cầu trong tương lai của lưu vực sông Mê Kông trong việc mở rộng tưới tiêu và giải quyết các thách thức về sử dụng nước bền vững ở hạ lưu sông Mê Kông.
ທ່ານ ຟາມ ຕວນ ພານ ຫົວໜ້າກອງເລຂາ ຄະນະກຳມາທິການແມ່ນໍ້າຂອງສາກົນ ກ່າວ ວ່າ: ການສະ ໜັບ ສະ ໜູນຂອງລັດຖະບານຢີ່ປຸ່ນ ຈະຊ່ວຍສ້າງວິທີການທີ່ມີປະສິດທິພາບ ໃນການວາງແຜນຊົນລະປະທານ ແລະ ຊຸກຍູ້ ການປັບປຸງຊີວິດການເປັນຢູ່ ແລະ ຫລຸດຜ່ອນຜົນກະທົບທາງສິ່ງແວດ ລ້ອມຈາກຊົນລະປະທານໃນອ່າງແມ່ນໍ້າຂອງ.	Ông Phạm Tuấn Phan, người đứng đầu Ủy hội Mekong Quốc tế cho biết: “Việc chính phủ Nhật Bản cải tổ sẽ giúp tạo ra một phương thức hiệu quả để lập kế hoạch tưới tiêu, cải thiện chất lượng cuộc sống và giảm tác động môi trường của việc tưới tiêu ở lưu vực sông Mekong”.
ລັດຖະບານຢີ່ປຸ່ນແມ່ນຄູ່ຮ່ວມພັດທະນາ ຫລັກໜຶ່ງຂອງ ຄມສ ໂດຍນັບແຕ່ປີ 2001 ເປັນ ຕົ້ນ ມາ, ລັດຖະບານຢີ່ປຸ່ນ ໄດ້ໃຫ້ທຶນຊ່ວຍເຫລືອລ້າ ຫລາຍກວ່າ 13 ລ້ານໂດລາສະຫະລັດ ໃຫ້ກັບຫລາຍໂຄງການ, ລວມທັງ ວຽກ ງານການຄຸ້ມຄອງນໍ້າ ຖ້ວມ ແລະ ແຫ້ງ ແລ້ງ, ຊົນລະປະທານ, ການເດີນເຮືອ, ການປ່ຽນແປງດິນຟ້າອາກາດ ແລະ ການຄຸ້ມຄອງສິ່ງແວດ ລ້ອມ.	Chính phủ Nhật Bản là đối tác phát triển lớn của Bộ Giáo dục. Kể từ năm 2001, Chính phủ Nhật Bản đã tài trợ hơn 13 triệu đô la Mỹ cho các dự án khác nhau, bao gồm quản lý lũ lụt và hạn hán, thủy lợi, hàng hải, biến đổi khí hậu và môi trường. ban quản lý.
ພາຍໃຕ້ການສະ ໜັບ ສະ ໜູນທາງດ້ານການເງິນໃນປັດຈຸບັນ, ປະເທດຢີ່ປຸ່ນເຊື່ອໝັ້ນວ່າຈະສາມາດສ້າງຄວາມເຂັ້ມແຂງ ໃຫ້ກັບການພັດທະນາເສດຖະກິດ ໂດຍຜ່ານວຽກງານກະສິກຳ ແລະ ຊົນລະປະທານ ທີ່ເປັນແຫລ່ງລາຍຮັບຫລັກ ແລະ ແຫ່ລງສະບຽງອາຫານຂອງຄົນຫລາຍລ້ານຄົນ.	Trong bối cảnh khủng hoảng tài chính hiện nay, Nhật Bản tin rằng nước này có thể tăng cường phát triển kinh tế thông qua nông nghiệp và thủy lợi là nguồn thu nhập chính của hàng triệu người.
ທ່ານ ຫິດາຟູມິ ມູຣາຊິຕະ ຮອງຫົວໜ້າ ຫ້ອງການຮ່ວມມືປັບປຸງທີ່ດິນ ໃນຕ່າງປະເທດຂອງກະຊວງກະສິກຳ, ປ່າໄມ້ ແລະ ການປະມົງ ຂອງ ຍີ່ ປຸ່ນ ກ່າວ ວ່າ: ການຫລຸດຜ່ອນຄວາມທຸກຍາກ ໂດຍການປັບປຸງຊົນລະປະທານ ແມ່ນວັດຖຸປະສົງຫລັກ ຂອງການຮ່ວມມືດ້ານ ການພັດທະນາ ຂອງລັດຖະບານຢີ່ປຸ່ນ.	Hida Fumimurasita, Phó Giám đốc Văn phòng Hợp tác Đất liền của Bộ Nông nghiệp, Lâm nghiệp và Thủy sản cho biết: “Giảm nghèo bằng cách cải thiện hệ thống tưới tiêu là mục tiêu chính trong hợp tác phát triển của chính phủ Nhật Bản.
