ກປ.ອອນໄລ - ເສດຖະກິດແບ່ງປັນບໍ່ແມ່ນນິຍາມໃໝ່ອີກແລ້ວ.	KP Online - Nền kinh tế chia sẻ không còn là một định nghĩa mới.
ໂດຍບໍ່ຫົວຊາຕໍ່ລະດັບການເຕີບໂຕເສດຖະກິດໂລກພວມມີສັນຍານຢຸດສະຫງັກ, ເສດຖະກິດແບ່ງປັນຍັງບັນລຸໄດ້ບັນດາບາດກ້າວພັດທະນາຢ່າງແຮງ ແລະຫວຽດນາມ ກໍ່ນອນຢູ່ໃນສະພາບແວດລ້ອມແຫ່ງການດຳເນີນທຸລະກິດນີ້.	Bất chấp tăng trưởng kinh tế toàn cầu trì trệ, nền kinh tế chia sẻ đã có những bước tiến dài và Việt Nam đang ở trong môi trường kinh doanh này.
ນັ້ນແມ່ນຂໍ້ສັງເກດຂອງບັນດານັກຊ່ຽວຊານທີ່ກອງປະຊຸມສໍາມະນາດ້ວຍຫົວຂໍ້ “ເສດຖະກິດແບ່ງປັນ: ບັນດາທ່າອ່ຽງໃຫຍ່ ແລະຜົນກະທົບເຖິງພື້ນຖານເສດຖະກິດຫວຽດນາມ ໂດຍກະຊວງແຜນການ ແລະການລົງທຶນ, ກະຊວງວິທະຍາສາດ ແລະເຕັກໂນໂລຢີ ສົມທົບກັບກະຊວງການຕ່າງປະເທດ ແລະການຄ້າອົດສະຕາລີ ຈັດຕັ້ງຢູ່ຮ່າໂນ້ຍ ໃນວັນທີ 12 ກໍລະກົດ.	Điều này đã được các chuyên gia ghi nhận tại hội thảo “Kinh tế chia sẻ: Xu hướng lớn và tác động đến nền kinh tế Việt Nam” do Bộ Kế hoạch và Đầu tư, Bộ Khoa học và Công nghệ và Bộ Ngoại giao và Thương mại Australia tổ chức tại Hà Nội vào tháng Bảy. 12.
ທ່າອ່ຽງໃນທົ່ວໂລກ	Xu hướng toàn cầu
ທ່ານ ປອ.	Ông Po.
Stefan Hajkowicz ຫົວໜ້າກຸ່ມ Data 61 ສັງກັດ ອົງການຄົ້ນຄວ້າວິທະຍາສາດ ແລະອຸດສາຫະກໍາ ສະຫະພັນອົດສະຕາລີ (CSIRO) ເນັ້ນໜັກວ່າ: ເລື່ອງ “ແບ່ງປັນ ບັນດາຊັບພະຍາກອນທີ່ມີຢູ່ແລ້ວດ້ວຍບັນດາການໝູນໃຊ້ເຕັກໂນໂລຢີ, ພ້ອມກັບບັນດາບ້ວງກໍາໄລທີ່ໃຫຍ່ໂຕໃຫ້ແກ່ບໍລິສັດສະໜອງບໍລິການ, ທັງຜູ້ໃຫ້ເຊົ່າ ແລະຜູ້ນໍາໃຊ້ຊັບພະຍາກອນຊ່ວຍຮູບແບບນີ້ບືນຕົວອອກສູ່ໂລກຢ່າງວ່ອງໄວ.	Stefan Hajkowicz, trưởng bộ phận Dữ liệu 61 tại Tổ chức Nghiên cứu Khoa học và Công nghiệp của Liên bang Úc (CSIRO), nhấn mạnh: “Chia sẻ các nguồn lực hiện có thông qua ứng dụng công nghệ, cũng như lợi nhuận khổng lồ của công ty.
ຄືແນວນັ້ນ, ຜົນປະໂຫຍດທີ່ບັນລຸໄດ້ຂອງເສດຖະກິດແບ່ງປັນແມ່ນໃຫຍ່ທີ່ສຸດ.	Như vậy, những lợi ích đạt được của nền kinh tế chia sẻ là rất lớn.
ນັ້ນຊ່ວຍເພີ່ມລັກສະນະປະສິດທິຜົນຂອງພື້ນຖານເສດຖະກິດ, ຫຼຸດຜ່ອນການຟຸມເຟືອຍຊັບພະຍາກອນສັງຄົມ ແລະກໍາລັງຄວາມສາມາດສ່ວນເກີນຂອງບັນດາຜະລິດຕະພັນບໍລິການ.	Điều đó sẽ làm tăng hiệu quả của cơ sở kinh tế, giảm lãng phí nguồn lực xã hội và tăng khả năng thặng dư của sản phẩm và dịch vụ.
ນີ້ແມ່ນບັນດາປັດໄຈເຮັດໃຫ້ຮູບແບບເສດຖະກິດແບ່ງປັນກາຍເປັນອະນາຄົດຂອງສະພາບແວດລ້ອມແຫ່ງການດຳເນີນທຸລະກິດທົ່ວໂລກ.	Đây là những yếu tố đưa mô hình kinh tế chia sẻ trở thành tương lai của môi trường kinh doanh toàn cầu.
ບັນຍາກາດທີ່ກອງປະຊຸມສໍາມະນາ.	Không khí buổi hội thảo.
ພາບ: ວັນຮ໋ຽວ.	Ảnh: Văn Hiếu
