ກປ.ອອນໄລ - ສອງປະເທດອິນເດຍ - ຫວຽດນາມ ມີຫຼາຍຈຸດທີ່ຄ້າຍຄືກັນທາງດ້ານປະຫວັດສາດ, ວັດທະນະທໍາທີ່ເປັນມູນເຊື້ອ ແລະສາສະໜາ.	KR Online - Hai quốc gia Ấn Độ và Việt Nam có nhiều nét tương đồng về lịch sử, văn hóa và di sản.
ສາຍພົວພັນລະຫວ່າງສອງປະເທດນັບມື້ນັບພັດທະນາອັນດີງາມ, ໝັ້ນຄົງຂະໜົງແກ່ນ.	Quan hệ giữa hai nước đang phát triển tốt đẹp từng ngày.
ນາຍທະຫານໜຸ່ມສອງປະເທດເວົ້າສະເພາະ ແລະກອງທັບເວົ້າລວມ ຕ້ອງມີຄວາມຮັບຜິດຊອບເຮັດໃຫ້ມໍລະດົກໃນການພົວພັນຄູ່ຮ່ວມມືຍຸດທະສາດຮອບດ້ານເຊິ່ງການນໍາສອງປະເທດໄດ້ເຫັນດີເປັນເອກະພາບນຳກັນນັ້ນໃຫ້ອຸດົມສົມບູນຂຶ້ນຕື່ມ.	Các sĩ quan chung và quân đội hai nước có trách nhiệm làm giàu thêm di sản của quan hệ Đối tác chiến lược toàn diện mà hai nước đã nhất trí thống nhất.
ນັ້ນແມ່ນຄໍາກ່າວປາໄສຂອງຮ້ອຍເອກ Ankit Agarwal, ຫົວໜ້າຄະນະນາຍທະຫານໜຸ່ມກອງທັບອິນເດຍ ທີ່ການໂອ້ລົມສົນທະນາ, ພົບປະແລກປ່ຽນລະຫວ່າງນາຍທະຫານໜຸ່ມກອງທັບປະຊາຊົນຫວຽດນາມ ກັບນາຍທະຫານໜຸ່ມກອງທັບອິນເດຍ ເຊິ່ງໄດ້ດໍາເນີນໃນຕອນຄໍ່າຂອງວັນທີ 4 ກັນຍາ...	Đây là nhận định của Đại úy Ankit Agarwal, Tham mưu trưởng Binh chủng Công binh Ấn Độ, trong buổi gặp gỡ trao đổi giữa các sĩ quan QĐND Việt Nam và Lữ đoàn Lục quân Ấn Độ diễn ra vào tối 4-9 ...
ພັນເອກພິເສດ ດິງກ໋ວກຮຸ່ງ ມອບຂອງຂວັນທີ່ລະນຶກໃຫ້ຄະນະນາຍທະຫານໜຸ່ມກອງທັບອິນເດຍ.	Đại tá Đặc công Đinh Quốc Hùng tặng quà lưu niệm cho Binh đoàn Ấn Độ.
ພາບ: ຫງອກທື.	Ảnh: Ngọc Thu
ການໂອ້ລົມສົນທະນາໃນຄັ້ງນີ້ນອນໃນຂອບເຂດລາຍການພົບປະແລກປ່ຽນຂອງນາຍທະຫານໜຸ່ມກອງທັບອິນເດຍ ຢູ່ ຫວຽດນາມ ໃນລະຫວ່າງວັນທີ 3 - 7 ກັນຍາ.	Cuộc hội đàm nằm trong chương trình giao lưu của các sĩ quan Lục quân Ấn Độ tại Việt Nam từ ngày 3-7 / 9.
ນີ້ແມ່ນປີທີ 6 ທີ່ກອງທັບສອງປະເທດໄດ້ຜັນຂະຫຍາຍການປະຕິບັດຂໍ້ຕົກລົງກ່ຽວກັບການແລກປ່ຽນຄະນະພົບປະແລກປ່ຽນນາຍທະຫານໜຸ່ມ.	Đây là năm thứ sáu quân đội thực hiện thỏa thuận trao đổi sĩ quan.
ທ່ານຮ້ອຍເອກ Ankit Agarwal ໃຫ້ຮູ້ວ່າ, ການພົວພັນລະຫວ່າງ ຫວຽດນາມ - ອິນເດຍ ແມ່ນການພົວພັນມິດຕະພາບທີ່ເປັນມູນເຊື້ອມາແຕ່ດົນນານແລ້ວ, ໂດຍປະທານ ໂຮ່ຈິມິນ ແລະທ່ານນາຍົກລັດຖະມົນຕີອິນເດຍ Jawaharlal Nehru ເປັນຜູ້ກໍ່ຕັ້ງ ແລະບັນດາການນໍາລຸ້ນຕ່າງໆ, ປະຊາຊົນສອງປະເທດເພີ່ມພູນຄູນສ້າງ.	Theo Đại úy Ankit Agarwal, quan hệ Việt Nam - Ấn Độ có lịch sử hữu nghị lâu đời, với Chủ tịch Hồ Chí Minh và Thủ tướng Ấn Độ Jawaharlal Nehru là người sáng lập và lãnh đạo hai nước.
ປັດຈຸບັນ, ການພົວພັນຮ່ວມມືລະຫວ່າງສອງປະເທດນັບມື້ນັບໄດ້ຮັບການຊຸກຍູ້ພັດທະນາໃນຫຼາຍຂົງເຂດ ຄື: ເສດຖະກິດ, ການປ້ອງກັນຊາດ - ປ້ອງກັນຄວາມສະຫງົບ, ວິທະຍາສາດ - ເຕັກໂນໂລຢີ ແລະວັດທະນະທໍາ - ການສຶກສາ...	Hiện nay, quan hệ hợp tác giữa hai nước ngày càng được phát triển trên nhiều lĩnh vực: kinh tế, quốc phòng, an ninh, khoa học công nghệ và văn hóa, giáo dục ...
ໃນນັ້ນ, ການພົວພັນຮ່ວມມືດ້ານປ້ອງກັນຊາດແມ່ນໜຶ່ງໃນບັນດາເສົາຄໍ້າສໍາຄັນຂອງການພົວພັນລະຫວ່າງສອງປະເທດເວົ້າລວມ.	Trong số đó, hợp tác quốc phòng là một trong những trụ cột của quan hệ hai nước.
ບັນດາຜູ້ແທນສອງປະເທດເຂົ້າຮ່ວມການໂອ້ລົມສົນທະນາ.	Đại diện hai nước tham dự hội đàm.
ພາບ: ຫງອກທື.	Ảnh: Ngọc Thu
ໃນຂະນະນັ້ນ, ກ່າວຄໍາເຫັນທີ່ການໂອ້ລົມສົນທະນາ, ທ່ານພັນເອກພິເສດ ດິງກ໋ວກຮຸ່ງ, ຫົວໜ້າຄະນະຊາວໜຸ່ມກອງທັບ ຖືວ່ານາຍທະຫານໜຸ່ມຂອງກອງທັບສອງປະເທດແມ່ນກໍາລັງສືບທອດກໍ່ສ້າງກອງທັບສອງປະເທດ ແລະກໍ່ແມ່ນກໍາລັງຫຼັກແຫຼ່ງແກ່ນສານໃນການປະຕິບັດວຽກງານພົວພັນຕ່າງປະເທດດ້ານປ້ອງກັນຊາດ.	Trong cuộc hội đàm, Đại tá Đặc công Đinh Quốc Hùng, Trưởng đoàn Thanh niên Quân đội cho biết, Quân đội hai nước đang tiếp tục xây dựng quân đội hai nước và là lực lượng nòng cốt trong thực hiện quan hệ đối ngoại trong lĩnh vực quốc phòng.
