ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 9 ກັນຍາ, ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ໄດ້ລົງກວດກາວຽກງານກະກຽມ;	Chiều 9/9, tại Trụ sở Chính phủ, Thủ tướng Nguyễn Xuân Phúc đã thị sát công tác chuẩn bị;
ກວດກາບັນດາວິທີການຈັດກອງປະຊຸມເວທີປຶກສາຫາລືເສດຖະກິດໂລກກ່ຽວກັບອາຊຽນ ປີ 2018 (WEF ASEAN 2018) ທີ່ສູນກອງປະຊຸມແຫ່ງຊາດ, ໝີດິ່ງ, ຮ່າໂນ້ຍ.	Khảo sát phương thức tổ chức Diễn đàn Kinh tế Thế giới về ASEAN 2018 (WEF ASEAN 2018) tại Trung tâm Hội nghị Quốc gia, Phi Đình, Hà Nội.
ກ່າວຄໍາເຫັນຖອດຖອນບົດຮຽນທີ່ການລົງກວດກາ, ທ່ານ ຫງວຽນຊວນຟຸກ ເນັ້ນໜັກວ່າ, ກອງປະຊຸມ WEF ASEAN ແມ່ນການເຄື່ອນໄຫວທາງການທູດສໍາຄັນທີ່ສຸດໃນປີ 2018;	Cho ý kiến về bài học kinh nghiệm từ chuyến kiểm tra, ông Nguyễn Xuân Phúc nhấn mạnh, Hội nghị Cấp cao WEF ASEAN là sự kiện ngoại giao quan trọng nhất trong năm 2018;
ຕີລາຄາສູງບັນດາອະນຸກໍາມະການທີ່ໄດ້ປະສານສົມທົບກັນ, ເປັນເຈົ້າການ ແລະພິເສດແມ່ນການສົມທົບກັບ WEF ໃນວຽກງານກະກຽມໃຫ້ແກ່ກອງປະຊຸມ WEF ASEAN ເປັນຢ່າງດີ.	Đánh giá cao các tiểu ban đã phối hợp, lãnh đạo và hợp tác đặc biệt với WEF trong quá trình chuẩn bị cho Hội nghị cấp cao WEF ASEAN.
ທ່ານ ຫງວຽນຊວນຟຸກ ເນັ້ນໜັກວ່າ, ນີ້ແມ່ນໂອກາດເພື່ອຢືນຢັນຄວາມປາດຖະໜາ, ຄວາມມຸ່ງຫວັງຢາກບືນຕົວຂຶ້ນສູ່ລະດັບສູງໃໝ່ຂອງຫວຽດນາມ.	Nguyễn Xuân Phúc nhấn mạnh, đây là dịp để khẳng định lại khát vọng, khát vọng vươn lên tầm cao mới của Việt Nam.
ສະນັ້ນ, ວຽກງານກະກຽມມີຄວາມໝາຍສໍາຄັນເພື່ອຮັບປະກັນໃຫ້ແກ່ຜົນສໍາເລັດຂອງກອງປະຊຸມ.	Vì vậy, công tác chuẩn bị có ý nghĩa quan trọng để đảm bảo sự thành công của hội nghị.
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ລົງກວດກາ ແລະຊີ້ນໍາວຽກງານກະກຽມກອງປະຊຸມ.	Thủ tướng Nguyễn Xuân Phúc kiểm tra, chỉ đạo công tác chuẩn bị cho Hội nghị thượng đỉnh.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ເນັ້ນໜັກເຖິງຄວາມຮຽກຮ້ອງ “ຄວາມປອດໄພຢ່າງເດັດຂາດ ໃນວິວັດການດໍາເນີນກອງປະຊຸມ, ທ່ານນາຍົກລັດຖະມົນຕີ ຊີ້ແຈ້ງວ່າ: “ນີ້ແມ່ນໜ້າທີ່ການເມືອງຂອງກໍາລັງຕໍາຫຼວດ, ກອງທັບ ;	Nhấn mạnh yêu cầu “tuyệt đối an ninh” trong diễn biến hội nghị, Thủ tướng nêu rõ: “Đây là mặt trận chính trị của lực lượng công an, quân đội;
ພ້ອມທັງສະເໜີບັນດາກໍາລັງທີ່ກ່ຽວຂ້ອງກະກຽມ ແລະຜັນຂະຫຍາຍບັນດາວິທີການຮັບປະກັນຄວາມສະຫງົບ, ຄວາມປອດໄພໃຫ້ແກ່ກອງປະຊຸມເປັນຢ່າງດີ;	Ngoài ra, các lực lượng liên quan sẽ chuẩn bị và triển khai các biện pháp đảm bảo hòa bình, an ninh cho hội nghị;
ພິເສດແມ່ນປະຕິບັດວຽກງານສະກັດກັ້ນ, ຕ້ານ ແລະແກ້ໄຂບັນດາກໍລະນີ, ການທໍາລາຍຂອງຄົນບໍ່ດີ, ຂອງບັນດາອິດທິກໍາລັງປໍລະປັກໃຫ້ເປັນຢ່າງດີ.	Đặc biệt chú trọng công tác phòng, chống, giải quyết các vụ, việc phá hoại của các đối tượng xấu, các thế lực chống đối.
ທ່ານນາຍົກລັດຖະມົນຕີ ຊີ້ນໍາບັນດາອົງການ, ຄະນະ, ຂະແໜງການທີ່ກ່ຽວຂ້ອງກວດກາຄືນທຸກຂັ້ນຕອນໃນວຽກງານກະກຽມເພື່ອຄົ້ນພົບບັນດາຊ່ອງຫວ່າງ, ຂອດທີ່ຍັງຂາດຕົກບົກພ່ອງຢ່າງທັນການເພື່ອຮັບປະກັນຈັດຕັ້ງກອງປະຊຸມໃຫ້ສໍາເລັດຜົນ.	Thủ tướng chỉ đạo các cơ quan, ban, ngành liên quan rà soát lại toàn bộ các bước trong công tác chuẩn bị để xác định kịp thời những kẽ hở, điểm nghẽn, đảm bảo tổ chức kỳ họp thành công tốt đẹp.
ໂດຍ: ຮວ່າງເຈື່ອງ.	By: Hoang Truong.
