ກປ.ອອນໄລ - ກ່າວຄຳເຫັນສະຫຼຸບກອງປະຊຸມ, ທ່ານພົນໂທ ຫງວຽນຈີ໋ວິ້ງ ຮັບຮູ້, ຕີລາຄາສູງບັນດາຄຳເຫັນປະກອບຂອງບັນດາຜູ້ແທນ....	Trung tướng Nguyễn Chí Vịnh ghi nhận và đánh giá cao những ý kiến đóng góp của các đại biểu ....
ຕອນເຊົ້າວັນທີ 21 ກັນຍາ, ທີ່ ຮ່າໂນ້ຍ, ກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ໄດ້ຈັດຕັ້ງກອງປະຊຸມກຸ່ມປະຕິບັດງານລະຫວ່າງຂະແໜງກ່ຽວກັບຫວຽດນາມເຂົ້າຮ່ວມການເຄື່ອນໄຫວຮັກສາສັນຕິພາບສະຫະປະຊາຊາດ.	Sáng 21/9, tại Hà Nội, Bộ Quốc phòng Việt Nam tổ chức cuộc họp Tổ công tác liên Bộ về việc Việt Nam tham gia hoạt động gìn giữ hòa bình của Liên hợp quốc.
ທ່ານພົນໂທ ຫງວຽນຈີ໋ວິ້ງ, ກຳມະການສູນກາງພັກ, ຄະນະປະຈຳຄະນະພັກການທະຫານສູນກາງ, ຮອງລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດ, ຫົວໜ້າກຸ່ມປະຕິບັດງານລະຫວ່າງຂະແໜງການກ່ຽວກັບຫວຽດນາມເຂົ້າຮ່ວມການເຄື່ອນໄຫວຮັກສາສັນຕິພາບສະຫະປະຊາຊາດ, ເປັນປະທານກອງປະຊຸມ.	Trung tướng Nguyễn Chí Vịnh, Ủy viên Trung ương Đảng Cộng sản Việt Nam, Phó Chủ nhiệm Thường vụ Quân ủy Trung ương, Thứ trưởng Bộ Quốc phòng
ທ່ານພົນໂທ ຫງວຽນຈີ໋ວິ້ງ ກ່າວຄຳເຫັນຊີ້ນຳທີ່ກອງປະຊຸມ.	Trung tướng Nguyễn Chí Vịnh phát biểu chỉ đạo Đại hội.
ພາບ: ຮວ່າງຮ່າ.	Ảnh: Hoàng Hà
ກ່າວຄຳເຫັນສະຫຼຸບກອງປະຊຸມ, ທ່ານພົນໂທ ຫງວຽນຈີ໋ວິ້ງ ຮັບຮູ້, ຕີລາຄາສູງບັນດາຄຳເຫັນປະກອບຂອງບັນດາຜູ້ແທນ.	Kết luận buổi làm việc, Trung tướng Nguyễn Chí Vịnh biểu dương các ý kiến đóng góp của các đại biểu.
ທ່ານຮອງລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດກໍ່ໄດ້ຍົກອອກບາງເນື້ອໃນໜ້າທີ່ຄວນສຸມໃສ່ຜັນຂະຫຍາຍໃນໄລຍະຈະມາເຖິງ, ໃນນັ້ນໄດ້ເນັ້ນໜັກບາງໜ້າທີ່ຈຸດສຸມ ຄື: ບັນດາກະຊວງ, ຂະແໜງການມີພາກສ່ວນເຂົ້າຮ່ວມກຸ່ມປະຕິບັດງານລະຫວ່າງຂະແໜງຄວນສົມທົບກັນຢ່າງແໜ້ນແຟ້ນ ແລະທັນການແນໃສ່ຈັດຕັ້ງປະຕິບັດບັນດາໜ້າທີ່ເຊິ່ງກຸ່ມປະຕິບັດງານໄດ້ມອບໝາຍວຽກໃຫ້ຢ່າງມີປະສິດທິຜົນ.	Thứ trưởng Bộ Quốc phòng cũng nêu một số vấn đề cần tập trung trong thời gian tới, trong đó nhấn mạnh một số vấn đề cần tập trung thực hiện: Các bộ, ngành, tổ công tác có sự tham gia giữa các bộ phận cần được phối hợp nhịp nhàng, hiệu quả.
ບັນຍາກາດທີ່ກອງປະຊຸມ.	Không khí cuộc họp.
ພາບ: ຮວ່າງຮ່າ.	Ảnh: Hoàng Hà
ສືບຕໍ່ຍູ້ແຮງ, ຮຽກຮ້ອງການສະໜັບສະໜູນ, ການຊ່ວຍເຫຼືອຢ່າງຕັ້ງໜ້າຈາກປະຊາຄົມສາກົນສຳລັບເລື່ອງຫວຽດນາມເຂົ້າຮ່ວມການເຄື່ອນໄຫວຮັກສາສັນຕິພາບ;	Tiếp tục đôn đốc, kêu gọi sự chi viện, ủng hộ tích cực của cộng đồng quốc tế đối với việc Việt Nam tham gia hoạt động gìn giữ hòa bình;
ກົມຮັກສາສັນຕິພາບ ຕ້ອງສົມທົບຢ່າງແໜ້ນແຟ້ນກັບບັນດາກະຊວງ, ຂະແໜງການກ່ຽວຂ້ອງ, ພິເສດແມ່ນກະຊວງການຕ່າງປະເທດໃນການກໍ່ສ້າງ ແລະຈັດຕັ້ງການປະຕິບັດແຜນການເຄື່ອນທັບເຂົ້າຮ່ວມກຳລັງຮັກສາສັນຕິພາບສະຫະປະຊາຊາດໃນຄັ້ງຕໍ່ໄປ, ພ້ອມທັງສ້າງຄວາມສະດວກດີທີ່ສຸດໃຫ້ບັນດາອົງການສຳນັກຂ່າວສານ, ສື່ມວນຊົນຢູ່ພາຍໃນປະເທດ ແລະສາກົນເຂົ້າຮ່ວມການໃຫ້ຂ່າວກ່ຽວກັບເຫດການສຳຄັນນີ້.	Cục Hoạt động gìn giữ hòa bình phải phối hợp chặt chẽ với các bộ, ban ngành liên quan, đặc biệt là Bộ Ngoại giao trong việc xây dựng và triển khai kế hoạch gìn giữ hòa bình tiếp theo của Liên hợp quốc, cũng như tạo điều kiện tiếp cận tốt nhất cho các phương tiện thông tin, báo chí.
ໂດຍ: ສົມເພັດ.	Bởi: Somphet.
