ກປ.ອອນໄລ - ວັນທີ 2 ຕຸລາ, ຄະນະໂຮງໝໍກາງສະໜາມຂັ້ນ 2 ເລກ 1 ຫວຽດນາມ ໄດ້ໄປຮອດສະໜາມບິນສາກົນ Juba, ຊູດັງໃຕ້ ຖືກຕາມແຜນການ.	Ngày 2/10, đoàn Việt Nam đã đến sân bay quốc tế Juba, Nam Sudan theo kế hoạch.
ຕ້ອນຮັບຄະນະຢູ່ສະໜາມບິນມີທ່ານພັນຕີ Weiguang Wang, ຜູ້ຮັບຜິດຊອບແພດທະຫານຂອງ UNMISS, ທ່ານນາງ Scott Fitzgerald ຜູ້ບັນຊາການກົມກອງໂຮງໝໍກາງສະໜາມຂັ້ນ 2 ຂອງອັງກິດຢູ່ Bentiu.	Đón đoàn tại sân bay có Trung tá Weiguang Wang, Nhân viên phụ trách Quân y UNMISS, và Scott Fitzgerald, Chỉ huy trưởng Bộ Tư lệnh Lực lượng Không quân số 2 của Anh tại Bentiu.
ຄະນະໂຮງໝໍກາງສະໜາມຂັ້ນ 2 ເລກ 1 ໄດ້ໄປຮອດສະໜາມບິນສາກົນ Juba, ຊູດັງໃຕ້.	Tàu sân bay trung tâm số 2 đã đến sân bay quốc tế Juba, Nam Sudan.
ພາບ: ໝິແຮ້ງ.	Ảnh: Shi Haeng.
ທະຫານຍິງ 2 ຄົນຂອງໂຮງໝໍກາງສະໜາມຂັ້ນ 2 ເລກ 1 ໄປປະຕິບັດງານໃນຄັ້ງທີ 1 ຢູ່ຊູດັງໃຕ້.	Hai nữ quân nhân của Trại tạm giam số 1 đi hoạt động đầu tiên ở Nam Sudan.
ພາບ: ໝິແຮ້ງ.	Ảnh: Shi Haeng.
ເມື່ອແບ່ງປັນກັບນັກຂ່າວຂອງໜັງສືພິມກອງທັບປະຊາຊົນຫວຽດນາມ ຢູ່ສະໜາມບິນ, ທ່ານພັນໂທ ບຸ່ຍດຶກແທ່ງ, ຮອງຜູ້ອໍານວຍການໂຮງໝໍເສນາຮັກ 175, ຜູ້ອໍານວຍການໂຮງໝໍກາງສະໜາມຂັ້ນ 2 ເລກ 1 ປະຈໍາ Bentiu ໄດ້ຕາງໜ້າຄະນະສະແດງຄວາມເປັນກຽດ, ຄວາມເອກອ້າງທະນົງໃຈເມື່ອໄດ້ມາປະຕິບັດງານຢູ່ປະເທດຊູດັງໃຕ້ ແລະເຂົ້າຮ່ວມການຮັກສາສັນຕິພາບສະຫະປະຊາຊາດຢູ່ທີ່ນີ້.	Trung tá Bùi Đức Thành, Phó Giám đốc Sena Hrak 175, kiêm Giám đốc Phân trại trung tâm số 2 Bentiu số 1 đến chào xã giao Chủ tịch nước Trương Tấn Sang.
ທ່ານພັນໂທ ບຸ່ຍດຶກແທ່ງ ຢັ້ງຢືນວ່າ, ນີ້ບໍ່ພຽງແຕ່ແມ່ນຄວາມເອກອ້າງທະນົງໃຈຂອງບັນດາສະມາຊິກໃນໂຮງໝໍເທົ່ານັ້ນ ຫາກຍັງແມ່ນຄວາມເອກອ້າງທະນົງໃຈຂອງປະຊາຊົນຫວຽດນາມ, ປະເທດຫວຽດນາມ ອີກດ້ວຍ.	Trung tá Bùi Đức Thành khẳng định, đây không chỉ là niềm tự hào của riêng các thành viên trong bệnh viện, mà còn là niềm tự hào của người dân Việt Nam.
ທ່ານພັນເອກພິເສດ ເຈິ່ນກວກຫວຽດ, ຮອງຜູ້ອໍານວຍການໂຮງໝໍເສນາຮັກ 175, ຫົວໜ້າຄະນະໂຮງໝໍກາງສະໜາມຂັ້ນ 2 ເລກ 1 ຈັບມືກັບຜູ້ຕາງໜ້າໂຮງໝໍກາງສະໜາມຂອງອັງກິດ ທີ່ມາຕ້ອນຮັບຄະນະຢູ່ສະໜາມບິນ.	Đại tá đặc công Trần Quốc Việt, Phó Giám đốc Bệnh viện 175 Sena Hak, Thủ trưởng Bộ Tư lệnh Trung ương 2 bắt tay đại diện Bộ Tư lệnh Trung ương Anh chào đoàn tại sân bay.
ພາບ: ໝິແຮ້ງ.	Ảnh: Shi Haeng.
ພາຍຫຼັງທີ່ໄປຮອດນະຄອນຫຼວງ Juba, ຕອນຄໍ່າວັນດຽວກັນ, ທ່ານພັນເອກ ໝາກດຶກຈ້ອງ, ຫົວໜ້າຄະນະໄປກະກຽມກ່ອນຂອງກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ກ່ຽວກັບການຜັນຂະຫຍາຍໂຮງໝໍກາງສະໜາມຂັ້ນ 2 ເລກ 1 ແລະບັນດາສະມາຊິກໃນຄະນະໄດ້ມີການປະຊຸມກັບຜູ້ບັນຊາການໂຮງໝໍກາງສະໜາມຂັ້ນ 2 ປະຈໍາ Bentiu ຂອງລາຊະອານາຈັກອັງກິດ.	Sau khi đến Juba vào tối cùng ngày, Đại tá Đức Trọng, Trưởng ban Chuẩn bị triển khai Tiểu đoàn 2 số 1 của Bộ Quốc phòng Việt Nam cùng các thành viên trong đoàn đã gặp gỡ Chỉ huy trưởng Nhà thờ Bacar số 2.
ທ່ານນາງ Scott Fitzgerald, ຜູ້ບັນຊາການໂຮງໝໍກາງສະໜາມຂັ້ນ 2 ຂອງອັງກິດ ໄດ້ແບ່ງປັນບັນດາຂໍ້ມູນຈໍາເປັນກ່ຽວກັບສະພາບການຢູ່ເຂດ Bentiu.	Scott Fitzgerald, Tổng tư lệnh của Kho thứ hai của Anh, đã chia sẻ những thông tin cần thiết về tình hình ở Bentiu.
