ກປ.ອອນໄລ - ຕອນເຊົ້າວັນທີ 25 ຕຸລາ, ເວທີປາໄສແຊງຊາງປັກກິ່ງຄັ້ງທີ 8 ດ້ວຍຫົວຂໍ້ “ສ້າງຄູ່ຮ່ວມມືຄວາມໝັ້ນຄົງແບບໃໝ່, ສະເໝີພາບ, ໄວ້ເນື້ອເຊື່ອໃຈເຊິ່ງກັນ ແລະກັນ, ແລະຮ່ວມມືພ້ອມກັນໄຊຊະນະ ໄດ້ໄຂຂຶ້ນຢ່າງເປັນທາງການຢູ່ປັກກິ່ງ, ສປ.	Sáng 25/10, Hội nghị Thượng đỉnh Bắc Kinh lần thứ 8 được tổ chức tại Bắc Kinh, Trung Quốc.
ຈີນ.	Trung Quốc.
ທ່ານ ສີຈິ້ນຜິງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດແຫ່ງ ສປ.	Ông Tập Cận Bình, Tổng Bí thư, Chủ tịch nước CHDCND Lào
ຈີນ ໄດ້ສົ່ງຈົດໝາຍເຖິງເວທີປາໄສ.	Trung Quốc đã gửi một lá thư đến diễn đàn.
ເນື້ອໃນຈົດໝາຍລະບຸວ່າ: ຈີນ ຢຶດໝັ້ນເສັ້ນທາງພັດທະນາສັນຕິພາບ, ກຽມພ້ອມຮ່ວມມືດ້ານຄວາມໝັ້ນຄົງກັບທຸກໆປະເທດເພື່ອເປົ້າໝາຍພ້ອມກັນໄຊຊະນະ.	"Trung Quốc cam kết theo đuổi con đường phát triển hòa bình và sẵn sàng làm việc với tất cả các quốc gia về an ninh để đạt được một tình huống đôi bên cùng có lợi", tuyên bố viết.
ບັນດາຜູ້ແທນເຂົ້າຮ່ວມເວທີປາໄສແຊງຊາງປັກກິ່ງຄັ້ງທີ 8.	Các đại biểu tham dự Diễn đàn Thương mại Bắc Kinh lần thứ 8
ພາບ: ທູຈາງ.	Ảnh: Thu Zhang
ທີ່ວາລະໄຂ, ທ່ານພົນໂທ Wei Fenghe, ລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດຈີນ ໄດ້ແນະນຳກ່ຽວກັບນະໂຍບາຍເພີ່ມທະວີການຮ່ວມມື, ຊຸກຍູ້ການພົບປະເຈລະຈາຂອງກອງທັບຈີນ.	Tại cuộc gặp, Bộ trưởng Quốc phòng Trung Quốc, Trung tướng Ngụy Phượng Hòa đã đưa ra chính sách tăng cường hợp tác và khuyến khích đối thoại giữa quân đội hai nước.
ທ່ານໃຫ້ຮູ້ວ່າ, ຈີນປາດຖະໜາຢາກສ້າງໂຄງປະກອບຄວາມໝັ້ນຄົງຢູ່ພາກພື້ນ ເຊິ່ງທຸກໆປະເທດລ້ວນແຕ່ຮັບຮອງໄດ້.	Ông nói rằng Trung Quốc muốn xây dựng một cấu trúc an ninh khu vực mà tất cả các nước đều có thể chấp nhận được.
ທ່ານພົນເອກ ໂງຊວນລິກ ລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ກ່າວຄຳເຫັນທີ່ເວທີປາໄສແຊງຊາງປັກກິ່ງຄັ້ງທີ 8.	Đại tướng Ngô Xuân Liên, Bộ trưởng Bộ Quốc phòng Việt Nam, phát biểu tại Hội nghị cấp cao Bắc Kinh lần thứ 8.
ພາບ: ທູຈາງ.	Ảnh: Thu Zhang
ກ່າວຄຳເຫັນທີ່ວາລະຄົບຄະນະກ່ຽວກັບຫົວຂໍ້ການບໍລິຫານຄວາມໝັ້ນຄົງສາກົນ, ທ່ານພົນເອກ ໂງຊວນລິກ ລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ຖືວ່າ, ເພື່ອໃຫ້ການບໍລິຫານຄວາມໝັ້ນຄົງສາກົນດີກວ່າ, ບັນດາປະເທດຕ້ອງປັບປຸງບັນດາກົນໄກຮ່ວມມືຢ່າງໝັ້ນຄົງໜັກແໜ້ນ, ແທດຈິງກວ່າອີກ.	Phát biểu tại phiên họp toàn thể về chủ đề quản trị an ninh quốc tế, Đại tướng Ngô Xuân Liên, Bộ trưởng Bộ Quốc phòng Việt Nam cho rằng, để quản lý an ninh quốc tế tốt hơn, các nước cần hoàn thiện các cơ chế hợp tác vững chắc và thực chất hơn.
ບັນດາກົນໄກຮ່ວມມືຫຼາຍຝ່າຍບໍ່ພຽງແຕ່ຊ່ວຍໃຫ້ບັນດາປະເທດຊອກຫາກາລະໂອກາດພ້ອມກັນພັດທະນາເທົ່ານັ້ນ, ຫາກຍັງແກ້ໄຂທຸກຄວາມບໍ່ລົງລອຍກັນ, ຂັດແຍ້ງກັນ ແລະປະທະກັນລະຫວ່າງຝ່າຍຕ່າງໆອີກດ້ວຍ, ຖືນັ້ນແມ່ນປັດໄຈໃໝ່ເພື່ອປ່ຽນແປງພື້ນຖານການເມືອງໂລກ ແລະຊຸກຍູ້ການເຄື່ອນເໜັງໂຄງປະກອບຄວາມໝັ້ນຄົງຢູ່ພາກພື້ນອາຊີ-ປາຊີຟິກ...	Các cơ chế hợp tác đa phương không chỉ giúp các nước tìm kiếm cơ hội phát triển chung mà còn giải quyết mọi khác biệt, mâu thuẫn và xung đột giữa các bên, là yếu tố then chốt trong việc thay đổi cục diện chính trị toàn cầu và thúc đẩy thiết lập khuôn khổ an ninh khu vực ...
ເວທີປາໄສແຊງຊາງ ໄດ້ຈັດຕັ້ງປະຈຳປີເພື່ອປຶກສາຫາລືກ່ຽວກັບບັນດາບັນຫາຄວາມໝັ້ນຄົງໃນພາກພື້ນ.	Diễn đàn Thương mại được tổ chức hàng năm nhằm thảo luận về các vấn đề an ninh trong khu vực.
ເວທີປາໄສໄດ້ດຳເນີນໃນລະຫວ່າງວັນທີ 25-26 ຕຸລາ, ເວທີປາໄສແຊງຊາງປັກກິ່ງ ປີນີ້ດຶງດູດການເຂົ້າຮ່ວມຂອງການນຳກອງທັບ, ນັກຊ່ຽວຊານ, ນັກຮຽນຮູ້ກວ່າ 500 ຄົນທີ່ມາຈາກ 74 ປະເທດ ແລະບັນດາອົງການຈັດຕັ້ງໃນໂລກ.	Được tổ chức từ ngày 25-26 / 10, Hội nghị thượng đỉnh Bắc Kinh năm nay sẽ quy tụ hơn 500 nhà lãnh đạo quân sự, chuyên gia và học giả đến từ 74 quốc gia và tổ chức trên thế giới.
ໂດຍ: ວຽງຄຳ.	Theo: Viengkham
