ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 1 ທັນວາ, ທີ່ສຳນັກງານນາຍົກລັດຖະມົນຕີ, ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ໄດ້ໃຫ້ການຕ້ອນຮັບທ່ານ Ri Yong Ho ລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດ ສປປ.	Thủ tướng Nguyễn Xuân Phúc tiếp Bộ trưởng Bộ Ngoại giao Ri Yong Ho tại Phủ Thủ tướng chiều 1/12.
ເກົາຫຼີ ພວມຢ້ຽມຢາມຫວຽດນາມ ຢ່າງເປັນທາງການ.	Hàn Quốc đang có chuyến thăm chính thức Việt Nam.
ທີ່ການຕ້ອນຮັບ, ທ່ານ Ri Yong Ho ຢືນຢັນຫຼັກໝັ້ນສະເໝີຕົ້ນສະເໝີປາຍຂອງພັກ, ລັດຖະບານ ສປປ.	Tại tiệc chiêu đãi, ông Ri Yong Ho tái khẳng định cam kết của đảng đối với Đảng và Chính phủ.
ເກົາຫຼີ ແມ່ນສືບຕໍ່ປັບປຸງ ແລະພັດທະນາການພົວພັນ ມິດຕະພາບທີ່ເປັນມູນເຊື້ອລະຫວ່າງສອງປະເທດ, ແມ່ນຊັບສົມບັດອັນລ້ຳຄ່າໂດຍປະທານ Kim Il-sung ແລະປະທານໂຮ່ຈິມິນ ກໍ່ຕັ້ງ, ເພີ່ມພູນຄູນສ້າງ;	Triều Tiên đang tiếp tục cải thiện và phát triển quan hệ hữu nghị truyền thống giữa hai nước, là tài sản quý báu mà Chủ tịch Kim Nhật Thành và Chủ tịch Hồ Chí Minh đã xác lập.
ທ່ານປາດຖະ ໜາຢາກເພີ່ມທະວີການພົບປະແລກປ່ຽນ, ຮ່ວມມືໃນບັນດາຂົງເຂດຕາມຄວາມຕ້ອງການ ແລະຄວາມສາມາດບົ່ມຊ້ອນຂອງສອງປະເທດ, ສອດຄ່ອງກັບການພັດທະນາຂອງສະພາບການໃໝ່.	Đồng chí mong muốn tăng cường giao lưu, hợp tác trên các lĩnh vực theo nhu cầu và tiềm năng của hai nước, phù hợp với sự phát triển của tình hình mới.
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ແລະທ່ານ Ri Yong Ho ລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດ ສປປ.	Thủ tướng Nguyễn Xuân Phúc và Bộ trưởng Bộ Ngoại giao Ri Yong Ho
ເກົາຫຼີ.	Korea.
ພາບ: ສຳນັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ທ່ານ ຫງວຽນຊວນຟຸກ ຢືນຢັນວ່າ, ພັກ, ລັດ ແລະປະຊາຊົນຫວຽດນາມ ຍາມໃດກໍ່ຖືເປັນສຳຄັນ ແລະປາດຖະໜາຢາກປັບປຸງ, ພັດທະນາການພົວພັນມິດຕະພາບທີ່ເປັນມູນເຊື້ອກັບພັກ, ລັດຖະບານ ແລະປະຊາຊົນ ສປປ.	Nguyễn Xuân Phúc khẳng định Đảng, Nhà nước và nhân dân Việt Nam luôn coi trọng và mong muốn nâng cao và phát triển mối quan hệ hữu nghị truyền thống với Đảng, Chính phủ và nhân dân nước CHDCND Lào.
ເກົາຫຼີ;	Korea;
ພ້ອມແລ້ວທີ່ຈະພ້ອມກັບລັດຖະບານ ແລະປະຊາຊົນ ສປປ.	Sẵn sàng làm việc với chính phủ và nhân dân CHDCND Lào
ເກົາຫຼີ ດຳເນີນການພົບປະແລກປ່ຽນ, ຮ່ວມມືໃນບັນດາຂົງເຂດເພື່ອຜົນປະໂຫຍດຂອງປະຊາຊົນສອງປະເທດ, ສອດຄ່ອງກັບກົດໝາຍສາກົນ ແລະທ່າອ່ຽງລວມຂອງຍຸກສະໄໝ, ປະກອບສ່ວນສ້າງສັນຕິພາບ, ສະຖຽນລະພາບ, ການຮ່ວມມື ແລະພັດທະນາຢູ່ພາກພື້ນ ແລະໃນໂລກ.	Hàn Quốc tiến hành giao lưu và hợp tác trên các lĩnh vực vì lợi ích của nhân dân hai nước, phù hợp với luật pháp quốc tế và xu thế chung, đóng góp vào hòa bình, ổn định, hợp tác và phát triển ở khu vực và trên thế giới.
ໂດຍ: ວຽງຄຳ.	Theo: Viengkham
