ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 5 ທັນວາ, ພິທີໄຂເວທີປາໄສຂັ້ນສູງການທ່ອງທ່ຽວຫວຽດນາມ 2018 (Travel & Tourism Summit 2018) ໄດ້ດຳເນີນຢູ່ຮ່າໂນ້ຍ.	Chiều 5/12, tại Hà Nội đã diễn ra lễ khai mạc Hội nghị Thượng đỉnh Du lịch & Du lịch Việt Nam 2018.
ເວທີປາໄສດຳເນີນໃນ 2 ວັນ, ລວມມີ 2 ວາລະປຶກສາຫາລື “ຄວາມຈຳເປັນຕ້ອງສ້າງໂຄງປະກອບຂະແໜງການຄືນໃໝ່ ແລະພັດທະນາການທ່ອງທ່ຽວຫວຽດນາມ ຕາມທິດມີຄຸນນະພາບ, ໝັ້ນຄົງ ແລະ “ພັດທະນາການທ່ອງທ່ຽວຫວຽດນາມ ໃຫ້ມີຄຸນນະພາບ: ໝັ້ນຄົງ - ວິໄສທັດ 2030.	Diễn đàn kéo dài hai ngày gồm hai phiên thảo luận về “Sự cần thiết phải cơ cấu lại và phát triển du lịch Việt Nam theo hướng chất lượng, bền vững và“ Phát triển du lịch Việt Nam vì chất lượng: Viễn cảnh - Tầm nhìn 2030.
ດ້ວຍເປົ້າໝາຍແມ່ນຊອກຫາບັນດາມາດຕະການແກ້ໄຂບັນດາບັນຫາສຳຄັນຂອງຂະແໜງການທ່ອງທ່ຽວ, ຄື: ພັດທະນາພື້ນຖານໂຄງລ່າງ ແລະບັນດາຜະລິດຕະພັນການທ່ອງທ່ຽວທີ່ມີຄວາມດຶງດູດ;	Mục tiêu là tìm ra các biện pháp giải quyết các vấn đề trọng tâm của ngành du lịch, như: phát triển cơ sở hạ tầng và các sản phẩm du lịch hấp dẫn;
ບຳລຸງສ້າງແຫຼ່ງຊັບພະຍາກອນມະນຸດມີຄຸນນະພາບສູງໃຫ້ແກ່ຂະແໜງ;	Duy trì nguồn nhân lực chất lượng cao cho ngành;
ຍົກສູງຄວາມສາມາດຄຸ້ມຄອງສະຖານທີ່ທ່ອງທ່ຽວ, ດຶງດູດການລົງທຶນພາຍໃນ ແລະຕ່າງປະເທດ...	Tăng cường quản lý các điểm du lịch, thu hút đầu tư trong và ngoài nước ...
ບັນຍາກາດທີ່ເວທີປາໄສ.	Bầu không khí tại bục giảng.
ພາບ: doanhnhanviet.net.vn.	Ảnh: doanhnhanviet.net.vn.
ນີ້ແມ່ນເວທີປາໄສກ່ຽວກັບການທ່ອງທ່ຽວທີ່ມີຂອບຂະໜາດໃຫຍ່ທີ່ສຸດນັບແຕ່ກ່ອນມາຮອດປັດຈຸບັນ ດ້ວຍຜູ້ເຂົ້າຮ່ວມເກືອບ 1.500 ຄົນ.	Đây là diễn đàn du lịch lớn nhất tính đến thời điểm hiện tại với gần 1.500 thành viên tham gia.
ລາຍການມີການຊີ້ນຳ ແລະເຂົ້າຮ່ວມຂອງການນຳລັດຖະບານ, ການນຳກະຊວງວັດທະນະທຳ, ກິລາ ແລະທ່ອງທ່ຽວ, ບັນດາກະຊວງ, ຂະແໜງການທີ່ກ່ຽວຂ້ອງ.	Chương trình có sự chỉ đạo và tham gia của Chính phủ, Bộ Văn hóa, Thể thao và Du lịch, các Bộ, Ban ngành liên quan.
ນອກຈາກການເຂົ້າຮ່ວມຂອງວິສາຫະກິດ ເກືອບ 1.000 ແຫ່ງ, ເວທີປາໄສຍັງມີການເຂົ້າຮ່ວມຂອງນັກຊ່ຽວຊານ, ການນຳຂັ້ນສູງຂອງບັນດາກຸ່ມບໍລິສັດຂອງຫຼາຍປະເທດ, ວິສາຫະກິດໃຫຍ່ໃນຂະແໜງການທ່ອງທ່ຽວ.	Ngoài sự tham gia của gần 1.000 doanh nghiệp, diễn đàn còn có sự tham gia của các chuyên gia, lãnh đạo cấp cao của các tập đoàn đa quốc gia, các doanh nghiệp lớn trong lĩnh vực du lịch.
ໂດຍ: ທູຮັ່ງ.	By: Thu Rang.
