ກປ.ອອນໄລ - ຕອນເຊົ້າວັນທີ 10 ທັນວາ, ທີ່ຮ່າໂນ້ຍ ໄດ້ດໍາເນີນພິທີໄຂກອງປະຊຸມໃຫຍ່ຜູ້ແທນທົ່ວປະເທດສະມາຄົມນັກສຶກສາຫວຽດນາມ ຄັ້ງທີ X.	Sáng 10/12, Đại hội đại biểu toàn quốc Hội Sinh viên Việt Nam lần thứ X được tổ chức tại Hà Nội.
ດ້ວຍຫົວຂໍ້ “ນັກສຶກສາຫວຽດນາມ ແຂ່ງຂັນຝຶກຝົນຫຼໍ່ຫຼອມຮໍ່າຮຽນ, ປະດິດຄິດສ້າງ, ສະໝັກໃຈ, ເຊື່ອມໂຍງ, ສ້າງສາປະເທດຊາດໃຫ້ຮັ່ງມີເຂັ້ມແຂງ, ສີວິໄລ , ບົດລາຍງານການເມືອງທີ່ກອງປະຊຸມໃຫຍ່ໄດ້ສະແດງໃຫ້ເຫັນຢ່າງຈະແຈ້ງວ່າ, ໃນອາຍຸການຜ່ານມາ, ສະມາຄົມນັກສຶກສາຫວຽດນາມ ໄດ້ເປັນເຈົ້າການ, ຜັນຂະຫຍາຍບັນດາມາດຕະການຢ່າງຄົບຊຸດ ເພື່ອເຕົ້າໂຮມ, ເສີມຂະຫຍາຍ ແລະຮ່ວມເດີນທາງພ້ອມກັບນັກສຶກສາ, ບັນລຸໄດ້ຜົນງານຫຼາຍຢ່າງໃນທຸກດ້ານ.	Với chủ đề “Sinh viên Việt Nam thi đua, rèn luyện, đổi mới, vun đắp, hội nhập, xây dựng đất nước giàu mạnh, văn minh, báo cáo chính trị của Đại hội đã thể hiện rõ điều đó.
ໃນໄລຍະຈະມາເຖິງ, ວຽກງານຂອງສະມາຄົມ ແລະຂະບວນການນັກສຶກສາສູ້ຊົນເພື່ອບັນລຸໄດ້ຄາດໝາຍ: ສ້າງນັກສຶກສາຮຸ່ນໃໝ່ທີ່ມີອຸດົມການປະຕິວັດ, ຄຸນນະທາດການເມືອງທີ່ໝັ້ນແກ່ນ, ມີນໍ້າໃຈຮັກຊາດ, ຮັກສັງຄົມນິຍົມ, ມີຄວາມຮັບຜິດຊອບຕໍ່ປະເທດຊາດ;	Trong thời gian tới, công tác hội và phong trào sinh viên phấn đấu đạt được những mục tiêu mong đợi: đào tạo thế hệ sinh viên mới có tư tưởng cách mạng, bản lĩnh chính trị vững vàng, yêu nước, yêu chủ nghĩa xã hội, có trách nhiệm với dân tộc;
ເປັນເຈົ້າການໃນການສຶກສາຮໍ່າຮຽນ, ມີຫົວຄິດປະດິດສ້າງ, ຄົ້ນຄວ້າວິທະຍາສາດ ແລະໝູນໃຊ້ເຕັກໂນໂລຢີໃໝ່...	Đi đầu trong lĩnh vực giáo dục, đổi mới sáng tạo, nghiên cứu khoa học và ứng dụng công nghệ mới ...
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ເຂົ້າຮ່ວມກອງປະຊຸມໃຫຍ່.	Thủ tướng Chính phủ Nguyễn Xuân Phúc dự hội nghị.
ພາບ: ຢ້ຽວຖຸຍ.	Ảnh: Diệu Thùy.
ຜູ້ແທນເຂົ້າຮ່ວມກອງປະຊຸມໃຫຍ່.	Đại biểu tham dự Đại hội đồng.
ພາບ: ຢ້ຽວຖຸຍ.	Ảnh: Diệu Thùy.
ກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມໃຫຍ່, ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ຊົມເຊີຍຄວາມມານະພະຍາຍາມ ແລະຜົນງານດີເດັ່ນ ເຊິ່ງສະມາຄົມນັກສຶກສາຫວຽດນາມ ບັນລຸໄດ້ໃນໄລຍະຜ່ານມາ.	Phát biểu chỉ đạo Hội nghị, Thủ tướng Chính phủ Nguyễn Xuân Phúc biểu dương những nỗ lực và thành tích của Hội Sinh viên Việt Nam trong thời gian qua.
ທ່ານ ຫງວຽນຊວນຟຸກ ສະເໜີວ່າ, ກອງປະຊຸມໃຫຍ່ໄດ້ຕີລາຄາຖືກຕາມສະພາບການ, ສະຫຼຸບພຶດຕິກຳຕົວຈິງຢ່າງເລິກເຊິ່ງ, ວາງອອກທິດທາງ, ໜ້າທີ່, ມາດຕະການຢ່າງແທດຈິງ, ມີປະສິດທິຜົນສູງໃຫ້ອາຍຸການຕໍ່ໄປໃນວຽກງານຂອງສະມາຄົມ ແລະຂະບວນການຂອງນັກສຶກສາ;	Đồng chí Nguyễn Xuân Phúc cho biết, Đại hội đã đánh giá tình hình, tổng kết thực tiễn có chiều sâu, đề ra phương hướng, trách nhiệm, biện pháp thiết thực, có tác dụng cao đối với đời sống công tác hội và phong trào sinh viên sau này;
ໃນນັ້ນສຸມໃສ່ເຂົ້າໃນບັນດາເນື້ອໃນຄື: ເພີ່ມທະວີການສຶກສາອົບຮົມດ້ານອຸດົມການປະຕິວັດ, ຄຸນສົມບັດ, ວິຖີຊີວິດ, ວັດທະນະທໍາໃຫ້ແກ່ນັກສຶກສາ, ສ້າງຮຸ່ນຊາວໜຸ່ມໃໝ່ທີ່ມີຄຸນນະທາດອັນດີງາມ, ຕັດສິນໃຈໃນການກະທໍາ, ມີຄວາມຮັບຜິດຊອບຕໍ່ປະເທດຊາດ, ຕໍ່ປະຊາຊົນ, ຕໍ່ລະບອບສັງຄົມນິຍົມ;	Trong đó tập trung vào các vấn đề: tăng cường giáo dục tư tưởng, trình độ, lối sống, văn hóa cách mạng cho học sinh, sinh viên, tạo thế hệ thanh niên có phẩm chất tốt, biết quyết định hành động, có trách nhiệm với dân tộc, trước nhân dân, đối với chủ nghĩa xã hội;
