ກປ.ອອນໄລ - ແຂວງກອນຕູມ (ຫວຽດນາມ), ແຂວງອັດຕະປື, ແຂວງເຊກອງ (ລາວ), ແຂວງ Rattnakiri (ກໍາປູເຈຍ) ມີຫຼາຍຈຸດຄ້າຍຄືກັນກ່ຽວກັບເງື່ອນໄຂທໍາມະຊາດ, ປະຫວັດແຫ່ງການພັດທະນາ ແລະເຄີຍຮ່ວມທຸກຮ່ວມສຸກສູ້ຮົບກັບສັດຕູດຽວ, ສ້າງຄວາມສາມັກຄີມິດຕະພາບ, ການຮ່ວມມືພັດທະນາຢູ່ທາງສາມແຍກອິນດູຈີນ...	KRT Online - Tỉnh Con Tum (Việt Nam), Tỉnh Attapeu, Tỉnh Sekong (Lào), Tỉnh Rattnakiri (Campuchia)
ສາຍຈິດມິດໃຈຢູ່ເສັ້ນຊາຍແດນ	Những dòng tinh thần thân thiện ở biên giới
ປະຊາຊົນກໍາປູເຈຍ ຫຼາຍຄົນຍັງຈົດຈໍາສາຍຈິດມິດໃຈຢ່າງສຸດຊຶ້ງ ເຊິ່ງປະຊາຊົນແຂວງກອນຕູມ ໄດ້ຊ່ວຍເຫຼືອເຂົາເຈົ້າຫຼົບໄພດັບສູນເຊື້ອຊາດປົນປົດປີ 1975.	Nhiều người Campuchia vẫn còn nhớ rất rõ tình bạn mà người dân Kontum đã giúp họ thoát khỏi cuộc đua hỗn chiến năm 1975.
ເວລານັ້ນ, ປະຊາຊົນກໍາປູເຈຍ ກວ່າ 2.000 ຄົນໄດ້ປະຊາຊົນ ແລະອໍານາດການປົກຄອງເມືອງຊາໄທ່ (ກອນຕູມ) ຈັດບ່ອນກິນບ່ອນຢູ່, ໜູນຊ່ວຍເຄື່ອງມືຜະລິດກະສິກຳ, ສ້າງຊີວິດການເປັນຢູ່ໃຫ້ເປັນປົກກະຕິ.	Khi đó, hơn 2.000 người Campuchia đã được người dân và chính quyền huyện Sa Tai (Kontum) hỗ trợ nơi ăn, chốn ở, sản xuất nông nghiệp và sinh kế.
ພາຍຫຼັງສັບຊ້ອນການດຳລົງຊີວິດໃຫ້ຄອບຄົວສຳເລັດແລ້ວ, ຫຼາຍຄົນໄດ້ກັບເມືອປະເທດເພື່ອສູ້ຮົບ, ໂຄ່ນລົ້ມລະບອບດັບສູນເຊື້ອຊາດປົນປົດ ແລະກາຍເປັນການນໍາຂັ້ນສູງຂອງລັດຖະບານ, ນາຍພົນກອງທັບກໍາປູເຈຍ.	Sau khi hoàn thành cuộc sống gia đình, nhiều người trở về nước chiến đấu, lật đổ chế độ phân biệt chủng tộc, trở thành lãnh đạo cấp cao của chính phủ, tướng lĩnh quân đội Campuchia.
ກໍາລັງປ້ອງກັນຊາຍແດນຂອງສາມປະເທດຫວຽດນາມ-ລາວ-ກໍາປູເຈຍ ເຄົາລົບຫຼັກໝາຍຊາຍແດນລະຫວ່າງສາມປະເທດ.	Bộ đội biên phòng ba nước Việt Nam-Lào-Campuchia tôn trọng đường phân giới giữa ba nước.
ພາບ: ຫງວຽນແອງເຊີນ.	Ảnh: Nguyễn Anh Sơn
ສຳລັບປະເທດເພື່ອນມິດລາວ, ເມື່ອພົບປະກັບທ່ານພົນຈັດຕະວາ ກັນໄຍ ໄຊຍະສິດ, ຫົວໜ້າກອງບັນຊາການທະຫານແຂວງອັດຕະປື ແລະໄດ້ຟັງທ່ານເລົ່າເລື່ອງກ່ຽວກັບການລຳລຽງທັນຍາຫານ, ຢາປົວພະຍາດໃຫ້ທະຫານຫວຽດນາມ ໃນໄລຍະຕໍ່ສູ້ຕ້ານອາເມລິກາ, ພວກເຮົາໃຜໆກໍ່ຮູ້ສຶກສະເທືອນໃຈ ແລະເຂົ້າໃຈຢ່າງເລິກເຊິ່ງວ່າ, ຄວາມສາມັກຄີ, ມິດຕະພາບຫວຽດນາມ-ລາວ ແມ່ນເລີ່ມມາຈາກອາລົມຈິດ, ເຈດຈໍານົງຂອງປະຊາຊົນແຕ່ລະຄົນ.	Đối với đất nước thân thiện, khi được gặp Thượng tướng Kanhai Xayasit, Chỉ huy trưởng Bộ Chỉ huy Quân sự tỉnh Attapeu và nghe ông kể về việc tiếp tế lương thực, thuốc men cho bộ đội Việt Nam trong cuộc kháng chiến chống Mỹ cứu nước, chúng tôi đều vô cùng xúc động. bởi tình hữu nghị Lào - Việt.
ປະຈຸບັນ, ຢູ່ບ້ານດັກບາ (ດັກຢຸກ, ຫງອກໂຮ່ຍ, ກອນຕູມ) ມີ 205 ຄອບຄົວດ້ວຍປະຊາກອນເກືອບ 1.000 ຄົນ ແມ່ນຊາວເຜົ່າແຢ໊ຈຽງ ແລະຄົນລາວໄດ້ດໍາລົງຊີວິດຮ່ວມກັນຢ່າງປອງດອງ.	Hiện nay, làng Đăk Ba (Đăk Yuk, Ngọc Hồi, Kontum) có 205 dòng họ với dân số gần 1.000 người, một nhóm người Yejiang và Lào cùng chung sống hòa thuận.
ກໍ່ສ້າງບ້ານເປັນເຂດຊຸມຊົນແບບຢ່າງຂອງແຂວງກອນຕູມ ນີ້ແມ່ນສັນຍາລັກອັນດີງາມກ່ຽວກັບຄວາມສາມັກຄີແບບພິເສດລະຫວ່າງສອງປະເທດຫວຽດນາມ-ລາວ.	Xây dựng làng kiểu mẫu ở tỉnh Côn Tô là biểu tượng tốt đẹp của tình đoàn kết đặc biệt Việt Nam - Lào.
ທ່ານ ຫງວຽນວັນຮວ່າ, ຮອງເລຂາພັກແຂວງ, ປະທານຄະນະກໍາມະການປະຊາຊົນແຂວງກອນຕູມ, ໃຫ້ຮູ້ວ່າ: “ແຂວງກອນຕູມ ມີເສັ້ນຊາຍແດນຕິດກັບແຂວງເຊກອງ ແລະແຂວງອັດຕະປື ຍາວກວ່າ 140 ກິໂລແມັດ ແລະຕິດກັບແຂວງ Ratanakiri ຍາວເກືອບ 140 ກິໂລແມັດ.	Nguyễn Văn Hòa, Phó Bí thư Tỉnh ủy, Chủ tịch UBND tỉnh Kon Tum cho biết: “Tỉnh có hơn 140 km đường biên giới với các tỉnh Sekong, Attapeu và gần 140 km giáp với tỉnh Ratanakiri.
