ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 24 ທັນວາ, ພິທີສະເໜີຕົວຄະນະກໍາມະການແຫ່ງຊາດອາຊຽນ 2020 ໄດ້ດໍາເນີນຢູ່ຮ່າໂນ້ຍ.	Chiều 24/12, tại Hà Nội đã diễn ra Lễ ra mắt Ủy ban Quốc gia ASEAN 2020.
ກ່າວຄໍາເຫັນຊີ້ນໍາພິທີ, ທ່ານ ຫງວຽນຊວນຟຸກ ເນັ້ນໜັກວ່າ, ເລື່ອງ ຫວຽດນາມ ຮັບດໍາລົງຕໍາແໜ່ງເປັນປະທານອາຊຽນ 2020 ມີຄວາມໝາຍສໍາຄັນ, ທັງແມ່ນຄວາມຮັບຜິດຊອບ, ທັງແມ່ນກາລະໂອກາດເພື່ອຍົກສູງຖານະບົດບາດຂອງຫວຽດນາມ ໃນພາກພື້ນ ແລະໃນເວທີສາກົນ.	Phát biểu tại buổi lễ, ông Nguyễn Xuân Phúc nhấn mạnh, vai trò chủ trì ASEAN 2020 của Việt Nam là quan trọng và có trách nhiệm, đồng thời là cơ hội để nâng cao vai trò của Việt Nam trong khu vực và trên trường quốc tế.
ປີ 2020 ແມ່ນປີທີ່ເປັນຂີດໝາຍຫຼາຍຢ່າງສໍາລັບຫວຽດນາມ ແລະອາຊຽນ.	Năm 2020 là một năm có nhiều dấu mốc quan trọng đối với Việt Nam và ASEAN.
ທ່ານ ຫງວຽນຊວນຟຸກ ຢັ້ງຢືນວ່າ, ຫວຽດນາມຍາມໃດກໍ່ກໍານົດອາຊຽນ ແມ່ນບຸລິມະສິດແຖວໜ້າໃນການທູດຫຼາຍຝ່າຍ.	Nguyễn Xuân Phúc khẳng định Việt Nam luôn đặt ASEAN là ưu tiên trong ngoại giao đa phương.
ຫວຽດນາມປາດຖະໜາສືບຕໍ່ປະກອບສ່ວນຢ່າງແທດຈິງກ່ວາອີກເຂົ້າວິວັດແຫ່ງການກໍ່ສ້າງ ແລະພັດທະນາປະຊາຄົມອາຊຽນ ສາມັກຄີ ແລະມີບົດບາດໃຈກາງຢູ່ພາກພື້ນ, ມຸ່ງໄປເຖິງອາຊຽນທີ່ກົມກຽວ, ສະໜິດຕິດພັນ, ມີສີສັນ, ມີຄວາມສາມາດປັບຕົວໃຫ້ເໝາະສົມສູງ, ນັບມື້ນັບພັດທະນາແບບວັດທະນາຖາວອນ, ມີບົດບາດ ແລະຄວາມຮັບຜິດຊອບໃນການແກ້ໄຂບັນດາບັນຫາທົ່ວໂລກ.	Việt Nam mong muốn tiếp tục có những đóng góp to lớn hơn nữa cho sự xây dựng và phát triển của Cộng đồng ASEAN và giữ vai trò trung tâm ở khu vực, hướng tới một ASEAN hài hòa, gần gũi, nhiều màu sắc, thích ứng và thích ứng.
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີ ກ່າວຄໍາເຫັນຊີ້ນໍາທີ່ພິທີສະເໜີຕົວຄະນະກໍາມະການແຫ່ງຊາດອາຊຽນ 2020.	Thủ tướng Nguyễn Xuân Phúc có bài phát biểu quan trọng tại Lễ ra mắt Ủy ban Quốc gia ASEAN 2020.
ພາບ: ຫວູຮວ່າງ.	Ảnh: Vũ Hoàng
ທ່ານ ຫງວຽນຊວນຟຸກ ກໍ່ຊີ້ນໍາໃນການປະຕິບັດວຽກງານຄວນມີຄວາມຮີບເຮັ່ງ, ດ້ວຍຄວາມຮັບຜິດຊອບສູງ, ມີໄຫວພິບ ແລະມີຫົວຄິດປະດິດສ້າງໃນການຜັນຂະຫຍາຍ, ຕັ້ງເປົ້າໝາຍປະຕິບັດສໍາເລັດພາລະໜ້າທີ່ເປັນປະທານອາຊຽນ 2020.	Đồng chí Nguyễn Xuân Phúc cũng chỉ rõ công việc cần khẩn trương, trách nhiệm cao, nhanh nhẹn, đổi mới trong việc thực hiện mục tiêu hoàn thành nhiệm vụ chủ trì ASEAN 2020.
ທ່ານ ຫງວຽນຊວນຟຸກ ພ້ອມກັບບັນດາສະມາຊິກຄະນະກໍາມະການແຫ່ງຊາດອາຊຽນ 2020.	Ông Nguyễn Xuân Phúc với các thành viên Ủy ban Quốc gia ASEAN 2020.
ພາບ: ຫວູຮວ່າງ.	Ảnh: Vũ Hoàng
ພາຍຫຼັງພິທີສະເໜີຕົວ, ຄະນະກໍາມະການແຫ່ງຊາດອາຊຽນ 2020 ໄດ້ປະຊຸມວາລະທໍາອິດພາຍໃຕ້ການບໍລິຫານຂອງທ່ານ ຟ້າມບິ່ງມິງ, ຮອງນາຍົກລັດຖະມົນຕີ, ລັດຖະມົນຕີການຕ່າງປະເທດຫວຽດນາມ.	Sau lễ ra mắt, Ủy ban Quốc gia ASEAN 2020 đã họp lần đầu tiên dưới sự chủ trì của ông Phạm Bình Minh, Phó Thủ tướng Chính phủ, Bộ trưởng Bộ Ngoại giao Việt Nam.
ໂດຍ: ທູຈາງ.	Bởi: Tu Zhang.
