ກປ.ອອນໄລ - ຄະນະກໍາມະການແຫ່ງຊາດອາຊຽນ 2020 ໄດ້ສະເໜີຕົວຢ່າງເປັນທາງການ ແລະປະຊຸມວາລະທໍາອິດຢູ່ຮ່າໂນ້ຍ.	Ủy ban Quốc gia ASEAN 2020 đã chính thức ra mắt và họp phiên đầu tiên tại Hà Nội.
ຄະນະກໍາມະການແຫ່ງຊາດອາຊຽນ 2020 ໄດ້ຮັບການສ້າງຕັ້ງຕາມຂໍ້ຕົກລົງເລກທີ 1743/ຕລ.ນຍ ລົງວັນທີ 14 ທັນວາ 2018 ຂອງນາຍົກລັດຖະມົນຕີ, ມີໜ້າທີ່ຊ່ວຍນາຍົກລັດຖະມົນຕີຊີ້ນໍາ, ກະຕຸກຊຸກຍູ້, ປະສານງານ, ແນະນໍາບັນດາກະຊວງ, ອົງການຈັດຕັ້ງ, ທ້ອງຖິ່ນກ່ຽວກັບບັນດາຂົງເຂດວຽກງານທີ່ກ່ຽວຂ້ອງເຖິງເລື່ອງກະກຽມ ແລະປະຕິບັດບົດບາດເປັນປະທານອາຊຽນຂອງຫວຽດນາມ ໃນປີ 2020.	Ủy ban Quốc gia ASEAN 2020 được thành lập theo Quyết định số 1743/10/2018 của Thủ tướng Chính phủ với sự giúp đỡ của Thủ tướng Chính phủ nhằm chỉ đạo, động viên, điều phối, hướng dẫn các Bộ, tổ chức, địa phương trong các lĩnh vực công tác. liên quan đến công việc ASEAN.
ເມື່ອແລກປ່ຽນກັບສື່ມວນຊົນ, ທ່ານ ຫງວຽນກວກຢູ້ງ, ຮອງລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດຫວຽດນາມ, ເລຂາທິການໃຫຍ່ຄະນະກໍາມະການແຫ່ງຊາດອາຊຽນ 2020 ໃຫ້ຮູ້ວ່າ, ຫວຽດນາມ ຈະດໍາລົງຕ່ຳແໜ່ງເປັນປະທານອາຊຽນ ນັບແຕ່ວັນທີ 1 ມັງກອນ 2020.	Nguyễn Quốc Dũng, Thứ trưởng Bộ Ngoại giao Việt Nam, Tổng Thư ký Ủy ban Quốc gia ASEAN 2020 cho biết, Việt Nam sẽ đảm nhận cương vị Chủ tịch ASEAN từ ngày 1/1/2020.
ເຖິງຢ່າງໃດກໍ່ຕາມ, ວຽກງານກະກຽມໄດ້ເລີ່ມຕົ້ນນັບແຕ່ຫຼາຍເດືອນມໍ່ໆມານີ້ແລ້ວ, ໃນນັ້ນມີເລື່ອງສ້າງຕັ້ງຄະນະກໍາມະການແຫ່ງຊາດອາຊຽນ 2020.	Tuy nhiên, công tác chuẩn bị đã được tiến hành trong vài tháng, bao gồm cả việc thành lập Ủy ban Quốc gia ASEAN 2020.
ຄາດຄະເນວ່າ, ຄະນະກໍາມະການແຫ່ງຊາດອາຊຽນ 2020 ຈະຈັດຕັ້ງ 9 ວາລະປະຊຸມສາມັນນັບແຕ່ນີ້ຮອດປີ 2020 ແລະອາດສາມາດດໍາເນີນບັນດາການປະຊຸມວິສາມັນເມື່ອມີຄວາມຈໍາເປັນ.	Dự kiến, Ủy ban Quốc gia ASEAN 2020 sẽ tổ chức 9 phiên họp thường lệ từ nay đến năm 2020 và có thể họp bất thường khi cần thiết.
ທ່ານ ຫງວຽນກວກຢູ້ງ ກໍ່ໃຫ້ຮູ້ວ່າ “ນັ້ນແມ່ນວຽກງານຈັດຕັ້ງ, ສ່ວນກ່ຽວກັບເນື້ອໃນ, ພວກເຮົາໄດ້ດໍາເນີນການແລກປ່ຽນລະຫວ່າງບັນດາກະຊວງ, ຂະແໜງການ, ນັກຊ່ຽວຊານກ່ຽວກັບອາຊຽນທັງຢູ່ພາຍໃນ ແລະຕ່າງປະເທດ ເພື່ອກໍານົດວ່າ ຫວຽດນາມ ຄວນສຸມໃສ່ເຂົ້າເນື້ອໃນໃດ, ຄວນເລືອກຫົວຂໍ້ໃດໃຫ້ປີເປັນປະທານອາຊຽນ 2020.	Nguyễn Quốc Dũng cho biết: “Chúng tôi đã trao đổi với các bộ, ban, ngành, chuyên gia về ASEAN trong và ngoài nước để xác định xem Việt Nam nên tập trung vào vấn đề gì và chọn chủ đề gì cho chức Chủ tịch ASEAN 2020.
ມາຮອດປະຈຸບັນ, ບັນດາວຽກງານນີ້ໄດ້ຮັບການຜັນຂະຫຍາຍ ແລະນໍາມາເຊິ່ງໝາກຜົນເບື້ອງຕົ້ນ.	Đến nay, các công trình này đã được triển khai và mang lại hiệu quả bước đầu.
ຍັງມີເວລາ 1 ປີອີກໃຫ້ວຽກງານກະກຽມ ແລະພວກຂ້າພະເຈົ້າກໍານົດວ່າຈະເຮັດຍິ່ງໄວກໍ່ຍິ່ງດີ.	Vẫn còn một năm để chuẩn bị và chúng tôi quyết tâm thực hiện càng sớm càng tốt.
ທ່ານ ຫງວຽນກວກຢູ້ງ ຕອບສຳພາດຕໍ່ສື່ມວນຊົນ.	Nguyễn Quốc Dũng trả lời phỏng vấn giới truyền thông.
ພາບ: ຮວ່າງຫວູ.	Ảnh: Hoàng Vũ
ຕາມທ່ານ ຫງວຽນກວກຢູ້ງ ແລ້ວ, ປະຈຸບັນເລື່ອງກໍານົດຫົວຂໍ້ ແລະຈຸດສຸມບຸລິມະສິດໃຫ້ປີເປັນປະທານອາຊຽນ 2020 ຢ່າງລະອຽດພວມຢູ່ໃນໄລຍະແລກປ່ຽນຄໍາຄິດເຫັນພາຍໃນຢູ່ຫວຽດນາມ ກໍ່ຄືທາບທາມຄໍາເຫັນຈາກບັນດາປະເທດສະມາຊິກອາຊຽນ ແລະຄູ່ຮ່ວມມື.	Theo ông Nguyễn Quốc Dũng, chủ đề và các ưu tiên của nhiệm kỳ Chủ tịch ASEAN 2020 hiện đang được thảo luận tại Việt Nam, cũng như các ý kiến đóng góp từ các quốc gia thành viên ASEAN và các đối tác.
