ກປ.ອອນໄລ - 40 ປີຜ່ານພົ້ນໄປ, ບັນດາຮູບພາບທະຫານອາສາສະໝັກຫວຽດນາມ ຍັງຝັງເລິກໃນດວງໃຈຂອງປະຊາຊົນກໍາປູເຈຍ.	40 năm sau, hình ảnh quân tình nguyện Việt Nam vẫn ăn sâu vào lòng người dân Campuchia.
ທ່ານນາຍົກລັດຖະມົນຕີກໍາປູເຈຍ Hun Sen ໄດ້ຢືນຢັນວ່າ: “ພວກຂ້າພະເຈົ້າອາດຈະຖາມວ່າໃນໂລກນີ້ວ່າ ມີປະເທດໃດໄດ້ຊ່ວຍເຫຼືອປະຊາຊົນກໍາປູເຈຍ ແດ່, ພິເສດແມ່ນປົດປ່ອຍໃຫ້ຫຼຸດພົ້ນອອກຈາກລະບອບດັບສູນເຊື້ອຊາດປອນປົດ ແລະສະກັດກັ້ນການກັບຄືນມາຂອງພວກມັນ ?	Thủ tướng Campuchia Hun Sen khẳng định: “Chúng tôi có thể hỏi liệu có quốc gia nào trên thế giới đã giúp đỡ nhân dân Campuchia, đặc biệt là giải phóng họ khỏi chế độ không chủng tộc và ngăn chặn sự quay trở lại của họ.
ຄໍາຕອບທີ່ຖືກຕ້ອງແມ່ນປະຊາຊົນ ແລະກອງທັບຫວຽດນາມ...	Câu trả lời chính xác là quân dân Việt Nam ...
ເນື່ອງໃນໂອກາດນີ້, ໜັງສືພິມກອງທັບປະຊາຊົນຫວຽດນາມ ຂໍແນະນໍາເຖິງເພື່ອນຜູ້ອ່ານບາງຮູບພາບໂດຍທ່ານພັນເອກພິເສດ ຫງວຽນຢິງ (ອະດີດນັກຂ່າວສໍານັກຂ່າວສານທະຫານ, ກົມໂຄສະນາອົບຮົມ, ກົມໃຫຍ່ການເມືອງກອງທັບປະຊາຊົນຫວຽດນາມ) ໄດ້ບັນທຶກໄວ້ກ່ຽວກັບຊຸມວັນທະຫານອາສາສະໝັກຫວຽດນາມ ໄດ້ຄຽງບ່າຄຽງໄຫຼ່ພ້ອມກັບທະຫານ ແລະປະຊາຊົນກໍາປູເຈຍ ໂຄ່ນລົ້ມລະບອບດັບສູນເຊື້ອຊາດປອນປົດ.	Nhân dịp này, Báo Quân đội nhân dân Việt Nam xin giới thiệu một số hình ảnh do Đại tá Đặc công Nguyễn Ưng (nguyên phóng viên Thông tấn xã, Cục Tuyên huấn, Cục Chính trị Quân đội nhân dân Việt Nam) thực hiện.
ພໍ່ແມ່ປະຊາຊົນກໍາປູເຈຍ ຍິນດີຮັບຕ້ອນທະຫານອາສາສະໝັກຫວຽດນາມ ເຂົ້າມາປົດປ່ອຍປະຊາຊົນກໍາປູເຈຍ ໃຫ້ຫຼຸດພົ້ນອອກຈາກລະບອບດັບສູນເຊື້ອຊາດ.	Phụ huynh Campuchia chào đón quân tình nguyện Việt Nam giải phóng người Campuchia khỏi nạn phân biệt chủng tộc.
ພາບ: ຫງວຽນຢິງ.	Ảnh: Nguyễn Ying
ແພດໝໍທະຫານອາສາສະໝັກຫວຽດນາມ ຊ່ວຍກໍາລັງປະກອບອາວຸດປະຕິວັດກໍາປູເຈຍ ຝຶກແອບ ແລະບໍາລຸງສ້າງທະຫານເສນາຮັກໃນສະໜາມຮົບ.	Quân tình nguyện Việt Nam giúp Lực lượng vũ trang cách mạng Campuchia huấn luyện, đào tạo chiến sĩ Sena Hak trên chiến trường
ພາບ: ຫງວຽນຢິງ.	Ảnh: Nguyễn Ying
ຄະນະປະຕິບັດງານຂອງທະຫານອາສາສະໝັກຫວຽດນາມ ມາຢ້ຽມຢາມ, ຊ່ວຍເຫຼືອພໍ່ແມ່ປະຊາຊົນກໍາປູເຈຍ ພາຍຫຼັງປະເທດຊາດຫຼຸດພົ້ນອອກຈາກລະບອບດັບສູນເຊື້ອຊາດ.	Một đoàn quân tình nguyện Việt Nam sang thăm Campuchia để giúp đỡ các bậc cha mẹ của dân tộc sau khi đất nước thoát khỏi chế độ diệt chủng.
ພາບ: ຫງວຽນຢິງ.	Ảnh: Nguyễn Ying
ທະຫານອາສາສະໝັກຫວຽດນາມ ກັບເດັກນ້ອຍ ກໍາປູູເຈຍ.	Quân tình nguyện Việt Nam với trẻ em Campuchia.
ພາບ: ຫງວຽນຢິງ.	Ảnh: Nguyễn Ying
ທະຫານອາສາສະໝັກຫວຽດນາມ ຝຶກແອບການທະຫານຊ່ວຍກໍາລັງປະກອບອາວຸດປະຕິວັດກໍາປູເຈຍ.	Quân tình nguyện Việt Nam huấn luyện Lực lượng vũ trang cách mạng Campuchia
ພາບ: ຫງວຽນຢິງ.	Ảnh: Nguyễn Ying
ທະຫານອາສາສະໝັກຫວຽດນາມ ແລະນັກຮົບກໍາລັງປະກອບອາວຸດປະຕິວັດກໍາປູເຈຍ.	Quân tình nguyện Việt Nam và Lực lượng vũ trang cách mạng Campuchia
ພາບ: ຫງວຽນຢິງ.	Ảnh: Nguyễn Ying
ໂດຍ: ເກື່ອງເກື່ອງ.	By: Cường Cường.
