ກປ.ອອນໄລ - ປີ 2018 ເປັນຄັ້ງທໍາອິດທີ່ຫວຽດນາມເຂົ້າຮ່ວມງານແຂ່ງຂັນການທະຫານສາກົນ (International Army Games) ໂດຍສະຫະພັນລັດເຊຍ ຈັດຕັ້ງ.	2018 - Lần đầu tiên Việt Nam tham dự Đại hội thể thao quân đội quốc tế do Liên bang Nga tổ chức.
ເຂົ້າຮ່ວມງານແຂ່ງຂັນຄັ້ງນີ້ດ້ວຍຈິດໃຈຮຽນຮູ້ ແລະພົບປະແລກປ່ຽນ, ຍົກສູງນໍ້າໃຈມິດຕະພາບກັບກອງທັບບັນດາປະເທດ, ທີມຫວຽດນາມ ໄດ້ສ້າງຄວາມປະທັບໃຈອັນດີງາມໃນດວງໃຈເພື່ອນມິດສາກົນ.	Tham gia cuộc thi này với tinh thần giao lưu học hỏi, nâng cao tinh thần hữu nghị với quân đội các nước, đội tuyển Việt Nam đã tạo được ấn tượng tốt trong lòng bạn bè quốc tế.
International Army Games ແມ່ນເວທີໃຫຍ່ທາງດ້ານການທະຫານດ້ວຍການເຂົ້າຮ່ວມຂອງ 181 ທີມທີ່ມາຈາກ 32 ປະເທດ.	Đại hội thể thao quân đội quốc tế là một đấu trường quân sự lớn với sự tham gia của 181 đội đến từ 32 quốc gia.
ທີ່ງານແຂ່ງຂັນການທະຫານສາກົນໃນຄັ້ງນີ້, ທີມຫວຽດນາມເຂົ້າຮ່ວມແຂ່ງຂັນດ້ວຍ 3 ລາຍການເຊັ່ນ: ລົດຕັງເຄື່ອນທັບ, ຕໍ່ກໍາລັງແຮງເສນາຮັກ ແລະເຮືອນຄົວກາງສະໜາມ.	Tại hội thi quân sự quốc tế này, đội tuyển Việt Nam tranh tài ở 3 nội dung: xe tăng di chuyển, bán quân sự và bếp trung tâm.
ໃນນັ້ນ, ລາຍການແຂ່ງຂັນເຮືອນຄົວກາງສະໜາມຂອງຫວຽດນາມແມ່ນໜຶ່ງໃນບັນດາລາຍການແຂ່ງຂັນປະທັບໃຈທີ່ສຸດ ເຊິ່ງໄດ້ຮັບການຕີລາຄາສູງຈາກເພື່ອນມິດສາກົນ.	Trong số đó, cuộc thi Bếp Việt là một trong những cuộc thi ấn tượng nhất, được bạn bè quốc tế hết lời khen ngợi.
ໃນວັນໄຂງານແຂ່ງຂັນການທະຫານສາກົນ, ທ່ານ Sergey Shoigu ລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດລັດເຊຍ ໄດ້ລົງຢ້ຽມຊົມເຂດຈັດຕັ້ງການແຂ່ງຂັນເຮືອນຄົວກາງສະໜາມຢູ່ທີ່ສະໜາມຝຶກຊ້ອມ Alabino, ນະຄອນຫຼວງມົດສະກູ ແລະຊີມອາຫານທີ່ເປັນເອກະລັກສະເພາະອັນເປັນມູນເຊື້ອຂອງຫຼາຍປະເທດ, ໃນນັ້ນມີເຍື່ອງອາຫານແນມທີ່ມີຊື່ສຽງຂອງຫວຽດນາມ.	Trong ngày khai mạc Đại hội Thể thao Quân sự Quốc tế, Bộ trưởng Quốc phòng Nga Sergey Shoigu đã đến thăm địa điểm tổ chức Hội thi Bếp trung tâm tại Bãi tập Alabino, Moscow, thưởng thức ẩm thực độc đáo của nhiều quốc gia, trong đó có nhiều món ăn nổi tiếng của Việt Nam.
ທ່ານລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດລັດເຊຍ Sergey Shoigu ໄດ້ຍ້ອງຍໍຄະນະຫວຽດນາມ ເຊິ່ງເປັນຄັ້ງທໍາອິດທີ່ເຂົ້າຮ່ວມການແຂ່ງຂັນໃນຄັ້ງນີ້ແຕ່ກໍ່ໄດ້ກະກຽມຢ່າງຮອບຄອບຖີ່ຖ້ວນ, ແນະນໍາອາຫານເຍື່ອງຕ່າງໆຢ່າງລະອຽດ, ພ້ອມທັງເຊື້ອເຊີນຄະນະຫວຽດນາມເຂົ້າຮ່ວມການແຂ່ງຂັນໃນຊຸມປີຕໍ່ໄປ.	Bộ trưởng Quốc phòng Nga Sergey Shoigu khen ngợi đoàn Việt Nam lần đầu tiên tham gia cuộc thi nhưng đã chuẩn bị chu đáo, giới thiệu các món ăn phong phú, đồng thời mời đoàn Việt Nam tham gia cuộc thi trong những năm tới.
ທີມເຮືອນຄົວກາງສະໜາມ ເຂົ້າຮ່ວມການຍິງປືນ.	Đội Bếp Trung tâm tham gia quay.
ພາບ: ຮຸຍຮຸ່ງ.	Ảnh: Huy Hùng
ນອກຈາກການນໍາກອງທັບແລ້ວ, ປະຊາຊົນຊາວລັດເຊຍ ແລະເພື່ອນມິດສາກົນທີ່ມີໜ້າຢູ່ທີ່ການແຂ່ງຂັນກໍ່ໄດ້ຕີລາຄາສູງອາຫານຂອງຫວຽດນາມ ທີ່ເຕັມໄປດ້ວຍລົດຊາດທີ່ເປັນເອກະລັກສະເພາະໂດຍພໍ່ຄົວແມ່ຄົວຂອງກອງທັບປະຊາຊົນຫວຽດນາມປຸງແຕ່ງ.	Ngoài lãnh đạo quân đội, người dân Nga và bạn bè quốc tế tại cuộc thi cũng hết lời khen ngợi món ăn Việt Nam hội tụ đủ hương vị độc đáo do các đầu bếp Quân đội nhân dân Việt Nam chế biến.
ທ່ານນາງ Yulia Andreeva ນັກຮ້ອງຊື່ດັງຊາວລັດເຊຍ, ກໍ່ນອນໃນບັນຊີລາຍຊື່ຜູ້ນິຍົມອາຫານການກິນຫວຽດນາມ.	Ca sĩ nổi tiếng người Nga Yulia Andreeva nằm trong danh sách những tín đồ ăn uống của Việt Nam.
