ກປ.ອອນໄລ - ລະດູບານໃໝ່ປີນີ້, ພັກກອມມູນິດຫວຽດນາມ ມີອາຍຸ 89 ປີ.	KPR Online - Mùa xuân năm nay, Đảng Cộng sản Việt Nam tròn 89 năm tuổi.
89 ລະດູບານໃໝ່ໄດ້ຜ່ານໄປ, ໂດຍໄດ້ຮັບການປະກອບດ້ວຍທິດສະດີລັດທິມາກ-ເລນິນ ແລະແນວຄິດໂຮ່ຈິມິນ, ພັກກອມມູນິດຫວຽດນາມ ທັງນໍາພາປະຊາຊົນລຸກຮືຂຶ້ນດໍາເນີນບັນດາການປະຕິວັດທີ່ຍິ່ງໃຫຍ່, ຂັບໄລ່ພວກລ່າເມືອງຂຶ້ນ, ຈັກກະພັດ, ປົດປ່ອຍຊາດ, ທ້ອນໂຮມປະເທດຊາດເປັນເອກະລາດ, ສ້າງສາປະເທດຊາດຫວຽດນາມ ໃຫ້ນັບມື້ນັບຮັ່ງມີເຂັ້ມແຂງ, ສີວິໄລ ແລະຖອດຖອນບົດຮຽນເພື່ອນັບມື້ນັບເຕີບໃຫຍ່ເຂັ້ມແຂງ, ຢືນຢັນຖານະບົດບາດຂອງພັກການເມືອງກຳອຳນາດຢ່າງຈະແຈ້ງ.	89 Mùa xuân mới đã qua, với sự kết hợp giữa tư tưởng chủ nghĩa Mác - Lê-nin và tư tưởng Hồ Chí Minh.
ຫວນຄືນບັນດາຂີດໝາຍອັນຮຸ່ງເຮືອງເຫຼືອງເຫຼື້ອມ, ຍິ່ງເອກອ້າງທະນົງໃຈກວ່າກ່ຽວກັບປະຫວັດສາດ, ມູນເຊື້ອອັນສະຫງ່າລາສີຂອງປະເທດຊາດ, ຄວາມອົງອາດກ້າແກ່ນ, ບໍ່ຍອມຈຳນົນ ແລະຈິດໃຈສາມັກຄີ, ກໍາລັງແຮງອັນໃຫຍ່ຫຼວງຂອງທະຫານ ແລະປະຊາຊົນຫວຽດນາມ, ພິເສດຍິ່ງເຫັນແຈ້ງວິລະກໍາ, ຖານະບົດບາດຂອງພັກກອມມູນິດຫວຽດນາມ.	Trả lại những vạch vàng vẻ vang, thêm tự hào về lịch sử, di sản vẻ vang của dân tộc, về lòng dũng cảm, tinh thần bất khuất và tinh thần đoàn kết, sức mạnh to lớn của quân và dân Việt Nam, đặc biệt là sức sống và vai trò của Đảng.
ພາຍໃຕ້ການນໍາພາຂອງພັກ, ດ້ວຍກໍາລັງແຮງຂອງກຸ່ມກ້ອມມະຫາສາມັກຄີທົ່ວປວງຊົນທັງຊາດ, ປະຊາຊົນຫວຽດນາມ ໄດ້ສ້າງເປັນການປະຕິວັດເດືອນສິງຫາ ປີ 1945 ທີ່ຍິ່ງໃຫຍ່-ການປະຕິວັດຫົວເມືອງຂຶ້ນສໍາເລັດຜົນທຳອິດໃນໂລກດ້ວຍການກໍາເນີດຂອງລັດກຳມະກອນ ແລະຊາວນາທໍາອິດຢູ່ອາຊີຕາເວັນອອກສ່ຽງໃຕ້, ນໍາປະເທດຊາດຫວຽດນາມ ກ້າວເຂົ້າສັງກາດເອກະລາດ, ເສລີພາບ ແລະລັດທິສັງຄົມນິຍົມ.	Dưới sự lãnh đạo của Đảng, bằng lực lượng của Khối đoàn kết toàn dân tộc, nhân dân Việt Nam đã làm nên cuộc Cách mạng Tháng Tám năm 1945 vĩ đại - cuộc cách mạng đô thị thành công đầu tiên trên thế giới với sự ra đời của những công nhân, nông dân đầu tiên ở Đông Nam Á, lãnh đạo nước Cộng hòa xã hội chủ nghĩa tự do.
ນັ້ນແມ່ນຜົນງານມະຫັດສະຈັນຂອງປະເທດຊາດ, ແມ່ນຖານະບົດບາດຂອງພັກກອມມູນິດຫວຽດນາມ.	Đó là kỳ tích của dân tộc, là vai trò của Đảng Cộng sản Việt Nam.
ພາບປະກອບ: ຮວ່າເລ.	Minh họa: Hoa Le.
ໄຊຊະນະບໍ່ດົນປານໃດ, ສົງຄາມກໍ່ກັບຕ່າວຄືນມາ.	Không bao lâu sau chiến thắng, chiến tranh trở lại.
ບໍ່ຍອມຈໍານົນຕໍ່ການຮຸກຮານຂອງລັດທິຈັກກະພັດ, ພັກກອມມູນິດຫວຽດນາມ ດ້ວຍພາລະກໍາປະຫວັດສາດຂອງຕົນສືບຕໍ່ນໍາພາທະຫານ ແລະປະຊາຊົນທົ່ວປະເທດຕໍ່ສູ້ຢ່າງພິລະອາດຫານໃນຕະຫຼອດ 30 ປີ, ຜາບແພ້ການຮຸກຮານດ້ວຍກຳລັງອາວຸດຢ່າງໂຫດຮ້າຍສາມານ, ປົດປ່ອຍຊາດ, ທ້ອນໂຮມປະເທດຊາດເປັນເອກະພາບ, ນໍາປະເທດກ້າວຂຶ້ນກໍ່ສ້າງລັດທິສັງຄົມນິຍົມ.	Không khuất phục trước đế quốc xâm lược, với sứ mệnh lịch sử của mình, Đảng Cộng sản Việt Nam với sứ mệnh lịch sử của mình đã tiếp tục lãnh đạo quân và dân cả nước 30 năm đấu tranh ác liệt, đánh thắng giặc ngoại xâm, giải phóng vũ trang. quốc gia, đoàn kết dân tộc và xây dựng quốc gia thống nhất.
ຜົນສໍາເລັດຂອງການປະຕິວັດຫວຽດນາມ ພາຍໃຕ້ການນຳພາຂອງພັກກອມມູນິດຫວຽດນາມ ໄດ້ປະກອບສ່ວນສໍາຄັນເຂົ້າໃນພາລະກິດປົດປ່ອຍບັນດາປະເທດຖືກກົດຂີ່ຂູດຮີດໃນໂລກ;	Thành công của cách mạng Việt Nam dưới sự lãnh đạo của Đảng Cộng sản Việt Nam đã góp phần quan trọng vào sứ mệnh giải phóng các nước bị áp bức trên thế giới;
ແມ່ນກຳລັງໜູນລະດົມມະໂນທຳ ແລະກໍາລັງຮັກຫອມສັນຕິພາບລຸກຮືຂຶ້ນທວງເອົາ “ສິດໄດ້ມີຊີວິດ, ສິດເສລີພາບ ແລະສິດໄດ້ມີຄວາມສຸກ.	Đó là lực lượng động viên, yêu chuộng hòa bình đã vùng lên đòi “quyền sống, quyền tự do và hạnh phúc”.
ນັ້ນແມ່ນຜົນງານມະຫັດສະຈັນໃໝ່ຕື່ມອີກບໍ່ພຽງແຕ່ຂອງປະເທດຊາດຫວຽດນາມ ເທົ່ານັ້ນ ຫາກຍັງແມ່ນບາດກ້າວເຕີບໃຫຍ່ເຂັ້ມແຂງກະໂດດຂັ້ນ, ຢັ້ງຢືນຖານະບົດບາດຂອງພັກກອມມູນິດຫວຽດນາມ ອີກດ້ວຍ.	Đây là một kỳ tích nữa không chỉ của Việt Nam, mà còn là bước tiến lớn mạnh, khẳng định vai trò của Đảng Cộng sản Việt Nam.
