ກປ.ອອນໄລ - ປີ 2018 ເປັນຂີດໝາຍບາດກ້າວເດີນໃຫຍ່ຂອງຮ່າໂນ້ຍ ກ່ຽວກັບການລົງທຶນຈາກຕ່າງປະເທດ.	KPR Online - Năm 2018 đánh dấu một bước tiến lớn của Hà Nội về đầu tư nước ngoài.
ນີ້ແມ່ນເທື່ອທໍາອິດທີ່ຮ່າໂນ້ຍ ບືນຕົວຂຶ້ນນໍາໜ້າໃນທົ່ວປະເທດໃນການດຶງດູດການລົງທຶນໂດຍກົງຈາກຕ່າງປະເທດ (FDI) ພາຍຫຼັງ 30 ປີທີ່ປະເທດເປີດປະຕູ ແລະເຊື່ອມໂຍງເຂົ້າກັບສາກົນ.	Đây là lần đầu tiên Hà Nội vươn lên dẫn đầu về thu hút vốn đầu tư trực tiếp nước ngoài (FDI) sau 30 năm mở cửa và hội nhập quốc tế.
ນັ້ນແມ່ນໝາກຜົນກ່ຽວກັບບັນດາຄວາມມານະພະຍາຍາມຂອງນະຄອນໃນໄລຍະຜ່ານມາໃນການປັບປຸງສະພາບແວດລ້ອມແຫ່ງການລົງທຶນດໍາເນີນທຸລະກິດ, ປະຕິຮູບການບໍລິຫານ, ສ້າງກໍາລັງດຶງດູດຕໍ່ນັກລົງທຶນຕ່າງປະເທດ.	Đó là kết quả của những nỗ lực trong thời gian qua của thành phố trong việc cải thiện môi trường đầu tư kinh doanh, cải cách quản lý, tạo sức hấp dẫn đối với các nhà đầu tư nước ngoài.
“ດິນແດນແຫ່ງຄຳສັນຍາ ໃຫ້ແກ່ບັນດາວິສາຫະກິດຕ່າງປະເທດ	“Lãnh thổ hợp đồng cho các doanh nghiệp nước ngoài
ຜ່ານບັນດາກອງປະຊຸມຮ່ວມມືລົງທຶນ, ບັນດາວິສາຫະກິດ, ອົງການຈັດຕັ້ງຕ່າງປະເທດລ້ວນແຕ່ມີຄວາມຮັບຮູ້ທີ່ດີກ່ຽວກັບສະພາບແວດລ້ອມແຫ່ງດໍາເນີນທຸລະກິດຂອງນະຄອນຮ່າໂນ້ຍ.	Thông qua các hội nghị hợp tác đầu tư, các doanh nghiệp, tổ chức nước ngoài nhận thức rõ về môi trường kinh doanh của Hà Nội.
ທີ່ກອງປະຊຸມ “ຮ່າໂນ້ຍ 2018 - ການຮ່ວມມືລົງທຶນ ແລະພັດທະນາ , ຕາມທ່ານ Raymond Gordon, ຜູ້ອໍານວຍການໃຫຍ່ບໍລິສັດຈໍາກັດໂຮງຮຽນມະຫາວິທະຍາໄລອັງກິດຫວຽດນາມ ແລ້ວ, ມີ 3 ປັດໄຈເພື່ອໃຫ້ຊາວຕ່າງປະເທດສືບຕໍ່ລົງທຶນເຂົ້າໃນຂົງເຂດການສຶກສາຢູ່ຮ່າໂນ້ຍ, ລວມມີ: ນະຄອນໄດ້ຕັ້ງໜ້າສ້າງກາລະໂອກາດໃຫ້ແກ່ນັກລົງທຶນພົບປະ, ແລກປ່ຽນ, ນໍາສະເໜີກັບການນໍານະຄອນກ່ຽວກັບບັນດາໂຄງການລົງທຶນ;	Tại buổi gặp gỡ “Hà Nội 2018 - Hợp tác Đầu tư và Phát triển, theo ông Raymond Gordon, Tổng Giám đốc Đại học Anh-Việt, có 3 yếu tố để người nước ngoài tiếp tục đầu tư vào giáo dục tại Hà Nội, bao gồm:
ການເຊື່ອມຕໍ່ລະຫວ່າງບັນດານັກລົງທຶນດ້ວຍກັນ, ລະຫວ່າງບັນດານັກລົງທຶນກັບອົງການທີ່ກ່ຽວຂ້ອງ, ພ້ອມທັງໜູນຊ່ວຍການລົງທຶນໂດຍກົງຢູ່ແຕ່ລະຂົງເຂດຢ່າງລະອຽດ, ຈາກນັ້ນອະນຸຍາດໃຫ້ບັນດາໂຄງການໄດ້ປະຕິບັດຢ່າງວ່ອງໄວ, ຮັບປະກັນການປະຕິບັດໃຫ້ຖືກຕາມການກໍານົດ.	Liên hệ giữa các nhà đầu tư, giữa nhà đầu tư và các tổ chức liên quan, cũng như hỗ trợ đầu tư trực tiếp chi tiết trong từng lĩnh vực, từ đó cho phép các dự án được triển khai nhanh chóng, đảm bảo khả năng thực hiện.
ຮ່າໂນ້ຍພວມແມ່ນສະຖານທີ່ດຶງດູດຂອງບັນດາວິສະຫະກິດ.	Hà Nội đang trở thành địa điểm hấp dẫn đối với các doanh nghiệp.
ພາບ: ເຈິ່ນເວືອງ.	Ảnh: Trần Vương
ພ້ອມກັນນັ້ນ, ເລື່ອງໝູນໃຊ້ເຕັກໂນໂລຢີຂໍ້ມູນຂ່າວສານເຂົ້າໃນການແກ້ໄຂລະບຽບການບໍລິຫານຂອງຮ່າໂນ້ຍ ໃນໄລຍະຜ່ານມາກໍ່ໄດ້ຮັບການຕີລາຄາສູງຈາກບັນດານັກລົງທຶນຕ່າງປະເທດ.	Đồng thời, việc ứng dụng công nghệ thông tin trong cải cách hành chính của Hà Nội trong thời gian qua đã được các nhà đầu tư nước ngoài đánh giá cao.
ຕາມທ່ານ Denis Brunetti, ປະທານສະຫະສະມາຄົມວິສາຫະກິດເອີຣົບປະຈໍາຫວຽດນາມ ແລ້ວ (EuroCham): ເລື່ອງຍູ້ແຮງການປະຕິບັດການບໍລິການສາທາລະນະທາງອິນເຕີແນັດລະດັບທີ 3 ແລະ 4 ແມ່ນກໍາລັງດຶງດູດອັນໃຫຍ່ຫຼວງສໍາລັບບັນດາວິສາຫະກິດຕ່າງປະເທດເຂົ້າມາລົງທຶນຢູ່ ຮ່າໂນ້ຍ.	Theo ông Denis Brunetti, Chủ tịch Phòng Thương mại Châu Âu tại Việt Nam (EuroCham): Việc thúc đẩy các dịch vụ công cộng internet cấp 3 và cấp 4 là điểm thu hút lớn các công ty nước ngoài đầu tư vào Hà Nội.
ນີ້ແມ່ນບາດກ້າວເດີນໃນການປັບປຸງສະພາບແວດລ້ອມແຫ່ງການລົງທຶນດໍາເນີນທຸລະກິດ ແລະຊຸກຍູ້ການພັດທະນາເສດຖະກິດຂອງນະຄອນ.	Đây là bước cải thiện môi trường đầu tư, kinh doanh và thúc đẩy kinh tế thành phố phát triển.
ກໍານົດທິດເຕັກໂນໂລຢີສູງ ແລະຄຸນນະພາບສູງ	Đặt chỉ đường công nghệ cao và chất lượng cao
ຕາມບົດລາຍງານສະພາບການພັດທະນາເສດຖະກິດ-ສັງຄົມປີ 2018 ຂອງຄະນະກໍາມະການປະຊາຊົນນະຄອນຮ່າໂນ້ຍແລ້ວ, ການດຶງດູດ FDI ຂອງຮ່າໂນ້ຍ ໃນປີຜ່ານມາບັນລຸໄດ້ 6,5 ຕື້ໂດລາສະຫະລັດ (ເພີ່ມຂຶ້ນ 189% ເມື່ອທຽບໃສ່ປີ 2017 ແລະ185% ເມື່ອທຽບໃສ່ແຜນການປີ), ຢືນອັນດັບທີໜຶ່ງໃນທົ່ວປະເທດ.	Theo báo cáo tình hình phát triển kinh tế - xã hội năm 2018 của UBND TP Hà Nội, dòng vốn đầu tư trực tiếp nước ngoài của Hà Nội năm ngoái đạt 6,5 tỷ USD (tăng 189% so với năm 2017 và 185% so với kế hoạch năm), đứng đầu cả nước. .
ເຖິງຢ່າງໃດກໍ່ຕາມ, ຮ່າໂນ້ຍ ບໍ່ໄດ້ດຶງດູດເອົາທຸກໆແຫຼ່ງເງິນລົງທຶນແຕ່ຫາກຄັດເລືອກເອົາໂຄງການ, ສຸມໃສ່ເຂົ້າໃນບັນດາໂຄງການທີ່ມີຄຸນນະພາບສູງ, ຜະລິດຕະພັນມີມູນຄ່າເພີ່ມ ແລະມີລັກສະນະແກ່ງແຍ້ງສູງ.	Tuy nhiên, Hà Nội không thu hút mọi nguồn đầu tư mà lựa chọn các dự án tập trung vào các sản phẩm chất lượng cao, có giá trị gia tăng và sức cạnh tranh.
ຕາມທ່ານ ຫງວຽນດຶກຈູງ, ປະທານຄະນະກໍາມະການປະຊາຊົນນະຄອນຮ່າໂນ້ຍ ແລ້ວ, ເຂດ FDI ດ້ວຍທ່າແຮງກໍາລັງຄວາມສາມາດບົ່ມຊ້ອນກ່ຽວກັບເງິນທຶນ, ເຕັກໂນໂລຢີນັ້ນໄດ້ປະກອບສ່ວນສໍາຄັນເຂົ້າໃນການພັດທະນາເສດຖະກິດ-ສັງຄົມຂອງນະຄອນຫຼວງ.	Theo ông Nguyễn Đức Trường, Chủ tịch UBND TP Hà Nội, FDI có tiềm năng tận dụng vốn và công nghệ để góp phần phát triển kinh tế - xã hội của Thủ đô.
ເຂດ FDI ກໍ່ປະກອບສ່ວນກໍ່ສ້າງຕົວເມືອງຮ່າໂນ້ຍ ໃຫ້ມີຄວາມສີວິໄລ, ທັນສະໄໝ, ດ້ວຍບັນດາກິດຈະກໍາດ້ານການຄ້າ, ການບໍລິການບັນລຸໄດ້ມາດຕະຖານສາກົນ, ພົ້ນເດັ່ນຄື: ເຂດເຮືອນຢູ່, ການຄ້າ, ການບໍລິການ Keangnam ສູງ 72 ຊັ້ນ;	Khu FDI góp phần xây dựng thành phố Hà Nội văn minh, hiện đại với các hoạt động, thương mại, dịch vụ đạt tiêu chuẩn quốc tế như: Khu nhà ở, thương mại, dịch vụ Keangnam cao 72 tầng;
ສູນການຄ້າ, ໂຮງແຮມ, ຫ້ອງການ Lotte ສູງ 65 ຊັ້ນ....	TTTM, khách sạn, văn phòng Lotte 65 tầng….
ທ່ານ ຫງວຽນດຶກຈູງ ຢືນຢັນວ່າ: ນະຄອນສືບຕໍ່ດຶງດູດການລົງທຶນພາຍໃນ ແລະຕ່າງປະເທດຕາມທິດເປີດກວ້າງການຮ່ວມມື, ຮ່ວມສໍາພັນຢ່າງແຮງກັບບັນດາທ້ອງຖິ່ນ;	Nguyễn Đức Trọng khẳng định, thành phố tiếp tục thu hút đầu tư trong và ngoài nước theo hướng mở rộng quan hệ hợp tác, bền chặt với các địa phương.
ສຸມໃສ່ເພື່ອຄ່ອຍໆສ້າງຕັ້ງປະຊາຄົມວິທະຍາສາດ-ເຕັກໂນໂລຢີທີ່ມີຄວາມສາມາດຕອບຮັບ, ແບ່ງປັນ, ນໍາໃຊ້ບັນດາຜົນປະໂຫຍດຂອງພື້ນຖານໂຄງລ່າງຮ່ວມກັນ.	Tập trung từng bước hình thành cộng đồng khoa học - công nghệ có khả năng đáp ứng, chia sẻ và cùng chia sẻ lợi ích của cơ sở hạ tầng chung.
ນະຄອນຈະສືບຕໍ່ປັບປຸງສະພາບແວດລ້ອມແຫ່ງການລົງທຶນດໍາເນີນທຸລະກິດ, ມານະພະຍາຍາມຜັນຂະຫຍາຍ ແລະປະຕິບັດການລົງທຶນກໍ່ສ້າງພື້ນຖານໂຄງລ່າງຢ່າງມີປະສິດທິຜົນ...	Thành phố sẽ tiếp tục cải thiện môi trường đầu tư, kinh doanh, nỗ lực mở rộng và đầu tư có hiệu quả kết cấu hạ tầng ...
ນະຄອນໄດ້ກໍານົດບາງຂະແໜງການ, ຂົງເຂດບຸລິມະສິດດຶງດູດການລົງທຶນໃຫ້ເໝາະສົມກັບທ່າອ່ຽງພັດທະນາລວມ, ສາມາດເຂົ້າຮ່ວມໃນລະບົບມູນຄ່າເພີ່ມທົ່ວໂລກ ແລະຂຸດຄົ້ນບັນດາທ່າໄດ້ປຽບຂອງນະຄອນຫຼວງກໍ່ຄືທ່າແຮງຂອງແຕ່ລະແຂວງ, ນະຄອນໃນເຂດຄື: ຂົງເຂດລົງທຶນພັດທະນາໂຄງລ່າງເຕັກນິກຕົວເມືອງຢ່າງຄົບຊຸດ ແລະທັນສະໄໝ;	Thành phố đã xác định những lĩnh vực nhất định, những lĩnh vực ưu tiên thu hút đầu tư phù hợp với xu thế phát triển chung, có khả năng tham gia vào hệ thống giá trị gia tăng toàn cầu và khai thác lợi thế của Thủ đô cũng như tiềm năng của từng tỉnh, thành phố. trong khu vực:
ຂົງເຂດຜະລິດ, ຜະລິດສິ້ນສ່ວນ, ໃນນັ້ນບຸລິມະສິດບັນດາຂະແໜງການ, ຂົງເຂດປຸງແຕ່ງກະສິກໍາ, ປ່າໄມ້, ສິນໃນນໍ້າ, ສິນທະເລ ແລະສະບຽງອາຫານ...	Sản xuất, sản xuất linh kiện, bao gồm các ngành ưu tiên, nông, lâm, thủy, hải sản, thực phẩm ...
ດ້ວຍບັນດາຂົງເຂດເຫຼົ່ານີ້, ຮ່າໂນ້ຍ ຕັ້ງຄວາມຫວັງວ່າຈະສືບຕໍ່ລະດົມບັນດາແຫຼ່ງກໍາລັງຢ່າງມີປະສິດທິຜົນເພື່ອພັດທະນາເສດຖະກິດ-ສັງຄົມນະຄອນຕາມທິດຍືນຍົງ, ຢັ້ງຢືນທີ່ຕັ້ງນໍາໜ້າ ແລະແມ່ນກໍາລັງໜູນເພື່ອພັດທະນາເຂດເສດຖະກິດຈຸດສຸມພາກເໜືອ ແລະທົ່ວປະເທດ.	Với những lĩnh vực này, Hà Nội mong muốn tiếp tục huy động hiệu quả các nguồn lực để phát triển kinh tế - xã hội thành phố bền vững, khẳng định vai trò lãnh đạo, là động lực phát triển các khu kinh tế trọng điểm của vùng và cả nước.
ພ້ອມທັງສ້າງຮ່າໂນ້ຍໃຫ້ກາຍເປັນຕົວເມືອງແຫ່ງຄວາມສີວິໄລ, ທັນສະໄໝ, ສົມເປັນສູນການເມືອງ, ວັດທະນະທໍາ, ເສດຖະກິດຂອງປະເທດຊາດ.	Cùng với việc đưa Hà Nội trở thành thành phố văn minh, hiện đại, là trung tâm chính trị, văn hóa, kinh tế của cả nước.
ໂດຍ: ເກື່ອງດັ້ງ.	By: Cuong Dang.
