ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 5 ກຸມພາ, ທ່ານພົນໂທ ຟານວັນຢາງ, ກໍາມະການສູນກາງພັກ, ຄະນະປະຈໍາຄະນະພັກການທະຫານສູນກາງ, ຫົວໜ້າກົມໃຫຍ່ເສນາທິການ, ຮອງລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ໄດ້ໄປຢ້ຽມຢາມ, ກວດກາວຽກງານກຽມພ້ອມສູ້ຮົບ ແລະອວຍພອນປີໃໝ່ພະນັກງານ, ນັກຮົບຂອງກອງພົນນ້ອຍ 205, ເຫຼົ່າຮົບສື່ສານ.	Divine - Chiều tháng 2 Hội chợ, Melghanistan, du khách, Bộ trưởng Bộ Quốc phòng 205, Đảng Cộng sản.
ການນໍາ, ຜູ້ບັນຊາການເຫຼົ່າຮົບສື່ສານ ແລະກອງພົນນ້ອຍ 205 ຕ້ອນຮັບທ່ານພົນໂທ ຟານວັນຢາງ ມາຢ້ຽມຢາມ ແລະກວດກາ.	Lãnh đạo, Chỉ huy 205 Truyền thông của Medicaria, Quốc hội thăm và kiểm tra.
ພາບ: ຈູແອັງ.	Ảnh: Linh.
ຜ່ານການກວດກາ, ທ່ານພົນໂທ ຟານວັນຢາງ ໄດ້ຍ້ອງຍໍຊົມເຊີຍ, ຕີລາຄາສູງໝາກຜົນການປະຕິບັດໜ້າທີ່ຂອງພະນັກງານ, ນັກຮົບກົມກອງທີ່ບັນລຸໄດ້ໃນໄລຍະຜ່ານມາ, ເປັນຕົ້ນແມ່ນວຽກງານກະກຽມ ແລະຈັດຕັ້ງການຕ້ອນຮັບບຸນປີໃໝ່ປະຈໍາຊາດ.	Thông qua việc kiểm tra, Melghany, ông Tòa nghị viện đã ca ngợi Tổng thống, việc chuẩn bị các nhiệm vụ, việc chuẩn bị sự chuẩn bị của năm mới quốc gia.
ທ່ານພົນໂທ ຟານວັນຢາງ ຮຽກຮ້ອງຄະນະພັກ, ກອງບັນຊາການສື່ສານ, ຜູ້ບັນຊາການກອງພົນນ້ອຍ 205 ສືບຕໍ່ຮັກສາແບບແຜນ, ລະບອບການກຽມພ້ອມສູ້ຮົບຕາມຂໍ້ກໍານົດຢ່າງເຂັ້ມງວດ;	Máy bay Melghan, gọi cho bữa tiệc, chỉ huy giao tiếp, 205 thành viên của quý, các lệnh dự bị, bảo mật tĩnh, chuẩn bị trận chiến)
ສົມທົບກັນຢ່າງແໜ້ນແຟ້ນກັບຄະນະພັກ, ອຳນາດການປົກຄອງທ້ອງຖິ່ນ, ກໍາລັງຕໍາຫຼວດກໍາແໜ້ນສະພາບການຄວາມໝັ້ນຄົງດ້ານການເມືອງໃນບໍລິເວນ, ບໍ່ປະໃຫ້ຕົກຢູ່ໃນທ່າຮັບໂດຍບັງເອີນໃນທຸກສະພາວະການ...	Combals mạnh mẽ đến bữa tiệc, chính quyền địa phương, cảnh sát đạt được chặt chẽ vững chắc trong khu vực, không đứng trong sự trùng hợp ...
ທ່ານພົນໂທ ຟານວັນຢາງ ໄປກວດກາຢູ່ສູນບັນຊາການສື່ສານຂອງກອງພົນນ້ອຍ 205.	Nghị viện Melghan để kiểm tra tại Truyền thông 205 trung tâm liên lạc.
ພາບ: ຈູແອັງ.	Ảnh: Linh.
ທ່ານພົນໂທ ຟານວັນຢາງ ໂອ້ລົມກັບພະນັກງານ, ນັກຮົບປະຕິບັດໜ້າທີ່ຢູ່ກອງບັນຊາການກອງພົນນ້ອຍ 205.	Nghị viện Melghn đã nói chuyện với nhân viên, Chiến binh thực hiện các chức năng tại Ủy ban Khung Nine 205.
ພາບ: ຈູແອັງ.	Ảnh: Linh.
ທ່ານພົນໂທ ຟານວັນຢາງ ກວດກາສະບຽງອາຫານທີ່ຮັບໃຊ້ໃນໂອກາດບຸນປີໃໝ່ປະຈໍາຊາດປີກຸນ ຢູ່ກອງພົນນ້ອຍ 205.	Nghị viện Medica, kiểm tra thực phẩm của thực phẩm nhân dịp năm mới năm 2010 hàng năm.
ພາບ: ຈູແອັງ.	Ảnh: Linh.
ພ້ອມທັງ, ຮັບປະກັນວຽກງານພະລາທິການ, ເຕັກນິກໃຫ້ແກ່ໜ້າທີ່ຕ່າງໆຢ່າງຄົບຖ້ວນ, ທັນການ;	Ngoài ra, đảm bảo ASCET, các kỹ thuật để hoàn thành các trang, nhưng;
ຮັບປະກັນລະບອບ, ມາດຕະຖານໃນການຕ້ອນຮັບບຸນປີໃໝ່ໃຫ້ແກ່ທະຫານຢ່າງຖືກຕ້ອງ, ຄົບຖ້ວນ;	Đảm bảo các chế độ, tiêu chuẩn trong lễ kỷ niệm quân sự đúng cách, hoàn thành;
ຊາບຊຶມບັນດາຄໍາສັ່ງ, ມະຕິຂອງຂັ້ນເທິງກ່ຽວກັບການຈັດຕັ້ງຕ້ອນຮັບບຸນປີໃໝ່ປະຈໍາຊາດໃນຍາມລະດູບານໃໝ່ຢ່າງເບີກບານມ່ວນຊື່ນຢ່າງເຂັ້ມງວດ;	Tiêm lệnh Upper, tổ chức của năm mới trong mùa giải năm mới được tận hưởng nghiêm ngặt;
ຮັກສາລະບຽບວິໄນ, ແບບແຜນ, ເອົາໃຈໃສ່ເປັນພິເສດເຖິງການຮັບປະກັນຄວາມປອດໄພໃນທຸກດ້ານ.	Giữ kỷ luật, mô hình, đặc biệt chú ý đến sự đảm bảo an ninh trong tất cả các khía cạnh.
ໂດຍ: ເຈິ່ນຮວ່ຽນ.	Bởi: Trần thông minh.
