ກປ.ອອນໄລ - ຕົ້ນໄມ້ສີຂຽວຊະນິດຕ່າງໆໄດ້ປູກຢູ່ເກາະສ່ວນຫຼາຍແມ່ນຕົ້ນຫູກວາງ, ຕົ້ນຟອງບາ, ຕົ້ນສົນ...	KPR Online - Các loại cây xanh được trồng trên đảo, chủ yếu là Hầu Vàng, Fong Ba, Sơn ...
ຢູ່ບັນດາເກາະ ຄື: ເຊິນກາ, ນາມອ໊ຽດ, ຊອງຕືໄຕ, ຊິງຕົ່ນ, ຊິງຕົ່ນດົງ, ເຈື່ອງຊາໃຫຍ່...	Tại các đảo: Son Ka, Nam Eit, Song Tu Tai, Xing Ton, Xing Ton Dong, Truong Sa Yai ...
ຕົ້ນລະດູບານໃໝ່ປີກຸນ 2019, ພະນັກງານ, ນັກຮົບ ແລະບັນດາກຳລັງຢູ່ໝູ່ເກາະເຈື່ອງຊາ ໄດ້ແຂ່ງຂັນກັນອອກແຮງງານທຳການຜະລິດ, ປູກຕົ້ນໄມ້ ເພື່ອຮັກສາສີຂຽວໃຫ້ເກາະ ແລະເຮັດໃຫ້ທັດສະນີຍະພາບຂຽວ, ສະອາດ, ສວຍງາມ.	Đầu năm mới 2019, cán bộ, chiến sĩ và các lực lượng trên đảo Trường Sa thi nhau lao động sản xuất, trồng cây để giữ màu xanh cho biển đảo và làm xanh, sạch, đẹp cảnh quan.
ຕົ້ນໄມ້ສີຂຽວຊະນິດຕ່າງໆໄດ້ປູກຢູ່ເກາະສ່ວນຫຼາຍແມ່ນຕົ້ນຫູກວາງ, ຕົ້ນຟອງບາ, ຕົ້ນສົນ...	Trên đảo trồng nhiều loại cây xanh, chủ yếu là cây sưa, pơ mu, thông ...
ຢູ່ບັນດາເກາະ ຄື: ເຊິນກາ, ນາມອ໊ຽດ, ຊອງຕືໄຕ, ຊິງຕົ່ນ, ຊິງຕົ່ນດົງ, ເຈື່ອງຊາໃຫຍ່ ຍັງມີຕົ້ນໄມ້ກິນໝາກຊະນິດຕ່າງໆ ຄື: ຕົ້ນໝາກພ້າວ, ຕົ້ນໝາກຫຸ່ງ, ຕົ້ນໝາກກ້ຽງ...	Tại các đảo Sơn Ka, Nậm Eit, Song Tử Tài, Xing Ton, Xing Ton Đông, Trường Sa Yai cũng có các loại cây rụng lá như: dừa cạn, đu đủ, cây láng ...
ພ້ອມກັບຜັກຂຽວຫຼາຍຊະນິດ.	Cùng với nhiều loại rau xanh.
ນັກຂ່າວໜັງສືພິມກອງທັບປະຊາຊົນຫວຽດນາມ ຂໍແນະນຳເຖິງເພື່ອນຜູ້ອ່ານບັນດາຮູບພາບທີ່ພິທີປູກຕົ້ນໄມ້ຕົ້ນລະດູບານໃໝ່ຂອງພະນັກງານ, ນັກຮົບຢູ່ເກາະເຊິນກາ.	Phóng viên Báo Quân đội nhân dân Việt Nam giới thiệu tới độc giả chùm ảnh về lễ trồng cây mới của cán bộ, chiến sĩ trên đảo Sơn Ka.
ພິທີປູກຕົ້ນໄມ້ຍາມຕົ້ນປີໄດ້ຮັບການຈັດຕັ້ງຢ່າງສົມກຽດຢູ່ສວນສາທາລະນະພົນເອກ ຫວໍງວຽນຢ໊າບ.	Lễ trồng cây đầu năm được tổ chức tại Vườn quốc gia Đại tướng Võ Nguyên Giáp.
ພາບ: ມິງເຈື່ອງ.	Ảnh: Minh Trường
ປູກຕົ້ນໄມ້ເພື່ອຮັກສາສີຂຽວໃຫ້ເກາະ ແລະເຮັດໃຫ້ທັດສະນີຍະພາບຂຽວ, ສະອາດ, ສວຍງາມ.	Trồng cây xanh để giữ cảnh quan đảo xanh, sạch, đẹp.
ພາບ: ມິງເຈື່ອງ.	Ảnh: Minh Trường
ໂດຍ: ແສງເດືອນ.	Bởi: Moonlight.
